	Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0	0.0	0.6665114000000001	0.12721860000000002	0.35506459999999995	0.7745715999999999	0.1004299	0.275493	0.6067846	0.7430983	0.6656366	0.6950638000000001
1	50.0	0.32577480000000003	0.1218223	0.3464115	0.7229108	0.19245910000000002	0.31076370000000003	0.6096963000000001	0.7567515	0.5554138000000001	0.7327167
2	100.0	0.17750120000000003	0.0443587	0.5712888	0.586828	0.23334970000000002	0.3569736	0.46473240000000005	0.6656993	0.7211031999999999	0.6717156
4	200.0	0.0930693	0.1398431	0.3435551	0.5354375	0.5583315999999999	0.29942270000000004	0.4145393	0.6771472	0.5478739	0.7512751
6	300.0	0.1502136	0.094808	0.41264120000000004	0.4599706	0.5350145000000001	0.29929279999999997	0.5993621	0.6181808000000001	0.7288696	0.6660468
11	550.0	0.4708819	0.093721	0.3453156	0.618386	0.485255	0.35851500000000003	0.44792489999999996	0.7052075	0.7919255000000001	0.5868151999999999
17	850.0	0.751684	0.0985328	0.4541817	0.7086631999999999	0.1391781	0.3146772	0.3950302	0.6562918000000001	0.6583495	0.6836276
21	0.0	0.6927804	0.1735119	0.3080785	0.5990709	0.1445523	0.2494241	0.5905583999999999	0.6367970000000001	0.6891143	0.6944974
22	50.0	0.6137	0.0954328	0.2815777	0.6576991	0.2136285	0.39521690000000004	0.21996190000000002	0.5711943	0.684341	0.6816443
23	100.0	0.5923916	0.0704157	0.2896261	0.6349119000000001	0.2556762	0.3336192	0.17065940000000002	0.7645988	0.6408686	0.6201303000000001
25	200.0	0.6293309	0.11499110000000001	0.2186433	0.4509727	0.16871470000000002	0.37365929999999997	0.0786808	0.6970826999999999	0.803821	0.6925730999999999
27	300.0	0.4709635999999999	0.1159865	0.289219	0.3898388	0.23651020000000003	0.4000143	0.1323223	0.6791003000000001	0.7090849	0.8249540000000001
32	550.0	0.6433641	0.1181288	0.32459309999999997	0.45136579999999993	0.2487479	0.307568	0.6042338	0.7092563000000001	0.6728155	0.6264014
38	850.0	0.5887312	0.0482351	0.4387776	0.7599636	0.1361985	0.3467893	0.3892781	0.6715002	0.653354	0.7493886
42	0.0	0.7025545999999999	0.0965407	0.4955335999999999	0.6290043000000001	0.1394119	0.2777284	0.5852446	0.6987308000000001	0.7189791999999999	0.6317014
43	50.0	0.2670111	0.0066399	0.41200649999999994	0.633102	0.1601289	0.3160889	0.38799140000000004	0.31254190000000004	0.8405381	0.7525926
44	100.0	0.14955770000000002	0.0002031	0.31626609999999994	0.6388113000000001	0.35275259999999997	0.41214520000000004	0.5371866999999999	0.22071239999999998	0.7847303000000001	0.6308077
46	200.0	0.1503708	0.0007181	0.360118	0.4870183	0.6474004	0.5160537000000001	0.47156329999999996	0.1138825	0.7514894	0.7220521
48	300.0	0.1136885	0.0006992999999999999	0.4130228	0.402796	0.7206053000000001	0.6962295000000001	0.5828932	0.1047608	0.7346484000000001	0.6120013000000001
53	550.0	0.49343240000000005	0.1669844	0.3493963	0.4666379	0.6220579	0.5662444999999999	0.4837116	0.5461220999999999	0.7879295000000001	0.7344458
59	850.0	0.6111505	0.10773319999999999	0.463363	0.6910229	0.2198009	0.39564570000000004	0.47682840000000004	0.6286063000000001	0.6190746	0.6722001999999999
63	0.0	0.7291506999999999	0.1646974	0.5393216	0.7087401999999999	0.1237001	0.24328429999999998	0.39703390000000005	0.7599215	0.6285854000000001	0.6076600999999999
64	50.0	0.5109302	0.1803674	0.38944850000000003	0.6874070999999999	0.1012508	0.4088945	0.14687809999999998	0.3528068	0.4169359	0.7657149000000001
65	100.0	0.6097374	0.1875477	0.25657620000000003	0.5980135	0.1486603	0.4252275	0.0264118	0.3565534	0.40867109999999995	0.8156564000000001
67	200.0	0.779146	0.26953520000000003	0.24475029999999998	0.3854643	0.1409376	0.5552323	0.006765899999999999	0.1862479	0.4058957	0.6916045
69	300.0	0.6662776999999999	0.2300156	0.2081826	0.3920308	0.15009820000000001	0.5281481	0.0019713	0.2450673	0.27893959999999995	0.8015413
74	550.0	0.6640881	0.1897509	0.20680389999999998	0.44753999999999994	0.1082641	0.4044676	0.5668736	0.6426656	0.6214781	0.5714713
80	850.0	0.8967149	0.0662469	0.4268514	0.5678651	0.0999712	0.34472600000000003	0.4650374	0.7023964	0.6389196	0.6975826
84	0.0	0.7147163000000001	0.07890119999999999	0.4215624	0.6301302	0.0850342	0.3092021	0.45161940000000006	0.6951691999999999	0.8362663	0.6439763000000001
85	50.0	0.6338617	0.1135145	0.2933042	0.649465	0.0442124	0.3514063	0.22773070000000004	0.7833732	0.38620190000000004	0.6660204000000001
86	100.0	0.6247811	0.0807247	0.3235387	0.5906159000000001	0.026979000000000003	0.3053646	0.1633944	0.8113616	0.1997879	0.6863509
88	200.0	0.709418	0.0723323	0.41307269999999996	0.6042179	0.046968699999999995	0.35378590000000004	0.1830969	0.6419759	0.052953499999999994	0.5236239
90	300.0	0.5962738000000001	0.1384099	0.24275619999999998	0.37649520000000003	0.0333171	0.3098801	0.2135964	0.8112381	0.0377755	0.21175410000000003
95	550.0	0.7680005999999999	0.1356463	0.12167539999999999	0.3653458	0.0860904	0.2640264	0.5704520000000001	0.6508609000000001	0.5045298	0.14222820000000003
101	850.0	0.6785809	0.14099620000000002	0.230909	0.8145937	0.1246992	0.4497987	0.41024920000000004	0.5818118	0.727876	0.6745839
