G21	G1	-
G7	G2	-
G1	G2	+
G4	G2	-
G29	G2	-
G4	G3	-
G29	G3	-
G1	G3	+
G7	G3	-
G29	G5	+
G4	G5	-
G7	G5	-
G4	G6	-
G29	G6	+
G7	G6	+
G41	G7	+
G29	G7	-
G4	G8	-
G7	G8	-
G29	G8	+
G29	G9	+
G7	G9	-
G4	G9	-
G4	G10	-
G29	G10	+
G7	G10	-
G7	G11	+
G4	G11	-
G29	G11	+
G4	G12	-
G29	G12	+
G7	G12	-
G29	G13	+
G7	G13	+
G4	G13	-
G7	G14	-
G29	G14	+
G4	G14	-
G4	G15	+
G29	G15	+
G21	G15	-
G7	G15	+
G29	G16	+
G4	G16	+
G7	G16	-
G7	G17	+
G4	G17	+
G21	G17	-
G4	G18	+
G21	G18	-
G29	G18	-
G7	G18	+
G29	G19	+
G21	G19	-
G4	G19	+
G7	G19	+
G21	G20	-
G7	G20	+
G4	G20	+
G7	G22	+
G4	G22	+
G29	G22	+
G21	G22	-
G38	G22	+
G35	G22	+
G7	G23	+
G29	G23	+
G4	G23	+
G21	G23	-
G38	G23	+
G35	G23	+
G29	G24	+
G4	G24	+
G38	G24	+
G7	G24	-
G21	G24	-
G35	G24	+
G35	G25	+
G7	G25	-
G38	G25	+
G21	G25	-
G4	G25	+
G29	G25	+
G35	G26	+
G4	G26	+
G21	G26	-
G7	G26	-
G38	G26	+
G29	G26	+
G38	G27	+
G35	G27	+
G4	G27	+
G7	G27	+
G29	G27	+
G21	G27	-
G38	G28	+
G4	G28	+
G35	G28	+
G29	G28	+
G21	G28	-
G7	G28	-
G41	G30	+
G38	G30	+
G4	G30	-
G29	G30	+
G35	G30	+
G7	G30	-
G29	G31	+
G38	G31	+
G4	G31	+
G35	G31	+
G7	G31	-
G41	G31	+
G35	G32	+
G41	G32	+
G7	G32	-
G38	G32	+
G4	G32	+
G29	G32	+
G38	G33	+
G29	G33	+
G41	G33	+
G4	G33	-
G35	G33	+
G7	G33	-
G35	G34	+
G29	G34	+
G41	G34	+
G38	G34	+
G7	G34	-
G4	G34	-
G86	G35	-
G35	G36	+
G7	G36	-
G38	G36	+
G41	G36	+
G29	G36	+
G4	G36	-
G29	G37	+
G35	G37	+
G41	G37	+
G7	G37	-
G4	G37	-
G38	G37	+
G86	G38	-
G7	G39	-
G35	G39	+
G41	G39	+
G29	G39	+
G38	G39	+
G4	G39	-
G41	G40	+
G38	G40	+
G29	G40	+
G7	G40	-
G35	G40	+
G48	G40	-
G4	G40	+
G4	G42	+
G41	G42	+
G35	G42	+
G38	G42	+
G7	G42	-
G29	G42	+
G48	G42	-
G38	G43	+
G41	G43	+
G35	G43	+
G48	G43	-
G29	G43	+
G7	G43	-
G4	G43	-
G29	G44	+
G38	G44	+
G48	G44	-
G35	G44	+
G41	G44	+
G4	G44	+
G7	G44	-
G48	G45	-
G38	G45	+
G35	G45	+
G7	G45	-
G4	G45	-
G29	G45	+
G41	G45	+
G35	G46	+
G41	G46	+
G38	G46	+
G7	G46	-
G48	G46	-
G4	G46	+
G29	G46	+
G41	G47	+
G38	G47	+
G7	G47	-
G48	G47	-
G35	G47	+
G29	G47	+
G4	G47	-
G29	G49	+
G38	G49	+
G35	G49	+
G35	G50	+
G21	G50	-
G38	G50	+
G38	G51	+
G21	G51	-
G35	G51	+
G38	G52	+
G21	G52	-
G35	G52	+
G48	G53	-
G7	G53	-
G58	G53	+
G4	G53	-
G58	G54	+
G48	G54	-
G7	G54	-
G4	G54	-
G7	G55	-
G4	G55	-
G58	G55	+
G48	G55	-
G29	G56	+
G7	G56	-
G41	G56	-
G58	G57	+
G7	G57	-
G48	G57	-
G4	G57	-
G4	G59	-
G48	G59	-
G58	G59	+
G7	G59	-
G4	G60	-
G48	G60	-
G58	G60	+
G7	G60	-
G7	G61	-
G29	G61	+
G41	G61	-
G41	G62	-
G29	G62	+
G7	G62	-
G35	G63	+
G29	G63	+
G38	G63	+
G29	G64	+
G38	G64	+
G35	G64	+
G29	G65	+
G38	G65	+
G35	G65	+
G38	G66	+
G35	G66	+
G29	G67	+
G7	G67	-
G35	G68	+
G38	G68	+
G35	G69	+
G38	G69	+
G29	G70	+
G7	G70	-
G38	G71	+
G35	G71	+
G38	G72	+
G35	G72	+
G29	G73	+
G7	G73	-
G38	G74	+
G35	G74	+
G35	G75	+
G38	G75	+
G35	G76	+
G38	G76	+
G35	G77	+
G38	G77	+
G35	G78	+
G38	G78	+
G38	G79	+
G35	G79	+
G38	G80	+
G35	G80	+
G38	G81	+
G35	G81	+
G38	G82	+
G35	G82	+
G35	G83	+
G38	G83	+
G35	G84	+
G38	G84	+
G38	G85	+
G35	G85	+
G38	G87	+
G35	G87	+
G35	G88	+
G38	G88	+
G38	G89	+
G35	G89	+
G35	G90	+
G38	G90	+
G35	G91	+
G38	G91	+
G35	G92	+
G38	G92	+
G38	G93	+
G35	G93	+
G38	G94	+
G35	G94	+
G35	G95	+
G38	G95	+
G35	G96	+
G38	G96	+
G35	G97	+
G38	G97	+
G38	G98	+
G35	G98	+
G21	G99	-
G29	G99	-
G38	G100	+
G35	G100	+
