Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G71A	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.9967815	0.2314560	0.7807305	0.5193816	0.1028367	0.6416998	0.7130571	0.7120239	0.8208361	0.2832426	0.8421957	0.6578843	0.6029577	0.2923646	0.0679320	0.0975691	0.9606164	0.0385455	0.2732032	0.2558934	0.2785327	0.6062841	0.3019173	0.3068796	0.0297357	0.9267814	0.2229527	0.1996210	0.8421701	0.6054500	0.0439083	0.1687310	0.1444230	0.1722961	0.9003987	0.1119955	0.7183023	0.9224457	0.1215291	0.3127719	0.0103544	0.9409521	0.0638205	0.5164407	0.3549783	0.9999444	0.1135415	0.7688247	0.1265474	1.0000000	0.5805701	0.9720783	0.9389416	0.8705165	0.3309371	0.4160289	0.9928080	0.5502506	0.7886189	0.8322945	0.6568187	0.0186279	0.1244795	0.9454700	0.5079275	0.0303560	0.4888858	0.6928528	0.1950653	0.0461910	0.0040671	0.9285076	0.9952441	0.3623037	0.7393016	0.0226258	0.8756347	0.1878389	0.8786873	0.5998646	0.2888249	0.5331127	0.9589045	0.3556137	0.0065793	0.9999353	1.0000000	0.9192810	0.9950898	0.6606459	0.9609365	0.0433999	0.6800894	0.1579535	0.5715454	0.4308693	0.3779157	0.9967413	0.8854385	0.2537642
50	0.9967833	0.2307792	0.7798469	0.5694483	0.2239277	0.5053004	0.7068399	0.5388537	0.8546938	0.2831438	0.8444177	0.7557042	0.6007387	0.2922989	0.0679138	0.0662687	0.9368826	0.0671178	0.2340714	0.2564746	0.2775037	0.6093988	0.3019354	0.3068959	0.0296432	0.9631223	0.2229786	0.1996196	0.8421752	0.6055690	0.3137052	0.1496844	0.2346109	0.1446215	0.9003151	0.1119933	0.7182333	0.9229301	0.1164065	0.2308574	0.1343022	0.8530890	0.0638156	0.5165068	0.3549654	0.8756196	0.1155454	0.5725852	0.1265453	0.8331799	0.5791305	0.9690124	0.9406256	0.8496633	0.3380248	0.6213582	0.9916121	0.5503605	0.6229663	0.7472632	0.6569201	0.0193490	0.1221269	0.9618495	0.4367786	0.0305730	0.4921387	0.5155126	0.1943610	0.0465482	0.0038754	0.8540764	0.9953293	0.3609756	0.7391203	0.0592203	0.9197494	0.1876519	0.6812144	0.5947281	0.2842037	0.6970340	0.9584427	0.3535332	0.0071365	0.9971262	0.9999993	0.9195115	0.9943293	0.6606404	0.9612885	0.0497645	0.6801213	0.1587040	0.5722305	0.4204147	0.3779164	0.9677100	0.8886701	0.1516497
100	0.9968695	0.2180400	0.7570568	0.6695705	0.3181124	0.3703419	0.6585641	0.3335902	0.8900542	0.2813168	0.8558251	0.8485275	0.5690852	0.2910824	0.0678525	0.0339318	0.8419936	0.0868958	0.2010190	0.2598280	0.2734283	0.6251806	0.3017616	0.3093840	0.0292936	0.9875101	0.2229870	0.1996192	0.8422991	0.6069682	0.6329217	0.0910528	0.3329524	0.1202809	0.9005589	0.1110980	0.7157954	0.9300085	0.0986561	0.1905119	0.3439307	0.7276491	0.0638123	0.5165484	0.3548330	0.7476096	0.1302186	0.3772622	0.1265397	0.6604122	0.5730835	0.9473869	0.9491769	0.6365289	0.3760002	0.8259740	0.9800769	0.5525056	0.5028057	0.6644491	0.6587642	0.0259110	0.1149989	0.9805854	0.2945149	0.0325395	0.5130364	0.3563801	0.1907417	0.0496025	0.0042955	0.7737559	0.9954270	0.3673339	0.7373967	0.0969261	0.9616668	0.1852649	0.5209277	0.5706558	0.2594099	0.7691381	0.9531517	0.3490827	0.0156239	0.9322609	0.9999727	0.9137193	0.9825206	0.6606071	0.9637904	0.1087184	0.6807815	0.1661306	0.5782054	0.4068779	0.3779164	0.9326765	0.9007888	0.0925460
150	0.9973495	0.1882683	0.6110153	0.6352085	0.3528713	0.3053869	0.5591177	0.2119815	0.9100098	0.2751380	0.8706009	0.8829422	0.4929543	0.2873887	0.0678021	0.0184895	0.7033407	0.0905291	0.1882828	0.2672892	0.2739118	0.6459078	0.2985337	0.3264217	0.0289624	0.9960496	0.2225884	0.1996314	0.8436202	0.6118703	0.8214550	0.0475701	0.3859921	0.1236684	0.9047114	0.1046479	0.7014127	0.9423113	0.0987080	0.2347141	0.5384204	0.6068930	0.0638091	0.5169128	0.3530321	0.6824878	0.1581891	0.2793827	0.1264617	0.5723339	0.5668674	0.9124457	0.9590946	0.4454634	0.4250309	0.9279326	0.9555271	0.5596873	0.4709552	0.6362051	0.6653893	0.0432167	0.1106152	0.9912599	0.2111871	0.0370734	0.5483455	0.2891118	0.1856456	0.0562665	0.0186758	0.7281968	0.9950397	0.4527041	0.7323705	0.1197920	0.9814901	0.1762738	0.4372282	0.5480370	0.2328746	0.7679849	0.9290784	0.3519982	0.0360857	0.7813084	0.9998766	0.8584348	0.9426049	0.6605031	0.9679522	0.2328870	0.6839282	0.1926340	0.5888537	0.3828473	0.3779041	0.9106905	0.9114911	0.0750883
200	0.9981422	0.1601485	0.4112824	0.4950399	0.3634858	0.2813281	0.4468641	0.1522306	0.9186838	0.2655588	0.8816818	0.8771669	0.4278451	0.2822949	0.0677743	0.0142764	0.5934100	0.0914451	0.1835859	0.3014417	0.2867458	0.6624715	0.2841933	0.3631812	0.0287661	0.9987694	0.2192316	0.1999372	0.8493489	0.6205651	0.9136851	0.0262741	0.4097799	0.1578486	0.9208330	0.0909014	0.6732733	0.9360202	0.1525403	0.3055270	0.6507462	0.5016028	0.0637928	0.5191956	0.3473072	0.6548547	0.1857378	0.2358814	0.1259031	0.5350807	0.5642384	0.8835996	0.9654534	0.3787672	0.4620882	0.9709191	0.9282645	0.5746964	0.4458482	0.6397889	0.6785378	0.0710416	0.1106466	0.9962970	0.1828107	0.0430322	0.5837358	0.2587293	0.1849781	0.0617799	0.0740082	0.7053733	0.9944449	0.5925848	0.7313607	0.1334980	0.9887193	0.1590917	0.3739958	0.5472162	0.2409294	0.7508256	0.8740281	0.3603932	0.0539458	0.6539193	0.9997356	0.7616247	0.8969000	0.6602774	0.9700429	0.3486456	0.6888236	0.2397231	0.5982675	0.3394301	0.3778590	0.8974241	0.9159076	0.0682789
250	0.9988364	0.1439696	0.2916424	0.3592162	0.3664551	0.2756397	0.3565276	0.1252377	0.9208105	0.2558087	0.8871063	0.8568901	0.3921324	0.2777715	0.0677612	0.0157864	0.5275697	0.0951252	0.1818553	0.4547175	0.3088747	0.6738603	0.2558762	0.4040361	0.0286723	0.9996178	0.2080930	0.2032345	0.8612044	0.6307118	0.9549367	0.0173094	0.4205298	0.2080432	0.9453031	0.0770596	0.6441936	0.8795363	0.2413296	0.3606773	0.6918469	0.4246430	0.0637210	0.5257482	0.3372181	0.6439813	0.1987832	0.2151487	0.1239826	0.5206329	0.5647991	0.8643220	0.9687177	0.3800216	0.4837166	0.9878382	0.9042319	0.6164497	0.3889381	0.6549810	0.7100517	0.1123403	0.1179627	0.9984471	0.1798745	0.0500897	0.6090347	0.2303731	0.1978685	0.0622353	0.1406086	0.6949904	0.9939446	0.6852962	0.7386701	0.1422511	0.9896017	0.1383872	0.3303718	0.5692548	0.2988868	0.7292560	0.8063922	0.3688714	0.0650092	0.5825187	0.9989265	0.6980252	0.8508459	0.6599432	0.9657778	0.4176185	0.6993845	0.2897502	0.6039050	0.2874431	0.3777774	0.8857343	0.9149419	0.0633208
300	0.9992614	0.1412280	0.2498222	0.2678073	0.3672436	0.2767472	0.2958615	0.1133291	0.9198993	0.2483759	0.8881444	0.8388104	0.3760323	0.2749142	0.0677553	0.0193602	0.4935783	0.1009868	0.1820869	0.6689788	0.3313253	0.6888021	0.2216696	0.4352005	0.0286326	0.9998812	0.1876757	0.2150242	0.8754788	0.6397699	0.9724424	0.0137056	0.4278419	0.2604136	0.9663987	0.0658145	0.6223530	0.7794626	0.3191563	0.3911323	0.6929069	0.3741166	0.0635361	0.5378512	0.3245487	0.6397868	0.1951369	0.2030473	0.1202374	0.5152994	0.5654146	0.8506186	0.9703873	0.4150788	0.4944515	0.9943500	0.8861196	0.6856277	0.3073180	0.6715408	0.7745707	0.1659182	0.1324187	0.9992651	0.1839464	0.0608048	0.6193660	0.1954108	0.2335258	0.0559426	0.1784530	0.6913329	0.9935990	0.7267054	0.7482319	0.1483907	0.9874102	0.1195254	0.3096077	0.6011396	0.3833996	0.7001152	0.7444852	0.3744105	0.0723530	0.5497130	0.9849202	0.6739397	0.7760017	0.6595785	0.9507102	0.4491817	0.7406020	0.3279777	0.6063152	0.2433359	0.3776143	0.8683538	0.9112240	0.0594205
350	0.9994372	0.1526025	0.2609565	0.2138251	0.3674453	0.2793052	0.2580992	0.1077015	0.9181781	0.2440292	0.8869545	0.8273070	0.3695372	0.2737334	0.0677529	0.0228561	0.4776136	0.1068595	0.1837230	0.7877861	0.3486504	0.7106472	0.1908918	0.4542175	0.0286169	0.9999629	0.1624932	0.2274217	0.8858220	0.6465291	0.9796187	0.0121360	0.4360666	0.2995650	0.9803879	0.0562684	0.6089809	0.6823992	0.3645269	0.4027673	0.6780165	0.3435851	0.0632117	0.5545771	0.3120756	0.6381755	0.1814890	0.1944347	0.1155219	0.5133911	0.5647352	0.8397567	0.9713495	0.4600813	0.4990038	0.9969114	0.8744261	0.7395901	0.2300447	0.6847061	0.8444923	0.2084523	0.1496044	0.9994874	0.1882975	0.0792836	0.6140270	0.1611152	0.2943963	0.0488908	0.1815686	0.6909738	0.9933836	0.7416293	0.7600257	0.1529787	0.9842666	0.1049598	0.3047689	0.6299820	0.4616082	0.6745490	0.6860519	0.3769324	0.0789897	0.5370247	0.9175707	0.6702716	0.6944018	0.6592664	0.9218375	0.4604138	0.8007128	0.3519080	0.6068858	0.2114915	0.3771863	0.8494671	0.9071378	0.0568315
400	0.9993717	0.1798330	0.3027584	0.1825609	0.3674952	0.2812344	0.2346698	0.1044399	0.9166932	0.2422763	0.8851880	0.8211318	0.3670909	0.2736736	0.0677519	0.0254214	0.4705807	0.1114993	0.1860696	0.7964557	0.3595723	0.7302840	0.1678212	0.4642759	0.0286111	0.9999883	0.1381909	0.2258687	0.8889580	0.6509743	0.9824893	0.0112353	0.4450271	0.3215481	0.9887842	0.0485606	0.6018558	0.6190613	0.3798260	0.4036684	0.6606143	0.3259506	0.0627815	0.5731427	0.3020008	0.6376072	0.1667489	0.1878058	0.1114853	0.5127227	0.5631747	0.8306567	0.9720214	0.4985068	0.5004509	0.9979506	0.8675954	0.7694823	0.1743090	0.6937433	0.8947858	0.2195451	0.1649497	0.9994500	0.1913682	0.1057149	0.5966404	0.1348948	0.3635736	0.0458828	0.1663945	0.6918659	0.9932635	0.7453857	0.7732293	0.1563165	0.9814481	0.0947422	0.3071536	0.6499305	0.5179643	0.6608247	0.6283262	0.3779921	0.0859903	0.5336296	0.8194287	0.6735756	0.6432571	0.6590512	0.8853608	0.4625136	0.8400810	0.3651293	0.6068217	0.1888473	0.3759659	0.8409971	0.9039944	0.0553913
