G_i	G_j
23	24
30	46
12	24
15	19
12	23
8	24
15	21
19	46
22	29
30	33
5	19
8	23
12	38
15	46
19	21
22	23
23	46
8	12
10	19
10	33
16	31
19	30
19	33
21	46
22	46
23	29
29	46
31	33
33	46
5	17
5	30
5	33
17	19
22	30
30	32
30	34
31	46
33	43
3	19
5	10
9	46
10	15
10	23
10	43
10	46
15	30
15	33
21	30
23	30
23	31
23	34
23	38
24	38
24	46
29	31
30	31
32	33
33	34
34	46
3	5
3	10
3	21
3	30
3	32
3	33
5	15
5	21
5	32
5	46
8	13
8	46
10	30
10	32
10	34
12	15
13	23
13	24
16	29
16	33
17	30
17	33
17	43
19	32
21	32
21	39
22	24
22	31
23	28
23	36
29	30
32	46
34	49
35	43
1	30
3	17
3	43
5	43
7	33
7	43
8	9
