"G_i"	"G_j"
6	33
6	22
9	33
22	33
7	33
6	9
19	33
5	33
27	38
33	38
33	49
9	43
38	86
5	22
9	19
9	22
9	38
27	33
27	86
33	48
38	43
43	86
6	27
6	38
7	9
9	27
9	86
19	38
19	43
19	86
27	43
5	6
5	7
6	8
7	22
7	49
8	9
8	27
8	33
8	38
19	27
22	48
33	43
33	86
38	50
6	7
6	34
8	43
8	86
22	49
36	38
5	49
6	10
6	19
6	43
6	49
6	86
8	19
9	10
9	49
10	33
22	34
27	50
33	34
33	42
36	86
38	48
4	33
6	42
6	48
8	36
9	36
9	48
9	50
10	22
16	33
19	36
19	40
19	50
27	36
27	48
27	84
33	36
36	43
43	48
48	86
4	19
5	9
5	34
6	36
6	50
7	34
8	84
9	34
9	40
9	42
11	19
11	33
16	27
16	38
