"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G64A	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.1738561	0.8029389	0.8080065	0.6946930	0.3660809	0.4854520	0.3612597	0.3686279	0.4887910	0.0358825	0.2025189	1.0485838	0.7343644	0.3811064	0.5966602	0.4764060	0.6241482	0.8171120	0.3064898	0.1637156	0.4026480	0.9750549	0.0817981	0.3286536	0.0758744	0.0072761	0.0013701	0.5198838	0.3368766	0.2714999	0.1249282	0.8875303	0.6347951	0.9959276	1.0731538	0.0126319	0.9742303	0.0011710	0.8768929	0.0212062	0.0114923	0.8896135	0.6387806	0.7907253	0.0972023	0.6777532	0.9593034	1.0569248	0.5919887	0.8491843	0.0489726	0.8242643	0.7498197	0.8456913	0.2564980	0.0929694	0.0872617	0.5609036	0.1475739	0.4964336	0.4920179	0.7436131	0.2629309	0.4779580	0.2803917	0.6350962	0.2062961	0.1270199	0.8764178	0.6677921	0.7580240	0.4891564	0.0041560	0.7922276	0.7160135	0.6798290	0.7385277	0.9528077	0.7780518	0.9083361	0.0157461	0.2207253	0.9193200	0.7124958	0.2321183	1.0479518	0.7366782	0.1064227	0.9564405	0.5472148	0.4948157	0.7323841	0.6614045	1.0804369	0.3811649	0.1611343	0.0161318	0.5577471	0.0718289	0.4404292
50	0.2080814	0.7481185	0.7608466	0.6519207	0.3646851	0.4384957	0.2445641	0.4307357	0.4625212	0.0747456	0.1901767	0.8701207	0.7659926	0.4811152	0.4998696	0.3958665	0.6218928	0.5164908	0.3159511	0.1398230	0.5746074	0.9976403	0.0909532	0.2722125	0.0665764	0.0068045	0.0052612	0.5470051	0.2827501	0.2447030	0.0898266	1.0398268	0.5452269	0.8970041	1.0363166	0.0068188	0.7698581	0.0028262	0.8448869	0.0821478	0.4112208	0.9020789	0.7083857	0.6504743	0.0570862	0.6517130	1.0623698	0.8324120	0.6270250	0.6702076	0.0413882	0.7956698	0.7596004	0.9106230	0.2884186	0.2061063	0.0989474	0.6127329	0.2024872	0.5378785	0.4639980	0.6958696	0.3049680	0.4136404	0.3082010	0.5950776	0.1894632	0.1205455	0.7905215	0.7297400	0.9073237	0.5326541	0.0002362	0.8390104	0.7347173	0.6388492	0.7446060	1.0042499	0.6531548	0.9016811	0.0077930	0.1756473	1.0055878	0.7203953	0.2195044	0.9990957	0.6280887	0.1150309	0.8997458	0.5321678	0.5497504	0.4982137	0.4391735	0.8956833	0.4777263	0.1451595	0.0082300	0.6664814	0.0443398	0.4172771
100	0.3299896	0.7138278	0.7028300	0.6801997	0.4066712	0.5087462	0.1617409	0.4807478	0.4363029	0.0764050	0.1493600	0.6987932	0.6122589	0.6105875	0.5621481	0.3830570	0.6038940	0.3425388	0.2588641	0.0831577	0.5635313	0.9240289	0.0820040	0.3726333	0.0540518	0.0146119	0.0013392	0.5096801	0.3345468	0.1126384	0.1176614	0.9737651	0.7180375	0.8675849	0.9984348	0.1423702	0.4873334	0.0030602	0.8141262	0.2243781	0.7900514	0.7319959	0.8636756	0.4867804	0.1174201	0.7304946	0.9477293	0.6259638	0.5498454	0.6930313	0.0547644	0.9176839	0.8314940	0.9004158	0.3204564	0.3445717	0.0473183	0.7511861	0.2420226	0.5501831	0.4689543	0.6619295	0.3244217	0.3551326	0.2385889	0.6251224	0.2048664	0.1368442	0.7333086	0.7561989	0.9473353	0.6007551	0.0004713	0.8870552	0.8108270	0.5544774	0.7224416	1.0715986	0.6576298	0.8915804	0.0035239	0.2055167	0.9648867	0.6997542	0.1504183	1.0138121	0.6298376	0.0780907	1.0164900	0.5423480	0.4395473	0.4229460	0.2641051	0.9413273	0.4137460	0.0989227	0.0026807	0.6584829	0.0483559	0.4650026
150	0.3877123	0.8069573	0.5374054	0.6011929	0.5316112	0.4999683	0.0897463	0.4854944	0.4809096	0.1016059	0.1629625	0.7054549	0.3932555	0.8191114	0.5263441	0.4556047	0.6757329	0.3416571	0.1749039	0.0592947	0.5778878	0.9411489	0.0935455	0.4828278	0.0280776	0.0113640	0.0042917	0.4563390	0.3560790	0.0670910	0.1348891	1.0713406	0.8294248	0.9250436	0.9136678	0.5503595	0.3297053	0.0006321	0.7519486	0.3019731	0.8146091	0.6710522	0.7570195	0.3594546	0.0858313	0.6307890	0.9177453	0.5442450	0.6035431	0.6686826	0.0680430	0.9932757	0.7416400	0.8814562	0.3531061	0.4338322	0.0438847	0.7784780	0.3422868	0.3504699	0.5929715	0.6321384	0.3939555	0.4144861	0.2171287	0.5785003	0.1717582	0.1148491	0.7232372	0.7374778	0.9034999	0.5991126	0.0193994	0.8057318	0.8125963	0.5032450	0.6523973	1.1214413	0.6364674	0.8303434	0.0006264	0.2679319	0.8362671	0.7554539	0.1501588	1.0690680	0.6769851	0.0979248	0.9148916	0.5259840	0.4712411	0.4716392	0.1284894	0.9598811	0.3893623	0.0321695	0.0047879	0.7134617	0.0925628	0.4706411
200	0.4078260	0.7618289	0.5457026	0.4844035	0.5169725	0.2916023	0.0703713	0.4283095	0.4947402	0.1205912	0.1565594	0.6569929	0.2013751	0.8903819	0.4479038	0.3995753	0.5787799	0.2450244	0.1323445	0.0558838	0.5298716	0.9756302	0.2429748	0.7669560	0.0327181	0.0072135	0.0020168	0.4465191	0.4017484	0.0651143	0.3112282	1.0366344	0.8174023	0.8982067	0.7659708	0.7464637	0.2612990	0.0019484	0.8235202	0.3898235	0.8842126	0.6410623	0.6279285	0.3611779	0.0451018	0.5594720	0.9868506	0.4951105	0.6439792	0.6132904	0.0590270	0.9465718	0.7126424	0.8857782	0.3597460	0.4753537	0.0458753	0.7987010	0.2966147	0.1824201	0.6828311	0.8237580	0.4944569	0.4955135	0.1662399	0.5318928	0.1705899	0.1890353	0.7052556	0.6767865	0.8396872	0.5520919	0.1033932	0.8145016	0.8340586	0.3243221	0.5566080	1.0905971	0.5949376	0.7337120	0.0018491	0.4070363	0.9016724	0.7496427	0.1178592	1.0301249	0.6488015	0.0986916	0.8839730	0.4522471	0.4268145	0.4677566	0.0814220	1.0921980	0.3916362	0.0381355	0.0022991	0.7904876	0.1291295	0.4864129
250	0.3892072	0.8614601	0.3856338	0.3400455	0.4773997	0.1977493	0.0735056	0.4694028	0.5077658	0.2111685	0.1309784	0.6151474	0.1324677	0.8579698	0.2526444	0.3602218	0.6062538	0.3056209	0.0856896	0.0661712	0.4561567	0.8091709	0.5378887	0.9414953	0.0396897	0.0010176	0.0053505	0.4417410	0.4067253	0.0889076	0.3348382	0.9946165	0.9060565	0.8818864	0.7798963	0.7740847	0.2053256	0.0015356	0.7623597	0.3891791	0.9293030	0.6996597	0.5821650	0.3524429	0.0128899	0.5713142	0.9677876	0.5517121	0.7295398	0.5695389	0.0705945	0.8771992	0.8316529	0.8914673	0.3708556	0.4898604	0.1792568	0.8092048	0.2789513	0.1521599	0.6451508	0.9223873	0.4150647	0.4975622	0.1744576	0.4658648	0.2815558	0.3139597	0.7077437	0.5650267	0.7927037	0.6335367	0.2475903	0.7695075	0.8448515	0.2556068	0.5320212	0.9454620	0.5394928	0.7109885	0.0016247	0.5675320	0.9350454	0.7644528	0.0594915	0.9930160	0.5613905	0.1144558	0.9537615	0.4038950	0.4312999	0.4420514	0.0343296	1.0617128	0.2754428	0.0605619	0.0007218	0.8439312	0.1489260	0.6260510
300	0.3783684	0.8500728	0.4351368	0.3413799	0.4204221	0.1167513	0.0612507	0.3635380	0.5207570	0.3166844	0.0847620	0.5830426	0.1199369	0.9004182	0.1735040	0.4166124	0.6233636	0.3249524	0.0443722	0.0709380	0.3894157	0.6670453	0.6905298	0.9288367	0.0339171	0.0014236	0.0036282	0.4480691	0.4613712	0.2491038	0.3952424	0.9769862	0.8134496	0.9140594	0.6659200	0.9198917	0.2166196	0.0033377	0.7496440	0.4054766	0.9888379	0.6445815	0.6986609	0.4736146	0.0089761	0.6362003	0.8787636	0.5276049	0.7210839	0.5869483	0.0460455	0.9877762	0.9389438	0.9072363	0.4202349	0.5712780	0.4003108	0.7739226	0.3190572	0.2995638	0.6311391	0.9490122	0.4460908	0.5292167	0.1692599	0.4219042	0.4617657	0.5158622	0.6721802	0.4760441	0.7928408	0.6732590	0.2630172	0.7604430	0.9071293	0.2880969	0.5357165	1.0450699	0.5680750	0.6577762	0.0008931	0.7551967	1.0095191	0.8357684	0.0558423	0.9339347	0.4832968	0.1449738	1.0011510	0.3811926	0.4121862	0.4338775	0.0254710	1.0625933	0.2806912	0.0859828	0.0000891	0.8644211	0.1803353	0.6015684
350	0.4204504	0.8185556	0.4771178	0.2655012	0.4490327	0.0729427	0.0753880	0.3468592	0.5580853	0.3735849	0.0785834	0.5868540	0.0975648	0.9170286	0.1672810	0.5473573	0.5251851	0.3580033	0.0891980	0.0785637	0.2706060	0.6791431	0.7429345	0.8985239	0.0284267	0.0027649	0.0027259	0.5483547	0.4772384	0.3161926	0.4107620	0.9004441	0.6944024	0.8024398	0.6223549	0.8863330	0.1829491	0.0045444	0.6640883	0.4359200	0.8685140	0.7227660	0.7327928	0.4888707	0.0034517	0.6301131	1.0297688	0.5349690	0.7583447	0.6402201	0.0336410	0.9196206	0.9896789	0.8548324	0.3173961	0.5086627	0.5054083	0.8984760	0.3093306	0.5237541	0.5094181	0.9100560	0.4420202	0.5028240	0.1741684	0.3780294	0.4642270	0.7135374	0.7213848	0.5378452	0.7581141	0.8107765	0.2935324	0.7830228	0.9581191	0.2618613	0.3724251	0.9183144	0.6080456	0.4900441	0.0055349	0.7164431	0.9356760	0.9987862	0.0377096	0.9692765	0.4769424	0.1640732	1.0151937	0.3355647	0.3723451	0.4426051	0.0074883	0.9920199	0.2039044	0.0468572	0.0017776	0.9031387	0.1777348	0.7109654
400	0.3972845	0.8581838	0.4445529	0.2515394	0.4860090	0.0713213	0.0947486	0.3398744	0.5952737	0.3841433	0.0462918	0.5804200	0.0810477	1.0215315	0.1479900	0.5425646	0.5129412	0.3484586	0.1221381	0.1075032	0.3014399	0.6195469	0.7513542	0.9984243	0.0245584	0.0078206	0.0109493	0.5302081	0.5097428	0.3074884	0.4450415	0.9174614	0.6467038	0.8138193	0.4998582	0.8535645	0.1881767	0.0041700	0.6806777	0.4461771	0.8628867	0.6299772	0.7110856	0.5328164	0.0100414	0.7161538	0.9673852	0.5530040	0.7685840	0.7030921	0.0532735	0.7983966	0.9230600	0.8305673	0.2699043	0.4124523	0.3629455	0.8307794	0.2616880	0.6232948	0.5123376	0.9234573	0.4417210	0.4490989	0.1754278	0.3937398	0.4379223	0.7981972	0.6272862	0.6358615	0.7489787	0.7805411	0.3127100	0.7056024	1.0005157	0.3502052	0.3184424	0.9212893	0.5829624	0.3820488	0.0093275	0.8249912	0.9806329	0.9692098	0.0483530	0.9553066	0.4536245	0.1876602	0.9546388	0.3937191	0.3863948	0.3964621	0.0044330	1.0126269	0.1892828	0.0637868	0.0008139	0.9085646	0.1870878	0.7040401
