"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G68A	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.0061295	0.7682208	0.0427543	0.8320039	0.3324707	0.4516886	0.0249243	0.4965074	0.9981040	0.0468337	0.3776491	0.7873310	0.0179724	0.9999966	0.0237937	0.6152360	0.9404801	0.1915302	0.1283783	0.5274590	0.0020946	0.0444496	0.1001541	0.5120866	1.0000000	0.2834709	0.6668613	0.5393958	0.9554419	0.6805649	0.6418522	0.2454548	0.9999983	0.0776777	0.6632186	0.1752229	0.9514751	0.4718094	0.1511398	0.8911464	0.2596033	0.6020237	0.9897954	0.2959672	0.6363665	0.4345476	0.6012116	1.0000000	0.5767508	0.1872672	0.5416855	0.0422024	0.7548308	0.9978814	0.4829822	0.1398852	0.0599118	0.4757023	0.4761716	0.2561943	0.2970108	0.4398617	0.0750978	0.1628321	0.1606590	0.5300104	0.9999794	0.8172295	0.9948239	0.5924792	0.7154151	0.1412750	0.3039005	0.3119539	0.6384286	0.4807052	0.5048940	0.5341040	0.8155040	0.8712003	0.5484156	0.4707216	0.3645512	0.5676626	0.3492485	0.2516037	0.5659199	0.9065527	0.6386180	0.4230167	0.6643647	0.3355184	0.2875010	0.9525000	0.8191098	0.5898060	0.6215424	0.0031709	0.5602658	0.3526765
50	0.0061282	0.7680623	0.0427720	0.8424537	0.3528882	0.6270524	0.0249002	0.4965069	0.9981331	0.0458194	0.4937815	0.8360821	0.0222290	0.6202305	0.0237937	0.6149615	0.7890361	0.1911470	0.5919379	0.5274586	0.0020319	0.0424188	0.1082441	0.3844617	1.0000000	0.1955370	0.6660307	0.5131890	0.9630722	0.6829968	0.7060220	0.2453738	0.9999983	0.0794183	0.7031794	0.1773506	0.8835494	0.4717912	0.1511120	0.8853653	0.3631865	0.6015106	0.9705136	0.2952828	0.6363741	0.4379940	0.6005133	1.0000000	0.5768066	0.2848602	0.5416440	0.0421745	0.8224200	0.9986620	0.4702297	0.1312904	0.0595324	0.4738075	0.3703134	0.3178896	0.2917024	0.3696216	0.0745715	0.1364229	0.2409476	0.5299732	0.9999772	0.8172225	0.7442146	0.7139321	0.7163500	0.1105890	0.4311622	0.3659492	0.6392071	0.4888312	0.5250684	0.4428161	0.8119152	0.8715095	0.5487244	0.4750917	0.5273261	0.5678432	0.3511111	0.2358552	0.6659911	0.6919146	0.6497345	0.4224717	0.6678000	0.3356326	0.2808348	0.9376036	0.8196204	0.5996995	0.6292646	0.0029180	0.5748782	0.5113551
100	0.0061234	0.7612595	0.0440422	0.8034654	0.4341268	0.8117467	0.0246597	0.4964950	0.9982942	0.0438685	0.5766809	0.8758585	0.0883075	0.3974885	0.0237948	0.6100170	0.7036823	0.1906418	0.8251595	0.5274643	0.0023321	0.0675322	0.1900284	0.2297111	1.0000000	0.0998393	0.6616819	0.4902807	0.9707854	0.6965695	0.7786998	0.2411778	0.9999981	0.0830976	0.8191755	0.1889137	0.8171274	0.4710513	0.1508911	0.8770562	0.4512612	0.5812692	0.8416579	0.2908963	0.6364012	0.4628160	0.5978058	1.0000000	0.5779769	0.4094981	0.5418113	0.0430009	0.8763406	0.9994125	0.4560838	0.1107033	0.0568047	0.4611388	0.2025527	0.4553851	0.2722557	0.2997898	0.0739997	0.1102271	0.3058470	0.5316042	0.9999535	0.8180531	0.5021601	0.8161950	0.7201338	0.0521200	0.5453990	0.3923404	0.6399834	0.5275854	0.5491365	0.3467462	0.8002489	0.8736418	0.5515353	0.5214428	0.6849668	0.5681112	0.3606817	0.1699559	0.7293134	0.4753955	0.6846698	0.4194391	0.6934780	0.3380446	0.2598492	0.9105423	0.8333406	0.6232088	0.6504991	0.0022353	0.6504279	0.6901668
150	0.0061189	0.7257636	0.0609954	0.6896094	0.5070718	0.9019229	0.0242853	0.4964519	0.9984938	0.0428521	0.6098310	0.7773604	0.2642834	0.3359193	0.0238340	0.5989065	0.6806852	0.2009330	0.8756078	0.5278202	0.0051220	0.0944459	0.4145354	0.1413911	1.0000000	0.0468383	0.6559284	0.4801223	0.9750364	0.7169351	0.8291279	0.2296852	0.9999977	0.0859234	0.8966337	0.2048172	0.7841987	0.4628629	0.1506892	0.8743311	0.4767955	0.5044592	0.6778771	0.2835970	0.6364242	0.4874423	0.5946982	1.0000000	0.5819624	0.4995737	0.5430177	0.0420760	0.9121529	0.9997706	0.4602293	0.1034760	0.0539492	0.4313741	0.1001623	0.5517910	0.2545654	0.2354269	0.0862296	0.0537860	0.3220654	0.5360572	0.9995806	0.8246667	0.3856997	0.8550766	0.7184502	0.0203510	0.5802965	0.4087771	0.6204077	0.5731727	0.5412924	0.2900716	0.7910294	0.8815195	0.5502333	0.5809681	0.7511443	0.5625329	0.3733385	0.1065367	0.7541974	0.3612021	0.7093975	0.4125662	0.7426598	0.3461991	0.2411206	0.8920757	0.8566138	0.6471674	0.6865862	0.0016817	0.7223839	0.8033887
200	0.0061162	0.6113373	0.1208229	0.6054947	0.5464215	0.9329011	0.0239914	0.4963836	0.9986342	0.0424318	0.6308538	0.6598573	0.4397182	0.3214015	0.0250729	0.6010688	0.6725705	0.2278643	0.8835929	0.5342256	0.0109521	0.1077717	0.6664237	0.1023542	1.0000000	0.0217961	0.6513184	0.4758320	0.9774603	0.7363775	0.8601917	0.2125274	0.9999971	0.0923347	0.9337650	0.2184539	0.7512079	0.4275256	0.1514212	0.8754438	0.4586198	0.3735565	0.4827574	0.2742355	0.6364370	0.4943221	0.5919996	1.0000000	0.5885480	0.5536729	0.5450500	0.0370976	0.9342582	0.9999150	0.4683295	0.1098666	0.0574524	0.4041185	0.0630970	0.6072245	0.2430472	0.2050220	0.1043236	0.0228577	0.3222298	0.5388949	0.9877870	0.8415566	0.3379293	0.8026128	0.7074969	0.0082325	0.5741563	0.4262032	0.5753519	0.6074887	0.5300187	0.2507135	0.7828346	0.9022143	0.5364108	0.6266066	0.7626137	0.5526408	0.3716371	0.0714172	0.7700627	0.2950806	0.7195268	0.4002537	0.7851195	0.3570629	0.2253482	0.8780974	0.8738992	0.6606258	0.7211565	0.0014317	0.7648252	0.8802221
250	0.0061159	0.4374586	0.2099737	0.5639722	0.5680563	0.9348954	0.0238187	0.4963131	0.9987116	0.0422544	0.6441967	0.5989571	0.5499985	0.3181691	0.0495571	0.6445131	0.6685293	0.2593638	0.8839598	0.5839770	0.0163847	0.1087113	0.8274436	0.0869533	0.9999996	0.0106808	0.6483770	0.4738769	0.9790332	0.7512684	0.8769336	0.1938489	0.9999960	0.1001378	0.9487583	0.2348617	0.6643042	0.3657253	0.1565064	0.8834899	0.4207472	0.2281484	0.3192487	0.2582725	0.6364465	0.4902618	0.5898850	1.0000000	0.5984508	0.5817559	0.5467991	0.0292426	0.9435581	0.9999693	0.4765905	0.1227846	0.0668864	0.4039745	0.0674764	0.6435973	0.2353652	0.2187862	0.1180441	0.0131999	0.3181992	0.5380529	0.9494843	0.8678842	0.3194764	0.6703066	0.6948967	0.0042045	0.5621427	0.4431823	0.5307890	0.6299874	0.5240880	0.2215282	0.7749179	0.9265661	0.5092817	0.6631159	0.7509206	0.5454194	0.3483655	0.0573961	0.7911227	0.2382095	0.7231084	0.3899795	0.8083561	0.3657796	0.2098523	0.8614529	0.8800653	0.6652695	0.7445424	0.0014087	0.7849044	0.9301781
300	0.0062317	0.2959982	0.2923760	0.5461005	0.5831902	0.9222827	0.0237297	0.4962562	0.9987498	0.0421767	0.6501137	0.5731556	0.6052664	0.3173208	0.1784520	0.7303220	0.6688977	0.2842577	0.8831916	0.6979998	0.0185075	0.1044796	0.9055010	0.0813975	0.9999987	0.0058878	0.6467020	0.4729472	0.9801095	0.7611656	0.8849902	0.1786530	0.9999940	0.1059593	0.9540021	0.2688415	0.5498455	0.3040758	0.1708272	0.9027422	0.3888532	0.1201747	0.2178021	0.2338082	0.6365683	0.4847266	0.5883817	1.0000000	0.6153112	0.5941146	0.5476228	0.0217028	0.9442986	0.9999889	0.4988138	0.1356615	0.0731027	0.4278677	0.1130066	0.6690609	0.2304818	0.2470162	0.1258481	0.0087262	0.3153937	0.5347231	0.9170844	0.8972689	0.3125438	0.5653672	0.6859448	0.0028999	0.5541339	0.4576378	0.5009394	0.6433823	0.5218189	0.2010581	0.7697261	0.9450234	0.4731044	0.6909255	0.7251526	0.5416600	0.3159926	0.0547688	0.8218271	0.1924340	0.7264301	0.3813064	0.8188836	0.3748722	0.1950407	0.8449204	0.8656531	0.6670797	0.7558682	0.0015329	0.7947947	0.9587646
350	0.0105569	0.2125129	0.3506714	0.5388106	0.5940738	0.9055960	0.0236867	0.4962169	0.9987678	0.0421436	0.6519356	0.5630319	0.6307690	0.3125141	0.3965935	0.8223598	0.6717304	0.3000505	0.8824699	0.8117458	0.0179388	0.1003640	0.9384222	0.0799558	0.9999979	0.0038511	0.6458052	0.4725094	0.9808305	0.7670886	0.8885314	0.1685630	0.9999917	0.1092718	0.9555591	0.3258283	0.4558211	0.2595248	0.1931416	0.9287433	0.3718202	0.0592810	0.1639450	0.2060832	0.6378759	0.4814422	0.5874121	1.0000000	0.6409482	0.5977924	0.5477704	0.0164810	0.9414232	0.9999956	0.5353978	0.1458214	0.0691045	0.4655984	0.2178051	0.6867300	0.2289106	0.2673776	0.1296153	0.0053384	0.3177261	0.5308154	0.8978391	0.9225957	0.3099318	0.5099714	0.6809286	0.0024024	0.5470009	0.4692521	0.4840192	0.6503400	0.5210518	0.1870449	0.7690427	0.9564977	0.4357885	0.7088614	0.6818422	0.5398843	0.2903650	0.0588771	0.8536352	0.1644332	0.7354401	0.3726562	0.8240805	0.3916051	0.1828095	0.8327655	0.8214311	0.6689643	0.7569074	0.0016937	0.8026376	0.9735453
400	0.0402719	0.1695318	0.3866122	0.5358899	0.6008373	0.8925255	0.0236668	0.4961925	0.9987761	0.0421306	0.6522773	0.5591950	0.6553311	0.2855190	0.5934396	0.8859281	0.6737649	0.3100877	0.8819808	0.8877887	0.0164973	0.0977607	0.9508623	0.0801476	0.9999976	0.0030036	0.6453435	0.4723098	0.9812891	0.7703496	0.8899321	0.1626532	0.9999897	0.1106241	0.9558199	0.3954079	0.3927260	0.2341838	0.2162511	0.9513013	0.3648717	0.0299362	0.1374631	0.1816989	0.6415720	0.4805769	0.5868195	1.0000000	0.6719841	0.5978063	0.5477338	0.0135188	0.9384200	0.9999976	0.5694246	0.1522564	0.0599451	0.5051399	0.3319266	0.7009724	0.2348559	0.2747609	0.1310875	0.0033660	0.3263567	0.5276038	0.8855308	0.9407697	0.3088907	0.4848309	0.6784598	0.0021533	0.5378973	0.4781573	0.4745161	0.6534090	0.5207950	0.1778788	0.7724805	0.9634289	0.4049373	0.7186519	0.6280210	0.5390092	0.2869444	0.0686869	0.8779307	0.1502388	0.7481815	0.3653779	0.8272863	0.4135136	0.1740969	0.8256199	0.7648851	0.6710431	0.7507842	0.0018162	0.8097225	0.9806826
