"G_i"	"G_j"
11	19
11	41
37	41
11	37
11	43
41	43
19	41
45	46
19	43
37	43
19	37
11	22
4	43
22	44
4	11
4	41
10	11
10	19
10	41
10	43
30	46
34	46
4	19
4	37
10	37
11	44
11	45
16	41
22	37
30	45
34	45
44	45
3	34
5	41
16	37
30	34
5	43
11	16
11	30
11	46
16	27
16	39
16	43
22	45
27	37
27	41
32	37
35	45
39	41
4	10
5	11
11	27
11	31
11	32
11	48
20	35
22	27
22	38
27	39
29	41
30	31
30	35
30	37
32	41
34	35
34	37
35	46
37	39
37	45
37	46
44	46
45	48
1	45
1	46
2	20
3	30
5	37
7	37
8	16
8	37
8	41
11	35
11	39
16	19
16	22
16	32
20	45
22	31
22	41
22	43
22	48
25	32
25	41
25	43
27	32
27	43
29	37
31	45
31	46
32	34
