"G_i"	"G_j"
20	47
36	47
20	36
6	47
23	47
12	47
21	47
6	36
12	36
23	36
5	36
21	36
6	21
6	23
19	36
20	23
21	23
12	20
6	20
9	36
12	21
19	47
36	44
5	9
5	11
20	21
20	48
36	48
6	12
9	11
11	36
12	19
19	20
19	21
47	48
5	44
6	19
13	14
5	47
6	48
9	44
11	44
33	47
5	23
13	20
13	36
13	47
19	23
19	48
23	48
36	42
42	47
5	20
12	13
20	24
21	48
24	47
6	42
9	20
9	23
9	41
11	29
12	23
13	21
18	47
20	22
20	41
20	42
20	44
21	42
22	36
22	47
23	33
24	36
36	41
37	47
41	47
5	29
5	35
5	41
6	13
6	25
7	9
7	41
9	22
9	29
9	35
9	47
11	20
11	22
11	35
11	41
12	14
12	48
16	47
22	23
23	24
23	41
23	42
25	33
