"G_i"	"G_j"
3	33
3	36
3	19
3	49
33	49
26	27
33	36
3	34
3	25
3	35
3	46
8	22
33	35
3	32
13	36
22	33
22	36
32	49
36	49
3	8
3	18
3	22
8	33
11	26
13	22
19	36
36	46
3	12
3	13
3	26
4	33
8	13
8	35
8	36
13	46
18	49
19	34
22	35
25	32
34	36
35	36
3	4
3	29
4	49
6	22
8	46
11	27
12	33
13	33
13	35
15	26
15	27
18	22
18	24
19	32
19	49
22	24
22	43
22	46
22	49
25	49
26	49
32	33
32	34
3	43
4	19
6	8
8	20
15	41
18	33
19	33
20	22
24	49
25	26
25	33
26	33
33	46
34	49
35	46
1	40
3	6
3	37
4	32
4	36
6	13
6	33
6	35
6	36
6	46
8	43
11	12
11	15
11	16
12	49
16	26
16	27
18	36
19	26
24	33
32	36
