"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G67A	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.7188531	0.0791387	0.2349247	0.5863463	0.0286048	0.4547686	0.3157219	0.4516904	0.0998617	0.6197337	0.4394136	0.0070028	0.1247436	0.0439296	0.2635953	0.2551190	0.4118678	0.4120258	0.4106007	0.3461590	0.5863529	0.3147957	0.5947654	0.7340090	0.0048313	0.4570937	0.3351508	0.3804807	0.1836255	0.3619462	0.5709085	0.0187438	0.5611526	0.2436211	0.5874546	0.1006975	0.3262021	0.3657310	0.7401317	0.3056444	0.2329484	0.5130158	0.2297500	0.6839178	0.0150675	0.3423990	0.2951213	0.0240768	0.1722651	0.4192180	0.5459082	0.5067921	0.1682712	0.0861836	0.5882629	0.3156631	0.0829349	0.2201234	0.2747206	0.2663664	0.0104423	0.0574332	0.1028780	0.1876180	0.3271261	0.7487420	0.3127560	0.1406165	0.3012427	0.1553752	0.4435696	0.0290025	0.6135020	0.1043954	0.3395070	0.6028222	0.2522350	0.6522530	0.2541112	0.0927829	0.0421310	0.1372440	0.7008678	0.0446385	0.7216578	0.3803087	0.5070592	0.1378366	0.1868679	0.6571962	0.6503811	0.6797165	0.3019335	0.5715966	0.2310927	0.0205786	0.6167295	0.6391338	0.6071368	0.3132926
50	0.3246155	0.0685271	0.2661313	0.5578402	0.2696053	0.5891740	0.2377059	0.1899134	0.1227205	0.6052005	0.5297520	0.0014145	0.1357419	0.0234559	0.2774427	0.1988932	0.2964659	0.3769944	0.4077658	0.4498906	0.3243796	0.2868451	0.7050186	0.6277268	0.3132486	0.2528790	0.2755552	0.3394617	0.3126717	0.3023601	0.7181783	0.0369887	0.6427641	0.1721020	0.3098329	0.1228630	0.3857292	0.4788860	0.5956331	0.2422066	0.0855396	0.3634016	0.2175466	0.6458739	0.0190786	0.2242873	0.2604540	0.0218670	0.1360948	0.3559067	0.4650611	0.6003254	0.1423276	0.1555882	0.6634847	0.3455798	0.1272374	0.1700464	0.2704490	0.1664753	0.0033482	0.0475901	0.1324536	0.3041512	0.2472482	0.5511476	0.2085924	0.2167716	0.2641767	0.1480745	0.3733374	0.0178188	0.6444403	0.1067416	0.1855952	0.4224660	0.2629715	0.5967143	0.2689233	0.0634780	0.0425352	0.1088813	0.6419831	0.0571435	0.7047987	0.3140747	0.3994699	0.1349988	0.1514791	0.6031366	0.8392898	0.5696690	0.2557872	0.5835831	0.3003673	0.1332592	0.6795459	0.5402529	0.3794285	0.3204903
100	0.1437322	0.0336083	0.2089282	0.6370203	0.3559431	0.5834569	0.2215250	0.1707626	0.1479684	0.5991037	0.5256294	0.0000490	0.1141758	0.0037673	0.2839005	0.2014759	0.2462195	0.4306315	0.4117968	0.4162049	0.3448630	0.3305541	0.6348992	0.5582971	0.5066393	0.1534491	0.3382728	0.3561634	0.4308646	0.3586552	0.6163516	0.0895152	0.6279376	0.1066778	0.1910584	0.1732770	0.2957423	0.5598027	0.5927790	0.4629479	0.0504659	0.5828381	0.2170752	0.6162665	0.0162088	0.2422905	0.2951848	0.0335864	0.1308668	0.2728744	0.3723484	0.4944520	0.2437436	0.1515276	0.6984253	0.3391538	0.1282951	0.2577366	0.2523403	0.2257384	0.0016668	0.0112755	0.1193965	0.1880309	0.3001572	0.3349649	0.2088279	0.2093853	0.3559254	0.1672345	0.4318862	0.0194693	0.5525245	0.1220289	0.2443086	0.4371772	0.2287260	0.6404839	0.2043641	0.0927626	0.0779386	0.0860947	0.7645898	0.0680679	0.6837442	0.3989760	0.4257864	0.1466848	0.1261289	0.5460145	0.6896988	0.5082916	0.2871462	0.5496259	0.3246903	0.2847597	0.5842352	0.4626594	0.4648599	0.2976443
150	0.0362006	0.0552513	0.3090349	0.6005957	0.4173312	0.6659978	0.2219607	0.1188369	0.1920539	0.6088278	0.5855139	0.0002142	0.2001698	0.0011660	0.3025632	0.2346641	0.1768367	0.3874417	0.5885389	0.3741367	0.4004456	0.3117066	0.6586805	0.3504807	0.4616518	0.0953727	0.4190070	0.4346013	0.3809322	0.3481079	0.5279952	0.1388338	0.6423544	0.1141115	0.1313336	0.1485491	0.2789130	0.5579384	0.6112943	0.4803415	0.0602648	0.5592617	0.2241924	0.5680852	0.0245317	0.2901654	0.2544869	0.0211034	0.1353165	0.2467373	0.4161325	0.6160422	0.2085036	0.1519800	0.6251300	0.4014598	0.1022825	0.2419951	0.2845754	0.2995095	0.0148319	0.0133245	0.2039884	0.1467059	0.3166585	0.4691161	0.2580051	0.2171136	0.4898269	0.1705299	0.4922933	0.0112475	0.5985593	0.1448418	0.1745607	0.5859779	0.1663741	0.6765644	0.4634052	0.0924731	0.0578221	0.0578581	0.7519560	0.1044380	0.7678642	0.4419685	0.4796118	0.1264470	0.0878616	0.5494958	0.6817941	0.6138332	0.2721346	0.6611643	0.2304794	0.2226203	0.5946890	0.5478051	0.3201237	0.2599151
200	0.0128690	0.0765667	0.3016831	0.6144964	0.4122555	0.5870883	0.2576577	0.1604778	0.1446627	0.5115470	0.5224643	0.0000940	0.1299290	0.0008923	0.3037770	0.3135224	0.2585071	0.3173141	0.5802873	0.3589776	0.4399791	0.3716552	0.6757793	0.2672778	0.6105123	0.0279698	0.3427440	0.4957096	0.4101433	0.3514462	0.6584263	0.1766050	0.6592280	0.2103891	0.1263136	0.1666288	0.2759089	0.6026957	0.5594764	0.6229699	0.0266440	0.5688870	0.1838262	0.6125827	0.0513015	0.2957174	0.2615781	0.0289031	0.2394622	0.2710554	0.3836477	0.6043206	0.2282893	0.1721549	0.5348869	0.2466942	0.1580356	0.3232481	0.2231510	0.3347337	0.0058259	0.0132031	0.2248636	0.1606340	0.2453938	0.4702155	0.2245038	0.2299752	0.3946838	0.1482068	0.5067037	0.0153080	0.7263672	0.1453840	0.2351698	0.5568114	0.1869771	0.6389540	0.4144340	0.1500817	0.0642793	0.1150247	0.4800548	0.1516143	0.6082833	0.4171622	0.3995637	0.1119417	0.0849025	0.7285243	0.6430634	0.5828619	0.3059560	0.6154251	0.2835584	0.3179760	0.6909715	0.5541297	0.3837004	0.2845757
250	0.0028518	0.0366555	0.2973750	0.6725650	0.3984711	0.5830408	0.2303655	0.0957766	0.2755668	0.6141919	0.5098828	0.0001815	0.1067052	0.0012922	0.2553185	0.2520149	0.2782744	0.4766582	0.5659995	0.3803136	0.3777586	0.3750803	0.5950099	0.3010382	0.5775664	0.0296596	0.2642008	0.3612558	0.4382075	0.3914459	0.6671280	0.1433974	0.5812296	0.2080321	0.1398534	0.1717951	0.3052342	0.5191427	0.4661469	0.5582688	0.0109282	0.5669025	0.2138725	0.5567275	0.0413961	0.2553368	0.1377702	0.0675628	0.0916998	0.2386664	0.3882792	0.5994327	0.1887648	0.1905345	0.5863981	0.2708466	0.1143387	0.3971390	0.2370840	0.3290469	0.0102006	0.0092703	0.1510186	0.2151725	0.3143851	0.4643599	0.2111722	0.2786582	0.4170385	0.1303149	0.3632533	0.0259178	0.7406385	0.1282224	0.2293290	0.5219246	0.2567975	0.4990557	0.4976628	0.0980921	0.0923173	0.0410458	0.5964278	0.1599035	0.6126777	0.3659316	0.3483328	0.1089234	0.0600192	0.6577302	0.6628191	0.6065354	0.2968386	0.5282618	0.2516311	0.2968213	0.5757680	0.6812490	0.3445046	0.3206135
300	0.0007966	0.0925472	0.3243540	0.4769614	0.4340995	0.6721235	0.2133020	0.2142610	0.2286240	0.5520576	0.5219809	0.0006396	0.1361733	0.0002139	0.2599944	0.2244715	0.3499910	0.4531205	0.5049897	0.4170752	0.3350416	0.3607713	0.6567301	0.2892072	0.6590156	0.0278789	0.2519649	0.4610155	0.4897488	0.3205953	0.7814527	0.1346894	0.6732008	0.1710774	0.1257647	0.1590119	0.2906970	0.5948933	0.6171614	0.6789205	0.0238642	0.5166151	0.2766323	0.7040516	0.0205536	0.2275396	0.0950888	0.0288630	0.1392257	0.2017433	0.3570253	0.6704387	0.1556690	0.1304374	0.5610825	0.1807527	0.1632594	0.4093413	0.2185184	0.2603430	0.0105483	0.0023578	0.1389367	0.2350185	0.2811594	0.4646652	0.2690855	0.1748648	0.4678785	0.1775043	0.4147473	0.0139905	0.6616053	0.1076624	0.1949480	0.3891237	0.1402162	0.6137609	0.5844964	0.2109108	0.0721166	0.0573543	0.5887453	0.1496828	0.5724713	0.5059974	0.3928294	0.1548963	0.0651505	0.5900863	0.5608948	0.6306735	0.4944297	0.6252735	0.3740221	0.3243642	0.6318182	0.5632890	0.3891396	0.2486745
350	0.0013093	0.0367884	0.3052199	0.5789430	0.3814915	0.6610284	0.2171530	0.2178824	0.2059550	0.4813680	0.5064497	0.0000227	0.1868039	0.0026601	0.2206581	0.2652667	0.2376769	0.4734665	0.3358891	0.3821604	0.3981601	0.3075300	0.6022896	0.2914194	0.6086701	0.0521879	0.2166440	0.5066739	0.4686329	0.2963395	0.6749906	0.1779699	0.6322723	0.1419323	0.1123294	0.1382619	0.2694317	0.6660013	0.5762464	0.5727544	0.0132108	0.5309058	0.1709509	0.5665668	0.0145624	0.2148101	0.1531011	0.0677214	0.0934904	0.2367937	0.4409591	0.5889136	0.1691052	0.1952894	0.6312411	0.1626251	0.1231894	0.3559237	0.2600973	0.2957973	0.0000000	0.0026429	0.0806995	0.1717853	0.2710665	0.4915816	0.2512865	0.1861916	0.4859280	0.1900528	0.3686472	0.0304772	0.6151468	0.1322397	0.2162539	0.5009105	0.1481225	0.5706538	0.5601544	0.1256561	0.0828462	0.0677147	0.6872929	0.1167009	0.6164745	0.3698855	0.4502169	0.1449823	0.0725245	0.6587604	0.6113663	0.7606193	0.3253801	0.5808301	0.4291213	0.3158012	0.6849647	0.6761469	0.3805967	0.2149071
400	0.0016331	0.0688548	0.3455476	0.6715933	0.4513591	0.5709088	0.2131360	0.1673846	0.2729138	0.4916651	0.5846807	0.0001148	0.1492263	0.0000690	0.2475401	0.2506658	0.2783023	0.4125828	0.4930060	0.4243231	0.3900670	0.3153383	0.5755795	0.2827324	0.4891501	0.0366317	0.2985715	0.4610575	0.4574659	0.3114054	0.6351410	0.1573035	0.6423116	0.1308782	0.1281649	0.1273503	0.3763315	0.6137324	0.5268779	0.5448398	0.0145748	0.6018751	0.2146929	0.6635689	0.0235953	0.2099738	0.1215404	0.0309722	0.1439515	0.2683963	0.2700483	0.6148025	0.1553080	0.1343736	0.6908214	0.0771922	0.0963692	0.2757176	0.3152960	0.2232258	0.0087121	0.0025325	0.1204631	0.2396605	0.3031063	0.4227482	0.3187277	0.1952858	0.4966360	0.2174209	0.4886001	0.0180157	0.5295218	0.0792219	0.2531123	0.4487139	0.1800794	0.5669382	0.5240249	0.1875230	0.1172560	0.0526567	0.6125642	0.0863777	0.6246144	0.4473961	0.3848360	0.1168550	0.0593435	0.5836723	0.5817410	0.6015843	0.3612380	0.5568052	0.2966481	0.3025493	0.5201092	0.6401230	0.2741891	0.3054355
