"G_i"	"G_j"
6	36
6	39
6	22
6	37
29	30
6	49
36	39
6	38
11	25
36	38
6	28
16	39
25	36
6	11
6	25
11	36
14	30
16	25
21	25
25	39
39	49
6	15
6	16
6	21
11	16
11	38
11	39
14	29
16	49
18	30
22	37
25	38
38	39
6	35
7	36
9	25
11	49
14	18
15	36
16	36
16	38
21	27
22	39
25	27
25	46
25	49
37	39
6	7
6	29
6	32
6	40
6	46
9	11
11	23
18	29
23	25
28	36
29	36
35	37
36	40
36	49
38	49
4	43
6	9
6	34
9	16
9	36
9	38
9	39
9	49
11	46
14	15
14	19
18	44
19	29
19	30
21	36
22	36
27	36
28	35
36	37
39	40
3	21
3	25
3	27
4	6
5	6
6	13
6	14
6	23
6	27
7	22
9	23
9	27
11	27
13	25
13	49
14	21
14	36
15	16
