"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G67A	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.9982996	0.1272669	0.4186376	0.8113045	0.0735133	0.8286180	0.5275285	0.6180516	0.1534977	0.9082921	0.7060206	0.0224440	0.2250672	0.0905667	0.5327419	0.3164891	0.6005297	0.5423789	0.6252248	0.7039993	0.8378446	0.4640800	1.0000000	0.9997457	0.0074839	0.6889338	0.5105917	0.5012066	0.2492363	0.6325325	0.9999430	0.0138637	0.9982111	0.2201610	0.8738511	0.1732128	0.5545372	0.5706246	0.9920371	0.3591448	0.2881963	0.8039529	0.3181739	0.9470236	0.0330090	0.4401612	0.4381624	0.0633361	0.2329667	0.5537649	0.9858568	0.6276554	0.3074101	0.2313945	0.9997939	0.5133538	0.1352985	0.2778000	0.4388068	0.3456213	0.0061804	0.0565265	0.1569865	0.3909507	0.4002670	0.9730991	0.3952545	0.2716267	0.4368168	0.3107565	0.7180931	0.0294037	0.9474265	0.1534837	0.5176040	0.8601249	0.4466418	0.9999319	0.3538746	0.1280292	0.0897811	0.1717417	0.9785221	0.0920329	1.0000000	0.6768947	0.9143981	0.2186874	0.3043949	0.9999960	0.9762099	0.9919496	0.4733375	0.9562079	0.4577462	0.0298435	0.9635514	0.8719168	0.8430118	0.4133729
50	0.8096320	0.1272536	0.4187919	0.8136644	0.2641579	0.8460453	0.4753090	0.4454122	0.1535045	0.9072737	0.7186523	0.0142607	0.2250672	0.0656354	0.5256062	0.3165477	0.5044169	0.5426358	0.6339360	0.7007678	0.7284519	0.4643329	1.0000000	0.9874390	0.2979040	0.5833641	0.5105395	0.5065327	0.3997250	0.6323353	0.9999416	0.0178376	0.9982147	0.2195245	0.6581285	0.1733169	0.5503945	0.6866161	0.9921316	0.3689864	0.2129694	0.8041415	0.3182154	0.9450983	0.0330892	0.4401777	0.4376453	0.0633307	0.2329960	0.5470434	0.8209199	0.8522118	0.3073315	0.2344373	0.9998116	0.5166950	0.1385084	0.2850449	0.4340577	0.3519799	0.0057268	0.0530018	0.1573747	0.4307373	0.4002675	0.8790539	0.3952806	0.2742144	0.4471425	0.3098207	0.7178548	0.0298628	0.9484637	0.1549133	0.3827961	0.8648948	0.4459065	0.9999437	0.3537194	0.1278291	0.0863339	0.1691921	0.9788076	0.0945332	1.0000000	0.6765480	0.8195435	0.2165850	0.2978910	0.9999963	0.9842843	0.9911496	0.4737046	0.9725262	0.4577462	0.1151554	0.9624500	0.9233754	0.7570551	0.4133728
100	0.4662690	0.1263591	0.4238768	0.8484187	0.4668652	0.8598954	0.4156713	0.3091924	0.1540479	0.9018990	0.7937197	0.0062295	0.2250672	0.0354558	0.4868948	0.3179793	0.4071080	0.5481265	0.6732473	0.6806166	0.6340442	0.4686843	1.0000000	0.8768043	0.6252337	0.4132219	0.5092683	0.5388869	0.5599067	0.6281429	0.9998455	0.0573855	0.9982614	0.2156286	0.4278556	0.1753088	0.5278375	0.7845293	0.9909241	0.4581738	0.1298255	0.8082782	0.3192334	0.9317759	0.0342168	0.4393024	0.4235387	0.0633250	0.2323948	0.5084692	0.6800539	0.9431614	0.3067473	0.2442225	0.9998789	0.5316250	0.1526292	0.3285916	0.4153935	0.3849815	0.0059191	0.0356246	0.1690822	0.3697718	0.4002749	0.7912195	0.3949552	0.2913212	0.5041095	0.3023697	0.7188750	0.0352839	0.9561122	0.1695854	0.2875051	0.8735361	0.4254998	0.9999352	0.3527348	0.1277003	0.0860681	0.1553422	0.9802124	0.1220868	1.0000000	0.6747360	0.7198369	0.2095328	0.2604133	0.9999966	0.9927058	0.9823781	0.4850183	0.9842733	0.4577462	0.2380316	0.9626192	0.9560234	0.6639686	0.4133713
150	0.2175999	0.1223868	0.4458927	0.9039583	0.5730790	0.8783816	0.3811586	0.2506900	0.1570073	0.8942465	0.8649316	0.0023784	0.2250672	0.0170701	0.4369373	0.3236328	0.3621541	0.5650726	0.7194200	0.6497728	0.6015048	0.4800851	1.0000000	0.7114348	0.8086986	0.2453693	0.5040388	0.5886314	0.6480163	0.6140398	0.9984722	0.1380589	0.9984071	0.2091123	0.3059525	0.1842979	0.4910833	0.8262912	0.9799717	0.6012619	0.0819291	0.8219360	0.3231616	0.9099631	0.0368514	0.4314637	0.3791518	0.0631016	0.2281925	0.4553274	0.6073989	0.9632642	0.3050323	0.2522280	0.9999376	0.5342254	0.1645831	0.3941192	0.3998059	0.4315021	0.0068835	0.0196295	0.1849582	0.3008528	0.4002909	0.7479376	0.3930679	0.3269523	0.5782139	0.2864002	0.7212665	0.0381403	0.9678348	0.2087673	0.2675534	0.8498146	0.3685066	0.9998970	0.4086381	0.1322913	0.0940580	0.1359654	0.9820923	0.1892796	1.0000000	0.6702119	0.6714033	0.2027587	0.2058956	0.9999966	0.9970236	0.9538649	0.5192580	0.9886359	0.4577538	0.3363251	0.9684109	0.9663748	0.6044152	0.4133583
200	0.0923443	0.1167474	0.4791037	0.9444282	0.6194179	0.8937475	0.3626423	0.2367551	0.1637198	0.8866562	0.8945391	0.0008481	0.2250672	0.0077378	0.4009059	0.3337274	0.3503745	0.5894842	0.7550657	0.6229981	0.5936596	0.4942729	1.0000000	0.5849794	0.8940169	0.1453347	0.4955607	0.6327853	0.6932619	0.5926372	0.9923515	0.2161710	0.9986192	0.2020988	0.2543398	0.2035322	0.4589538	0.8433823	0.9537120	0.7111424	0.0574235	0.8415565	0.3297608	0.8909079	0.0392254	0.4105036	0.3311381	0.0621411	0.2209238	0.4113354	0.5568118	0.9668777	0.3021969	0.2573615	0.9999694	0.4286937	0.1719046	0.4546330	0.3953508	0.4651025	0.0079739	0.0123077	0.1895229	0.2718641	0.4003243	0.7275679	0.3872459	0.3639990	0.6341398	0.2684620	0.7228598	0.0363161	0.9774105	0.2520191	0.2832338	0.8016410	0.3072256	0.9998319	0.6016291	0.1462342	0.1076096	0.1193011	0.9837870	0.2601063	1.0000000	0.6614558	0.6524637	0.1974196	0.1583987	0.9999963	0.9988547	0.9087430	0.5578739	0.9900897	0.4579160	0.4041616	0.9746175	0.9687838	0.5625643	0.4133172
250	0.0375109	0.1120270	0.5057605	0.9666050	0.6384452	0.9013427	0.3512746	0.2474767	0.1732019	0.8798572	0.8908173	0.0002909	0.2250672	0.0033831	0.3816184	0.3454156	0.3530867	0.6137736	0.7785196	0.6055141	0.5917515	0.5066891	1.0000000	0.5123451	0.9303665	0.0984144	0.4871260	0.6622827	0.7182997	0.5715771	0.9801199	0.2695890	0.9988332	0.1957509	0.2375756	0.2278419	0.4411803	0.8518675	0.9238756	0.7766369	0.0449877	0.8597208	0.3367105	0.8789383	0.0404648	0.3813135	0.2974724	0.0602891	0.2131646	0.3835236	0.5182815	0.9667918	0.2990823	0.2607216	0.9999836	0.2962257	0.1748861	0.5005311	0.3979274	0.4811726	0.0089258	0.0100866	0.1872241	0.2674790	0.4003706	0.7157274	0.3761822	0.3807819	0.6677489	0.2569387	0.7236215	0.0325289	0.9833708	0.2666137	0.3098420	0.7561213	0.2679648	0.9997443	0.7358271	0.1684963	0.1237610	0.1075736	0.9851109	0.3006006	1.0000000	0.6498479	0.6439107	0.1938722	0.1252797	0.9999960	0.9995639	0.8663027	0.5817975	0.9905608	0.4587481	0.4474325	0.9783606	0.9685419	0.5321448	0.4132441
300	0.0151423	0.1090091	0.5211130	0.9772810	0.6464400	0.9022694	0.3431859	0.2666903	0.1832453	0.8741947	0.8728479	0.0000978	0.2250672	0.0014449	0.3728050	0.3557473	0.3596624	0.6334906	0.7928838	0.5956892	0.5909767	0.5157211	1.0000000	0.4762223	0.9450928	0.0791072	0.4806709	0.6787065	0.7331012	0.5558236	0.9651468	0.3011534	0.9990127	0.1905456	0.2352715	0.2488728	0.4364643	0.8571936	0.9021726	0.8125290	0.0384654	0.8727448	0.3421649	0.8726889	0.0408044	0.3527226	0.2761219	0.0579031	0.2065784	0.3687591	0.4919071	0.9658089	0.2964785	0.2629271	0.9999892	0.2134501	0.1724642	0.5331149	0.4026625	0.4870039	0.0096618	0.0098590	0.1839000	0.2713876	0.4004162	0.7066445	0.3611926	0.3763199	0.6866550	0.2546082	0.7233636	0.0287292	0.9866750	0.2504450	0.3358172	0.7224463	0.2533709	0.9996511	0.8017367	0.1927642	0.1391135	0.0997890	0.9860599	0.3057406	1.0000000	0.6382620	0.6375500	0.1921598	0.1039843	0.9999959	0.9998241	0.8382945	0.5869342	0.9907121	0.4605435	0.4739541	0.9798626	0.9674910	0.5118385	0.4131542
350	0.0063820	0.1073532	0.5286522	0.9820930	0.6500805	0.8993688	0.3370259	0.2837034	0.1920678	0.8698574	0.8547188	0.0000330	0.2250672	0.0006074	0.3690502	0.3633813	0.3656295	0.6476605	0.8013919	0.5905773	0.5905911	0.5216491	1.0000000	0.4596897	0.9508711	0.0719355	0.4763896	0.6866254	0.7419395	0.5461287	0.9514504	0.3189765	0.9991479	0.1866424	0.2373411	0.2618883	0.4393919	0.8608962	0.8901795	0.8317527	0.0348819	0.8806452	0.3456827	0.8697635	0.0406736	0.3293538	0.2618285	0.0554837	0.2018034	0.3618308	0.4761984	0.9647072	0.2947362	0.2643066	0.9999912	0.1728264	0.1664856	0.5560648	0.4067024	0.4884334	0.0101533	0.0102277	0.1818700	0.2760973	0.4004530	0.6989837	0.3451676	0.3632918	0.6975771	0.2585169	0.7185609	0.0258128	0.9884783	0.2222586	0.3562128	0.7000449	0.2550357	0.9995722	0.8323813	0.2129514	0.1512168	0.0945363	0.9866906	0.2875338	1.0000000	0.6287026	0.6314960	0.1918754	0.0903192	0.9999958	0.9999160	0.8244562	0.5784595	0.9907604	0.4628605	0.4900806	0.9801094	0.9663805	0.4995855	0.4130684
400	0.0030361	0.1065256	0.5321140	0.9841951	0.6518648	0.8953614	0.3323669	0.2950077	0.1988973	0.8667919	0.8417593	0.0000117	0.2250672	0.0002525	0.3674886	0.3683705	0.3698373	0.6570920	0.8063633	0.5880264	0.5904656	0.5253202	1.0000000	0.4525167	0.9530916	0.0695488	0.4737554	0.6900463	0.7471044	0.5410316	0.9409260	0.3289790	0.9992424	0.1839731	0.2397484	0.2668892	0.4449060	0.8634550	0.8848728	0.8420639	0.0328269	0.8848606	0.3476618	0.8685000	0.0403685	0.3116798	0.2514866	0.0533994	0.1987670	0.3588549	0.4681106	0.9637591	0.2938226	0.2651147	0.9999918	0.1551701	0.1599645	0.5722881	0.4089544	0.4883433	0.0104162	0.0106760	0.1813109	0.2795730	0.4004790	0.6926915	0.3306298	0.3512169	0.7042341	0.2644906	0.6839397	0.0239310	0.9895161	0.1966434	0.3700003	0.6861063	0.2634416	0.9995167	0.8473498	0.2267970	0.1595672	0.0908489	0.9870879	0.2606664	1.0000000	0.6217618	0.6260317	0.1924223	0.0812518	0.9999959	0.9999475	0.8197571	0.5639862	0.9907758	0.4650635	0.5000157	0.9798703	0.9654969	0.4927971	0.4130003
