G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G65A	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.1106818	0.0958103	1.0671713	0.4304275	0.7093536	0.8145006	0.5364873	0.9021045	0.1544767	0.6984646	0.8454686	0.9828415	0.0133845	1.0762743	0.3486302	0.4999549	0.0079003	0.3254661	0.5513302	0.7931696	1.0056313	0.4674996	0.8163718	0.5857081	0.6131274	0.9362147	0.0858795	0.4287467	0.2007234	0.0995911	0.8118097	0.3614293	0.0887931	0.0896516	0.2983951	0.2686220	0.7153624	1.0791556	0.0550615	0.4985778	0.5681978	0.9022602	0.3033039	1.0135630	0.2797801	0.1885060	0.3057956	0.6468633	0.7234392	0.0182793	0.8317528	1.0761296	0.3796445	0.5834261	1.0327284	0.8338989	0.4198607	1.0521632	0.9998945	0.6862973	0.4695837	0.1119480	0.7898887	0.2061359	0.0594134	0.6505028	0.1249295	0.5635668	0.5277901	0.3963950	0.5507919	0.0335160	1.0310467	0.3841168	0.6485374	0.8676964	0.6142234	0.1480009	1.0442336	0.2690348	0.6616474	0.0001741	0.0399678	0.6682446	0.0066056	0.2820062	0.4910051	0.5984104	0.6767450	0.0153261	0.3213263	0.5645038	0.4341093	0.3269067	0.0018090	0.1329073	0.8892231	0.5551612	0.9362622	0.9713243
0.5717450	0.0834293	0.7886044	0.6241693	0.5749491	0.3355218	0.6358827	0.9541033	0.0016386	0.3565256	1.0641427	0.1001887	0.0868022	1.0421219	0.0205222	0.2692339	0.0260113	0.2364174	0.7386657	0.8216349	0.5646874	0.1038793	0.3009688	1.1115507	0.4023721	1.0711722	0.0783866	0.4664063	0.1761258	0.0023198	0.7125398	0.4551661	0.0537204	0.5341864	0.1291141	0.2257488	0.4998940	0.3171227	0.3267052	0.6893703	0.6180282	1.0150467	0.2135093	1.0694622	0.9723476	0.5704166	0.0030421	0.0792454	0.7936029	0.3504341	0.4818688	0.4704124	0.2402953	0.7926006	0.9430306	0.6903861	0.9167831	0.9852456	0.5534097	0.8632324	0.0008030	0.7681281	0.8545863	0.6088629	0.2048543	0.7211803	0.5858542	0.1075277	0.0783304	0.8499666	0.3654628	0.0007995	0.9897632	0.3156612	0.7869378	0.9968266	0.8977804	0.0129087	0.8657640	0.0319394	0.3740191	0.0299917	0.6705297	0.9966615	0.1712868	0.2252187	0.5175366	0.7632616	0.3793309	0.0052406	0.6966522	0.1524091	0.7531592	0.7302321	0.1851418	0.3727239	1.0482890	0.5719433	0.9113538	0.7554305
0.5096723	0.2677948	0.9806750	0.3875151	0.2462005	0.6554010	0.3392935	0.8338666	0.0005920	0.7602213	0.9405620	0.8310996	0.0573785	0.8465868	0.0909497	0.4534628	0.1042355	0.1800326	0.6044785	0.7958105	0.8177250	0.0915576	0.3988398	0.4203243	0.2880243	0.7760121	0.0957193	0.8281835	0.0589361	0.0979645	0.9409373	0.7619023	0.7304018	0.4807895	0.1497018	0.1726769	0.8344610	0.9722630	0.1227690	1.0171733	0.5622745	0.8799782	0.0386878	1.0540533	0.7262903	0.3969792	0.5382382	0.2885668	0.7079085	0.5002885	0.4214393	0.8279315	0.2409017	1.0178873	1.0108906	0.8276059	0.5430656	0.9921536	0.9484144	0.5681349	0.0605793	0.5835266	1.0319880	0.4183697	0.0129633	0.7945648	1.0882323	0.1002864	0.6752593	0.1862057	0.5690749	0.0010723	0.7912378	0.4581769	0.8098447	0.9059939	0.7728025	0.0049357	0.9956864	0.2982496	0.3456039	0.3172116	0.1179066	1.0147025	0.0005993	0.9771876	0.8887599	0.4969359	0.5966893	0.1576615	0.4393584	0.6891231	0.5800208	0.5359715	0.5455288	0.1961085	0.8777273	0.8180632	0.9855243	0.7224277
0.6382097	0.1603322	1.0419302	0.1746608	0.2092123	0.7626636	0.4018826	0.3042093	0.1593820	0.5627479	1.0347278	0.9512217	0.5107254	0.5281423	0.5460739	0.4513413	0.0699685	0.5224025	0.3470207	0.5423454	0.6416143	0.2265577	0.7319038	0.9423015	0.5385552	0.9162789	0.0544376	0.9487510	0.0443239	0.0042531	0.9923172	0.6216869	0.5012829	0.4265029	0.1303752	0.2371877	0.4333057	1.0164458	0.0368935	0.5285011	0.5352397	0.8808225	0.2766900	0.9544529	0.1371916	0.1530675	0.3744114	0.5968063	0.5924589	0.4123376	0.7409036	1.0285197	0.4086785	0.8921189	0.9933686	0.8204570	0.6502706	0.8709127	0.8729967	1.0755882	0.4726294	0.7181434	0.7865845	0.8787741	0.4533717	0.5298331	0.8010247	0.5805716	0.9141556	0.5250218	0.9895077	0.0023843	0.3421372	0.4025924	0.4619726	0.2540128	0.3961607	0.0818967	0.7115595	0.0456661	0.0374129	0.5094888	0.0977292	0.9367470	0.2350493	0.3509325	0.5266109	0.8957704	0.8745166	0.1019251	0.2525836	0.8621143	0.9928510	0.2051032	0.0082313	0.0377365	0.9432145	0.1586386	0.7167297	0.1638460
0.4397422	0.2520428	0.8065148	0.9172239	0.8229984	0.5110326	0.5015161	0.9211860	0.3530008	0.5889162	0.5225427	0.7592010	0.0367278	0.9426356	0.0993706	0.3336935	0.0015104	0.2842585	0.7041076	0.7426435	0.8398987	0.2657864	0.8295354	0.4895851	0.3893694	1.0640341	0.0639562	0.5613927	0.1192447	0.1206719	0.6411051	0.3183602	0.1569542	0.2681453	0.2328042	0.2044991	0.5648668	0.2097437	0.5051718	0.8895842	0.3107309	0.6360871	0.3200093	1.1962264	0.6360667	0.0351230	0.0160802	0.2452635	0.8517102	0.0578653	0.3224607	0.8989159	0.8477403	0.9588316	0.5162943	0.7820351	0.7769641	1.0392912	0.6742226	0.9577893	0.0002917	0.4723733	1.0186671	0.6682352	0.1818419	0.8529287	0.4634954	0.3085768	0.4548816	0.3507373	0.4201910	0.0003234	0.8771217	0.3606781	0.8626184	0.8909167	1.0039668	0.3241307	0.6925276	0.1929162	0.1127991	0.7570488	0.0707254	1.0446919	0.6011567	0.9343874	0.1764447	0.8435529	0.8703382	0.1615839	0.0660571	0.1546233	0.8631017	0.6455912	0.0029665	0.1427847	0.9589274	0.5812265	0.6113430	0.5951136
0.0003481	0.1136787	0.7914255	0.9360791	0.9657824	0.6776256	0.4745256	0.6968382	0.0004429	0.7492329	0.9684365	0.9940907	0.1267738	0.7580694	0.4304143	0.4052203	0.0152637	0.3784249	0.5249904	0.7296764	1.0091871	0.1121921	0.4899846	0.7241163	0.1262031	1.0007488	0.0765598	0.2288198	0.5266685	0.5239835	0.6792323	0.3236509	0.0637605	0.0352375	0.6563179	0.5539970	0.4557748	0.8190490	0.2048071	0.4744668	0.3919947	0.5096048	0.4548015	1.0237848	0.1623347	0.0751320	0.0061205	0.1320943	0.7197279	0.0205015	0.4110376	0.5191953	0.4773509	0.9708219	1.0225293	0.6041554	0.8606728	0.8527601	0.9346120	0.7950216	0.0006446	0.2973767	0.4037177	0.0737817	0.2348084	0.9569473	0.2333872	0.9754015	0.3213447	0.2734960	0.6684544	0.0798878	0.6305207	0.9938047	0.6451771	0.7825969	0.3754363	0.0069955	1.0151147	0.0127076	0.9291414	0.1591213	0.4726405	0.9557328	0.0005208	0.8648403	0.2723913	0.6539917	0.0090935	0.0593416	0.6651938	0.6240480	0.7183649	0.7686783	0.0466370	0.3101312	1.0737967	0.5918232	0.8601185	0.4036892
0.4698762	0.1829413	0.8326112	0.8192531	0.5895143	0.8231786	0.6788414	0.8001951	0.0002100	0.1437264	0.9236984	0.9496828	0.2068668	0.6385801	0.5742060	0.7287478	0.0285995	0.5847514	0.3510414	0.6919370	0.9123614	0.1131092	0.4129918	0.3525153	0.0698202	0.8769460	0.1159304	0.4462286	0.1272854	0.0890913	0.6464736	0.3536196	0.1041502	0.3037387	0.3590853	0.2858192	0.7938321	0.1579858	0.3485053	1.0060881	0.2861162	0.6959056	0.2244603	0.9031874	0.1894760	0.0013686	0.0175747	0.2602479	0.6696296	0.2882091	0.0925328	0.9478556	0.4730023	0.9843324	0.6840477	0.6652859	0.9262677	0.6445226	0.9673902	0.8187735	0.0008710	0.9168836	0.9532270	0.5308187	0.5316687	0.3099115	0.0335520	0.6626996	1.0052799	0.1818149	0.1080068	0.0836750	0.5916344	0.9223144	0.5161907	0.8021592	0.9469863	0.0034822	1.0542839	0.0143121	0.5527401	0.0242356	0.2219742	0.6264209	0.0352562	0.4598386	0.7475748	0.1565483	0.0207164	0.0211209	0.2089583	0.5974266	0.1130437	0.7953334	0.1281502	0.2009364	0.9987582	0.6778590	0.7962258	0.5607536
0.2323808	0.2757131	1.0139977	0.8280705	1.0020665	0.4670157	0.4202495	0.6161980	0.1405130	0.5792425	1.0269657	1.0777980	0.0908253	0.8798516	0.3444958	0.4971986	0.0127473	0.8655474	0.2320155	0.3549177	0.4610522	0.3652426	1.0256452	0.2299175	0.4968127	1.0305100	0.0040735	0.4503471	0.3277235	0.1504542	0.3267791	0.2842570	0.0930250	0.7532477	0.1239622	0.3177818	0.7002721	0.5868615	0.1504694	0.7164361	0.5850900	0.5620211	0.3816608	1.0052448	0.2926220	0.3416509	0.6103035	0.6851349	0.3841293	0.0290966	0.2158599	0.4388400	0.3546492	0.9690601	0.9088753	0.6410823	0.8011977	0.9745052	0.7684515	0.9159048	0.2978164	0.4798504	0.6766435	0.3192641	0.3741749	0.9176783	0.5223108	0.7380905	0.9624086	0.6203659	0.8722401	0.0618784	0.8610160	0.0334270	0.3310232	0.9917314	0.9866811	0.0631142	1.0621546	0.0755279	0.2652977	0.0085843	0.6481593	0.8892602	0.0373429	0.2705094	0.1214417	0.7217945	0.2205542	0.2907904	0.3340014	0.9821635	0.8543747	0.2804191	0.2907490	0.2017396	0.6069839	0.6745385	0.4787313	0.8597826
0.1746638	0.1534522	1.0147787	0.0144454	0.2939640	0.7084195	0.4049870	0.5435912	0.0036146	0.3836665	1.0420407	1.0452212	0.7256085	0.3203844	0.3679361	0.5265031	0.2231106	0.7487264	0.3092955	0.5408329	0.9555774	0.5504083	0.8298363	0.3873364	0.4740414	0.9680400	0.0924949	0.6320571	0.1028639	0.2311550	0.9957984	0.7611336	0.4510110	0.1440868	0.4955119	0.3781506	0.9362751	0.7769261	0.0193424	1.0109984	0.5975284	0.9288165	0.2083845	0.9778262	0.2170330	0.0141417	0.1462938	0.3894664	0.7162344	0.6067654	0.6395358	1.0498107	0.8059753	1.0006685	1.0032316	0.7692935	0.2003485	0.7926303	0.9362648	0.4459038	0.1350830	0.4577391	0.6786603	0.0969924	0.1934727	0.4888199	0.9498050	0.6396265	0.9584951	0.0257029	0.7571704	0.0431356	0.5747711	0.3141581	0.6502215	0.7200522	0.3897520	0.4179143	0.9914783	0.2790583	0.0008452	0.3245448	0.3524147	0.9057059	0.1756438	0.6200435	0.4231743	0.7145144	0.5677126	0.0473941	0.8377784	0.5971580	0.7666607	0.3459400	0.2960599	0.1813649	0.6717145	0.3516806	0.3078899	0.8813422
0.4934021	0.1498048	1.0446360	0.6061935	0.7099885	0.4588446	0.6958412	0.8672911	0.2370470	0.6856140	1.0362705	1.0075554	0.1238820	1.0051626	0.1233027	0.4230294	0.0257990	0.3561103	0.4651609	0.7890041	0.9776384	0.5656263	0.8649681	0.6145356	0.5481905	0.9870217	0.0218228	0.1886961	0.4325224	0.0969379	0.8806419	0.6665000	0.2766799	0.0299836	0.6592480	0.4133216	0.9846376	0.6351943	0.2186124	0.6827824	0.5058704	0.8958910	0.3643639	1.0059061	0.4048827	0.1102924	0.2608210	0.0307379	0.8441964	0.2792620	0.4212989	0.8815586	0.0840044	0.9502535	0.8383409	0.6035459	0.5479484	1.0213177	0.2592574	0.9978288	0.0186097	0.2663306	0.7391867	0.0108199	0.0673826	0.6644908	0.3081638	0.2459452	0.0656182	0.1041273	0.5385327	0.0633662	0.6189706	0.7813907	0.3754845	0.8554172	0.5943903	0.3450731	1.0708195	0.0363334	0.2257175	0.2553691	0.1001218	1.0156691	0.1498406	0.3826554	0.1303082	0.5821578	0.5947720	0.0150425	0.9054723	0.7076121	0.9214155	0.1099300	0.0767362	0.3503548	0.4278481	0.0750666	0.3189859	0.7657874
