G_i	G_j
21	48
37	48
7	48
21	37
24	48
13	48
22	48
6	37
7	37
7	22
7	24
13	37
24	37
10	37
20	37
22	37
6	10
6	12
13	20
14	15
21	24
22	24
37	45
7	21
10	12
12	37
13	21
13	22
20	48
6	45
7	20
6	48
7	13
10	45
12	45
13	14
20	21
20	22
21	22
21	49
34	48
37	49
6	24
7	49
14	21
14	37
14	48
48	49
21	25
25	48
1	10
1	24
6	21
10	24
10	42
12	30
14	20
14	22
19	48
20	24
20	49
21	23
21	42
23	37
23	48
24	34
24	49
25	37
37	42
37	43
38	48
42	48
43	48
1	6
1	25
1	34
1	48
6	30
6	36
6	42
7	14
7	26
7	43
8	10
8	42
10	21
10	23
10	30
10	36
10	48
12	23
12	36
12	42
13	15
14	27
17	48
22	49
23	24
24	25
24	42
