G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G76A	G94	G95	G96	G97	G98	G99	G100
0.0455151	0.6292329	0.0408253	0.2767239	0.9958685	0.1029359	0.0034427	0.4173749	0.2591460	0.8213784	0.4815172	0.8976924	0.2713042	0.7757738	0.0337224	0.7293279	0.4179483	0.6672635	0.6209848	0.9651084	0.1233901	0.6292428	0.9728274	0.2858878	0.6330108	0.3567513	0.3686086	0.0361745	0.0599866	0.0162100	0.1053736	0.5826599	0.9632642	0.4623668	0.3389178	0.0082176	0.8753184	0.1972244	0.2067401	0.1805224	0.6921083	0.6417397	0.3247778	0.5082228	0.8760722	0.9629299	0.9048555	0.7886787	0.9809987	0.1944905	0.8185191	0.5292014	0.1828403	0.7476885	0.6084916	0.0605785	0.6297009	0.0532945	0.0003309	0.0625991	0.0993644	0.3369550	0.2273565	0.2359158	0.2487065	0.8550081	0.1408523	0.7249733	0.0694524	0.1830689	0.6522518	0.7779953	0.1916762	0.6849205	0.5014559	0.1114700	0.8597142	0.9400798	0.8367340	0.0000719	0.9991025	0.6768988	0.0237133	0.8386168	0.4711619	0.0902668	0.6654465	0.7394221	0.9379787	0.6997279	0.5026292	0.5387090	0.6815475	0.9569788	0.1543447	0.2428768	0.9542747	0.6741915	0.4368696	0.9660024
0.2890943	0.3700616	0.0421078	0.2836170	0.9956676	0.1089810	0.0034160	0.4174575	0.2591750	0.8212060	0.4817339	0.8863813	0.1801512	0.7676738	0.0336903	0.7172650	0.4199721	0.6415812	0.6236068	0.8979125	0.1277924	0.6224886	0.9699021	0.2934615	0.6331039	0.2927752	0.3685976	0.0361717	0.0441912	0.0171275	0.0667507	0.5756603	0.9529465	0.3889477	0.3634344	0.0085826	0.8753357	0.1972075	0.2067291	0.1600352	0.6920838	0.6418252	0.3405049	0.5320961	0.8659940	0.9452575	0.9048524	0.7886700	0.9767045	0.1944307	0.8516177	0.5464905	0.3005950	0.7435092	0.6786570	0.0259118	0.6727360	0.0701235	0.0005349	0.0687630	0.0291421	0.3244385	0.2297069	0.2562537	0.3113561	0.8743894	0.1099348	0.6077988	0.1801732	0.1835775	0.6480700	0.6723949	0.1526422	0.6506773	0.4732577	0.1114519	0.8546680	0.9088313	0.8911641	0.0012122	0.9980098	0.6731335	0.0254322	0.8431879	0.4843228	0.1780331	0.6654326	0.4521306	0.9792514	0.6993915	0.5026319	0.5387296	0.6218677	0.9550143	0.2279552	0.2328958	0.9196089	0.6789415	0.4290835	0.9679277
0.0889241	0.6342182	0.0204232	0.2766781	0.9958702	0.1028737	0.0034396	0.4173638	0.2591396	0.8214302	0.4815147	0.8977936	0.2731225	0.7758009	0.0337222	0.7293594	0.4179491	0.6673679	0.6209925	0.9651769	0.1233612	0.6292898	0.9728431	0.2858389	0.6329855	0.3576919	0.3686116	0.0361752	0.0603816	0.0162059	0.1055519	0.5826729	0.9633003	0.4627892	0.3387643	0.0082169	0.8753137	0.1972289	0.2067431	0.1807964	0.6921049	0.6417453	0.3245035	0.5081251	0.8761939	0.9631655	0.9048570	0.7886841	0.9809969	0.1945068	0.8178726	0.5290354	0.1812041	0.7476836	0.6180251	0.0610945	0.6285056	0.0527820	0.0003302	0.0625389	0.1045185	0.3370917	0.2273556	0.2354178	0.2491638	0.8549591	0.1415028	0.7324098	0.0672964	0.1829145	0.6511189	0.7792904	0.1925632	0.6855232	0.5016273	0.1114407	0.8597468	0.9408714	0.8352812	0.0000689	0.9991145	0.6769420	0.0237060	0.8384540	0.4710075	0.0887354	0.6654357	0.7256178	0.9369533	0.6997311	0.5026292	0.5387093	0.6830301	0.9569567	0.1532834	0.2427846	0.9548565	0.6741253	0.4371090	0.9660006
0.0900935	0.6313522	0.0328597	0.1384708	0.9958692	0.1029104	0.0034413	0.4173706	0.2591435	0.8213994	0.4815168	0.8977337	0.2720690	0.7757918	0.0337224	0.7293376	0.4179476	0.6673014	0.6209838	0.9651357	0.1233776	0.6292590	0.9728337	0.2858679	0.6330108	0.3571426	0.3686086	0.0361745	0.0601501	0.0162083	0.1054466	0.5826650	0.9632790	0.4625411	0.3388537	0.0082173	0.8753184	0.1972244	0.2067401	0.1806346	0.6921083	0.6417395	0.3246630	0.5081823	0.8761226	0.9630287	0.9048555	0.7886787	0.9809992	0.1944905	0.8182494	0.5291331	0.1821521	0.7476879	0.6183350	0.0607928	0.6292049	0.0530785	0.0003306	0.0625739	0.1014888	0.3370090	0.2273542	0.2357084	0.2489017	0.8549879	0.1411211	0.7280160	0.0685309	0.1830053	0.6518662	0.7785319	0.1920458	0.6851858	0.5015337	0.1114541	0.8597266	0.9404602	0.8361360	0.0000706	0.9991076	0.6769162	0.0237104	0.8385515	0.4710957	0.0896143	0.6654403	0.7367919	0.9375444	0.6997286	0.5026292	0.5387090	0.6821888	0.9569699	0.1539034	0.2428362	0.9545140	0.6741642	0.4369682	0.9660012
0.0900267	0.6314567	0.0327491	0.1061547	0.4978210	0.1098555	0.0027291	0.4816236	0.2852493	0.6925689	0.9134577	0.8575375	0.2725082	0.7758623	0.0337241	0.8380505	0.4179339	0.7691293	0.6208676	0.9866604	0.1235787	0.6298537	0.9693337	0.2948776	0.6331010	0.3573654	0.3685979	0.0361717	0.0602462	0.0147534	0.1055576	0.5826814	0.9632998	0.4626903	0.3388156	0.0082165	0.8753352	0.1972080	0.2067294	0.1807109	0.6921178	0.6417233	0.3255933	0.5043573	0.8761571	0.9630867	0.9048504	0.7886603	0.9820610	0.1944325	0.8113422	0.5286266	0.3758132	0.7673601	0.6024769	0.0606758	0.6285736	0.0557318	0.0003303	0.0637065	0.1020468	0.3395631	0.2274152	0.2154243	0.2729383	0.8516305	0.1411185	0.5899078	0.0643587	0.1827818	0.6521607	0.8564978	0.1928685	0.6923510	0.5016962	0.1114497	0.8780637	0.9401151	0.8374860	0.0000714	0.9991076	0.6769238	0.0389738	0.8397129	0.4711185	0.0841815	0.6594867	0.7305829	0.9374128	0.6998647	0.5026301	0.5387334	0.6814429	0.9545713	0.1536453	0.2315292	0.9538114	0.6744251	0.4382699	0.9659064
0.0902739	0.6309451	0.0345019	0.2142831	0.9992425	0.0514340	0.0034446	0.4171024	0.2590160	0.8223141	0.4789337	0.8980439	0.2719023	0.7757993	0.0337226	0.7285082	0.4179460	0.6667745	0.6209765	0.9649972	0.1233791	0.6292435	0.9728535	0.2858094	0.6330310	0.3570443	0.3686062	0.0361739	0.0601090	0.0162145	0.1054187	0.5826622	0.9632735	0.4624863	0.3388702	0.0082174	0.8753221	0.1972207	0.2067377	0.1806003	0.6921109	0.6417347	0.3246830	0.5082234	0.8761088	0.9630056	0.9048544	0.7886745	0.9809964	0.1944776	0.8183637	0.5291581	0.1814155	0.7475389	0.6184557	0.0607378	0.6293288	0.0531172	0.0003307	0.0625769	0.1010137	0.3369757	0.2273515	0.2359324	0.2486125	0.8550166	0.1410504	0.7279352	0.0687591	0.1830261	0.6519494	0.7773764	0.1615239	0.6850994	0.5015112	0.1114561	0.8816115	0.9403809	0.8362873	0.0000709	0.9991065	0.6769106	0.0236733	0.8385685	0.4711082	0.0897662	0.6654617	0.7375303	0.9376308	0.6994911	0.5026292	0.5387086	0.6820434	0.9569851	0.1540155	0.2428787	0.9544516	0.6741712	0.4369374	0.9660009
0.0909606	0.6292332	0.0408241	0.2767166	0.9958687	0.1029295	0.0017214	0.4173749	0.2591460	0.8213784	0.4815170	0.8976924	0.2713043	0.7757738	0.0337224	0.7293279	0.4179483	0.6672635	0.6209848	0.9651084	0.1233901	0.6292428	0.9728274	0.2858878	0.6330108	0.3567513	0.3686086	0.0361745	0.0599867	0.0162100	0.1053736	0.5826599	0.9632642	0.4623668	0.3389178	0.0082176	0.8753184	0.1972244	0.2067401	0.1805225	0.6921083	0.6417397	0.3247778	0.5082228	0.8760722	0.9629299	0.9048555	0.7886787	0.9809987	0.1944905	0.8185191	0.5292014	0.1828400	0.7476885	0.6185558	0.0605786	0.6297008	0.0532945	0.0003308	0.0625991	0.0993645	0.3369550	0.2273565	0.2359001	0.2487557	0.8550081	0.1408524	0.7249737	0.0694522	0.1924325	0.6522517	0.7779953	0.1916750	0.6849205	0.5014684	0.1114700	0.8597181	0.9400799	0.8367340	0.0000719	0.9991025	0.6768988	0.0237133	0.8386168	0.4711619	0.0902667	0.6654465	0.7394218	0.9379787	0.6997279	0.5026311	0.5387090	0.6815475	0.9569788	0.1543446	0.2428768	0.9542747	0.6741915	0.4368698	0.9660024
0.0909499	0.6292399	0.0408953	0.2771340	0.9958552	0.1032939	0.0203147	0.2086890	0.2591471	0.8213723	0.4815307	0.8976836	0.2712751	0.7758097	0.0337119	0.7295385	0.4178256	0.6677725	0.6218412	0.7871793	0.1233925	0.6292151	0.9728257	0.2858914	0.6330697	0.3567284	0.3686016	0.0361727	0.0599782	0.0511042	0.1053585	0.5826568	0.9632615	0.4623496	0.3389214	0.0082177	0.8753293	0.1972137	0.2067331	0.1805106	0.6921160	0.6417257	0.3247814	0.5082283	0.8760703	0.9629271	0.9048521	0.7886664	0.9628004	0.1944526	0.8185226	0.5292081	0.2939271	0.7469389	0.6183021	0.0605623	0.6297389	0.0146338	0.0003310	0.0609620	0.0993668	0.2989729	0.2275507	0.2640624	0.2877235	0.8550147	0.1408347	0.7249644	0.0358615	0.1827220	0.6523120	0.7779685	0.1917541	0.6881683	0.5014465	0.1114674	0.8594844	0.9343111	0.8367808	0.0000718	0.9991026	0.6768950	0.0018891	0.8344032	0.4711602	0.1233180	0.6654366	0.7394201	0.9371936	0.6997275	0.5025244	0.5387081	0.6801655	0.9569804	0.1543678	0.2471360	0.9542550	0.6741397	0.4370815	0.9672073
0.0911883	0.6288864	0.0421705	0.2841669	0.9956522	0.1095161	0.0803609	0.1137320	0.1295773	0.8213173	0.4816851	0.8976576	0.2711547	0.7757504	0.0324739	0.7710346	0.4165952	0.8098846	0.9635109	0.0131663	0.1234442	0.6291205	0.9728234	0.2858981	0.6330892	0.3566717	0.3685993	0.0361721	0.0599552	0.1241352	0.1053475	0.5826554	0.9632593	0.4623268	0.3389303	0.0082178	0.8753330	0.1972102	0.2067308	0.1804947	0.6921180	0.6417226	0.3247982	0.5082321	0.8760627	0.9629106	0.9048510	0.7886624	0.5630482	0.1944401	0.8185431	0.5292321	0.6221455	0.7081413	0.5723821	0.0605353	0.6307879	0.0036397	0.0003852	0.0608690	0.0997709	0.2215118	0.2452826	0.5138895	0.3422540	0.8550175	0.1407867	0.7244877	0.0171337	0.1841877	0.6549510	0.7779219	0.1928139	0.6511346	0.5014319	0.1114695	0.8554418	0.6591447	0.8265296	0.0000720	0.9991018	0.6768918	0.0003262	0.8325474	0.4711702	0.1540231	0.6755605	0.7396869	0.8441118	0.6997843	0.5006209	0.5387079	0.6745112	0.9569816	0.1544294	0.4958172	0.9542217	0.6696066	0.4087484	0.9706964
0.0909299	0.6292705	0.0408283	0.2767361	0.9958680	0.1029436	0.0040098	0.7527967	0.4383573	0.4106882	0.4815227	0.8976817	0.2712709	0.7758271	0.0337245	0.7292651	0.4179283	0.6671386	0.6208365	0.9996950	0.1233870	0.6292137	0.9728251	0.2858926	0.6330964	0.3567219	0.3685985	0.0361719	0.0599760	0.0274060	0.1053521	0.5826555	0.9632603	0.4623431	0.3389224	0.0082178	0.8753343	0.1972088	0.2067299	0.1805062	0.6921196	0.6417192	0.3247818	0.5082306	0.8760699	0.9629269	0.9048506	0.7886607	0.9826321	0.1944354	0.8185233	0.5292086	0.1834441	0.7477642	0.6022982	0.0605570	0.6184428	0.0349605	0.0003307	0.0697391	0.0993685	0.3391106	0.2273245	0.2359942	0.2416782	0.8550177	0.1408308	0.7249971	0.0521570	0.1828708	0.6522439	0.8025066	0.1916916	0.6541989	0.5036878	0.1114659	0.8597008	0.9408342	0.8512032	0.0000718	0.9991026	0.6768934	0.1495588	0.8438121	0.4711574	0.0741117	0.5658239	0.6954364	0.9380472	0.6997229	0.5026284	0.5387077	0.6817595	0.9569811	0.1543740	0.1667542	0.9542482	0.6741982	0.4367871	0.9657402
