"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G66A	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.4206194	0.0963471	0.8283872	0.8364131	0.4756659	0.0146268	0.1670848	0.6888067	0.0565660	0.9581269	0.1409715	0.9917229	0.4109655	0.7989086	0.0326643	0.2414316	0.7233597	0.9937262	0.0531423	0.0060748	0.5101290	0.3224971	0.2905518	0.7360906	0.4573090	0.1769595	0.5462982	0.5211770	0.8233077	0.1729967	0.2595041	0.0558329	0.4475260	0.0445441	0.1191443	0.1736071	0.0550546	0.5838232	0.5129931	0.2519357	0.0040258	0.4785480	0.2649740	0.1226634	0.5919716	0.1085058	0.3063693	0.7164779	0.6679894	0.2698511	0.8599125	0.1952895	0.6997954	0.5234951	0.5588527	0.9049512	0.4307574	0.1900652	0.9922615	0.0818167	0.5608605	0.0911112	0.2126118	0.0306791	0.1556130	0.4953725	0.3335983	0.6693042	0.3028451	0.6064307	0.8394361	0.6482099	0.4185207	0.4399833	0.0022742	0.0266515	0.6099144	0.0255542	0.9776381	0.5650587	0.2534749	0.4800310	0.0012134	0.7976539	0.9964472	0.5609560	0.9779493	0.9996008	0.5430721	0.5024279	0.8627368	0.8774856	0.2875620	0.9903016	0.0004041	0.2536666	0.1898895	0.3049093	0.2947717	0.0002266
50	0.4204581	0.3684144	0.8276173	0.8254790	0.4760542	0.0152801	0.1669198	0.6997280	0.0422325	0.9574129	0.3913582	0.9593064	0.4106383	0.7891883	0.3329396	0.2606528	0.4785025	0.9279323	0.1500016	0.0061196	0.4748920	0.3219133	0.2899979	0.7315063	0.4604928	0.1770531	0.5493748	0.5212422	0.8223895	0.1729828	0.2595036	0.0558336	0.4643302	0.0492065	0.1191458	0.1751893	0.1032978	0.5842673	0.4982645	0.2541026	0.0025386	0.4665391	0.2844466	0.2003109	0.5906133	0.2009610	0.3061571	0.7094337	0.4841763	0.4153196	0.8595809	0.1947907	0.7001639	0.5502103	0.5516664	0.8890764	0.4306953	0.1897135	0.9923154	0.0818706	0.5174737	0.0831804	0.0974912	0.0232094	0.3136851	0.4924445	0.3392205	0.6855941	0.1490081	0.6052746	0.8607998	0.6330265	0.5027294	0.4968366	0.0354852	0.0266686	0.6062942	0.1935012	0.9765070	0.5652344	0.2535251	0.4588808	0.0009901	0.6467954	0.9831151	0.5608890	0.9774582	0.9196985	0.5418373	0.5229813	0.8408291	0.8732609	0.2878985	0.9876036	0.0003422	0.3048377	0.1924663	0.3034840	0.2939977	0.0001265
100	0.4192320	0.5794311	0.7698131	0.7348548	0.4873686	0.0234275	0.1661639	0.6994274	0.0392014	0.9528645	0.7042574	0.7505403	0.4012107	0.7106197	0.6361361	0.2869132	0.2738322	0.8200410	0.2545156	0.0062544	0.3999790	0.3135003	0.2840989	0.7045464	0.4884978	0.1793718	0.5663564	0.5236108	0.8097849	0.1726687	0.2594786	0.0558539	0.6540499	0.0697389	0.1192004	0.1924681	0.1619827	0.5924432	0.4508072	0.2693882	0.0011060	0.4030520	0.3821285	0.2881586	0.5809797	0.2720695	0.3000438	0.6646892	0.2901960	0.5472150	0.8580106	0.1774631	0.7053359	0.6752271	0.5273546	0.7652662	0.4280829	0.1905031	0.9927642	0.0815392	0.4412572	0.0817529	0.0261261	0.0166578	0.4188889	0.4765540	0.4296909	0.7581954	0.0597221	0.5938689	0.8818996	0.5214959	0.5811072	0.5708495	0.0622847	0.0271942	0.5878327	0.3029764	0.9674325	0.5653303	0.2548317	0.3117571	0.0007568	0.5082068	0.8896648	0.5586402	0.9735410	0.8333178	0.5309738	0.5509563	0.7979851	0.8463789	0.3064330	0.9619747	0.0002917	0.4776346	0.2198075	0.3049313	0.2827647	0.0000400
150	0.4159291	0.6743797	0.5912728	0.5808504	0.5184693	0.0412283	0.1658441	0.6798887	0.0668187	0.9441031	0.8763716	0.5011599	0.3586708	0.5641327	0.7866941	0.3220552	0.1803385	0.7118009	0.3105510	0.0062254	0.3589045	0.2924585	0.2739502	0.6810075	0.5470880	0.1875359	0.5932026	0.5413083	0.7620410	0.1699872	0.2593003	0.0560089	0.8301765	0.0910563	0.1196142	0.2379096	0.2024422	0.6129752	0.4095439	0.3009516	0.0004292	0.3187906	0.5098193	0.3560244	0.5666013	0.2974167	0.2769173	0.5895634	0.1742340	0.6431885	0.8594041	0.1478961	0.7127673	0.8004157	0.5525363	0.6423680	0.4108316	0.2118640	0.9936111	0.0805388	0.3770954	0.1052291	0.0059266	0.0119817	0.4401850	0.4559669	0.5821980	0.8279849	0.0365639	0.6001189	0.8922049	0.3527607	0.6092826	0.6252430	0.0726116	0.0300900	0.5670308	0.3364342	0.9459322	0.5654649	0.2597171	0.1703860	0.0007076	0.4690300	0.7671199	0.5471935	0.9634489	0.7867201	0.5065504	0.5435665	0.7445784	0.7914653	0.3761653	0.9147994	0.0002761	0.5864865	0.2708815	0.3335890	0.2639636	0.0000197
200	0.4091462	0.7211043	0.4053101	0.4426487	0.5565426	0.0581006	0.1673115	0.6480906	0.0969455	0.9290075	0.9518529	0.3236916	0.2859011	0.4341323	0.8496817	0.3843424	0.1337591	0.6217385	0.3355978	0.0059282	0.3498693	0.2627104	0.2646022	0.6934078	0.6195777	0.2029594	0.6340354	0.5989832	0.6788732	0.1617663	0.2588149	0.0564353	0.9258221	0.1042790	0.1213696	0.3023192	0.2292297	0.6393717	0.3731836	0.3435807	0.0001697	0.2465448	0.6233351	0.4148490	0.5561329	0.3038560	0.2351156	0.4950116	0.1086683	0.7160850	0.8678907	0.1401601	0.7181220	0.8745720	0.6182619	0.5813090	0.3659606	0.2565701	0.9944495	0.0815575	0.3414178	0.1673460	0.0012381	0.0079176	0.4435394	0.4385191	0.7132969	0.8684167	0.0323678	0.6457144	0.8964871	0.2302467	0.6060623	0.6638844	0.0758310	0.0391521	0.5565540	0.3434670	0.9154490	0.5659461	0.2693302	0.1255613	0.0011495	0.4689835	0.6782886	0.5195582	0.9452813	0.7655824	0.4723470	0.5296398	0.6875940	0.7186532	0.4719305	0.8844780	0.0002629	0.6187768	0.3397391	0.3874063	0.2581118	0.0000151
250	0.3983893	0.7558428	0.2657443	0.3448560	0.5916437	0.0685687	0.1711615	0.6122665	0.1162204	0.9012653	0.9818798	0.2202895	0.2160240	0.3518661	0.8762293	0.4711508	0.1059950	0.5576043	0.3459076	0.0054461	0.3637130	0.2301728	0.2549168	0.7298134	0.6875794	0.2288357	0.6934585	0.6996246	0.5924582	0.1461510	0.2581068	0.0570550	0.9695059	0.1093287	0.1264546	0.3692708	0.2476390	0.6677066	0.3384079	0.3887512	0.0001034	0.1911338	0.7175653	0.4646568	0.5515433	0.3043023	0.1817146	0.3951185	0.0722009	0.7621020	0.8832739	0.1857898	0.7191616	0.9084034	0.6660138	0.5473190	0.2932048	0.3127301	0.9953592	0.0887556	0.3250457	0.2608937	0.0002462	0.0047627	0.4551424	0.4243221	0.8073665	0.8885895	0.0325480	0.6918495	0.8988753	0.1727578	0.5846472	0.6950052	0.0766879	0.0608708	0.5583566	0.3429000	0.8809317	0.5665649	0.2856526	0.1517849	0.0022568	0.4755945	0.6280798	0.4748849	0.9194707	0.7565684	0.4393637	0.5436618	0.6303076	0.6478432	0.5664597	0.8813726	0.0002272	0.6032469	0.4244190	0.4343832	0.2890320	0.0000128
300	0.3858606	0.7910998	0.1758459	0.2818074	0.6150867	0.0737500	0.1771821	0.5793678	0.1263261	0.8572953	0.9932140	0.1655429	0.1674378	0.3075932	0.8908922	0.5609767	0.0894121	0.5168854	0.3499628	0.0049040	0.3950494	0.2005252	0.2426172	0.7659152	0.7400358	0.2670323	0.7547117	0.8055600	0.5251305	0.1232583	0.2574210	0.0576624	0.9878310	0.1070467	0.1366871	0.4268070	0.2599274	0.6961897	0.3116248	0.4286417	0.0001656	0.1482640	0.7916734	0.5019008	0.5509681	0.3035212	0.1289518	0.3098874	0.0519577	0.7869747	0.9024023	0.2814354	0.7130534	0.9158645	0.6859659	0.5257899	0.2097820	0.3670387	0.9961944	0.1048423	0.3144313	0.3554707	0.0000474	0.0027538	0.4811402	0.4113096	0.8680008	0.8814108	0.0333532	0.7192447	0.9015858	0.1593652	0.5522599	0.7220041	0.0768765	0.1019029	0.5682571	0.3407459	0.8465791	0.5634274	0.3116636	0.2149092	0.0039458	0.4826442	0.6028210	0.4194494	0.8901139	0.7527268	0.4232923	0.5866360	0.5756003	0.5925338	0.6473747	0.8946237	0.0001826	0.5560116	0.5135906	0.4562471	0.3758475	0.0000117
350	0.3747221	0.8247684	0.1222405	0.2434668	0.6197103	0.0760112	0.1845655	0.5533691	0.1311347	0.8028531	0.9973606	0.1377224	0.1391463	0.2855312	0.9025782	0.6327611	0.0806897	0.4930862	0.3515143	0.0044000	0.4371345	0.1762978	0.2280460	0.7914893	0.7752333	0.3109599	0.8009999	0.8841091	0.4788586	0.0968036	0.2569130	0.0581247	0.9951446	0.0986363	0.1515600	0.4703114	0.2661241	0.7211906	0.2968707	0.4592046	0.0004329	0.1154520	0.8439807	0.5282956	0.5519230	0.3029233	0.0872748	0.2491890	0.0406258	0.7990962	0.9216392	0.3770435	0.6983639	0.9038109	0.6901879	0.5133171	0.1392525	0.4110545	0.9967481	0.1284060	0.3005949	0.4243675	0.0000089	0.0016480	0.5147368	0.3989322	0.9026458	0.8236441	0.0339382	0.7321498	0.9055095	0.1678198	0.5160773	0.7442587	0.0769181	0.1601319	0.5799804	0.3391481	0.8162474	0.5487762	0.3490965	0.2803623	0.0066926	0.4878033	0.5904025	0.3634561	0.8626960	0.7510075	0.4358320	0.6397661	0.5284535	0.5550710	0.7085723	0.9134414	0.0001425	0.4790304	0.5916596	0.4632365	0.4977967	0.0000124
400	0.3665810	0.8516221	0.0915532	0.2225360	0.6054001	0.0769290	0.1922424	0.5350950	0.1333014	0.7498216	0.9988508	0.1235006	0.1242337	0.2747026	0.9126528	0.6786678	0.0766798	0.4799988	0.3520973	0.0039892	0.4810609	0.1570656	0.2134266	0.8069587	0.7966178	0.3505271	0.8297731	0.9314635	0.4489969	0.0726119	0.2565985	0.0584219	0.9979748	0.0871602	0.1682680	0.5005292	0.2660801	0.7391484	0.2916906	0.4801973	0.0011591	0.0920161	0.8774022	0.5468363	0.5526998	0.3026458	0.0596024	0.2110928	0.0342443	0.8045896	0.9382634	0.4413897	0.6770036	0.8791879	0.6872492	0.5068495	0.0914224	0.4417698	0.9970133	0.1540217	0.2807508	0.4642106	0.0000017	0.0010840	0.5430279	0.3885541	0.9208159	0.7398504	0.0342576	0.7360652	0.9107507	0.1833682	0.4831495	0.7612890	0.0769547	0.2219524	0.5884434	0.3388347	0.7920651	0.5281518	0.3974238	0.3299045	0.0107302	0.4879505	0.5837890	0.3155252	0.8408459	0.7501763	0.4721617	0.6872766	0.4926439	0.5320348	0.7502295	0.9318985	0.0001081	0.3869439	0.6496808	0.4651861	0.6098027	0.0000149
