"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G66A	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.4295543	0.1092194	0.8703883	0.8138673	0.4585739	0.0171209	0.1363732	0.7036671	0.0394946	1.1046399	0.1135429	1.0433366	0.3689555	0.8342897	0.0473691	0.2294018	0.8154793	1.0531891	0.0502263	0.0063769	0.5783951	0.3336021	0.3636274	0.7648642	0.4092307	0.1936344	0.5402966	0.5363199	0.8639782	0.1900808	0.2107277	0.0544924	0.4836277	0.0422103	0.0902868	0.1654553	0.0778782	0.6510351	0.4849005	0.2600439	0.0069602	0.5008760	0.2370811	0.1244125	0.6196690	0.1524195	0.3484317	0.7847822	0.6410550	0.2340888	0.8613374	0.2046570	0.6916928	0.6368993	0.5557628	0.7159295	0.4312461	0.2124376	0.9471445	0.0604343	0.5793223	0.0960467	0.2224608	0.0391320	0.1500871	0.4925394	0.3691982	0.6561038	0.3415391	0.6373277	0.8769998	0.5925334	0.4959742	0.4810602	0.0022287	0.0185913	0.6599383	0.0264168	1.0099402	0.5238585	0.2099117	0.4919436	0.0014604	0.7377788	0.9739165	0.5639058	1.0234465	1.0675553	0.5924019	0.5277242	0.8512431	0.8006047	0.3392756	1.0916343	0.0097435	0.3091663	0.1846124	0.3206958	0.3166174	0.0021974
50	0.4349653	0.3751130	0.8248354	0.8901099	0.3643799	0.0180676	0.1546185	0.7364532	0.0387354	0.8869687	0.3277168	1.0086893	0.3723516	0.6811280	0.2812671	0.2746273	0.5240627	0.9853177	0.1560958	0.0060650	0.4041053	0.3004717	0.3725795	0.7014159	0.4579808	0.2064501	0.5464927	0.4707312	0.7920395	0.2098588	0.2536190	0.0564401	0.5050560	0.0546050	0.0974032	0.2436289	0.1088413	0.6032755	0.5960712	0.2744410	0.0051005	0.6007689	0.2930388	0.1952903	0.6692672	0.2086408	0.2790815	0.7322965	0.5364074	0.3763349	0.7828201	0.2893051	0.7281135	0.4818583	0.5114287	0.9149385	0.4255953	0.2260159	0.9901398	0.0601741	0.5028894	0.1118950	0.1462439	0.0467189	0.3679985	0.5088226	0.3749028	0.8138235	0.1655583	0.6289220	0.8283386	0.6916929	0.4917971	0.4409404	0.0464530	0.0412873	0.5837274	0.2103568	1.1414867	0.5615485	0.2807669	0.4388288	0.0026279	0.6875818	0.9712262	0.5578233	0.9658898	0.9612051	0.5894913	0.4318843	0.8819263	0.9859797	0.2834908	0.9890602	0.0035717	0.3981615	0.1991667	0.3064146	0.2189215	0.0002531
100	0.4263963	0.5895555	0.7522351	0.8541198	0.4190269	0.0110860	0.1274827	0.6893615	0.0299417	0.9510222	0.7819515	0.8271755	0.3761282	0.6136105	0.5790211	0.2995783	0.2640004	0.8812978	0.2725108	0.0058517	0.3779092	0.3381021	0.3434120	0.7602418	0.5090409	0.2269389	0.6291715	0.5599308	0.7107666	0.1970169	0.2817536	0.0448084	0.6679227	0.1000250	0.0966719	0.2998899	0.1986871	0.5654842	0.5537971	0.2644278	0.0044101	0.4939743	0.3570647	0.3026912	0.6763657	0.2602773	0.2806738	0.6966606	0.3016648	0.5316120	0.8098968	0.2491827	0.6444248	0.6714426	0.4293083	0.7840314	0.4393562	0.1549310	0.9573436	0.1007739	0.4761621	0.1159256	0.0332525	0.0308100	0.4376237	0.4979675	0.3923985	0.9045536	0.0501809	0.5770198	0.9041689	0.5197746	0.4996368	0.5393913	0.0814286	0.0347314	0.6771001	0.3604826	1.0476449	0.5014461	0.2902869	0.2657936	0.0124688	0.5406640	0.9069481	0.5487881	0.9224364	0.8370149	0.5556773	0.5353625	0.8134273	0.7775070	0.2618867	0.9961499	0.0006279	0.5456282	0.2045085	0.3783603	0.1600984	0.0000000
150	0.4174036	0.6327861	0.6685383	0.6359794	0.4949131	0.0333986	0.1416217	0.7631355	0.0525686	0.9735288	0.9796171	0.5020407	0.2977061	0.4610047	0.8758580	0.3249952	0.1850872	0.7883936	0.3185424	0.0060059	0.3698088	0.3772797	0.2659547	0.7489047	0.5181538	0.2220144	0.6123492	0.5492065	0.8017388	0.1388796	0.2957862	0.0266944	0.8244794	0.1510632	0.0942740	0.2908221	0.2022739	0.5758947	0.4582452	0.2740516	0.0059275	0.3954538	0.5436928	0.4070371	0.5756006	0.3118204	0.3361529	0.6390237	0.1761174	0.6914787	0.7651495	0.1809062	0.7953354	0.8345337	0.5291551	0.6467299	0.3731820	0.2155730	1.0227580	0.1129436	0.3886654	0.1048559	0.0170917	0.0261210	0.3877493	0.4435783	0.5577897	0.8574369	0.0262467	0.6229736	0.8998845	0.3291710	0.5843418	0.6106528	0.0745581	0.0280105	0.6791429	0.3253466	0.9044231	0.5311571	0.3323410	0.1824555	0.0156287	0.5203234	0.8031535	0.5744337	0.9724241	0.7643384	0.5191455	0.5472810	0.7800888	0.7362551	0.3456177	0.8747083	0.0009357	0.6378860	0.1961147	0.3756245	0.2031871	0.0019254
200	0.3891202	0.7496611	0.4397794	0.4316618	0.6123596	0.0485766	0.1470145	0.6954119	0.0739015	0.9278615	1.0709503	0.3398679	0.2427383	0.3770231	0.9200875	0.3524510	0.1468000	0.7170242	0.3233679	0.0041945	0.3618893	0.3116923	0.2848001	0.7403310	0.6055801	0.2656206	0.6703429	0.5603296	0.6928890	0.1170983	0.2549838	0.0342877	0.9160758	0.1404857	0.1075393	0.3375360	0.2661409	0.6343691	0.4583261	0.3596467	0.0085532	0.2353021	0.7047640	0.4417715	0.5328259	0.2618928	0.2607190	0.5400338	0.0954777	0.6729048	0.8007148	0.1412767	0.8062939	0.8080880	0.6197088	0.5824476	0.3712114	0.2621645	0.9887104	0.1019162	0.3909490	0.1160654	0.0015511	0.0103370	0.3934838	0.3853841	0.6664821	0.8080459	0.0525628	0.6204091	0.9095354	0.2160000	0.6369952	0.6297049	0.0707194	0.0582481	0.6709523	0.3981640	0.8787990	0.5440581	0.2957547	0.1253969	0.0047857	0.6062643	0.7276274	0.5015510	0.9134539	0.7530597	0.5964343	0.4953825	0.7311362	0.6817217	0.5071511	0.8749923	0.0019695	0.6504708	0.3327478	0.4259417	0.2562386	0.0010056
250	0.3649160	0.6574438	0.3126068	0.2666080	0.5889185	0.0303674	0.1499036	0.6296000	0.0950479	1.0224279	1.0234460	0.2232005	0.1585113	0.3102693	0.9242105	0.4308580	0.1197008	0.6195443	0.3682766	0.0018039	0.3483636	0.2768957	0.2597859	0.8145375	0.6344538	0.2975492	0.7013329	0.7615991	0.5426264	0.1015091	0.2350231	0.0162630	0.9910936	0.1205051	0.1046061	0.3764797	0.2503546	0.6368617	0.4353693	0.3474052	0.0026874	0.1856586	0.7837845	0.5043304	0.5853254	0.3540238	0.1899569	0.4359875	0.0727887	0.7420065	0.8787878	0.1492839	0.7929622	0.9328188	0.6935077	0.4820374	0.2967171	0.3566916	0.9676345	0.1058057	0.3561420	0.2669339	0.0007560	0.0057278	0.5235258	0.3789671	0.7500781	0.7781711	0.0629366	0.7824023	0.8780787	0.1709829	0.5529871	0.6458903	0.0738446	0.0780654	0.6073169	0.3181642	0.8897574	0.5017209	0.3025291	0.1979911	0.0053198	0.6025247	0.6693997	0.5305834	0.9699864	0.6987620	0.6226051	0.6368883	0.6956812	0.6220209	0.6152001	0.9275367	0.0007331	0.6420659	0.4339679	0.3638773	0.3154392	0.0006793
300	0.3820770	0.7625442	0.1793435	0.2721189	0.6302675	0.0902066	0.1914373	0.5516713	0.1386539	0.8158111	1.0739707	0.1378606	0.1480983	0.3072302	0.7989711	0.5610560	0.1100212	0.6094328	0.3734052	0.0002998	0.3507076	0.1878092	0.2717369	0.7710443	0.7251920	0.3311381	0.8593251	0.8729419	0.5435497	0.0498938	0.2546699	0.0347948	0.9669947	0.1206217	0.1216977	0.5321024	0.3046103	0.6004720	0.3870950	0.4141749	0.0005043	0.1349141	0.8420110	0.4299873	0.5344386	0.3362951	0.1377716	0.3534988	0.0601887	0.7831396	0.8860315	0.2446012	0.7996722	0.8738164	0.7031756	0.5435826	0.1460719	0.3765331	1.0132426	0.1197657	0.4294655	0.3398041	0.0018637	0.0011280	0.5819929	0.3651265	0.8430446	0.8323077	0.0483604	0.6614117	0.8717923	0.1603942	0.5680681	0.7212079	0.0678928	0.1523934	0.6135372	0.3520701	0.9676103	0.5221353	0.3112753	0.2011869	0.0075179	0.5909948	0.6263996	0.3907143	0.9639436	0.6860878	0.6004798	0.7286533	0.6034140	0.6088791	0.6477897	1.0125522	0.0007507	0.6120906	0.5013873	0.4303682	0.4541937	0.0015319
350	0.3987382	0.8771827	0.1260033	0.2306041	0.5984414	0.0858899	0.2094308	0.5782645	0.1514307	0.7672660	1.0020930	0.1647954	0.1569730	0.2863835	0.8719620	0.5098878	0.0871524	0.5567613	0.4019982	0.0073680	0.3751885	0.1632038	0.2564832	0.7635987	0.7950220	0.3683962	0.8714591	0.8927849	0.3974634	0.0559749	0.2764403	0.0701013	0.8706753	0.1113960	0.1627525	0.5423715	0.2785064	0.5727315	0.4349184	0.4785506	0.0068258	0.1202798	0.8750638	0.4678493	0.5513986	0.3417864	0.1210026	0.2935386	0.0572147	0.7939144	0.8554018	0.3423975	0.8553563	0.8394615	0.6677824	0.5315180	0.0999770	0.4189765	0.9213552	0.1654290	0.3517667	0.3928181	0.0008678	0.0015743	0.6819573	0.3897691	1.0416757	0.8149661	0.0342718	0.6698832	0.8532825	0.1542526	0.5474803	0.7275683	0.0749838	0.1511915	0.5511174	0.3934064	0.8023878	0.5123629	0.3614288	0.1450983	0.0147316	0.5596690	0.6261306	0.2899516	0.9881453	0.7215074	0.5509294	0.6504256	0.5840130	0.5392912	0.6756493	0.9124351	0.0009585	0.4113161	0.6025405	0.4633727	0.4811146	0.0013156
400	0.3646340	0.8682044	0.1050779	0.2101148	0.6970919	0.0955452	0.2379586	0.5564119	0.1463000	0.7299000	0.9380782	0.1309661	0.1358623	0.2535516	0.8662091	0.6652968	0.0779872	0.4844442	0.3555090	0.0121213	0.5240734	0.1569349	0.2380654	0.7728009	0.7592190	0.4036983	0.7307043	1.0356282	0.4009049	0.0635079	0.2649631	0.0932274	0.9500695	0.0834402	0.1883947	0.5267316	0.3001721	0.5780092	0.3568196	0.4681549	0.0075511	0.0823398	0.8918767	0.5304273	0.5585649	0.3195324	0.0824372	0.2465995	0.0208382	0.8585690	0.8519716	0.4213408	0.7426893	0.8014656	0.8179754	0.4776767	0.0745638	0.4421915	0.9082935	0.1881982	0.2952859	0.4595892	0.0001523	0.0070151	0.6829494	0.3807725	0.9670659	0.7251726	0.0394437	0.8143450	0.9201855	0.1924998	0.4534249	0.7262896	0.0879784	0.2155397	0.5403189	0.3647824	0.8674133	0.5528838	0.3980837	0.2908262	0.0216887	0.5125086	0.5561638	0.2836027	0.9159824	0.7824305	0.6074813	0.7156196	0.5163542	0.5762016	0.6867787	0.9796295	0.0004060	0.3978883	0.6629280	0.4698840	0.5501529	0.0018856
