"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G68A	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.0061295	0.7682351	0.0427543	0.8320039	0.3324775	0.4516876	0.0249243	0.4965074	0.9981040	0.0468338	0.3776475	0.7873310	0.0179724	0.9999966	0.0237937	0.6152287	0.9404790	0.1915302	0.1283802	0.5274590	0.0020946	0.0444500	0.1001574	0.5120849	1.0000000	0.2834709	0.6668613	0.5393958	0.9554426	0.6805682	0.6418546	0.2454549	0.9999983	0.0776776	0.6632242	0.1752227	0.9514754	0.4718086	0.1511399	0.8911504	0.2596032	0.6020238	0.9897952	0.2959667	0.6363665	0.4345637	0.6012117	1.0000000	0.5767513	0.1872656	0.5416855	0.0422032	0.7548302	0.9978814	0.4829796	0.1398839	0.0599160	0.4756996	0.4761707	0.2562156	0.2970122	0.4398531	0.0750523	0.1628324	0.1606579	0.5300038	0.9999794	0.8172283	0.9948240	0.5924793	0.7154151	0.1412642	0.3039241	0.3119469	0.6384286	0.4807047	0.5048908	0.5341175	0.8155039	0.8712016	0.5484110	0.4707217	0.3645471	0.5676626	0.3492484	0.2515956	0.5659200	0.9065529	0.6386190	0.4230175	0.6643654	0.3354845	0.2875147	0.9524991	0.8191098	0.5898140	0.6215432	0.0031709	0.5602593	0.3526765
50	0.0061250	0.7672847	0.0428613	0.8458753	0.3969587	0.7473990	0.0248142	0.4965045	0.9981952	0.0439171	0.5807313	0.8956100	0.0360214	0.4625970	0.0237938	0.6143811	0.7170489	0.1904186	0.8243087	0.5274573	0.0019474	0.0499928	0.1320861	0.2833577	1.0000000	0.0636204	0.6636414	0.4899644	0.9702158	0.6894502	0.7688889	0.2447633	0.9999982	0.0822684	0.8366198	0.1826386	0.8297734	0.4717100	0.1510614	0.8744086	0.4486212	0.5984255	0.9100993	0.2938413	0.6363936	0.4523891	0.5988769	1.0000000	0.5769412	0.4243294	0.5415714	0.0423915	0.8578749	0.9992599	0.4494394	0.1192530	0.0587851	0.4683731	0.2488184	0.4293177	0.2804785	0.2772628	0.0727295	0.1273653	0.3172205	0.5300831	0.9999713	0.8172243	0.5496611	0.7857739	0.7188689	0.0658106	0.5269820	0.4064097	0.6405371	0.5102729	0.5528048	0.2985909	0.8052442	0.8723794	0.5499261	0.4904880	0.7349768	0.5682731	0.3554977	0.2025783	0.7580033	0.4822964	0.6656991	0.4208716	0.6728055	0.3363203	0.2684490	0.9204039	0.8214097	0.6165113	0.6378857	0.0025145	0.6141424	0.7109298
100	0.0061185	0.7498313	0.0478463	0.7487824	0.5017651	0.8836971	0.0243549	0.4964695	0.9984343	0.0425368	0.6107434	0.8682356	0.1927960	0.3482090	0.0237985	0.6059598	0.6824938	0.1921456	0.8838724	0.5274908	0.0031562	0.0877732	0.3199082	0.1589946	1.0000000	0.0156680	0.6563147	0.4787500	0.9750653	0.7125759	0.8254991	0.2354724	0.9999978	0.0849807	0.9452745	0.2013880	0.7869888	0.4691681	0.1507566	0.8719439	0.4893951	0.5366714	0.7168187	0.2866981	0.6364274	0.4948729	0.5950790	1.0000000	0.5791974	0.5235420	0.5423800	0.0434576	0.8973373	0.9997415	0.4531232	0.1022704	0.0543923	0.4421196	0.1035296	0.5591034	0.2562170	0.2261007	0.0783719	0.0817719	0.3323244	0.5347930	0.9999155	0.8204523	0.3944715	0.8511802	0.7228959	0.0176886	0.5899979	0.4100932	0.6370151	0.5699234	0.5512343	0.2578162	0.7924634	0.8768154	0.5538595	0.5703162	0.7955219	0.5670030	0.3710636	0.1150785	0.7640870	0.3522301	0.7030240	0.4152798	0.7125330	0.3446027	0.2448213	0.8961603	0.8432460	0.6460558	0.6718578	0.0017229	0.7137060	0.8242793
150	0.0061155	0.6780318	0.0924079	0.6274954	0.5490131	0.9306578	0.0239808	0.4963933	0.9986136	0.0422826	0.6270335	0.6380430	0.4214285	0.3238609	0.0239493	0.5945901	0.6748126	0.2139661	0.8859990	0.5286378	0.0084654	0.1079621	0.6431276	0.1075782	1.0000000	0.0052258	0.6507808	0.4753372	0.9773499	0.7349877	0.8596989	0.2192257	0.9999974	0.0890204	0.9633340	0.2171778	0.7691845	0.4470592	0.1506879	0.8734397	0.4769973	0.4000596	0.5289164	0.2783323	0.6364407	0.5043985	0.5921380	1.0000000	0.5846782	0.5734708	0.5447167	0.0400735	0.9266292	0.9999097	0.4679572	0.1036684	0.0537424	0.3994130	0.0542002	0.6122576	0.2434314	0.1727680	0.1026169	0.0268931	0.3258364	0.5399966	0.9984634	0.8350155	0.3395967	0.8574589	0.7119129	0.0059151	0.5843582	0.4253490	0.5984354	0.6096680	0.5325392	0.2343038	0.7853911	0.8940811	0.5443434	0.6216566	0.7839853	0.5552235	0.3801009	0.0699175	0.7706863	0.2986965	0.7183400	0.4024504	0.7658881	0.3596764	0.2291760	0.8832330	0.8664225	0.6641271	0.7129366	0.0013908	0.7658388	0.8905286
200	0.0061145	0.4949695	0.1915198	0.5712455	0.5675883	0.9399786	0.0237942	0.4963112	0.9987058	0.0421972	0.6431656	0.5731549	0.5558490	0.3186783	0.0287802	0.6098262	0.6695698	0.2489836	0.8847856	0.5467708	0.0155779	0.1118028	0.8466438	0.0885340	0.9999999	0.0029658	0.6477590	0.4737245	0.9788839	0.7514685	0.8776816	0.1990858	0.9999965	0.0979910	0.9625441	0.2289286	0.7158620	0.3824814	0.1523673	0.8791799	0.4355446	0.2284356	0.3280672	0.2664663	0.6364455	0.4937202	0.5899033	1.0000000	0.5924585	0.5945071	0.5470385	0.0323177	0.9417968	0.9999684	0.4747206	0.1161057	0.0618723	0.3905433	0.0536968	0.6438194	0.2358635	0.1998407	0.1198749	0.0134362	0.3199128	0.5397724	0.9660486	0.8617843	0.3197960	0.7452464	0.6953933	0.0032375	0.5662301	0.4438434	0.5450587	0.6324522	0.5241177	0.2089148	0.7769638	0.9241182	0.5182429	0.6579662	0.7589208	0.5454267	0.3611059	0.0546102	0.7856952	0.2492458	0.7226330	0.3887068	0.8001106	0.3701480	0.2143074	0.8688749	0.8794814	0.6676039	0.7416796	0.0013406	0.7870292	0.9398365
250	0.0061193	0.3148767	0.2894451	0.5486426	0.5815118	0.9310884	0.0237126	0.4962484	0.9987482	0.0421523	0.6506432	0.5601449	0.6129802	0.3175713	0.1020343	0.6741398	0.6675933	0.2788350	0.8836366	0.6461971	0.0192487	0.1068163	0.9231269	0.0817275	0.9999991	0.0024855	0.6462674	0.4728830	0.9799988	0.7619060	0.8857388	0.1813719	0.9999946	0.1052404	0.9594274	0.2534716	0.5931677	0.3087956	0.1607992	0.8970349	0.3937938	0.0988084	0.2121927	0.2446490	0.6364626	0.4840216	0.5883216	1.0000000	0.6048184	0.6013216	0.5480497	0.0235233	0.9456223	0.9999888	0.4882133	0.1303742	0.0729177	0.4162654	0.0829739	0.6692418	0.2304851	0.2485865	0.1278316	0.0101266	0.3148895	0.5358828	0.9201182	0.8944240	0.3126089	0.6029892	0.6846687	0.0026070	0.5558521	0.4589791	0.5074647	0.6456173	0.5216004	0.1915150	0.7700308	0.9460769	0.4808680	0.6883931	0.7320107	0.5412600	0.3238475	0.0521238	0.8160839	0.1966867	0.7244662	0.3813826	0.8154119	0.3754792	0.1987853	0.8506962	0.8793495	0.6673614	0.7564414	0.0014576	0.7948106	0.9663059
300	0.0067320	0.2153354	0.3547891	0.5397489	0.5931568	0.9135429	0.0236773	0.4962086	0.9987673	0.0421322	0.6524274	0.5575748	0.6343938	0.3169105	0.3404861	0.7734673	0.6700207	0.2976772	0.8827321	0.7862237	0.0188458	0.1014364	0.9478535	0.0797072	0.9999979	0.0023883	0.6455469	0.4724743	0.9807681	0.7678173	0.8890098	0.1696736	0.9999921	0.1091736	0.9574308	0.3063428	0.4803748	0.2571668	0.1798515	0.9274256	0.3717456	0.0393172	0.1577768	0.2157212	0.6369328	0.4798164	0.5873283	1.0000000	0.6260140	0.6015113	0.5480040	0.0171764	0.9433985	0.9999958	0.5280852	0.1422905	0.0737580	0.4577791	0.1648846	0.6867364	0.2278213	0.2769966	0.1308904	0.0065053	0.3148217	0.5312093	0.8982688	0.9229467	0.3099777	0.5252138	0.6797076	0.0023502	0.5498995	0.4705898	0.4870780	0.6520673	0.5209556	0.1803200	0.7675777	0.9579413	0.4398191	0.7086552	0.6900155	0.5396689	0.2911411	0.0555881	0.8531505	0.1637697	0.7294289	0.3729263	0.8221007	0.3906012	0.1851514	0.8358771	0.8522837	0.6685454	0.7598837	0.0016521	0.8009926	0.9781922
350	0.0220561	0.1692804	0.3907460	0.5362596	0.6008112	0.8972040	0.0236620	0.4961860	0.9987760	0.0421254	0.6524882	0.5570640	0.6460491	0.3071016	0.5837041	0.8576312	0.6731488	0.3079722	0.8821265	0.8795979	0.0170189	0.0981595	0.9552495	0.0797604	0.9999974	0.0023724	0.6452013	0.4722905	0.9812606	0.7708821	0.8902076	0.1630481	0.9999898	0.1109134	0.9564137	0.3794575	0.4059533	0.2298166	0.2043877	0.9547942	0.3641588	0.0181016	0.1337771	0.1882634	0.6402608	0.4793723	0.5867636	1.0000000	0.6556113	0.5988962	0.5477577	0.0137197	0.9397602	0.9999979	0.5701613	0.1504748	0.0642859	0.5027659	0.3052615	0.6995091	0.2295593	0.2828699	0.1318382	0.0038106	0.3221559	0.5274931	0.8869537	0.9424777	0.3089424	0.4909382	0.6777136	0.0021557	0.5419520	0.4794420	0.4763722	0.6544690	0.5207634	0.1730953	0.7701758	0.9641860	0.4053807	0.7192613	0.6293500	0.5389350	0.2764375	0.0640839	0.8808687	0.1488890	0.7421317	0.3647005	0.8258831	0.4178600	0.1753014	0.8269293	0.7964776	0.6707637	0.7546941	0.0018026	0.8084216	0.9831715
400	0.0864475	0.1479625	0.4113444	0.5348584	0.6045796	0.8870687	0.0236557	0.4961741	0.9987798	0.0421238	0.6523290	0.5569580	0.6851503	0.2674575	0.7327694	0.9071527	0.6743122	0.3168417	0.8817667	0.9279486	0.0154489	0.0965252	0.9567038	0.0804428	0.9999976	0.0024337	0.6450381	0.4722119	0.9815542	0.7723542	0.8905378	0.1595673	0.9999883	0.1106495	0.9557430	0.4527470	0.3611656	0.2194593	0.2262238	0.9703162	0.3620544	0.0112100	0.1226663	0.1675737	0.6457956	0.4806075	0.5863928	1.0000000	0.6878500	0.5975419	0.5477180	0.0120509	0.9372243	0.9999982	0.5959688	0.1548995	0.0542885	0.5389234	0.3985737	0.7128500	0.2448050	0.2769182	0.1317505	0.0026708	0.3349368	0.5252033	0.8770993	0.9540183	0.3084764	0.4765289	0.6769538	0.0020163	0.5317110	0.4857099	0.4700616	0.6550512	0.5207007	0.1690733	0.7759230	0.9683159	0.3818997	0.7238753	0.5731822	0.5385197	0.2967300	0.0779396	0.8964364	0.1428944	0.7548979	0.3595173	0.8284934	0.4417772	0.1689969	0.8226004	0.7407673	0.6727897	0.7450136	0.0018880	0.8145179	0.9851992
