Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G66A	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.6075101	0.3675566	0.4621391	0.0208281	0.2278433	0.0236080	0.6817863	0.2279326	0.4458008	0.3179012	0.5501293	0.4736019	0.4493668	0.0001749	0.0093010	0.0439856	0.0536014	0.7849306	0.1089514	0.4031165	0.1237692	0.3245898	0.7329162	0.0747090	0.5040979	0.6814594	0.1555262	0.1179095	0.5003074	0.6768635	0.0116682	0.0627727	0.6700000	0.0743407	0.8406510	0.3626557	0.2711304	0.6631644	0.1144278	0.6932108	0.3990001	0.5105492	0.6743238	0.1720120	0.4567546	0.7531306	0.2676243	0.4019375	0.6112854	0.6127331	0.3575678	0.0425670	0.5612091	0.3388639	0.4069952	0.0967634	0.2813539	0.2336986	0.4769815	0.3206496	0.6629596	0.2032904	0.0230317	0.3050645	0.2736610	0.1437207	0.0599880	0.1653980	0.6689486	0.3194549	0.0116786	0.7552762	0.0005314	0.5823333	0.6632734	0.2946720	0.0501104	0.1086548	0.0690502	0.3009632	0.2447124	0.6432349	0.2481490	0.0346398	0.5689569	0.2019087	0.6616817	0.6116758	0.4885482	0.6653870	0.2916353	0.3709098	0.5274123	0.0290025	0.0023344	0.3464514	0.3939166	0.5542170	0.3615521	0.1784887
50	0.5261294	0.1882091	0.4723697	0.0175244	0.2998442	0.0439502	0.6511317	0.2956484	0.5417588	0.3847945	0.4888168	0.4605735	0.4015697	0.0074033	0.0070240	0.0645312	0.0598233	0.5756168	0.2765513	0.5489441	0.0803034	0.3271852	0.5330562	0.1887668	0.5928346	0.6265331	0.2580008	0.2529283	0.4136296	0.5788202	0.0226518	0.0331207	0.5686410	0.0815121	0.6427038	0.2910975	0.2025101	0.5910642	0.1952748	0.7778639	0.5511855	0.4614865	0.4434605	0.1610776	0.4581165	0.7437625	0.2213960	0.3144237	0.4922939	0.5515400	0.3377659	0.0130858	0.5613734	0.4369520	0.5258347	0.0913106	0.3635019	0.1898396	0.5981526	0.2398898	0.7418705	0.2073574	0.0189347	0.3321622	0.2682370	0.0757958	0.0193298	0.1547073	0.5949333	0.4091912	0.0250217	0.6530149	0.0005896	0.5395407	0.5644079	0.1990772	0.0343209	0.1147536	0.0811700	0.2712222	0.2302767	0.5143443	0.2706141	0.0311021	0.4868831	0.2510180	0.5901587	0.4853568	0.6344220	0.5931072	0.2149916	0.3323685	0.5310848	0.0205060	0.0093260	0.2434933	0.3755773	0.6931566	0.2558982	0.1154195
100	0.4834915	0.1169408	0.4261041	0.0224901	0.3145108	0.0522158	0.6767179	0.4681232	0.5774607	0.2783118	0.4954186	0.4394178	0.4006480	0.0011947	0.0116500	0.0796502	0.1229134	0.6182588	0.4164191	0.6894439	0.1055437	0.2146288	0.7537312	0.3361580	0.6401151	0.5670224	0.3219699	0.4398999	0.4376396	0.2575401	0.0361170	0.0376921	0.5156609	0.1516980	0.7704991	0.3729705	0.2969919	0.5955073	0.1938426	0.7512553	0.5327286	0.4679694	0.3681419	0.1458425	0.4834194	0.5723574	0.2369945	0.3492645	0.4075556	0.6750842	0.2852855	0.0201498	0.6280380	0.4430715	0.4123384	0.0888431	0.4316987	0.2478495	0.5354654	0.3370584	0.6669249	0.2260303	0.0514324	0.2848765	0.1880930	0.0923647	0.0397255	0.1978236	0.5320951	0.3496975	0.0300543	0.6619700	0.0032950	0.5686369	0.4952531	0.1832505	0.0450729	0.0878423	0.1070532	0.2100977	0.1827970	0.5529254	0.2234437	0.0447284	0.4772991	0.1423218	0.4666710	0.5816210	0.5250831	0.5953525	0.1996388	0.2295890	0.5589391	0.0247569	0.0082080	0.1561743	0.2927056	0.6462014	0.2753906	0.1995057
150	0.2664259	0.0999121	0.3749177	0.0215503	0.2811508	0.0181805	0.6706780	0.5289477	0.6745846	0.3941532	0.4668030	0.4833042	0.4762633	0.0078797	0.0042191	0.0525978	0.1507679	0.7240219	0.4975125	0.6564822	0.2637385	0.1750461	0.5530778	0.4443323	0.6435059	0.5976153	0.5427706	0.5554144	0.3356620	0.1946788	0.0359013	0.0145590	0.5773934	0.1625671	0.7015745	0.2995681	0.2568075	0.6513296	0.1901774	0.5051123	0.4477634	0.4563767	0.4083036	0.1731291	0.3883509	0.6029618	0.1701115	0.2952086	0.3589719	0.5678129	0.3498994	0.0136369	0.5621707	0.3585207	0.3850519	0.1546134	0.4422760	0.3376557	0.5676126	0.3307663	0.7070147	0.1441092	0.0254385	0.2575539	0.1450296	0.1061754	0.0431351	0.1301454	0.5747329	0.3968425	0.0439233	0.6587849	0.0010061	0.5898256	0.4855526	0.1135049	0.0419911	0.0340190	0.1556688	0.2574871	0.2312767	0.5534075	0.3697022	0.0361065	0.5138664	0.1575946	0.4788987	0.5834481	0.6994417	0.5049560	0.1057853	0.2353015	0.5609084	0.0251606	0.0109834	0.1835699	0.3376449	0.6136262	0.2550569	0.2263711
200	0.2880051	0.0622001	0.3982987	0.0175986	0.2408843	0.0106998	0.7113229	0.5417973	0.6439937	0.3882012	0.5643095	0.4795885	0.4210074	0.0034166	0.0018639	0.0550030	0.1701137	0.5707049	0.5116700	0.5805694	0.2524709	0.1267890	0.6245731	0.5332646	0.4948610	0.6678581	0.5512843	0.5024509	0.3601658	0.1434343	0.0311894	0.0233979	0.5813369	0.1717902	0.6404697	0.3126948	0.2913785	0.6005878	0.2458706	0.6294892	0.5429487	0.4841441	0.4252955	0.2126800	0.3728682	0.6154694	0.1508189	0.3452769	0.2577725	0.7071841	0.3620311	0.0296882	0.6693316	0.2917816	0.4152277	0.1085951	0.4554593	0.3616490	0.5950485	0.3211371	0.6472212	0.1181757	0.0209652	0.2921939	0.1203749	0.1433773	0.0380475	0.1347977	0.5745055	0.3076888	0.0392163	0.6585534	0.0017811	0.7945454	0.5397507	0.1294548	0.0576051	0.0360238	0.1492101	0.2307274	0.1939543	0.4969615	0.2591410	0.0207368	0.4810919	0.1707854	0.4703838	0.6810906	0.6167988	0.4956220	0.0978001	0.2807355	0.6940652	0.0425491	0.0079157	0.2212444	0.2816046	0.5643209	0.4451402	0.2639744
250	0.1498151	0.0623395	0.3869824	0.0172746	0.2231034	0.0071449	0.7726038	0.6113145	0.5851984	0.5096203	0.5761202	0.4752570	0.4189913	0.0032158	0.0036347	0.0241493	0.1857708	0.6831972	0.4283186	0.5754603	0.3582748	0.1215792	0.6486595	0.5607180	0.5203322	0.6119420	0.4808721	0.5242170	0.3091895	0.1282191	0.0259273	0.0294699	0.6074103	0.1252153	0.5524723	0.2447423	0.2571308	0.5787908	0.3836299	0.6259775	0.6247811	0.4124607	0.5528500	0.1933403	0.3358311	0.7121681	0.2086525	0.3956301	0.2546555	0.6938055	0.4395907	0.0183279	0.5386528	0.2428386	0.5044352	0.1443693	0.4209054	0.4503198	0.5710049	0.3024497	0.5555122	0.1748939	0.0217537	0.2674456	0.1276788	0.1372855	0.0400024	0.2147846	0.6671580	0.2884949	0.1102580	0.7830601	0.0010514	0.5386000	0.4614184	0.1184003	0.0720152	0.0139881	0.1712270	0.1806611	0.2911976	0.4793728	0.2660434	0.0279527	0.3303537	0.1507435	0.4455672	0.6763328	0.5543606	0.6434966	0.0870292	0.2993002	0.5447511	0.0264380	0.0240329	0.3741613	0.2247651	0.5034429	0.3440066	0.2909748
300	0.1210401	0.0994347	0.3196374	0.0350549	0.3527437	0.0038798	0.6720279	0.5231000	0.6796727	0.4259411	0.6471201	0.4407642	0.4781198	0.0085709	0.0032005	0.0526320	0.1678843	0.7366456	0.5809240	0.5142264	0.4684399	0.0809237	0.7371827	0.6302743	0.6497551	0.6190228	0.5931045	0.5353629	0.3377407	0.1280699	0.0399537	0.0616719	0.6226938	0.1255699	0.5326780	0.2652636	0.2220329	0.6779067	0.2725391	0.6731044	0.3737499	0.4358103	0.5378311	0.1343340	0.3579877	0.6091773	0.2062015	0.3433772	0.1796621	0.6890487	0.2878951	0.0217769	0.6148184	0.2034191	0.4775395	0.0908172	0.4580398	0.4312404	0.6317806	0.2553166	0.5291298	0.1386521	0.0242249	0.4207213	0.1000462	0.1517723	0.0539236	0.2144536	0.5761529	0.4104789	0.0593992	0.5282873	0.0042412	0.6215754	0.4323497	0.0892191	0.1600298	0.0256223	0.1544925	0.2145281	0.2690457	0.4047516	0.2384319	0.0067538	0.3213772	0.1430127	0.3780404	0.5640852	0.5728358	0.5678152	0.0245814	0.2976601	0.6960570	0.0050839	0.0889999	0.3447643	0.3473883	0.4367264	0.3699758	0.4189834
350	0.1244379	0.1487732	0.3938896	0.0056327	0.2860818	0.0117321	0.6948578	0.6169061	0.6084735	0.4091685	0.6591825	0.5260641	0.4903243	0.0008996	0.0098173	0.0313429	0.1113800	0.6360241	0.5096151	0.5631143	0.5342917	0.0581072	0.8342189	0.6828831	0.5867978	0.5861874	0.5984397	0.6338939	0.2392663	0.1179123	0.0530027	0.0367761	0.5290336	0.2125574	0.5779983	0.2082287	0.3311685	0.7800627	0.2879808	0.6767233	0.5989410	0.5509587	0.4470934	0.1596816	0.3463449	0.7187512	0.2025303	0.3468911	0.2348713	0.6497429	0.2145227	0.0321969	0.6395582	0.2324922	0.4507589	0.1520349	0.3743146	0.4166661	0.5084032	0.2198571	0.5358726	0.1330530	0.0103912	0.3221031	0.0644142	0.1480703	0.0533394	0.1515391	0.4410673	0.3490423	0.0782802	0.6048999	0.0016148	0.5342762	0.3928404	0.0984782	0.0982257	0.0408388	0.2054436	0.2364166	0.2491840	0.3949804	0.2142840	0.0028203	0.3361676	0.1278840	0.4874668	0.6291911	0.5411283	0.6080470	0.0420742	0.2571743	0.5152115	0.0186245	0.0537813	0.3483364	0.2992696	0.3456733	0.3158167	0.3478089
400	0.2232621	0.1540183	0.3603381	0.0096214	0.3662516	0.0108123	0.6605096	0.5930622	0.5373720	0.3685761	0.6646218	0.5145199	0.4987044	0.0004932	0.0050318	0.0227662	0.1337132	0.5656398	0.5231174	0.5886771	0.4991780	0.0802266	0.7299660	0.6722734	0.5070924	0.6122866	0.6112651	0.5816724	0.2859518	0.0844976	0.0703967	0.0328997	0.5893496	0.1577073	0.7126884	0.1935876	0.2645450	0.6587087	0.3169572	0.6065565	0.5246419	0.4732152	0.4857830	0.1662654	0.3080839	0.6684602	0.3208392	0.4636927	0.1714247	0.6467094	0.2047459	0.0190713	0.6124940	0.2117245	0.4588330	0.1357542	0.4838369	0.4489633	0.5257191	0.1842390	0.5915885	0.0857800	0.0109951	0.3358365	0.0821954	0.1429630	0.0644525	0.1910531	0.6048838	0.3436283	0.0842637	0.6374232	0.0002767	0.5039818	0.3487017	0.0870060	0.1456588	0.0279406	0.1685977	0.2907691	0.2673854	0.5087020	0.2883845	0.0141740	0.3523023	0.1218769	0.5371656	0.5845014	0.6199180	0.5374206	0.0323780	0.3037077	0.6636850	0.0101361	0.0874897	0.4414664	0.2886253	0.3297536	0.4765343	0.3913898
