G_i	G_j
2	13
13	43
2	43
13	46
13	29
13	35
13	44
2	35
2	44
2	46
43	46
2	29
44	46
2	42
13	42
29	44
29	46
35	42
35	43
2	28
2	36
14	43
35	44
36	37
43	44
2	14
13	14
35	36
42	43
42	44
13	28
13	36
29	35
29	42
29	43
7	32
13	18
13	45
18	32
32	43
36	43
43	45
2	8
2	32
7	13
7	18
7	43
8	13
13	32
13	47
18	43
28	46
30	32
43	47
2	10
2	22
2	37
2	47
3	13
7	30
14	29
14	42
14	44
14	46
16	32
18	30
21	36
23	32
23	46
28	32
28	43
32	34
32	46
36	42
42	46
2	7
2	18
2	23
2	34
2	45
2	49
7	16
7	34
7	45
7	46
13	16
13	23
13	30
13	39
16	18
16	43
16	45
18	45
18	46
21	37
28	34
29	36
30	43
32	45
34	43
