G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G68A	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100
0.0020000	0.6263700	0.0237273	0.5808784	0.2498666	0.2644865	0.0107517	0.2443581	0.7263882	0.0214137	0.2156630	0.4652485	0.0107477	0.6884341	0.0218938	0.3848827	0.6455799	0.1271706	0.0000000	0.3391937	0.0100561	0.0363069	0.1583036	0.2400047	0.7934523	0.2086347	0.4784577	0.4529054	0.6320715	0.3958780	0.4815059	0.1381646	0.7208382	0.0669109	0.4698299	0.1153080	0.5907642	0.2811113	0.0686574	0.6457718	0.1269705	0.4208114	0.8123139	0.2667081	0.4170331	0.0000000	0.4325987	0.7382503	0.4867124	0.1073080	0.3686393	0.4041401	0.5466790	0.4004167	0.5133807	0.1387974	0.0525400	0.2747065	0.3318566	0.0502864	0.1927975	0.2611189	0.0122316	0.1338190	0.1278708	0.2330168	0.6048235	0.2820250	0.5947037	0.4137402	0.4986883	0.0018948	0.5885001	0.3238409	0.3597092	0.0902637	0.3435315	0.4903043	0.5298154	0.5180810	0.2986065	0.3037718	0.2768102	0.3472657	0.2221170	0.1300225	0.3646237	0.6127950	0.5717539	0.2702734	0.4306739	0.0249845	0.1640132	0.7213231	0.4657683	0.4827230	0.4319418	0.0034562	0.4259710	0.2448223
0.0068311	0.7014537	0.0243314	0.4974121	0.2403718	0.3254368	0.0325976	0.3929540	0.6795692	0.0527966	0.2217106	0.5072059	0.0105431	0.7819657	0.0238172	0.2701704	0.5605876	0.1651948	0.1673879	0.3143591	0.0120804	0.0578521	0.1034270	0.3190832	0.7082384	0.1425009	0.3617194	0.3658576	0.6525563	0.3961945	0.4254043	0.2593723	0.4029008	0.3557605	0.0000000	0.1487477	0.7109203	0.3064479	0.0871788	0.6725528	0.1817789	0.4296013	0.5191167	0.1720234	0.3811522	0.0000000	0.3545255	0.6762518	0.2998050	0.1563189	0.3678058	0.1142580	0.3686878	0.6843820	0.0973773	0.0194277	0.0255466	0.3477408	0.3393242	0.3151151	0.2208164	0.3076478	0.0198051	0.1513583	0.0179444	0.2633991	0.6426099	0.0900653	0.8619435	0.4243500	0.5333169	0.1535569	0.5427856	0.3029064	0.3148354	0.0924999	0.5822350	0.4302501	0.4464030	0.6768875	0.2717003	0.3649068	0.2101129	0.3233832	0.3953456	0.4043941	0.1294299	0.2755956	0.4668478	0.3317736	0.4406844	0.0429683	0.6250498	0.5285303	0.3086748	0.5366663	0.3880228	0.2886406	0.4502217	0.0438243
0.0079314	0.5113726	0.0280240	0.4524343	0.2589742	0.4298777	0.0322974	0.3108755	0.7372404	0.0271702	0.2664493	0.4709374	0.0390633	0.7566823	0.0124999	0.4078972	0.5283096	0.1666697	0.0000000	0.3884363	0.0018104	0.0188788	0.1265922	0.1804213	0.5952270	0.1856896	0.5505755	0.4702741	0.7486720	0.4067414	0.4562449	0.3143942	0.5506144	0.4095071	0.0000000	0.1325338	0.6427594	0.2788871	0.1060043	0.8342446	0.1852353	0.3610829	0.6640390	0.1619760	0.3845855	0.2720809	0.4303027	0.8374591	0.3188881	0.1108771	0.3537456	0.5331117	0.3044459	0.5875813	0.5076295	0.0387473	0.0256245	0.4255117	0.2721888	0.0521895	0.2528272	0.3087646	0.0228807	0.1924455	0.0897375	0.3044900	0.6208382	0.3373090	0.6800623	0.4066385	0.4329805	0.3235215	0.2465324	0.2534561	0.3084786	0.3184923	0.6552264	0.3228897	0.5443182	0.5835970	0.2873853	0.2808166	0.2123853	0.3925337	0.4097208	0.4283901	0.1479544	0.3408157	0.5087444	0.2667666	0.4074867	0.3069433	0.5875413	0.6406164	0.3742967	0.3180834	0.4185459	0.2507224	0.4683609	0.1005285
0.0064658	0.6595584	0.0440630	0.4687951	0.0000000	0.3431592	0.0341306	0.4033374	0.6691576	0.0237627	0.2329597	0.4319437	0.0085828	0.7135069	0.0025680	0.4998495	0.5394458	0.1017724	0.0532763	0.3728334	0.0065156	0.0379807	0.1619887	0.3217867	0.6132094	0.1750242	0.4834208	0.3315753	0.5777226	0.4776167	0.3846079	0.1626431	0.5911859	0.0355618	0.4664268	0.1607211	0.6460384	0.3857260	0.1153466	0.4249767	0.1759036	0.4512079	0.6253643	0.2035143	0.4444036	0.0000000	0.4121329	0.6721562	0.4194716	0.0767846	0.3318853	0.0333226	0.5478267	0.6456121	0.4867275	0.0749448	0.0575367	0.2559909	0.2995628	0.0184576	0.2027134	0.2891065	0.0083521	0.1531554	0.1143004	0.2439957	0.5753241	0.2111045	0.6652857	0.3993801	0.5188317	0.0170889	0.5764255	0.3274832	0.2971817	0.1166873	0.3546614	0.4542677	0.6094858	0.6774403	0.3852992	0.0271710	0.2518940	0.3428234	0.2247712	0.1331694	0.3900504	0.6341719	0.4739396	0.3321139	0.3149360	0.0290433	0.0009224	0.7176398	0.5485878	0.3775695	0.4153433	0.0001979	0.3525615	0.2155119
0.0052065	0.6258773	0.0275979	0.5781916	0.2820128	0.3941612	0.0310014	0.3304959	0.5933672	0.0201743	0.2516054	0.5918821	0.0385263	0.7229870	0.0174207	0.3323282	0.6381391	0.1306836	0.1035460	0.3108674	0.0069136	0.0000000	0.0923872	0.3518341	0.7885879	0.2122197	0.4049831	0.3986259	0.6555046	0.4073678	0.5757897	0.1861240	0.6923025	0.0370218	0.4022818	0.1233107	0.6356125	0.3625402	0.1235572	0.6441571	0.2314077	0.4762841	0.7397576	0.2073430	0.4115441	0.0000000	0.3718628	0.6454524	0.4703956	0.1431707	0.3264707	0.0301589	0.3906222	0.5944465	0.2815373	0.0951744	0.1008688	0.2550231	0.3200379	0.2558649	0.2124586	0.2926569	0.0260643	0.0190541	0.0955550	0.2194901	0.6568815	0.2481064	0.6203706	0.3122745	0.4118996	0.0003189	0.5072493	0.1409992	0.4761741	0.0984513	0.3754399	0.4470611	0.5647461	0.6071330	0.3833404	0.3213280	0.2076878	0.3110329	0.2566237	0.2053855	0.4134728	0.5015259	0.4217836	0.2561886	0.4205089	0.0436463	0.1828606	0.5482835	0.5630726	0.5018051	0.3761080	0.0006228	0.1165243	0.2202237
0.0065131	0.5940529	0.0244925	0.5726612	0.0081885	0.5051800	0.4773426	0.5750460	0.3025670	0.7030566	0.0000000	0.4925535	0.0132183	0.6226774	0.0085894	0.4487549	0.6518942	0.1245535	0.1217142	0.4884369	0.0200805	0.0250475	0.1098801	0.2534617	0.7600692	0.1520699	0.5142755	0.4207725	0.6862257	0.3432311	0.2802580	0.3363622	0.6841780	0.0030102	0.8351887	0.1495613	0.5886425	0.3130261	0.0567861	0.4878285	0.1778766	0.3276960	0.6214882	0.2244569	0.3898639	0.0000000	0.4692143	0.5868941	0.3413346	0.1547343	0.4190816	0.0170757	0.3846906	0.5455607	0.5418150	0.2297759	0.0192817	0.2627423	0.2844896	0.0651746	0.3768931	0.1649371	0.0259007	0.1170848	0.0018025	0.3006301	0.6797373	0.0460187	0.6150153	0.4788872	0.3188297	0.2247264	0.6950072	0.0419715	0.3368031	0.0114925	0.0417006	0.3441042	0.6633150	0.5729844	0.2592401	0.0280064	0.1898901	0.5746787	0.3078188	0.1340364	0.6518413	0.5021661	0.4036030	0.3174422	0.2747434	0.0170695	0.0003101	0.6498810	0.3376274	0.3570975	0.5976419	0.0000241	0.4625413	0.2727328
0.0045253	0.8225792	0.0202160	0.4998562	0.1704557	0.2212073	0.0280509	0.3761901	0.7212797	0.0322820	0.1959449	0.5281603	0.0109835	0.5965526	0.0152820	0.3741919	0.5583485	0.1161547	0.0865830	0.0000000	0.0001834	0.0175911	0.1095770	0.2794715	0.5764090	0.2709798	0.4686603	0.4059990	0.7666592	0.4185362	0.4294861	0.2137019	0.6537128	0.0391110	0.4938850	0.1452691	0.6333973	0.3659421	0.1184599	0.6140892	0.1541221	0.3840640	0.6774435	0.2495430	0.4958638	0.0000000	0.4078740	0.7112305	0.3376833	0.0774801	0.3522161	0.0469984	0.4540714	0.8171446	0.2381818	0.1242165	0.1020917	0.2802449	0.2919426	0.0357117	0.2569187	0.2338071	0.0020020	0.2963877	0.4087321	0.2722590	0.6985665	0.1623754	0.6980916	0.4643947	0.4456552	0.2542984	0.6031937	0.3306020	0.4565444	0.1378981	0.2765087	0.3651953	0.5848022	0.6287949	0.3055939	0.2851002	0.1689169	0.3584002	0.2123356	0.1172302	0.2989032	0.6080911	0.3623228	0.3088140	0.3613801	0.0385007	0.1932419	0.5631608	0.4966646	0.3084714	0.3429888	0.0005479	0.1871969	0.1267369
0.0063491	0.2865328	0.0284929	0.0000000	0.2767430	0.2873939	0.0153281	0.3036873	0.7191361	0.0140786	0.5515804	0.5765777	0.0082737	0.6074919	0.0289905	0.4362339	0.5129660	0.3707834	0.0613415	0.3556859	0.0032690	0.0555783	0.2569933	0.1702814	0.6482894	0.1711361	0.3876938	0.2786596	0.6537026	0.4055996	0.3680735	0.2374147	0.3999555	0.6301312	0.0000000	0.1201183	0.6842320	0.3368022	0.1151523	0.6845775	0.1359308	0.4185683	0.5724799	0.1740263	0.4069339	0.5161186	0.3788160	0.7313250	0.3800364	0.1453045	0.3032631	0.0010113	0.3645644	0.7621308	0.0827560	0.0051042	0.0203902	0.4058456	0.2728373	0.2119294	0.1826697	0.3312663	0.0006518	0.1830810	0.0147856	0.2212467	0.7601093	0.4464147	0.6955676	0.4923779	0.2554808	0.0560791	0.0398604	0.4675876	0.2097642	0.3878970	0.5432343	0.1596730	0.5955703	0.4324021	0.1297970	0.3240494	0.3213956	0.3957964	0.3346631	0.3621406	0.0006782	0.6499757	0.4208322	0.3416807	0.5727408	0.3477538	0.1518229	0.5478779	0.4832830	0.4068437	0.3077544	0.2606980	0.2508422	0.0520439
0.0084876	0.5605148	0.0270216	0.5100552	0.0000000	0.2557689	0.0196075	0.2940037	0.7521965	0.0461126	0.2540863	0.5236723	0.0170283	0.7638112	0.0109818	0.4869916	0.5770842	0.1518510	0.0899067	0.3017631	0.0009619	0.0309509	0.0816100	0.4184024	0.6135101	0.1956629	0.4480104	0.4143786	0.7977840	0.4647069	0.4654486	0.2352739	0.5670426	0.5929494	0.0000000	0.0832789	0.6601374	0.4192258	0.1139244	0.4098703	0.2003468	0.4002734	0.6244898	0.2151182	0.4367188	0.2344991	0.4798328	0.7692246	0.4422880	0.1764043	0.3133755	0.1872327	0.2528531	0.6940708	0.4154449	0.0234719	0.0872368	0.2755918	0.3497404	0.0271426	0.2194799	0.3959576	0.0414331	0.0976813	0.0331235	0.3561802	0.5347983	0.0674683	0.6949590	0.3395388	0.5098662	0.7199130	0.5072894	0.2927368	0.3454976	0.1199848	0.5996266	0.3287897	0.5968492	0.6429571	0.3578722	0.0189915	0.1722312	0.4312141	0.3799477	0.3867422	0.1683741	0.3221565	0.4436416	0.2196225	0.3791016	0.1148058	0.3556643	0.4839127	0.3585630	0.3595385	0.3880214	0.2408181	0.3868834	0.0554891
0.0031806	0.7513671	0.0258027	0.4515303	0.0019350	0.4456095	0.4278557	0.5132668	0.3708208	0.6142356	0.0000000	0.4432865	0.0155902	0.6529541	0.0044400	0.3577627	0.6931846	0.2013876	0.1845385	0.6126886	0.0118527	0.0536651	0.2279820	0.2414470	0.6660687	0.1668954	0.4257234	0.4014997	0.7068276	0.4723195	0.3830642	0.6478757	0.5267582	0.2264226	0.0000000	0.1347051	0.5283922	0.2373766	0.0388795	0.3749716	0.1229154	0.4308406	0.6190720	0.2273383	0.4777902	0.2068385	0.4373876	0.6368267	0.3872072	0.1992572	0.2860313	0.0525023	0.3673874	0.6534597	0.6055075	0.0136948	0.0269338	0.3313644	0.2183475	0.0669880	0.4284334	0.3305609	0.0004255	0.0643998	0.0022030	0.3316005	0.5669357	0.0019869	0.6840254	0.3196427	0.1944835	0.5241323	0.5983083	0.2409659	0.3797305	0.2876215	0.4451266	0.2472972	0.7148849	0.5929714	0.2778265	0.0489496	0.2506068	0.4903060	0.4256702	0.1674291	0.2250967	0.3290174	0.3408829	0.3788188	0.3038853	0.0338021	0.3677453	0.5449774	0.2453181	0.3280841	0.4137555	0.2828134	0.3796601	0.6119632
