"G_i"	"G_j"
9	40
9	13
9	15
13	40
15	40
17	18
40	48
9	48
13	15
15	48
24	40
13	48
16	23
6	18
10	25
15	33
16	40
23	40
2	18
9	33
13	33
16	17
16	24
17	40
25	40
33	40
2	6
6	17
6	32
9	39
13	39
16	25
23	25
24	27
25	27
27	40
28	40
39	40
39	48
2	9
2	17
4	17
4	40
9	24
10	23
15	39
17	23
17	24
17	25
17	30
18	40
23	24
24	25
24	28
33	48
40	45
2	7
2	40
4	9
4	13
4	27
7	17
7	18
9	27
9	45
10	27
10	40
13	24
13	45
15	24
15	26
15	45
16	18
24	45
26	40
27	37
3	40
4	6
4	18
4	19
4	28
4	37
6	9
9	11
9	18
9	26
10	16
11	13
11	15
11	40
11	45
13	26
13	27
13	34
15	34
17	27
17	32
18	24
18	25
18	30
