"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G56A	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.5090295	1.0243043	0.1785784	0.8008087	0.8734992	0.4580162	0.2677243	0.7053205	0.4614875	0.7168706	0.9117748	0.8779719	1.0096715	0.3344047	0.7372331	1.1159502	0.5743655	0.6242135	0.5506215	0.0269947	0.0915523	0.4962933	1.0069149	0.8011003	0.5115248	0.5013606	0.3344071	0.4865935	0.9529574	0.5909902	1.0221126	0.1752719	0.4063037	0.7399797	0.8048344	0.8649164	0.3773813	0.6680964	0.6981775	0.2807362	0.2763287	0.8695922	0.7662055	0.9605394	0.2478111	0.6415918	1.0101391	1.0106366	0.7463090	0.6498035	0.9103359	0.6309563	0.0004025	0.3225246	0.0483002	0.0189979	0.0511088	1.0034967	0.3635698	0.2279677	0.7269912	0.5816536	0.7311222	0.0001186	0.8515538	0.5099174	1.0170843	0.1796885	1.0550105	0.0424962	0.2223851	0.2516363	0.5219003	0.9878830	0.3839366	0.4911192	0.9612849	0.0077803	0.1563508	1.0705296	0.9863035	0.7264120	0.3170840	0.2138578	0.7519955	1.0117246	0.4260345	0.7783477	0.4278119	0.3737210	0.5569916	0.0150366	0.6874385	0.5100799	1.0085583	0.2508721	0.7956305	0.7990436	0.0606868	0.1775642
50	0.6495856	0.8804863	0.1330376	0.8957223	0.7448499	0.5054570	0.2043288	0.6749739	0.5176762	0.8347618	1.0258866	0.6048538	0.9818924	0.3117664	0.7637949	1.0462901	0.6206082	0.6063449	0.4209520	0.2454489	0.1113283	0.5307399	1.0580248	0.7345855	0.3131187	0.8575809	0.3237364	0.4029889	0.9126593	0.5182761	0.3885259	0.1726048	0.4586002	0.6845531	0.8132935	0.4319060	0.3725659	0.8412451	0.5576590	0.3226694	0.1754921	0.9410559	0.8680782	0.7633526	0.3047250	0.5979182	0.9724070	0.4886915	0.7613941	0.6115245	0.8467811	0.6069339	0.0024531	0.3858487	0.1799752	0.0355859	0.0384783	1.0640963	0.4265199	0.1801982	0.7289892	0.5954206	0.7309740	0.0003714	0.8611946	0.5474373	0.9980357	0.2361362	1.0519324	0.0271057	0.0982752	0.3898965	0.5123814	0.8146565	0.4347956	0.5001845	0.8327713	0.0432316	0.2598696	0.8702729	0.9592359	0.7455300	0.3131962	0.1214700	0.6886805	0.5918531	0.5704664	0.7561355	0.3940315	0.2412961	0.5715101	0.4854022	0.8456324	0.5328174	1.0007755	0.2470718	0.8225049	0.6542138	0.0161292	0.2383651
100	0.6336619	0.9213426	0.1465047	0.8622561	0.6436073	0.4559988	0.2675416	0.6636306	0.5446331	0.9240879	1.0200887	0.5142454	1.0754924	0.3298977	0.7489038	1.0509636	0.7292812	0.6287197	0.4718800	0.3147960	0.1141901	0.5037513	1.0051378	0.6514361	0.3302873	0.8012134	0.2840410	0.4610899	0.9679876	0.4291670	0.2358233	0.1361580	0.4095419	0.6426259	0.9107076	0.3467072	0.4184606	0.8798225	0.3413851	0.3038389	0.1149876	0.7543852	0.8366633	0.5828745	0.3230732	0.5857243	0.9246745	0.3726025	0.7525723	0.6210743	0.6478647	0.5785920	0.0006461	0.3954719	0.2731916	0.0384356	0.0320805	0.9439931	0.3816009	0.2005771	0.8466153	0.4870323	0.6391124	0.0000241	0.9083697	0.5933803	1.0203350	0.1774751	1.0020728	0.0215425	0.0483565	0.4424308	0.4503009	0.7526466	0.3504679	0.5120772	0.8776697	0.0469531	0.4929690	0.8522775	0.9470789	0.7455713	0.3066236	0.1104160	0.7093069	0.4933585	0.5932767	0.8826868	0.2667423	0.2478162	0.6547588	0.5352050	0.8772644	0.5288474	0.9892095	0.3128262	0.7766915	0.6179542	0.0124875	0.3938061
150	0.7017718	0.9373481	0.1427123	0.9636757	0.5770001	0.4457455	0.3001108	0.6193365	0.5451520	0.8231754	0.9696589	0.4695483	1.0652417	0.3896480	0.6891201	0.9655886	0.6824849	0.6206015	0.4943690	0.3726533	0.1326519	0.5372534	0.9299274	0.5497800	0.2991917	0.8355105	0.3536080	0.4590816	0.9822524	0.3378595	0.2241216	0.0914721	0.4012057	0.5897884	0.9456492	0.3915367	0.4409010	0.9437150	0.3366942	0.2755844	0.1182656	0.6263450	0.8188957	0.5765520	0.3399804	0.6707294	0.9842694	0.3145497	0.6855330	0.6728362	0.5301547	0.5469704	0.0004189	0.5566430	0.2905028	0.0155688	0.0141086	0.8796940	0.4072649	0.1989274	0.7743371	0.5067419	0.6532311	0.0000225	0.9253453	0.5445769	1.0764278	0.1899933	1.0084239	0.0239869	0.0524752	0.5625367	0.4905838	0.7237142	0.3261706	0.4612563	0.7306398	0.0711223	0.5939844	1.0083842	0.8947072	0.6598960	0.3340418	0.0683867	0.7184362	0.4734095	0.5053736	0.9350503	0.2421357	0.2236028	0.6453887	0.4857691	0.8986222	0.4462070	0.9330940	0.4454865	0.7779419	0.5691907	0.0042697	0.4953130
200	0.7534769	0.8223715	0.1329373	0.8969421	0.4619830	0.4263531	0.2303179	0.6224661	0.4316486	0.7532042	0.9173003	0.4754224	1.0171886	0.3741448	0.8290818	0.9327515	0.6313472	0.6506647	0.5016716	0.3931182	0.1492820	0.6245968	0.9298902	0.6550322	0.3542793	0.9581356	0.3733263	0.4413086	1.0041774	0.2366782	0.1879104	0.0919576	0.4408472	0.5835860	1.0179713	0.3879130	0.4229649	0.9767619	0.5693412	0.2584354	0.1391796	0.6450432	0.7021352	0.5291748	0.3764937	0.6863938	1.0124547	0.3169217	0.7539664	0.5886938	0.4579865	0.6227299	0.0002948	0.5610558	0.2621874	0.0235029	0.0097285	0.9139287	0.2799554	0.1404955	0.8161496	0.4889140	0.6450195	0.0005691	0.8804238	0.6505563	0.9596443	0.1613787	1.0410679	0.0440821	0.0611763	0.6842083	0.4786251	0.6847181	0.3406180	0.4386279	0.5440633	0.0533132	0.6880701	1.0070569	0.8639050	0.6289521	0.3420476	0.0574906	0.6525186	0.4897198	0.4623496	0.8508896	0.2311578	0.1929705	0.5603049	0.4907231	0.9701571	0.5092980	0.9845857	0.5089700	0.8368671	0.4893326	0.0097775	0.4074799
250	0.6892635	0.7331659	0.1535008	0.9494162	0.4532679	0.4118914	0.2397341	0.6057681	0.4793754	0.7858936	0.9386475	0.5207942	1.0338888	0.3741013	0.7879196	0.9430469	0.6767355	0.6492582	0.5070246	0.3069739	0.1606957	0.5736459	0.9853913	0.6057550	0.3550567	0.9622915	0.4370331	0.4397331	1.0157466	0.2248399	0.2176911	0.0783734	0.4414591	0.5444917	0.9659540	0.3572730	0.4330414	0.8045644	0.6239643	0.2750283	0.1338941	0.7455082	0.7423534	0.4702923	0.4260518	0.6329082	0.9329713	0.3069923	0.7592857	0.5481109	0.5129569	0.6817697	0.0010003	0.6100036	0.2758575	0.0272519	0.0074023	0.9433878	0.2942291	0.1837819	0.7789038	0.5249708	0.7037910	0.0002609	0.9983205	0.5950283	1.0036689	0.1409479	1.0694627	0.0600769	0.0686706	0.7328570	0.5566164	0.7107594	0.3230530	0.3976042	0.4839898	0.0363033	0.8749616	0.9568068	0.8882870	0.6797172	0.3368398	0.0462354	0.6786105	0.4797141	0.4653242	0.9064396	0.2817013	0.2239035	0.5893181	0.4479920	0.8661253	0.4833021	0.9170551	0.5647637	0.7853501	0.4819877	0.0095177	0.3649647
300	0.6900810	0.8413252	0.1392526	0.9473586	0.4410078	0.3997515	0.1985696	0.6582259	0.4431439	0.7534369	0.9434833	0.5314424	1.0265438	0.3557632	0.6940256	1.0300657	0.6423288	0.6408834	0.5224955	0.3338048	0.1699160	0.5407887	0.9732428	0.5659073	0.3632253	0.8929433	0.4336325	0.4412559	0.9536632	0.1736719	0.2253315	0.1081377	0.4384998	0.5000865	0.8394894	0.4137928	0.3575535	0.6295415	0.8651692	0.2666235	0.1468579	0.7507242	0.6599732	0.5016284	0.4146984	0.6085418	0.9781602	0.3246021	0.7501025	0.5574103	0.4810206	0.7158344	0.0007798	0.6961254	0.2948051	0.0305685	0.0015585	0.9515023	0.2566506	0.1895479	0.8002007	0.5325300	0.6622627	0.0002794	0.9227037	0.5040077	0.9155341	0.1709120	1.0286091	0.0789527	0.0614610	0.7304227	0.4983755	0.6878132	0.3771198	0.3462330	0.4370999	0.0479601	0.8435255	0.9232348	0.9229271	0.6407784	0.2861651	0.0654955	0.6658646	0.5213975	0.5241425	0.8574623	0.3025354	0.2453281	0.6118045	0.5043134	0.9328879	0.5044655	0.9606778	0.7276566	0.8142671	0.5556267	0.0158197	0.3725287
350	0.6650976	0.9861525	0.1272402	0.9316151	0.4646359	0.3802848	0.2541737	0.6591007	0.4997389	0.8302003	0.9450427	0.5068615	0.9967199	0.3148936	0.6918721	1.0228092	0.6039848	0.6889023	0.5299842	0.3267254	0.1536483	0.5075036	0.9825882	0.6531205	0.3797732	0.8586772	0.4362127	0.4311549	0.9830588	0.1711172	0.1541949	0.1296265	0.4925696	0.4632617	0.8522817	0.3449381	0.3323638	0.5769627	0.5683607	0.2491198	0.1567094	0.7110432	0.6642982	0.5039460	0.3926622	0.5987099	0.9903405	0.3242430	0.7292319	0.5585563	0.5565595	0.6994947	0.0028849	0.7910025	0.2716553	0.0286191	0.0057946	0.8975862	0.2781712	0.2354793	0.7910445	0.5572916	0.6535923	0.0000000	0.9910513	0.4824859	0.9632437	0.2397370	0.9418324	0.0549601	0.0723281	0.6364322	0.4637676	0.7376740	0.3604859	0.3453013	0.4514058	0.0427857	0.8011753	0.8458205	0.9038859	0.7002719	0.2739271	0.0603982	0.5839697	0.4560235	0.5063866	0.8695649	0.2696278	0.2519777	0.5791111	0.4435814	0.7953294	0.4867747	1.0170371	0.6529727	0.8247878	0.5583083	0.0242633	0.3822442
400	0.6673808	0.9647569	0.1678461	0.9532320	0.4773725	0.3929096	0.1734075	0.6962716	0.4346998	0.8077390	1.0251958	0.4263406	1.0400939	0.3681680	0.6869938	0.9382655	0.5831909	0.7180029	0.4710684	0.3801163	0.1304780	0.5010803	0.9614381	0.6463870	0.4148564	0.9072641	0.5532101	0.4465958	0.9315789	0.1549708	0.1691873	0.1034527	0.4801259	0.4478524	0.8149970	0.3982127	0.3223113	0.5078150	0.8381310	0.2563177	0.1525710	0.7931410	0.6632617	0.4024764	0.3692194	0.6648150	0.9944096	0.3220721	0.6735625	0.5667104	0.5834199	0.7328339	0.0010971	0.7043988	0.2404021	0.0195539	0.0072235	0.8849850	0.2704123	0.2665368	0.9513624	0.5373428	0.6138595	0.0000182	0.9690646	0.4076764	0.9695828	0.2263556	1.0126737	0.0772502	0.0826568	0.5625134	0.5958461	0.7004656	0.4271475	0.3358302	0.4763280	0.0434809	0.8091526	0.8199570	0.9199631	0.6435323	0.2601472	0.0611096	0.5777505	0.4788577	0.4805397	0.9795216	0.3126839	0.2672824	0.5794180	0.5262723	0.8455953	0.4865282	0.9984901	0.6662211	0.8218711	0.5072975	0.0374380	0.3587214
