G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G76A	G94	G95	G96	G97	G98	G99	G100
0.3127784	0.0000000	0.1543830	0.2759147	0.7407024	0.1771648	0.0039463	0.2657840	0.1333465	0.5295914	0.3633458	0.2946915	0.0000000	0.4571340	0.0348143	0.3818978	0.2526932	0.4000184	0.4647145	0.0336594	0.1625446	0.4423638	0.5137120	0.4309950	0.5209209	0.0293956	0.2896831	0.0234586	0.0360429	0.0205709	0.0046553	0.3083734	0.5446092	0.0708824	0.7039049	0.0053647	0.5893965	0.1804670	0.1368194	0.0982732	0.4935658	0.3535398	0.5325636	0.2016682	0.4345099	0.4486086	0.6297627	0.4849724	0.5465479	0.1480715	0.6246256	0.3844447	0.3050133	0.4895032	0.5857332	0.0322546	0.5594660	0.0832107	0.0081933	0.1075542	0.0002273	0.2291145	0.1604343	0.0800669	0.4073170	0.5483330	0.1599351	0.1864138	0.0199647	0.0674392	0.0412640	0.2782215	0.1274489	0.4420837	0.2971014	0.0792496	0.5006307	0.2137568	0.4844455	0.1977170	0.7109029	0.4199896	0.1538853	0.4960652	0.3030775	0.0457321	0.4292412	0.0095769	0.8861207	0.4953061	0.4029665	0.4771641	0.3664688	0.5807877	0.3190195	0.4279051	0.5880906	0.5205254	0.3331217	0.7236786
0.1144560	0.3778093	0.1257950	0.2769046	0.7237374	0.2195261	0.0028437	0.3428415	0.1783372	0.5944067	0.3771148	0.2108616	0.0000000	0.4152250	0.0184046	0.4383160	0.2777959	0.4218265	0.4692349	0.2039443	0.0947476	0.4326108	0.5299093	0.3843868	0.4387319	0.0305442	0.2344099	0.0265706	0.0207498	0.0126799	0.0027228	0.2921267	0.5741564	0.0984700	0.5576854	0.0082759	0.6742855	0.1064041	0.1585248	0.0543517	0.3781852	0.5470634	0.0000000	0.4759776	0.0829388	0.0559125	0.7573978	0.6053104	0.8971949	0.1341309	0.6136492	0.3888550	0.1355435	0.4211458	0.4446715	0.0606744	0.5351414	0.0827093	0.0088078	0.3248829	0.0004303	0.2061657	0.1728269	0.0597962	0.2694966	0.6832610	0.3969673	0.2518498	0.0572224	0.0006554	0.3991659	0.2623649	0.2362191	0.5090070	0.2813726	0.0702493	0.4933577	0.3951070	0.3177402	0.0001209	0.7643980	0.3851535	0.0062783	0.3507534	0.2615047	0.1785318	0.4947129	0.0870670	0.7054098	0.4744969	0.4108934	0.3740706	0.3735445	0.6036549	0.3798121	0.0379513	0.4373087	0.4706385	0.2395256	0.3675675
0.3171585	0.0000000	0.0635127	0.2175022	0.6452295	0.1369006	0.0035917	0.2703567	0.2516935	0.7644883	0.3445441	0.3573579	0.0430877	0.4929891	0.0101797	0.4224888	0.3759084	0.4250099	0.5309023	0.0543205	0.1061675	0.3947409	0.6096012	0.3129535	0.3911238	0.0794793	0.2527826	0.0223911	0.0415398	0.0461284	0.0017533	0.3325384	0.4543648	0.0614364	0.5418445	0.0330678	0.5736754	0.1103535	0.1589407	0.0597290	0.3909697	0.4559286	0.0000000	0.4318175	0.4082817	0.6397277	0.5983002	0.4764056	0.4975060	0.1141771	0.6311765	0.4713575	0.3616700	0.4075989	0.4590323	0.0164225	0.4817083	0.0703991	0.0014778	0.1466046	0.0002866	0.2485130	0.2006255	0.0663031	0.5033235	0.5630351	0.4494362	0.3358643	0.0626906	0.0309545	0.0121062	0.2938020	0.2223804	0.4092706	0.2803710	0.0654387	0.5040486	0.2128645	0.4290064	0.2649291	0.6263508	0.3980430	0.1394376	0.5182021	0.3385445	0.1428791	0.4131535	0.0417047	0.6748537	0.4942159	0.3022957	0.4009130	0.3185046	0.5969329	0.2565911	0.2237546	0.6133551	0.4169922	0.2695711	0.6113944
0.0515026	0.6133657	0.0903092	0.2808789	0.7148846	0.2233994	0.0020587	0.4249055	0.1840126	0.5061055	0.3034475	0.1977112	0.0000000	0.5847363	0.0425531	0.5682474	0.3172521	0.3890939	0.4898195	0.1172023	0.0992564	0.4746511	0.5057812	0.3902371	0.4005097	0.0230678	0.2116504	0.0259794	0.0308156	0.0108120	0.0092988	0.2693404	0.5037432	0.0837572	0.6120973	0.0142293	0.7492337	0.1484211	0.1416878	0.0341861	0.5317853	0.3971369	0.5021295	0.4402339	0.1033558	0.0000000	0.4472860	0.5374552	0.6388277	0.1592104	0.4801987	0.4085865	0.0955116	0.5683755	0.4577224	0.0254623	0.5236102	0.1261975	0.0125193	0.3943879	0.0002793	0.1551385	0.2683857	0.0734318	0.3602885	0.6465712	0.2171194	0.6050207	0.0069821	0.0009164	0.3530510	0.1967281	0.2747330	0.5022067	0.2179889	0.0796636	0.4365956	0.0687273	0.5284223	0.0006830	0.6761802	0.4135849	0.0111406	0.5699319	0.3141311	0.0825631	0.5152881	0.0106298	0.5381741	0.6126201	0.3151864	0.3512399	0.2857689	0.6213662	0.3908996	0.0690476	0.4163934	0.4253200	0.2773919	0.2763884
0.0187099	0.5338864	0.1424899	0.2102390	0.7537561	0.1524244	0.0001291	0.3541532	0.1984752	0.5382451	0.3583965	0.1692540	0.0000000	0.3643201	0.0303670	0.5781469	0.2161918	0.4004832	0.4498326	0.1288621	0.1196507	0.3268498	0.5129879	0.4864245	0.4527757	0.0173529	0.2675673	0.0285920	0.0000000	0.0203014	0.0035940	0.2994195	0.3838960	0.0827543	0.5356172	0.0130444	0.5334775	0.1008294	0.1276626	0.0576272	0.4793364	0.4534393	0.4226637	0.2930608	0.3735083	0.3860947	0.7415464	0.5158331	0.4484210	0.1374308	0.6090037	0.4237346	0.1686035	0.5183035	0.3872681	0.0184853	0.5659199	0.0535074	0.0321464	0.0783591	0.0001576	0.1596073	0.1498847	0.0537026	0.5692641	0.4107339	0.1132154	0.5251199	0.0008678	0.0845658	0.3988196	0.2695614	0.0339963	0.5634709	0.2539867	0.0922518	0.3836038	0.4453715	0.7668829	0.0032736	0.6447571	0.4069947	0.0061199	0.5249013	0.2820804	0.0034882	0.4578021	0.0063086	0.6120202	0.4472243	0.3203473	0.3974116	0.4065523	0.5190637	0.3662934	0.1408165	0.3816416	0.6371142	0.3194575	0.5640227
0.1336043	0.3132478	0.0695768	0.2658289	0.6957460	0.1102179	0.0019527	0.4518514	0.2601106	0.4336132	0.3596088	0.2426349	0.0000000	0.6375407	0.0139098	0.5114092	0.2312069	0.5043838	0.4233486	0.4407897	0.0046515	0.5767956	0.7380010	0.3294467	0.2745722	0.0687731	0.2889797	0.0121043	0.0255878	0.0113034	0.5569748	0.4581289	0.6091866	0.6296330	0.0000000	0.0018414	0.6227910	0.1091782	0.2149291	0.0388593	0.4820234	0.3235330	0.6158271	0.2298569	0.4568945	0.3939995	0.5193838	0.4779673	0.6199714	0.1816448	0.4894061	0.3380013	0.0986098	0.5965573	0.4304080	0.0542710	0.4326490	0.1196839	0.0001875	0.1821638	0.2845328	0.1842249	0.1359800	0.1741428	0.2172369	0.4014074	0.2773764	0.6026867	0.0108937	0.0897642	0.4194827	0.2125297	0.1077625	0.4815511	0.3934877	0.0344394	0.5048499	0.4549877	0.4579246	0.0001178	0.7155326	0.4868248	0.0247486	0.6571467	0.3282791	0.0502356	0.4094359	0.0157269	0.6054057	0.4658238	0.3559513	0.4225457	0.3331645	0.8032309	0.3678976	0.3831986	0.5349145	0.6034622	0.2742649	0.6313446
0.1083148	0.4671777	0.0782514	0.2318779	0.7327781	0.1895443	0.0017924	0.2154910	0.1695655	0.5029950	0.3518948	0.2513896	0.0000000	0.4114004	0.0236425	0.5665222	0.2536365	0.4232230	0.5690919	0.0089982	0.1346815	0.4289018	0.6084758	0.3751778	0.4042009	0.0201495	0.3465996	0.0143968	0.0396036	0.0107753	0.0030330	0.2312504	0.5569154	0.0606660	0.7253831	0.0193257	0.5653550	0.1200428	0.1366223	0.0931583	0.5772651	0.3751942	0.6305934	0.0000000	0.3494442	0.4620057	0.7837538	0.4869211	0.4829231	0.0885720	0.7756726	0.4716273	0.2556471	0.6431770	0.4793547	0.0248723	0.7028178	0.0893312	0.0110731	0.0891248	0.0001048	0.2487148	0.1652389	0.0414497	0.3890406	0.4140163	0.2131282	0.5875466	0.0050730	0.1394756	0.4156334	0.1698186	0.0255458	0.5699086	0.2416432	0.0710041	0.4507361	0.3101554	0.6220847	0.0002056	0.6906999	0.3918324	0.0005712	0.7608163	0.3184928	0.0038800	0.5999585	0.0111365	0.6148402	0.4190557	0.4235410	0.3973728	0.2547331	0.6676362	0.3066932	0.1674111	0.4619827	0.7014696	0.2849573	0.7514923
0.3081421	0.0000000	0.0384735	0.1411387	0.6343959	0.1109436	0.0023913	0.3782860	0.2190503	0.5275659	0.2867635	0.5352804	0.1664692	0.6339945	0.0382665	0.5976173	0.2943134	0.5545641	0.5985905	0.1737152	0.0053361	0.5764834	0.6618441	0.1383576	0.3060847	0.2541275	0.2868667	0.0230781	0.0402980	0.0059911	0.3962802	0.4903399	0.6925984	0.7145993	0.0000000	0.0018105	0.4930897	0.1656081	0.1676522	0.1022948	0.4193383	0.3599922	0.2665529	0.1978219	0.4577356	0.3975184	0.6078123	0.5180579	0.4702316	0.2098497	0.5437260	0.3794270	0.3252718	0.6005803	0.7570046	0.0389527	0.4400634	0.0554994	0.0002039	0.0891354	0.1890854	0.2301336	0.1217850	0.2621829	0.3233759	0.3917368	0.3193230	0.2446697	0.1475161	0.0604772	0.0708475	0.4707488	0.0847236	0.3954980	0.4942469	0.0648621	0.6050326	0.2965691	0.2379616	0.3109674	0.7939775	0.5018162	0.4131425	0.5150845	0.3610197	0.1487262	0.4938876	0.1193012	0.6084486	0.4139386	0.3733789	0.3879699	0.4264238	0.6927911	0.1594843	0.6000161	0.6479077	0.4772696	0.2565271	0.5553666
0.3757915	0.0000000	0.0260207	0.1795486	0.6718195	0.0681204	0.0018133	0.3600628	0.1861114	0.4652144	0.3664832	0.5694599	0.1292574	0.5347527	0.0214634	0.5405137	0.2454037	0.4133996	0.3789711	0.6830551	0.0913331	0.4034659	0.6787606	0.1752476	0.5590457	0.1945972	0.3036986	0.0342883	0.0615366	0.0081977	0.0165128	0.3592440	0.5493100	0.2322292	0.2245116	0.0040634	0.6564830	0.1349454	0.1336335	0.1191061	0.4656308	0.4155999	0.2591238	0.0000000	0.7149696	0.6556056	0.6000944	0.5025017	0.6938052	0.1259214	0.5739686	0.3597473	0.3782917	0.5340590	0.5718448	0.0136958	0.4403286	0.0500342	0.0034976	0.0232507	0.0237735	0.3976465	0.1385119	0.2067237	0.2690397	0.4018694	0.1035890	0.2600407	0.1791856	0.1331870	0.0579602	0.1952706	0.0028244	0.3842388	0.3546313	0.1163035	0.5503605	0.6510318	0.5208068	0.2339257	0.6445802	0.4383537	0.3852018	0.5812473	0.4410507	0.0234669	0.4459121	0.0986240	0.7445672	0.5603178	0.3215937	0.4046451	0.3437611	0.7132439	0.1420107	0.6387838	0.7473245	0.3794299	0.2967840	0.8028395
0.2994633	0.0000000	0.0585150	0.2190923	0.7013441	0.0596376	0.0079776	0.2959551	0.1858181	0.5200908	0.3279282	0.5828119	0.1629905	0.4766519	0.0159753	0.4788217	0.3368138	0.4889940	0.4756945	0.2927336	0.0812479	0.5164670	0.6715500	0.1765650	0.3130195	0.2571774	0.2499404	0.0231157	0.0382362	0.0071660	0.0072275	0.3801261	0.6225723	0.2073197	0.2804627	0.0085147	0.5310831	0.2049442	0.1714048	0.1013806	0.4929455	0.4468979	0.1466604	0.5455723	0.0759481	0.0000000	0.6375632	0.5362502	0.6040711	0.2279049	0.5677575	0.3008751	0.2680370	0.4662949	0.5313505	0.1889161	0.5068754	0.0469902	0.0028518	0.2317892	0.0117557	0.2369864	0.1541155	0.0474700	0.3742185	0.6662478	0.3457555	0.1596771	0.3923884	0.0013870	0.0272203	0.2681498	0.1704370	0.4229259	0.3280499	0.0772632	0.4279787	0.6248318	0.2510065	0.1991615	0.6801976	0.5015116	0.3765362	0.3850267	0.3363503	0.2673420	0.4809068	0.1246018	0.7009066	0.4707187	0.3778185	0.4280785	0.5725612	0.5814616	0.1281234	0.2590533	0.5217560	0.5093072	0.3188799	0.3673912
