Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G68A	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.0054912	0.7447631	0.0642527	0.8210472	0.2921471	0.5880082	0.0225722	0.4838091	0.9656195	0.0443711	0.4306447	0.6975475	0.0147112	0.9749427	0.0282003	0.6737723	0.9913921	0.1651804	0.1197632	0.5242371	0.0067494	0.0365355	0.1255950	0.4302496	1.1112670	0.2854071	0.6175497	0.6031904	0.8850846	0.6937330	0.7099076	0.2045984	0.9118438	0.0563209	0.7272756	0.2074722	0.9455934	0.5184240	0.1652896	0.9267332	0.2747902	0.6682682	1.0442520	0.2641483	0.6140724	0.4728385	0.6302928	1.0226727	0.6634131	0.2133879	0.4887097	0.0381828	0.7228903	0.9853291	0.5485595	0.1062818	0.0613356	0.5268821	0.4588654	0.2251687	0.2840861	0.4368842	0.0884648	0.1875157	0.2120565	0.5545848	0.8928975	0.9052471	0.9261154	0.5926021	0.7848168	0.1676130	0.2934991	0.2870831	0.6595986	0.5726836	0.5456937	0.5306169	0.8687033	0.9647560	0.4905623	0.4923850	0.3680029	0.5405728	0.3727826	0.2236655	0.6425572	0.9691270	0.6764887	0.4389795	0.7060530	0.3463237	0.2803171	0.9766520	0.7972715	0.5442647	0.5465106	0.0032703	0.5090797	0.4472386
50	0.0038912	0.6746463	0.0625349	0.8460606	0.3298484	0.6012422	0.0499961	0.5151148	0.9460463	0.0532342	0.5629890	0.8220039	0.0247651	0.5779761	0.0172352	0.6843265	0.7240200	0.1943951	0.5647732	0.4803529	0.0000000	0.0463950	0.1182256	0.4180694	1.0623978	0.1917431	0.6994850	0.5201436	1.0056558	0.7841726	0.7228468	0.2650851	1.0768463	0.0664960	0.8242600	0.1449175	0.9581828	0.4118375	0.1624768	0.9186771	0.3826601	0.5582144	0.8985214	0.2830156	0.5406788	0.4706291	0.5725612	0.9532904	0.5483412	0.2733921	0.5139812	0.0359238	0.9596820	0.9576276	0.5682094	0.1610819	0.0345309	0.4020834	0.4626624	0.2691594	0.2567496	0.3070243	0.0418698	0.1430881	0.2454859	0.5537322	0.9734986	0.8161869	0.7809874	0.6137976	0.7131369	0.0921097	0.3750466	0.4073339	0.5787347	0.5144743	0.4803752	0.5115601	0.7708629	0.9213440	0.5635156	0.4413179	0.4410402	0.6002701	0.3403617	0.2828313	0.6748563	0.7461597	0.5911609	0.3966060	0.6131854	0.3164117	0.2518838	1.1148680	0.9256844	0.5779922	0.5788281	0.0037242	0.6074228	0.5189762
100	0.0063030	0.5618686	0.0521423	0.8540461	0.4867733	0.8688213	0.0232711	0.4884687	0.9694467	0.0605653	0.6160458	0.8984428	0.0859536	0.3820680	0.0299171	0.6780042	0.6888719	0.2104838	0.8031508	0.4877621	0.0058086	0.1189180	0.1454072	0.2286727	0.9319097	0.0992996	0.6904868	0.5221677	1.0992367	0.6937715	0.8216344	0.2282740	1.0512164	0.0943319	0.8568221	0.1787857	0.8148122	0.4812144	0.1745610	0.8025087	0.5095858	0.6082171	0.7321910	0.2565350	0.6343036	0.4563418	0.6117326	1.0031782	0.5459108	0.3760630	0.5655632	0.0389795	1.0253523	0.9881691	0.5225948	0.1232200	0.0465159	0.3871782	0.2545786	0.4121253	0.2126331	0.2856791	0.0641926	0.0972940	0.3670920	0.5350968	0.9914561	0.7897912	0.5086962	0.6527614	0.6987294	0.0438865	0.4747794	0.3905443	0.6346558	0.5924300	0.5762369	0.4030079	0.7354046	0.8219564	0.5185834	0.5088534	0.7237237	0.6293244	0.3912298	0.1578940	0.7978013	0.5735199	0.6339346	0.3874649	0.6719332	0.3183004	0.2637307	1.0349530	0.8037670	0.5448020	0.6095112	0.0055423	0.7076599	0.7351270
150	0.0066275	0.6555292	0.0767084	0.7024626	0.5143385	0.9045547	0.0172599	0.4622615	0.8834924	0.0591142	0.5924252	0.7911033	0.2800045	0.3513024	0.0259247	0.6512457	0.6748213	0.2150444	0.8575735	0.5301820	0.0215988	0.1284063	0.4270258	0.1088917	0.9620421	0.0448830	0.6078728	0.4658010	1.0105206	0.7595930	0.8047359	0.2370629	0.9974518	0.0756453	0.9010881	0.1677964	0.7570048	0.5043862	0.1457932	0.8094651	0.5043127	0.4729030	0.5583620	0.2886110	0.6990187	0.5606787	0.6528936	0.9694782	0.6071840	0.4662944	0.4765006	0.0343703	1.0130106	0.9663344	0.5030395	0.1179091	0.0411396	0.4612955	0.1426192	0.5440543	0.2810546	0.3080389	0.0564576	0.0535052	0.3867513	0.5138755	0.9270350	0.8054709	0.3768531	0.7678377	0.7017205	0.0274792	0.4848385	0.4639798	0.6642984	0.6795903	0.5060326	0.3755920	0.7511219	0.8632765	0.5445907	0.6753031	0.8222169	0.5409449	0.3679526	0.1226599	0.7561678	0.4098565	0.6568192	0.4033982	0.6825747	0.3043664	0.2544690	0.8875375	0.8930595	0.7004221	0.6042655	0.0050066	0.7651707	0.7346823
200	0.0082404	0.5399518	0.1845803	0.5623647	0.5420944	0.9114032	0.0229614	0.5299704	0.9477447	0.0568678	0.7030613	0.6372082	0.4591574	0.3328966	0.0328090	0.5858865	0.7419642	0.2160362	0.9113700	0.5823290	0.0282261	0.1058819	0.7244417	0.0786759	1.0083662	0.0181956	0.6546200	0.4460846	1.1649432	0.7461219	0.7945482	0.2575602	1.0212760	0.1272408	0.9040057	0.2068872	0.6687651	0.4446405	0.1592290	0.8692242	0.4162701	0.3397169	0.3994222	0.2989737	0.6808881	0.5720365	0.6227984	0.9594579	0.6571356	0.5870508	0.5388666	0.0205502	0.8839865	1.0385183	0.4988234	0.1646695	0.0739934	0.4205044	0.0774092	0.6029000	0.2921126	0.3066704	0.0985074	0.0121576	0.3545314	0.4982188	0.9643993	0.9062844	0.3156656	0.7720927	0.6716051	0.0122087	0.5192630	0.4937855	0.5965789	0.6826043	0.5120323	0.2463802	0.8320765	0.9340040	0.5214648	0.6611624	0.8683838	0.5026282	0.3793878	0.0648623	0.7385022	0.2871593	0.6129132	0.4175790	0.7198430	0.2987861	0.1735921	0.8270539	0.8635315	0.7520828	0.6528715	0.0017933	0.7398882	0.7298880
250	0.0189785	0.2933947	0.2395282	0.5173423	0.5142663	0.9341616	0.0312086	0.5658645	1.0154063	0.0479332	0.7105479	0.5632221	0.5663634	0.3165225	0.1293016	0.7118108	0.7308360	0.2259042	1.0166465	0.6931436	0.0329943	0.1270788	0.9133209	0.0890630	0.9766074	0.0194507	0.7241223	0.4734906	1.0730946	0.8063292	0.8598849	0.2164983	0.9304814	0.1114618	0.8728957	0.2312714	0.6187746	0.3595193	0.1480406	0.8406328	0.3266449	0.2028500	0.2445913	0.2596750	0.6211987	0.5234066	0.6033828	0.9801115	0.6543456	0.6110953	0.6403906	0.0236579	0.8246253	0.9995496	0.4771327	0.1840599	0.0658224	0.4489566	0.0716308	0.6927900	0.2417071	0.3494912	0.1232735	0.0050653	0.3708397	0.4679084	0.9961891	0.8383745	0.2893450	0.6882924	0.7282227	0.0071128	0.5148025	0.4984104	0.5092933	0.6962840	0.5128201	0.1882196	0.7807055	0.9060804	0.5048647	0.7600767	0.7619004	0.5756322	0.3880558	0.0330786	0.8087362	0.2376999	0.6775769	0.3776963	0.7563317	0.4232566	0.2112084	0.7764860	0.7685166	0.6870959	0.6319441	0.0043597	0.8028298	0.8834972
300	0.0150536	0.2112616	0.3171783	0.5088529	0.5062598	0.9211830	0.0290277	0.5360097	0.9223189	0.0428491	0.6941565	0.5907653	0.6475138	0.3370539	0.2505251	0.7971106	0.7239879	0.2554856	0.9153400	0.7256429	0.0454922	0.0951570	0.8923189	0.0797516	0.9492181	0.0060900	0.6966966	0.4818082	0.9776545	0.7347408	0.7894470	0.2183304	1.0064581	0.1263516	0.8443721	0.2929709	0.4286454	0.2954801	0.2060174	0.9328386	0.3077078	0.1203075	0.1961871	0.1853160	0.6371229	0.4964393	0.6221647	1.0118575	0.6141033	0.5703656	0.5850051	0.0229996	0.8004708	1.0580068	0.5331643	0.1753448	0.0458217	0.3999680	0.1699374	0.6901238	0.2841315	0.3648624	0.1236344	0.0100436	0.3237168	0.5185664	0.9576708	0.8535659	0.3196071	0.6547900	0.6124104	0.0014953	0.5677639	0.4183135	0.4238529	0.7173118	0.5607544	0.1683732	0.7764178	1.0132791	0.5291902	0.7546025	0.6973019	0.5353202	0.3199904	0.0366757	0.8898694	0.1999721	0.6649678	0.3264716	0.8261227	0.3932859	0.1857576	0.7986023	0.7919392	0.7947945	0.6919639	0.0030103	0.7624464	1.0191733
350	0.0316534	0.1613861	0.3578248	0.5833278	0.5783308	0.9062482	0.0200445	0.4740990	1.0601643	0.0383139	0.6589883	0.6479736	0.6740672	0.3028479	0.4057454	0.8436699	0.6733487	0.3522736	0.9074555	0.8663357	0.0242685	0.0934775	0.8998034	0.0663549	0.9358199	0.0066612	0.7030131	0.4836401	0.9996377	0.7261159	0.9342098	0.1522450	1.0026031	0.1293492	0.9783053	0.3942667	0.4539440	0.2786199	0.1366159	0.9371361	0.3620228	0.0403152	0.1337096	0.2315555	0.6590993	0.4236957	0.5541013	0.9894320	0.7685731	0.6876854	0.5639690	0.0037627	0.8658771	0.9855752	0.5701794	0.1519585	0.0312301	0.4154816	0.2381708	0.6788068	0.2432509	0.4133670	0.1608108	0.0073962	0.3292353	0.5056895	0.8817614	0.8819870	0.3390765	0.6115245	0.6434084	0.0024152	0.5048368	0.4072496	0.4287569	0.7406366	0.5344836	0.1879751	0.8115190	0.9590702	0.5070661	0.6792385	0.6792750	0.5221117	0.2716775	0.0617966	0.9013130	0.1477044	0.7487058	0.3308696	0.8149795	0.4714520	0.1181699	0.8067527	0.7388242	0.7252593	0.7622121	0.0055553	0.8156750	1.0227108
400	0.0405521	0.2071679	0.4369891	0.5236319	0.5869543	0.8910616	0.0191758	0.5664982	1.0200665	0.0636567	0.6692768	0.6460268	0.7284677	0.2274537	0.5745375	0.8653782	0.5866140	0.3021290	0.7538216	0.9014152	0.0403734	0.0808457	0.9460452	0.0729854	0.9255249	0.0053319	0.6708627	0.4693854	0.9780737	0.7881404	0.8948650	0.1330954	1.0872410	0.1265256	0.9715573	0.4289209	0.3555767	0.2385052	0.1922562	0.9368027	0.2971952	0.0213233	0.0848973	0.1942558	0.6490996	0.4056426	0.5304982	0.9744777	0.7071669	0.6783721	0.5409252	0.0238283	0.9528572	0.9930139	0.6199713	0.1879212	0.0267158	0.4928963	0.3384605	0.6968798	0.2664274	0.3576462	0.1260081	0.0097137	0.2879376	0.5492236	0.9087437	0.8559011	0.3460412	0.5478949	0.5719688	0.0056762	0.5563864	0.3829700	0.4813479	0.7405522	0.5603208	0.1821083	0.7875033	0.8664180	0.4467745	0.6869672	0.5700370	0.5336469	0.2930862	0.0652014	0.8475894	0.1231108	0.7474997	0.3433826	0.7938793	0.4433709	0.1465023	0.7910368	0.7190576	0.6749839	0.8388418	0.0023293	0.7748666	1.0345529
450	0.0930389	0.2025596	0.4108637	0.5265402	0.6448476	0.7940043	0.0189534	0.5506423	1.0473730	0.0519347	0.6897671	0.6777494	0.7344123	0.2259747	0.7141719	1.0286609	0.6162836	0.3272047	0.8172678	0.9573379	0.0146576	0.0787499	0.9334569	0.0657105	1.0023445	0.0080707	0.7088913	0.4612785	1.0318025	0.8249488	0.9661737	0.1390773	0.9530697	0.1209670	0.8974194	0.4382703	0.3945087	0.2328244	0.2199679	0.9844013	0.3880422	0.0132715	0.0925598	0.1934461	0.6613462	0.3705334	0.5758583	0.9185418	0.6783606	0.6728640	0.5616157	0.0146345	1.1081957	1.0321028	0.6256104	0.1571579	0.0543184	0.4786778	0.3879164	0.6857641	0.2418059	0.3715403	0.1038174	0.0076074	0.3069490	0.4713487	0.8903243	0.9848974	0.3009921	0.4592776	0.6975951	0.0080917	0.5263911	0.3871976	0.4091749	0.8053758	0.4650267	0.1648995	0.8167287	0.9221184	0.3907426	0.6073580	0.5973649	0.6046663	0.3238892	0.0987955	0.9149733	0.1570339	0.8075897	0.3349129	0.8276344	0.4145694	0.1542487	0.7250184	0.7227926	0.6456410	0.7338002	0.0030617	0.7304015	1.0385312
