"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G56A	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.5397124	0.9467060	0.1906863	0.8428502	0.7594729	0.4224629	0.2408108	0.6629498	0.4586062	0.8154528	0.9774043	0.9465734	0.9965490	0.3275471	0.7346894	0.9999999	0.4983301	0.6578326	0.5055800	0.0353650	0.1088188	0.4973155	0.9826682	0.8320936	0.4759480	0.4747577	0.3884546	0.4602468	0.9981429	0.5705198	0.9893275	0.1470047	0.4467214	0.6555712	0.8271863	0.8383580	0.3585124	0.6741349	0.5934176	0.3287362	0.2515139	0.9304899	0.8527588	0.9966707	0.2826644	0.6469676	1.0000000	1.0000000	0.7360373	0.6120740	0.8229736	0.6119302	0.0004549	0.3495701	0.0481199	0.0239095	0.0471319	0.9548961	0.3736432	0.2212864	0.7382962	0.5113989	0.6952986	0.0000093	0.9087612	0.5264947	0.9741859	0.1864710	0.9999435	0.0278895	0.1971222	0.2571302	0.5371714	0.9999737	0.3867436	0.4538913	0.8871198	0.0024640	0.1464822	0.9888024	0.9424339	0.7597266	0.3071925	0.2463784	0.7297826	1.0000000	0.4470045	0.6945299	0.4138259	0.3751906	0.5727169	0.0165850	0.6777752	0.5021920	0.9794325	0.2310577	0.8204826	0.7863788	0.0542381	0.1776063
50	0.7032285	0.9468451	0.1444154	0.8557482	0.7096415	0.4232643	0.2414466	0.6629379	0.4586356	0.8154532	0.9774263	0.6129763	0.9965178	0.3224821	0.7975601	0.9999997	0.5989292	0.6578383	0.5048722	0.2380691	0.1087816	0.4914181	0.9825686	0.7949424	0.3191131	0.7731820	0.3877166	0.4602468	0.9981288	0.5400018	0.4553818	0.1491423	0.4466991	0.6546039	0.8333801	0.4302087	0.3641115	0.8198253	0.4795519	0.3242996	0.1483216	0.8874093	0.8533707	0.6629010	0.2932068	0.6469686	1.0000000	0.5288855	0.7360440	0.6120733	0.8086688	0.6189968	0.0004330	0.3678183	0.2131817	0.0231851	0.0226037	0.9514854	0.3813226	0.2212469	0.7858697	0.5113973	0.6654388	0.0000087	0.9139380	0.5268186	0.9743787	0.1864522	0.9999023	0.0279862	0.0924184	0.3648895	0.5371391	0.8006616	0.3833481	0.4469432	0.8902586	0.0346729	0.1964477	0.9779888	0.9419618	0.7594319	0.2972516	0.1367914	0.7271823	0.6036784	0.5821883	0.7406872	0.3258516	0.2875369	0.5727929	0.4244902	0.8801361	0.5022143	0.9794150	0.2692367	0.8196553	0.6689789	0.0225728	0.1959712
100	0.7196146	0.9481589	0.1425705	0.8849209	0.6119964	0.4224086	0.2421935	0.6629086	0.4588011	0.8155067	0.9776600	0.5306496	0.9958893	0.3153956	0.7980512	0.9999985	0.6350494	0.6581116	0.5018379	0.3172229	0.1100958	0.4931938	0.9813955	0.7085957	0.3001382	0.8424515	0.3896841	0.4602584	0.9978959	0.4380404	0.2735444	0.1404722	0.4465760	0.6373877	0.8831879	0.3619845	0.3740794	0.8426708	0.3246141	0.3117650	0.1206512	0.7614206	0.7977065	0.5492845	0.3252961	0.6469707	1.0000000	0.3683987	0.7360567	0.6120643	0.7477199	0.6363085	0.0004037	0.4269474	0.2557646	0.0216227	0.0126650	0.9452338	0.3726120	0.2195050	0.7928995	0.5116279	0.6450658	0.0000073	0.9282717	0.5298504	0.9743661	0.1870781	0.9995328	0.0299878	0.0532221	0.4559843	0.5369690	0.7392045	0.3768880	0.4373567	0.8655875	0.0441861	0.4100427	0.9743229	0.9368018	0.7553651	0.2900976	0.0908351	0.7142697	0.5127309	0.6053824	0.8044492	0.2086297	0.2516388	0.5732416	0.5075428	0.8676859	0.5022516	0.9792446	0.3715261	0.8183240	0.6023192	0.0164913	0.3177103
150	0.7215225	0.9496948	0.1443274	0.9073271	0.5435139	0.4145366	0.2267280	0.6628576	0.4585712	0.8157356	0.9781289	0.5077730	0.9942753	0.3169940	0.7872810	0.9999978	0.6480885	0.6590821	0.4972825	0.3481585	0.1147301	0.4992023	0.9785062	0.6421045	0.3122894	0.8765927	0.4020020	0.4603540	0.9968856	0.3236444	0.2111341	0.1129636	0.4468749	0.6016108	0.9353149	0.3619124	0.3831836	0.9025945	0.3494032	0.2996582	0.1229120	0.6740583	0.7309849	0.5108752	0.3529988	0.6469742	1.0000000	0.3137284	0.7360785	0.6119999	0.6599060	0.6535172	0.0003845	0.4984848	0.2623035	0.0203964	0.0087461	0.9426200	0.3338760	0.2172546	0.7966495	0.5099088	0.6336881	0.0000066	0.9433675	0.5335372	0.9726303	0.1862745	0.9983213	0.0356142	0.0422707	0.5451195	0.5362787	0.7202538	0.3715460	0.4274434	0.7367714	0.0469973	0.5972478	0.9730868	0.9264162	0.7432949	0.2945978	0.0714034	0.6959893	0.4918603	0.5930600	0.8451187	0.1993501	0.2218553	0.5725018	0.5250546	0.8581029	0.5022764	0.9788427	0.4924216	0.8182385	0.5552306	0.0151820	0.4281817
200	0.7220007	0.9497911	0.1439506	0.9214783	0.5026804	0.4003478	0.1978594	0.6630461	0.4568120	0.8161412	0.9786387	0.4991898	0.9921339	0.3234134	0.7804206	0.9999983	0.6529933	0.6608339	0.4924188	0.3603158	0.1211688	0.5031959	0.9746107	0.6026901	0.3258957	0.8966088	0.4251234	0.4607425	0.9938421	0.2416174	0.1906407	0.0909939	0.4486242	0.5648662	0.9503141	0.3675801	0.3920974	0.9060429	0.5147146	0.2914419	0.1309435	0.6604775	0.6829625	0.4981892	0.3702430	0.6469581	1.0000000	0.2951047	0.7359951	0.6117639	0.5949625	0.6694368	0.0003562	0.5614296	0.2584836	0.0195612	0.0072703	0.9423142	0.2876792	0.2201925	0.8086127	0.4995949	0.6286840	0.0000061	0.9552295	0.5312403	0.9689701	0.1771096	0.9963792	0.0440303	0.0428317	0.6083294	0.5352423	0.7144052	0.3681714	0.4069027	0.5839305	0.0476610	0.6982524	0.9728544	0.9138454	0.7240382	0.3009620	0.0648422	0.6868151	0.4870710	0.5730966	0.8614566	0.2363730	0.2156674	0.5672589	0.5251470	0.8553420	0.5023015	0.9782841	0.5647202	0.8195821	0.5264227	0.0154833	0.4491190
250	0.7220924	0.9484983	0.1429120	0.9308218	0.4778161	0.3847686	0.1771157	0.6639670	0.4529673	0.8166112	0.9790734	0.4948245	0.9901348	0.3297229	0.7771649	0.9999988	0.6551670	0.6631237	0.4874936	0.3651805	0.1265377	0.5015082	0.9707861	0.5810259	0.3355375	0.9064568	0.4523756	0.4619228	0.9861859	0.1953212	0.1844713	0.0808028	0.4522157	0.5375139	0.9102251	0.3708572	0.3950355	0.7824350	0.7021806	0.2868137	0.1348055	0.6755320	0.6567587	0.4940775	0.3796602	0.6468779	1.0000000	0.2887605	0.7355391	0.6111049	0.5672561	0.6827447	0.0003278	0.6119119	0.2534331	0.0189790	0.0067414	0.9420255	0.2502456	0.2288279	0.8213262	0.4793472	0.6270053	0.0000051	0.9637093	0.5222623	0.9647545	0.1629823	0.9944304	0.0529669	0.0457611	0.6363338	0.5346040	0.7125917	0.3698572	0.3833616	0.4992995	0.0472543	0.7574468	0.9731551	0.9024599	0.7023782	0.3042111	0.0634491	0.6845820	0.4859719	0.5614874	0.8675325	0.2709866	0.2335222	0.5555676	0.5196852	0.8512782	0.5023435	0.9776613	0.6013442	0.8210396	0.5183266	0.0169120	0.4206623
300	0.7218696	0.9467130	0.1423568	0.9371652	0.4620729	0.3722078	0.1696682	0.6659480	0.4475950	0.8170521	0.9794219	0.4923299	0.9886443	0.3341740	0.7755617	0.9999990	0.6565222	0.6657108	0.4822714	0.3671929	0.1293199	0.4948970	0.9677238	0.5695255	0.3413877	0.9105589	0.4757156	0.4648918	0.9708482	0.1722878	0.1828828	0.0770630	0.4570049	0.5203262	0.8139096	0.3726045	0.3813210	0.5819006	0.7960287	0.2844300	0.1349166	0.6875723	0.6446318	0.4927526	0.3845137	0.6467001	1.0000000	0.2865993	0.7344645	0.6095824	0.5639788	0.6899287	0.0003315	0.6512137	0.2496744	0.0185717	0.0065768	0.9406694	0.2246625	0.2390774	0.8301545	0.4583880	0.6263552	0.0000041	0.9693119	0.5118505	0.9611539	0.1528434	0.9929172	0.0605654	0.0486678	0.6270370	0.5347205	0.7120240	0.3812628	0.3692365	0.4622238	0.0459302	0.7942585	0.9736877	0.8943400	0.6831212	0.3034174	0.0636872	0.6854211	0.4857197	0.5701295	0.8695634	0.2879462	0.2477148	0.5389249	0.5148276	0.8386864	0.5023908	0.9771121	0.6219314	0.8211969	0.5222662	0.0190090	0.3829432
350	0.7214724	0.9451220	0.1423054	0.9413138	0.4521117	0.3642147	0.1699503	0.6688543	0.4419539	0.8174308	0.9797107	0.4908703	0.9876860	0.3368890	0.7745885	0.9999991	0.6576962	0.6684845	0.4767656	0.3680421	0.1295497	0.4864077	0.9655956	0.5635915	0.3446030	0.9121606	0.4905816	0.4709782	0.9479022	0.1614914	0.1826301	0.0759611	0.4618712	0.5105209	0.7157817	0.3737232	0.3464045	0.4708702	0.8298493	0.2831903	0.1338782	0.6909201	0.6395608	0.4923262	0.3869352	0.6464341	1.0000000	0.2858631	0.7327449	0.6068358	0.5695473	0.6877945	0.0003869	0.6799158	0.2473323	0.0182799	0.0065569	0.9381928	0.2084524	0.2492693	0.8351971	0.4456989	0.6256683	0.0000040	0.9726664	0.5041557	0.9586014	0.1495125	0.9918763	0.0662225	0.0519949	0.5951713	0.5353234	0.7118474	0.4026897	0.3647222	0.4456438	0.0446894	0.8157276	0.9742017	0.8895694	0.6686274	0.3000410	0.0641960	0.6877007	0.4856618	0.6042437	0.8693931	0.2898554	0.2542399	0.5210614	0.5124616	0.8162226	0.5024270	0.9767623	0.6324393	0.8195757	0.5285009	0.0211808	0.3543301
400	0.7210547	0.9439676	0.1424524	0.9438696	0.4460877	0.3602013	0.1728323	0.6721491	0.4372066	0.8177521	0.9799618	0.4899695	0.9871282	0.3384527	0.7738917	0.9999991	0.6588791	0.6713733	0.4714170	0.3683763	0.1281152	0.4787514	0.9642592	0.5606077	0.3462411	0.9128589	0.4968864	0.4808995	0.9223273	0.1565509	0.1826975	0.0758045	0.4659314	0.5052558	0.6500867	0.3744295	0.3039868	0.4281230	0.8408529	0.2824541	0.1329235	0.6894314	0.6375738	0.4921883	0.3880945	0.6461262	1.0000000	0.2856123	0.7306025	0.6032625	0.5744208	0.6777439	0.0004769	0.6985894	0.2459840	0.0180771	0.0065972	0.9354058	0.1986356	0.2593622	0.8377649	0.4418041	0.6247065	0.0000044	0.9745580	0.4996579	0.9570354	0.1513707	0.9911912	0.0701608	0.0547634	0.5667273	0.5358514	0.7117956	0.4260373	0.3625205	0.4371225	0.0440966	0.8267945	0.9745513	0.8872755	0.6589283	0.2965637	0.0645620	0.6899415	0.4856485	0.6489298	0.8685292	0.2823554	0.2568423	0.5050769	0.5115190	0.7916492	0.5024481	0.9766127	0.6372853	0.8166542	0.5326986	0.0229116	0.3372518
