"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G63A	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.0797216	0.2295114	0.2031339	0.4163468	0.5904644	0.6091660	0.3711651	0.0172703	0.1417385	0.4251124	0.4087772	0.4113583	0.2650206	0.2004114	0.2544227	0.0051819	0.5242184	0.1934368	0.2418097	0.5805274	0.5451592	0.4420165	0.2830571	0.2007595	0.6544874	0.5476052	0.2116273	0.6572017	0.0654299	0.6920665	0.0835784	0.5797086	0.2947975	0.5243702	0.5581418	0.4831577	0.6995403	0.1089536	0.3558763	0.6438534	0.4965785	0.2423087	0.0797550	0.1248432	0.0144767	0.0645241	0.6585448	0.3635786	0.1508552	0.6866474	0.0891287	0.1493410	0.2088639	0.0013747	0.0648915	0.1611973	0.0824303	0.3657310	0.3376210	0.5823312	0.4149468	0.1635814	0.6399403	0.6336537	0.3701606	0.1963264	0.6257445	0.6750306	0.5395058	0.2781331	0.2128551	0.5028104	0.5338984	0.2188523	0.7702682	0.4335940	0.3672156	0.1838298	0.6217704	0.8193458	0.6404523	0.1155813	0.1348637	0.5677013	0.3632134	0.4267500	0.0046015	0.0969571	0.1160780	0.6107335	0.0387144	0.6704003	0.2197337	0.3126439	0.6069252	0.3326058	0.3820767	0.3926356	0.6460522	0.0177688
50	0.3046802	0.1187046	0.1670312	0.5091206	0.5655814	0.6207658	0.3861374	0.0457596	0.2338302	0.3104696	0.3092039	0.5663746	0.0728765	0.2224692	0.2349666	0.0027343	0.4207359	0.1081144	0.4046331	0.6624451	0.5941149	0.5389010	0.2837231	0.2061922	0.3324377	0.5239134	0.2594534	0.5359649	0.0137266	0.5294293	0.0386991	0.5089194	0.3008842	0.4644797	0.7288858	0.6086316	0.6461577	0.0768817	0.3042934	0.6639259	0.5821942	0.2580626	0.0459249	0.2263261	0.1563923	0.1064437	0.6527327	0.4830559	0.2012046	0.7116890	0.0670604	0.1066464	0.1206673	0.0160604	0.0778276	0.1695656	0.2297145	0.4123506	0.4432976	0.5668042	0.3455131	0.1661329	0.6219670	0.4585029	0.1492951	0.1992941	0.6290573	0.6439922	0.5302064	0.3325630	0.2098473	0.3285086	0.5422564	0.0330165	0.7151922	0.1705322	0.4194973	0.2830968	0.6479915	0.5686269	0.7724359	0.0899101	0.0878071	0.2487928	0.3874939	0.2407329	0.0057331	0.2422667	0.0283921	0.7831005	0.0510236	0.5626492	0.1623338	0.4479767	0.5166924	0.1923021	0.3464144	0.2495716	0.5878863	0.0520462
100	0.4864876	0.0656575	0.2015338	0.5774230	0.5932707	0.7488870	0.2553891	0.2068431	0.3614060	0.4114222	0.2666385	0.6290675	0.0264856	0.1876395	0.2789476	0.0025622	0.3694643	0.1540916	0.2190065	0.6408082	0.5133714	0.3931882	0.2887834	0.2768881	0.1822773	0.5321621	0.3651938	0.3307992	0.0183682	0.5824970	0.0276252	0.4909021	0.3678120	0.4718195	0.6234522	0.5437877	0.7309883	0.0901273	0.3441584	0.6095880	0.4644590	0.2391992	0.0705141	0.2408483	0.2367631	0.0751775	0.6812303	0.3331397	0.2258924	0.6841658	0.1066654	0.1262198	0.1751909	0.0633795	0.0437864	0.2171911	0.2299166	0.3140000	0.4948081	0.6950781	0.3563352	0.1690568	0.7176821	0.5728041	0.1112956	0.1200021	0.6509764	0.4743297	0.5328758	0.2381926	0.2305333	0.2242583	0.5539586	0.0095161	0.5762969	0.0804323	0.3829352	0.1767921	0.6570796	0.4691333	0.5204007	0.0711880	0.1123120	0.1380905	0.2806373	0.3008690	0.0061837	0.2613712	0.0125000	0.6830183	0.0207028	0.5002254	0.2104095	0.5039110	0.5819872	0.1833306	0.4007876	0.1988957	0.5026862	0.0175931
150	0.3977619	0.0630056	0.2279733	0.4006313	0.6265373	0.5767607	0.2198726	0.2154507	0.5045993	0.3091487	0.3249153	0.5412444	0.0365297	0.2112939	0.2341398	0.0050011	0.3843307	0.2546514	0.0954173	0.5545638	0.5635962	0.4244895	0.3134554	0.4049044	0.2347927	0.5894497	0.6260107	0.3481789	0.0414770	0.6456723	0.0136739	0.4417512	0.2895174	0.5559327	0.7001188	0.4261996	0.7410479	0.1103182	0.4113817	0.5951280	0.6250845	0.4320638	0.1610953	0.3034852	0.2470225	0.0685352	0.6642155	0.3221312	0.1892710	0.7583148	0.0897989	0.1429337	0.1973917	0.0925152	0.0696735	0.2670855	0.1756310	0.1750364	0.5022966	0.6450734	0.4040579	0.1456598	0.6363221	0.5667811	0.0582227	0.1339179	0.5770281	0.5088496	0.6249896	0.2503420	0.2979022	0.1914471	0.4726701	0.0168168	0.5911091	0.0678677	0.4454072	0.1312560	0.6816718	0.4725238	0.5818596	0.0785925	0.0910337	0.1594951	0.2815818	0.4174169	0.0009690	0.1650122	0.0076841	0.6474541	0.0332261	0.7251742	0.2367721	0.5689462	0.6599691	0.2337354	0.5010179	0.2624026	0.5544655	0.0325933
200	0.4424675	0.0700128	0.1432872	0.3947611	0.4435854	0.5362509	0.1273130	0.1406832	0.3585001	0.4367452	0.2682206	0.5431838	0.0912973	0.2006808	0.2164635	0.0114416	0.2416217	0.3488699	0.0615834	0.6458005	0.5867204	0.5084978	0.3840111	0.3371915	0.2471119	0.6351368	0.6032320	0.2955817	0.0340615	0.6452447	0.0164471	0.5193981	0.2457677	0.6736466	0.6740957	0.5729354	0.7559615	0.1155969	0.4016867	0.6758343	0.6325973	0.2826973	0.1216069	0.3549646	0.2321220	0.0909972	0.5692498	0.3571192	0.2389056	0.6858755	0.1272604	0.0854786	0.2877849	0.1137683	0.0480111	0.3269263	0.2089170	0.2830213	0.4617083	0.6693161	0.5017072	0.2236669	0.5020956	0.5612645	0.0259136	0.1332664	0.5147014	0.4118676	0.5076342	0.3269066	0.3458971	0.2435281	0.5823236	0.0176366	0.5248207	0.0759454	0.3722537	0.0915131	0.6315950	0.3709598	0.5209141	0.0865026	0.1578211	0.2040564	0.2496928	0.2495050	0.0085507	0.2061078	0.0052829	0.6859507	0.0859941	0.6137837	0.2969896	0.5827009	0.6772957	0.2428348	0.5892903	0.2477839	0.4977861	0.0475835
250	0.4450639	0.0425520	0.1597696	0.4333192	0.4491113	0.5414274	0.2049621	0.1018625	0.4371550	0.2839660	0.3410856	0.5754869	0.0322044	0.2363576	0.2264244	0.0125727	0.2406706	0.3235277	0.0504841	0.5571912	0.6502312	0.3703156	0.2974326	0.3688300	0.2393956	0.5953102	0.6344421	0.3654586	0.0915030	0.5152653	0.0106606	0.5268552	0.3123310	0.5658349	0.6332109	0.5409112	0.6484238	0.0889183	0.3191797	0.6624888	0.6015070	0.2703379	0.0592331	0.2015848	0.2229741	0.0569898	0.5570020	0.3188300	0.2624486	0.5999339	0.1387238	0.1124052	0.2240358	0.1030879	0.0459285	0.2483455	0.2501349	0.3480197	0.5064099	0.6041862	0.4815395	0.2498994	0.4120042	0.6663635	0.0279060	0.1438897	0.6692150	0.4467745	0.6223634	0.2617122	0.2314086	0.0855647	0.6641881	0.0002091	0.5607701	0.0659623	0.3170287	0.1572722	0.6369541	0.4604026	0.5961808	0.0608690	0.1739772	0.1033448	0.2301189	0.2891559	0.0024644	0.3163556	0.0103548	0.5535017	0.0880874	0.6499512	0.2344639	0.5873838	0.5497671	0.2151046	0.5075732	0.3367520	0.5958426	0.0337570
300	0.4943861	0.0604870	0.1226202	0.4129219	0.4188820	0.5962747	0.1135578	0.0849464	0.4265836	0.4126974	0.2674622	0.5228909	0.0376705	0.2400481	0.1896281	0.0062179	0.2101348	0.2624528	0.0615946	0.4427854	0.6048055	0.3463268	0.3551356	0.4183345	0.2353294	0.5834058	0.5928385	0.3053362	0.0723070	0.6545531	0.0064166	0.7126905	0.2176094	0.4259884	0.6688891	0.6391153	0.5337910	0.1068406	0.3940383	0.7499080	0.6350589	0.3283158	0.1513927	0.3237289	0.1812414	0.0988452	0.7455672	0.3560245	0.2962166	0.6846095	0.1574051	0.0767791	0.3103944	0.1621450	0.0444826	0.2868082	0.1843994	0.3294771	0.5308946	0.6215604	0.4901536	0.2196162	0.3222582	0.6458651	0.0497500	0.1869299	0.6296399	0.5288287	0.6321772	0.2521627	0.2602716	0.1071377	0.5570791	0.0042759	0.4773467	0.0910570	0.3416359	0.1028288	0.7102585	0.4861920	0.5701146	0.0529055	0.1855411	0.0761416	0.1889186	0.2670222	0.0005933	0.3762334	0.0108934	0.4924983	0.1613722	0.5510450	0.2376779	0.5164119	0.5538520	0.2538664	0.4116210	0.3458419	0.6691728	0.0508241
350	0.3622068	0.0368595	0.1043704	0.4255823	0.4245109	0.6838839	0.1222897	0.0804367	0.4285475	0.2487243	0.3397804	0.5070911	0.0247486	0.2260617	0.1864534	0.0139043	0.2432306	0.3526493	0.0607367	0.4202232	0.6182014	0.5565230	0.3640851	0.3963428	0.2411458	0.6417340	0.5328688	0.4275587	0.0757555	0.5069326	0.0091264	0.5197533	0.3413403	0.6769762	0.6008490	0.5624675	0.7025102	0.0780863	0.2850099	0.6678102	0.5638485	0.2288419	0.0890957	0.2919817	0.2027810	0.0969151	0.6451843	0.3653636	0.2560899	0.6970588	0.0754453	0.0550414	0.2246724	0.1133395	0.0376284	0.3681003	0.2433928	0.2090102	0.4829920	0.4988389	0.4446048	0.1752668	0.3578224	0.4956233	0.0152954	0.0809718	0.5377492	0.5570319	0.5731383	0.2315905	0.1649961	0.1300180	0.5538733	0.0098532	0.6573860	0.0425227	0.3151394	0.1662249	0.7969641	0.3461232	0.4934720	0.0753332	0.1445661	0.0509171	0.1956115	0.3502946	0.0019480	0.3102277	0.0011648	0.6737285	0.1547317	0.6120882	0.2551232	0.5828709	0.7378193	0.2294309	0.5667911	0.2853917	0.6534615	0.0420825
400	0.3915124	0.0353081	0.1390622	0.3866169	0.3463570	0.6412163	0.1815944	0.0737904	0.4705576	0.2789290	0.3125714	0.6133711	0.0452281	0.2689608	0.2486000	0.0017258	0.2809344	0.2963690	0.0772706	0.3545577	0.6441121	0.6060429	0.3895966	0.3862760	0.2415774	0.7187751	0.5417343	0.3056460	0.0717925	0.6690172	0.0040491	0.4964229	0.2408665	0.5071880	0.7276196	0.5051736	0.5815262	0.1042160	0.2377793	0.6059800	0.6425849	0.1577912	0.1031739	0.3318050	0.2323570	0.0969532	0.7114102	0.3506931	0.2060188	0.5551405	0.1262221	0.1031598	0.3684878	0.1220314	0.0788950	0.2615179	0.2788266	0.2225925	0.6014958	0.5488627	0.4458196	0.2414154	0.4444501	0.5865070	0.0493165	0.1067138	0.5620752	0.5738171	0.5423228	0.2205919	0.2181554	0.1360322	0.5951870	0.0103880	0.6201310	0.0993765	0.3052081	0.0932561	0.6551904	0.5109545	0.4821040	0.0632690	0.1491914	0.0580653	0.1877696	0.2396432	0.0012677	0.2992505	0.0056477	0.6473065	0.1302512	0.6407006	0.2211852	0.6036987	0.6149331	0.1775456	0.5313088	0.2794503	0.4365459	0.0464211
450	0.3954776	0.0363709	0.1182013	0.3387780	0.2877969	0.6873791	0.2517234	0.0395473	0.4397949	0.2879704	0.2853531	0.6903193	0.0443227	0.3370370	0.2578005	0.0079467	0.3114811	0.3322476	0.0663555	0.3577075	0.7037429	0.6971769	0.4428010	0.4873373	0.2587797	0.5818901	0.4769491	0.3697272	0.0321536	0.5998067	0.0123709	0.5747253	0.2617333	0.6242479	0.7860122	0.4848596	0.7352461	0.0778850	0.3275376	0.6925509	0.5643926	0.1477161	0.1234109	0.2832008	0.1206305	0.1231925	0.6821777	0.3474540	0.1984318	0.6239251	0.1035066	0.0603514	0.4466169	0.1282700	0.0844496	0.3941241	0.3561605	0.2701218	0.5756661	0.6426924	0.4851261	0.1894428	0.4070970	0.5437429	0.0180682	0.1926462	0.5531868	0.4300121	0.6123738	0.2827901	0.1168910	0.1770530	0.6264048	0.0089751	0.6271090	0.1313555	0.2995005	0.1799980	0.6561761	0.5413325	0.4587273	0.1213821	0.1724545	0.1025450	0.1797538	0.3563153	0.0009329	0.3918161	0.0145805	0.5963037	0.2055999	0.6679474	0.2211128	0.7768256	0.6065293	0.1730143	0.5771254	0.2826665	0.4273617	0.0330379
500	0.4672740	0.0339818	0.1270465	0.4499686	0.4122893	0.7156299	0.2528489	0.0585755	0.4286905	0.3453198	0.3090986	0.4603286	0.0374341	0.2160306	0.2097012	0.0192416	0.3074562	0.3404088	0.1499297	0.3289542	0.6820834	0.6126354	0.4381070	0.3714492	0.2179466	0.6893258	0.5698362	0.3427447	0.0518584	0.7228988	0.0061694	0.4365123	0.2773045	0.5753167	0.5625868	0.4798186	0.6733082	0.1079930	0.3561060	0.5731524	0.4991777	0.2069967	0.1071799	0.2923053	0.1789499	0.0469511	0.6754060	0.3119451	0.2541440	0.5189367	0.0645347	0.0711928	0.5144834	0.1571769	0.0605464	0.3572064	0.3855819	0.2375758	0.6547540	0.6461153	0.5797602	0.2107023	0.3842904	0.5160065	0.0471391	0.1795203	0.6186606	0.5437741	0.6524846	0.2759131	0.1595949	0.3144202	0.6814882	0.0062674	0.6012225	0.1282349	0.3653903	0.1898939	0.7042391	0.4596476	0.4254987	0.0328851	0.1327088	0.0472933	0.1413723	0.2833354	0.0014222	0.3885092	0.0047436	0.5675257	0.2133808	0.6301476	0.2098984	0.5867756	0.4747794	0.3026922	0.5037531	0.3173070	0.3964346	0.0184227
550	0.1641659	0.1195621	0.1505935	0.4209348	0.3964388	0.7928931	0.2562918	0.0807290	0.4410196	0.2660479	0.2689562	0.4189805	0.3449130	0.2479899	0.2037775	0.0133797	0.2835260	0.3177788	0.0607096	0.3111308	0.6435614	0.6500262	0.3394189	0.3150756	0.4701419	0.6806215	0.5897475	0.5055661	0.0749333	0.5681082	0.0356065	0.4426185	0.2633662	0.6532651	0.6187869	0.5799740	0.6271170	0.1077481	0.2827704	0.7671302	0.5222763	0.1723283	0.1152166	0.2487113	0.0567813	0.0953698	0.7241372	0.3853212	0.2898725	0.6010544	0.0275952	0.1135536	0.4457399	0.0415522	0.0546997	0.1706273	0.4366662	0.2100096	0.3754460	0.6081643	0.5240024	0.2077716	0.3101619	0.5421408	0.3049709	0.1472550	0.6379463	0.5063925	0.6290185	0.2676966	0.1852118	0.2195244	0.5914310	0.1666534	0.6710529	0.0888891	0.2878098	0.2009241	0.6957537	0.5324290	0.5644933	0.0389903	0.1474893	0.1630968	0.2042518	0.4487728	0.1551124	0.2044194	0.0119821	0.6442349	0.2219676	0.6346115	0.3078876	0.6749943	0.5730935	0.2542385	0.5380326	0.4881361	0.3712401	0.0428633
