G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G71A	G95	G96	G97	G98	G99	G100
0.3184228	0.5486372	0.1226637	0.2227127	0.6250633	0.5540862	0.6719606	0.8121641	0.7340732	0.0193769	0.3439437	0.4291484	0.2507060	0.5446411	0.6794147	0.5211437	0.0000000	0.6005127	0.3477501	0.3021174	0.0355668	0.5654958	0.1240193	0.2936484	0.3908205	0.4255986	0.6859186	0.7511453	0.3708505	0.0048367	0.3968793	0.0613822	0.6029524	0.3319673	0.0053195	0.5498951	0.0558432	0.3281257	0.6343389	0.0565981	0.5920392	0.0483484	0.4563384	0.0040943	0.0693534	0.7592339	0.0000000	0.0561701	0.4600709	0.1625164	0.2279211	0.7530552	0.2291384	0.0014369	0.7185403	0.3453961	0.5498706	0.5192991	0.0000470	0.2354382	0.7033726	0.0006581	0.6738378	0.3542345	0.3659069	0.6754303	0.2583516	0.0379497	0.4878896	0.2191733	0.2944915	0.2982527	0.4196451	0.0369456	0.2730188	0.3899250	0.3679909	0.0014236	0.0301778	0.5898498	0.4926733	0.0975987	0.0000544	0.1182649	0.6545376	0.6192387	0.1328337	0.2133830	0.2346646	0.6803798	0.1447240	0.6152874	0.0156391	0.4520027	0.3075134	0.0262835	0.6538431	0.0005121	0.2404619	0.1289250
0.2979458	0.3985861	0.1123989	0.2560239	0.4928524	0.0000000	0.5791057	0.7281299	0.6895690	0.0128653	0.3030509	0.4614787	0.2795048	0.6103300	0.6391734	0.4521812	0.0000000	0.6486389	0.2449346	0.3266918	0.0521129	0.6871028	0.1177402	0.3289935	0.3297014	0.3973957	0.5830250	0.7137567	0.4613291	0.0008920	0.4231366	0.0256376	0.7621346	0.2709066	0.0234915	0.5772412	0.1009199	0.3627163	0.6099015	0.0191752	0.3264113	0.1928345	0.5810799	0.0060481	0.0381803	0.7659104	0.0001415	0.0602769	0.6484233	0.1206432	0.1892641	0.6090132	0.1701149	0.0819142	0.6001220	0.2114393	0.5361549	0.5752098	0.0008720	0.2577539	0.6173167	0.0012488	0.8421580	0.5946449	0.3397802	0.5919493	0.4669820	0.3221138	0.4808826	0.1724190	0.2387210	0.2700856	0.4020773	0.0167105	0.2801337	0.3887353	0.2009358	0.0017773	0.0343737	0.5713000	0.3225594	0.1612122	0.0002309	0.1169883	0.6338393	0.4911410	0.1025436	0.3006758	0.1768437	0.5840025	0.0736088	0.5737993	0.0539355	0.4037317	0.3993840	0.0834819	0.7185033	0.0002014	0.1804036	0.0734829
0.3353727	0.6408746	0.1121999	0.1540777	0.4938957	0.0000000	0.7089971	0.6168806	0.7223747	0.0083534	0.2314726	0.3583578	0.2706065	0.5589850	0.7473677	0.5752557	0.5383035	0.6756781	0.7730201	0.4028049	0.0310780	0.5983354	0.0671539	0.3636273	0.4395993	0.3818002	0.6224895	0.6127882	0.4418695	0.4492167	0.5728712	0.0444527	0.0577953	0.4269717	0.0189624	0.5926711	0.0764170	0.4230763	0.7744665	0.0297709	0.4403973	0.1307101	0.3625056	0.0023336	0.0680756	0.6764193	0.0000000	0.1684591	0.1100653	0.2970005	0.2688999	0.6722052	0.1956824	0.0019700	0.6560018	0.5222120	0.4899667	0.5819360	0.0029970	0.4078397	0.7330354	0.0016202	0.6270263	0.6453282	0.6021570	0.7387195	0.3044185	0.5503221	0.5038615	0.2149315	0.2419218	0.2553930	0.7121310	0.0844139	0.1416204	0.1001902	0.0398174	0.0001184	0.0069702	0.4062452	0.5787359	0.1432479	0.0017050	0.0864458	0.6622093	0.6296581	0.1187458	0.2332659	0.3101959	0.8212097	0.2040543	0.3393302	0.1110324	0.3817680	0.2851955	0.0755943	0.5750480	0.0015154	0.1474680	0.1069593
0.2800138	0.3243326	0.0568194	0.2292924	0.4849424	0.5245142	0.7003582	0.8206670	0.7027985	0.0034421	0.2537506	0.3419500	0.3982600	0.3543761	0.5381111	0.4242711	0.0000000	0.6242297	0.1975575	0.3689344	0.0447270	0.6780191	0.1996152	0.3505290	0.2875726	0.4045748	0.6244955	0.8174854	0.4332137	0.0010582	0.4817860	0.0448684	0.7414134	0.3597149	0.0062023	0.4855020	0.1648707	0.2963240	0.5637232	0.0111144	0.3158611	0.1980711	0.5227751	0.0043065	0.0903119	0.5925679	0.0015221	0.0412728	0.9585969	0.0000000	0.2511538	0.6865033	0.1478964	0.3037460	0.7944360	0.3505034	0.4765901	0.7269882	0.0045918	0.2132830	0.7827335	0.0085502	0.6716973	0.3516650	0.2999162	0.6506660	0.2912847	0.0545356	0.6401038	0.2712378	0.1228039	0.3773569	0.5759807	0.0526091	0.3859187	0.4177947	0.3702230	0.0005313	0.0567750	0.6499086	0.5960985	0.1923779	0.0004614	0.1453080	0.6681790	0.5397897	0.1588965	0.1518426	0.1804819	0.6350601	0.0015305	0.6542204	0.0044878	0.4164838	0.4280459	0.0932800	0.5987227	0.0002391	0.1898131	0.0889374
0.1856834	0.4982089	0.1609183	0.4513686	0.4984540	0.6675646	0.7168630	0.6457307	0.7504527	0.0039889	0.5476832	0.7341528	0.6207238	0.1684578	0.5452590	0.4435618	0.0000000	0.8279425	0.2654571	0.3687184	0.0574316	0.6566048	0.1317866	0.4910279	0.3114481	0.5851782	0.7677187	0.6977369	0.4124231	0.0133467	0.5595193	0.0498731	0.0000000	0.2686989	0.0247572	0.6542892	0.0088746	0.1171279	0.4557271	0.0281130	0.3120011	0.1640415	0.4276078	0.0002357	0.0751600	0.7242122	0.2555280	0.3590473	0.1329379	0.2553668	0.4503011	0.6532651	0.1446617	0.0522613	0.6859688	0.0147842	0.4923759	0.2184964	0.0198811	0.4801173	0.5827336	0.0965914	0.5455447	0.4211681	0.4989093	0.6337028	0.6267587	0.1643853	0.6616637	0.0253332	0.3679894	0.3401423	0.5610507	0.0243121	0.1330575	0.4058173	0.5447426	0.0020645	0.0119676	0.7235108	0.7287315	0.2255470	0.0016373	0.0989964	0.6381786	0.6698975	0.1860735	0.1500432	0.3111096	0.6327432	0.0919151	0.5850041	0.0062841	0.4249546	0.2997624	0.0316652	0.7490608	0.0029679	0.1204846	0.0861279
0.2737747	0.5525344	0.1057055	0.4087804	0.6371435	0.5339917	0.7066195	0.5968467	0.6459135	0.0068705	0.5916020	0.6718721	0.6869154	0.0522387	0.6384608	0.6852254	0.0000000	0.5810374	0.3521104	0.3076980	0.0349412	0.6243241	0.1093892	0.4968744	0.0470372	0.4577489	0.7499357	0.6825562	0.3779294	0.0060056	0.3769286	0.0497866	0.0299994	0.3018469	0.0777377	0.6531268	0.0179821	0.1038204	0.0000000	0.0265388	0.6105394	0.1377175	0.5136376	0.0006160	0.0653940	0.7925334	0.3172090	0.2941329	0.0318556	0.3701585	0.3633722	0.3734094	0.1514966	0.0505022	0.5424465	0.0183873	0.5954857	0.1438195	0.0066774	0.3811021	0.7172252	0.1259475	0.5806682	0.1328119	0.4028972	0.3620883	0.4540481	0.1999396	0.7494860	0.0431440	0.4049209	0.3063832	0.1665384	0.0457438	0.0897598	0.3563610	0.5923378	0.1101013	0.0179977	0.4869515	0.6642019	0.1938003	0.0024191	0.1076755	0.6872699	0.7624796	0.4317057	0.1623665	0.4110396	0.6707930	0.0142510	0.5566235	0.0190778	0.3670925	0.4374422	0.0205911	0.6436061	0.0071555	0.1361907	0.0649283
0.2479780	0.4774685	0.1305795	0.2293920	0.4294323	0.6545665	0.7103898	0.7124919	0.7117631	0.0072722	0.2478643	0.3681778	0.2783764	0.5239823	0.6658133	0.5963129	0.0000000	0.7414541	0.2310539	0.3958301	0.0459787	0.6284280	0.2003626	0.3125071	0.3624623	0.4575820	0.8037455	0.7577762	0.4559498	0.0029805	0.3443435	0.0304489	0.6254863	0.3604968	0.0149737	0.5914458	0.0581711	0.4573460	0.6573410	0.0078671	0.5114344	0.0561996	0.4953356	0.0021674	0.0798634	0.6920712	0.0003167	0.0000000	0.5751711	0.1592071	0.2955494	0.5923542	0.0845429	0.1447139	0.7057404	0.3820231	0.6239345	0.6813211	0.0064463	0.2259372	0.6167178	0.0228278	0.6936573	0.4453336	0.4394527	0.6519483	0.3278608	0.0257458	0.4804773	0.2003855	0.2931397	0.2107423	0.4293057	0.0181480	0.2464377	0.3556466	0.4571956	0.0020880	0.0393041	0.5591339	0.6179551	0.1251685	0.0000091	0.1527748	0.6284274	0.5490627	0.1200417	0.1706640	0.1808606	0.6571271	0.2522808	0.8328167	0.0102747	0.3934266	0.3684476	0.0697717	0.5709482	0.0000124	0.1001941	0.0963903
0.2918607	0.4307815	0.0958555	0.2356944	0.5219553	0.5837620	0.5040314	0.7669499	0.7278723	0.0074333	0.3135576	0.2989121	0.2112723	0.4700470	0.6787647	0.4250899	0.5054351	0.6921573	0.6702695	0.3470612	0.0485746	0.7237428	0.0267849	0.2434283	0.3790146	0.4606618	0.6352209	0.7949148	0.4741071	0.4040021	0.4370092	0.0544325	0.0275001	0.2996118	0.0145907	0.6297105	0.0641429	0.3729478	0.6641412	0.0133680	0.4554578	0.1277630	0.5502608	0.0035198	0.0603133	0.6429555	0.0000000	0.0783577	0.6335987	0.0000000	0.2068880	0.5331487	0.3147548	0.0895198	0.7604694	0.6383769	0.5014104	0.6466702	0.0008506	0.3079495	0.6299610	0.0001153	0.5561059	0.3067386	0.5330224	0.6208957	0.2711280	0.0315142	0.4175717	0.1500289	0.1319546	0.1765053	0.6806169	0.0493782	0.4453706	0.0876126	0.4155903	0.0034038	0.0075934	0.6679013	0.5074511	0.1731491	0.0089278	0.1526543	0.5782291	0.5569103	0.1368432	0.0681790	0.1127926	0.7458060	0.1294973	0.6343211	0.0283812	0.4396438	0.3821521	0.1000410	0.7282675	0.0030623	0.0952777	0.0393907
0.1946878	0.4331125	0.1334266	0.1443808	0.4596348	0.0000000	0.7879075	0.6698172	0.6327672	0.0109779	0.3444060	0.7129824	0.6720990	0.0688033	0.6658276	0.6960992	0.3812728	0.7289584	0.6987100	0.4015292	0.0533450	0.7349823	0.0601525	0.5346074	0.1149721	0.4742845	0.6900731	0.6700342	0.4208970	0.4911584	0.5293389	0.0348020	0.0604729	0.2969127	0.0637632	0.6891220	0.0274176	0.1148923	0.0000000	0.0313886	0.4194393	0.1531181	0.6542233	0.0007458	0.0931171	0.7648366	0.2994306	0.2869147	0.0350509	0.4684952	0.4393313	0.7274767	0.1159378	0.0262121	0.6222201	0.3347394	0.6621626	0.2745097	0.0072867	0.6603470	0.6929305	0.0009552	0.6149294	0.4603155	0.5716863	0.3816316	0.3753694	0.5968033	0.6827004	0.1085043	0.3935338	0.2866191	0.1884603	0.0366623	0.0420750	0.1238557	0.3165669	0.0122183	0.0063546	0.3498489	0.6081335	0.1104919	0.0058027	0.0617139	0.6657652	0.5914772	0.2359697	0.3856644	0.4405388	0.5096963	0.2044473	0.5047014	0.3253662	0.3340541	0.3782502	0.0597530	0.7589459	0.0020788	0.1136311	0.7020962
0.2237975	0.5885582	0.1746999	0.1090519	0.4216504	0.0000000	0.6153606	0.6658144	0.7008680	0.0153303	0.3691897	0.5745409	0.4809655	0.2882000	0.5609999	0.5107985	0.4523136	0.5579793	0.5355024	0.3277276	0.0531395	0.8586130	0.0468529	0.3382571	0.3869326	0.4666573	0.7615467	0.7217574	0.5189021	0.4146010	0.4669223	0.0616369	0.0000000	0.2368205	0.0086101	0.5346745	0.0530635	0.2796475	0.5704088	0.0405060	0.1666843	0.1060852	0.4698994	0.0007802	0.0646047	0.5178140	0.2952636	0.1616913	0.2378270	0.2345609	0.3482572	0.5862085	0.2814130	0.0796115	0.7021310	0.2630408	0.5162986	0.2825775	0.0147486	0.5271999	0.7147428	0.0021199	0.6715749	0.4923247	0.6694345	0.6020594	0.2708474	0.6047255	0.6378619	0.1322026	0.3082253	0.2745845	0.5691082	0.0323962	0.1406506	0.1676806	0.3155979	0.0009076	0.0142123	0.5139122	0.6666812	0.0863610	0.0235141	0.1103400	0.6509140	0.4410556	0.1667406	0.2882193	0.1937613	0.7439172	0.1773125	0.3807995	0.2079501	0.3467582	0.3641100	0.0758978	0.6660805	0.0193721	0.0988218	0.6266382
