"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G77A	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.6275229	0.0401209	0.6674203	0.6262677	0.0549799	0.3204182	0.7150972	0.5663764	0.0721206	0.1278898	0.5779762	0.5746332	0.2847562	0.6764957	0.7023757	0.2352981	0.1785073	0.2205354	0.6081927	0.3904235	0.2374328	0.0652031	0.4388819	0.0581798	0.1783976	0.5272715	0.6027806	0.4174776	0.3445230	0.4136223	0.6770555	0.3724018	0.1084506	0.6713406	0.7872153	0.2578739	0.1915976	0.5810650	0.5122862	0.4745746	0.7340323	0.6057952	0.5395870	0.1866576	0.6660294	0.5946888	0.2087004	0.7187568	0.4540998	0.6069665	0.3139450	0.3901779	0.1339564	0.1943006	0.6912884	0.7380442	0.1359162	0.1799272	0.0020846	0.0314955	0.5932570	0.2093334	0.0129568	0.3853286	0.6665555	0.2771666	0.5663940	0.5659064	0.7052639	0.2677601	0.1218767	0.3582602	0.4525922	0.5220515	0.1133661	0.6992483	0.0026980	0.0856396	0.0001893	0.3656488	0.0360344	0.4810911	0.3560586	0.2682584	0.0400795	0.3574827	0.0229876	0.3962738	0.5351337	0.3537370	0.0423621	0.0987522	0.6259586	0.3291133	0.0424046	0.5521886	0.0158751	0.3631941	0.1195351	0.2135942
50	0.5429571	0.0146182	0.6564334	0.3201266	0.0364098	0.2251035	0.6875231	0.6394281	0.2579730	0.0758126	0.8131953	0.6050690	0.4206996	0.5399706	0.7488752	0.1650197	0.2212630	0.1922229	0.3955169	0.2274518	0.2821989	0.0844014	0.3853823	0.3160355	0.0970664	0.7147495	0.6751759	0.4923500	0.4452303	0.3836372	0.6680693	0.4191172	0.0771435	0.6220667	0.5433970	0.2541415	0.2137068	0.6049304	0.5202623	0.4197118	0.5989816	0.4840859	0.7725912	0.1444528	0.6276751	0.3662619	0.1907897	0.7060646	0.2743009	0.4389427	0.3936833	0.2267863	0.0512237	0.1116276	0.8727795	0.6923372	0.1807384	0.2222809	0.0098043	0.0205548	0.5260919	0.4243387	0.2574967	0.4225247	0.6036665	0.3956132	0.4835240	0.3924120	0.5632834	0.2156799	0.1512235	0.3862880	0.5410286	0.4530594	0.1137928	0.6080507	0.0065415	0.1419936	0.0032182	0.2979009	0.0516151	0.3655286	0.3739177	0.2681022	0.2929175	0.4693656	0.0251402	0.3195253	0.5942994	0.2758561	0.2465020	0.0594989	0.6374268	0.2539324	0.0696962	0.6172657	0.1939704	0.4191248	0.1595853	0.1175061
100	0.6936239	0.0059932	0.6710564	0.2358955	0.0139695	0.1635145	0.6192624	0.5852529	0.3186120	0.1110112	0.6755438	0.4941192	0.4320519	0.5179645	0.5684452	0.1301235	0.2930759	0.1460142	0.3755925	0.2586108	0.3039524	0.0497443	0.3903732	0.4894051	0.1417855	0.7326555	0.6687394	0.4817057	0.5245303	0.3796656	0.6577684	0.4236202	0.0260445	0.6111115	0.5661981	0.2346559	0.1965464	0.6140817	0.4933783	0.3622603	0.6170058	0.5501458	0.5956826	0.1721303	0.6429404	0.3933933	0.2181728	0.6936643	0.2516210	0.3775518	0.5224094	0.3388899	0.0812038	0.1076110	0.6428935	0.5765442	0.1662107	0.1735237	0.0039870	0.0201079	0.5652543	0.2948298	0.3802376	0.3747584	0.6437164	0.4215884	0.6265041	0.4672658	0.6254217	0.1696151	0.1846300	0.5200542	0.6232664	0.4772742	0.1396881	0.5383826	0.0037734	0.0612553	0.0044849	0.5066180	0.0692122	0.3989769	0.4283723	0.2948379	0.3630831	0.4426912	0.0307312	0.2837674	0.5040062	0.3263646	0.4475409	0.0487642	0.6621693	0.3212666	0.0946375	0.6119211	0.2732541	0.4087253	0.1400250	0.1249205
150	0.6518668	0.0183541	0.7024132	0.2105332	0.0132014	0.1447997	0.6692949	0.5000301	0.3167360	0.0947536	0.8188227	0.5630370	0.2986141	0.4652149	0.5870976	0.0794957	0.1618499	0.1267418	0.4645649	0.2205394	0.2676708	0.0334860	0.4312755	0.4801440	0.1186360	0.7145025	0.7477844	0.4573358	0.4172512	0.2489327	0.6912627	0.4431126	0.0478018	0.5484757	0.6843435	0.2771215	0.1961241	0.6586749	0.5057168	0.4699918	0.7183852	0.6530476	0.6501475	0.1187224	0.6331141	0.3031076	0.1987182	0.6534486	0.3059550	0.4995730	0.4593128	0.2960696	0.1130693	0.0382743	0.6630523	0.6562701	0.1972005	0.3361074	0.0013463	0.0043209	0.5480690	0.2570375	0.3443678	0.4544355	0.5774587	0.3590992	0.4830873	0.4692781	0.7529994	0.1850263	0.1760855	0.5213028	0.7314338	0.4471633	0.1117835	0.5944988	0.0430985	0.0514542	0.0014118	0.5854356	0.0710105	0.4451439	0.3262160	0.4032244	0.3109792	0.3368795	0.0300957	0.2832718	0.3924424	0.2941899	0.5426905	0.0257947	0.6043692	0.2861028	0.0330774	0.4536387	0.2186423	0.4368516	0.1905532	0.0604771
200	0.7289242	0.0163478	0.7231522	0.2486874	0.0221925	0.2035678	0.6443549	0.5971733	0.2987185	0.1053158	0.6203146	0.7344189	0.3460171	0.5372836	0.6539451	0.1063547	0.2794342	0.1017432	0.3932609	0.2557788	0.3351151	0.0326796	0.4795541	0.6015234	0.1778840	0.6368659	0.5590098	0.4174265	0.4192570	0.2820924	0.6596292	0.4383577	0.0388141	0.6362708	0.5456048	0.3018795	0.2143424	0.6441941	0.4838032	0.3496039	0.6426947	0.5828621	0.6000796	0.1537535	0.7120408	0.4457455	0.1870972	0.6243002	0.2361407	0.3864982	0.4654289	0.2320242	0.1056664	0.0219145	0.7317009	0.6460029	0.2114572	0.3336695	0.0004323	0.0355338	0.5788112	0.1597395	0.3358620	0.4745628	0.6927698	0.3445525	0.6203923	0.5784461	0.6206293	0.3295949	0.1474048	0.4422022	0.6393415	0.3704630	0.1026735	0.5445300	0.0092733	0.0287676	0.0002215	0.5230502	0.0734384	0.4518926	0.3706353	0.2756208	0.4073643	0.4463735	0.0275571	0.3600432	0.4160427	0.3422602	0.6653788	0.0376819	0.6456941	0.2891242	0.0785903	0.4352337	0.1866410	0.3907678	0.1130163	0.1632091
250	0.6311820	0.0113781	0.8213755	0.2171664	0.0138841	0.3499036	0.6634650	0.5399704	0.2993990	0.1188780	0.5533935	0.5635445	0.3177071	0.4814771	0.6666812	0.0493153	0.2875806	0.1021254	0.4462193	0.2009292	0.2777257	0.0258043	0.5221297	0.6195735	0.2296676	0.5921364	0.7177622	0.3961398	0.4652869	0.3153908	0.7395197	0.4223653	0.0250139	0.6354763	0.6784617	0.4300617	0.2250269	0.6777771	0.5596451	0.4734810	0.7004464	0.4912539	0.6121549	0.2262503	0.5999158	0.4805437	0.1485400	0.6407927	0.2895417	0.3902001	0.5182065	0.3742234	0.1168452	0.0300081	0.6585068	0.6723826	0.1635168	0.3724114	0.0004413	0.0209476	0.6025312	0.1702492	0.4055766	0.4712761	0.5746649	0.2906474	0.6114783	0.6068047	0.7586906	0.5235769	0.0811017	0.3964845	0.7291055	0.3825832	0.1691812	0.5251562	0.0447301	0.0421032	0.0011066	0.5637876	0.0711665	0.4830120	0.4363273	0.3272639	0.3956665	0.3955416	0.0428320	0.3267027	0.3791665	0.3387962	0.6725973	0.0149723	0.6548616	0.3929553	0.0581699	0.4522826	0.2910878	0.4091264	0.1166630	0.1346435
300	0.5584786	0.0136133	0.6508599	0.1767459	0.0645378	0.3731763	0.8094286	0.4605292	0.2595498	0.0901043	0.6957686	0.5323349	0.3053854	0.4944292	0.6799784	0.0472558	0.3711959	0.0753497	0.3578118	0.2992529	0.2951028	0.0460441	0.4879425	0.6042351	0.2120320	0.7203716	0.6969026	0.4195322	0.3947416	0.3522946	0.5937408	0.4103833	0.0430922	0.6085596	0.7671415	0.3684755	0.2819138	0.7652902	0.4954215	0.3596005	0.7173203	0.5885918	0.5077248	0.2368836	0.5858071	0.2819733	0.1343295	0.6752632	0.2814365	0.3468746	0.5448053	0.3334700	0.1244747	0.0173120	0.5970963	0.7014091	0.1801559	0.4893074	0.0012419	0.0075673	0.6013160	0.1861853	0.2468113	0.5193596	0.6229559	0.3839982	0.5802949	0.6546166	0.6166510	0.3650475	0.0949764	0.3947511	0.6154721	0.4385697	0.1884975	0.5639222	0.0141889	0.1253462	0.0016860	0.5774283	0.0440883	0.4346290	0.4398362	0.2590164	0.3706944	0.3525754	0.0214737	0.2464039	0.3926649	0.3637777	0.5704162	0.0152663	0.4614809	0.3496021	0.0550638	0.3785348	0.1972610	0.4374354	0.1340515	0.1301669
350	0.5459868	0.0316009	0.6670288	0.1912061	0.0549858	0.3620973	0.8549604	0.5665751	0.3358357	0.1247670	0.7025665	0.5539361	0.2595076	0.4923545	0.5460823	0.0518054	0.3549648	0.0895557	0.3370340	0.2691001	0.3463219	0.0448940	0.5594629	0.6215152	0.1905471	0.6222025	0.6940233	0.3892244	0.5082816	0.3442663	0.7252421	0.4787036	0.0132724	0.6040970	0.7790488	0.1995718	0.2678608	0.6443884	0.4999312	0.2897829	0.6258736	0.5813876	0.4937656	0.1999956	0.6880726	0.4308731	0.1440686	0.7803169	0.2476033	0.3932676	0.4385510	0.2640403	0.1046756	0.0135148	0.7865459	0.8190790	0.1651144	0.4415665	0.0036940	0.0124340	0.5085278	0.2453461	0.3243870	0.3854322	0.7040904	0.3444263	0.5507322	0.4849330	0.5638911	0.4256132	0.1377124	0.4574017	0.7008983	0.5658145	0.1083832	0.5142773	0.0539618	0.1182539	0.0006659	0.5254068	0.0516715	0.4905303	0.4400191	0.2457090	0.5407862	0.3840465	0.0372710	0.2706380	0.4200553	0.3706811	0.5613087	0.0225258	0.4879892	0.3045699	0.0467123	0.3919971	0.2430860	0.3030484	0.1335910	0.0917167
400	0.5848114	0.0143767	0.6131608	0.2551762	0.0421453	0.2626765	0.5539660	0.6406340	0.3626815	0.1824030	0.6650869	0.6084778	0.3676084	0.4530456	0.6739033	0.0698686	0.2759922	0.0795300	0.3288727	0.2708563	0.3082175	0.0351713	0.5212299	0.5916100	0.3127774	0.7398775	0.6043900	0.4034540	0.5658275	0.2768582	0.6850355	0.4308331	0.0172483	0.7763344	0.6322725	0.2648811	0.2044292	0.7101539	0.4932592	0.5403896	0.6950341	0.7032849	0.6430740	0.1466110	0.7596868	0.2645662	0.2295579	0.7184897	0.2859789	0.3539074	0.4965198	0.3656265	0.1360227	0.0183430	0.7389285	0.5858057	0.0723618	0.3650335	0.0004650	0.0094208	0.5625895	0.2809276	0.3653175	0.4931803	0.6555607	0.4789115	0.4801622	0.5529022	0.6366297	0.3730404	0.1509094	0.4476972	0.5296318	0.4080344	0.1104031	0.5177568	0.0598870	0.0472254	0.0001564	0.5837072	0.1094289	0.5591518	0.4307395	0.2749454	0.4241149	0.3674983	0.0069330	0.3117229	0.4084950	0.4139298	0.6313626	0.0128316	0.5179265	0.3123122	0.0574875	0.4217378	0.2579055	0.3903914	0.1798475	0.1272394
