G_i	G_j
18	50
4	18
22	23
4	50
9	18
9	32
18	32
18	42
29	45
4	32
14	18
16	18
18	29
18	31
18	85
31	50
32	42
42	50
4	9
4	29
4	85
9	42
9	85
18	45
29	31
29	32
29	50
32	50
32	85
50	85
4	16
4	31
4	42
9	50
16	42
16	50
18	20
31	32
31	42
42	85
2	18
6	18
6	42
7	23
9	31
11	23
14	20
14	45
18	82
20	45
21	28
31	85
50	82
2	4
9	29
21	22
21	45
29	85
31	82
2	9
2	16
2	31
2	32
2	42
2	50
2	85
7	22
8	29
9	33
11	22
16	31
16	32
18	39
20	50
21	29
29	42
42	82
45	50
2	29
2	82
4	8
4	39
4	82
6	32
6	50
7	11
8	9
8	18
8	45
9	14
9	16
9	22
9	45
11	37
14	29
14	32
14	50
15	30
16	29
16	33
