G_i	G_j
4	34
4	37
27	28
4	20
4	50
34	50
19	23
19	50
34	37
4	26
1	50
4	35
4	47
23	50
4	33
9	23
12	28
14	37
16	28
19	25
20	37
23	37
33	50
37	47
37	50
1	19
4	36
12	27
14	23
14	47
20	35
20	50
23	25
23	34
25	50
27	50
34	36
1	23
4	9
4	13
4	14
4	23
4	27
5	34
5	50
9	14
9	34
9	37
12	16
13	34
16	27
20	33
23	44
26	33
26	50
35	37
36	37
1	25
4	5
4	19
5	20
9	36
9	47
14	34
14	36
16	42
19	34
20	34
23	36
23	47
25	43
26	27
26	34
27	34
33	34
33	35
2	41
4	30
4	38
7	23
9	21
9	44
12	17
12	50
13	50
17	27
17	28
19	37
19	43
21	23
23	43
27	40
28	50
34	38
34	47
35	50
36	47
37	38
43	50
1	34
