G_i	G_j
20	50
9	39
35	39
39	41
9	17
9	41
9	20
9	35
9	50
17	39
20	42
35	41
17	41
43	44
17	35
9	42
14	39
20	36
42	50
2	41
28	44
39	50
2	9
2	39
9	14
14	20
14	25
14	37
14	41
14	50
20	39
23	39
25	39
28	32
28	43
37	39
42	43
42	49
2	35
8	9
8	17
8	35
8	39
9	43
14	35
20	23
20	35
20	43
20	49
23	50
27	39
30	39
42	44
44	50
3	39
6	14
6	20
6	39
8	41
9	28
9	30
9	44
9	49
14	94
20	25
20	44
25	37
25	50
28	29
32	44
35	50
36	42
39	94
41	50
43	50
1	28
1	32
2	17
3	9
3	41
5	20
5	39
6	37
9	29
9	36
9	37
9	46
10	20
10	50
14	23
14	30
17	50
20	28
20	29
20	30
20	41
23	25
23	30
23	41
25	30
