G_i	G_j
17	47
6	17
6	47
17	50
17	33
17	39
17	48
47	50
6	39
6	33
11	36
6	50
11	22
33	48
6	48
17	46
22	36
39	47
48	50
3	17
6	32
11	17
11	97
17	49
27	50
33	50
47	49
3	50
6	40
6	46
11	27
11	47
11	50
17	22
22	27
22	97
27	36
27	97
33	47
36	47
36	50
36	97
39	48
40	41
3	11
3	36
11	49
17	27
17	32
17	36
17	40
18	47
22	47
22	49
22	50
32	36
33	39
36	49
39	46
47	48
49	50
50	97
3	22
3	27
3	97
6	18
11	34
17	18
17	97
27	49
32	50
33	46
34	36
36	38
39	40
40	47
46	47
46	48
49	97
3	49
6	14
6	36
6	38
11	32
20	36
22	34
27	47
32	38
47	97
3	47
6	11
6	12
11	20
11	38
11	85
12	17
17	26
18	33
20	22
20	49
