"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G65A	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.3949019	0.2803410	0.8492435	0.7976439	0.8077123	0.7670627	0.4753913	0.8068467	0.0892193	0.7790524	1.0000336	0.9564761	0.1161601	0.9789222	0.1378975	0.4055809	0.0220835	0.3762278	0.4989795	0.8626726	0.7541915	0.3134210	0.6881374	0.4321850	0.3186800	1.0348761	0.0740422	0.3945022	0.2592586	0.0782807	0.7539655	0.4551214	0.0940406	0.4939983	0.1746647	0.3942889	0.6385974	0.9684311	0.1573652	0.9241787	0.5259821	0.9359120	0.3150564	0.9291040	0.2607309	0.0253161	0.0926178	0.4268996	0.7263170	0.1047206	0.4433282	0.8601726	0.3825177	0.9274728	0.8561948	0.6219136	0.7515155	1.0365534	0.8231121	0.8735462	0.0483963	0.4536599	0.7289927	0.1477162	0.0673156	0.9593125	0.2793380	0.3164837	0.9577032	0.2954578	0.3677614	0.0870394	0.8808902	0.3975656	0.6480384	0.9488670	0.5463529	0.0460598	1.0189877	0.0543975	0.2801673	0.0365092	0.1807613	1.0442140	0.0043712	0.4806683	0.3736092	0.7494348	0.5500730	0.1824906	0.5538648	0.6238632	0.6837469	0.5274812	0.0275138	0.2706868	0.9910393	0.4113524	0.5116352	0.5320990
50	0.4561467	0.2892770	0.8442152	0.6524853	0.8814052	0.5333538	0.5585804	0.4412200	0.0847958	0.5297788	1.0238815	1.1210651	0.1363767	0.9259845	0.1846726	0.5108084	0.0130471	0.3510269	0.5295050	0.8260349	0.7614636	0.2456639	0.6676317	0.4431934	0.2514775	0.9800524	0.0862871	0.3313841	0.2975349	0.0836956	0.6956635	0.4396756	0.1399542	0.4409603	0.2684393	0.3171123	0.5585049	1.0367405	0.1539035	0.9007275	0.5150488	0.8363556	0.3068581	0.8961231	0.2659405	0.0458969	0.2416752	0.3210369	0.7767959	0.0334576	0.4049221	0.7741795	0.3965998	1.0005386	0.8924263	0.7726859	0.8584438	0.8969042	0.8529839	0.9715447	0.0110695	0.5354974	0.7942459	0.4424375	0.0855147	0.6311905	0.3119224	0.3318352	0.9060831	0.2795593	0.3432256	0.0675418	0.9389702	0.3860978	0.6749651	0.9468187	0.5704607	0.0712038	1.0012948	0.0492210	0.2876895	0.0335868	0.1901588	1.0683881	0.0103328	0.4470485	0.4133278	0.6685826	0.4311283	0.2241533	0.6707001	0.6346791	0.6843073	0.6138691	0.0892734	0.5330649	0.9089854	0.3895595	0.4655040	0.6317747
100	0.3888644	0.2773799	0.8885416	0.7898162	0.9665577	0.3553986	0.5290549	0.1691249	0.0892922	0.3514309	1.0739499	1.0056071	0.1095757	0.9157358	0.1953113	0.3955134	0.0117376	0.4658990	0.5048614	0.6807425	0.7980515	0.2541874	0.6779859	0.4576504	0.2691000	0.9657875	0.0848031	0.3074106	0.2962654	0.0827679	0.7334914	0.5380450	0.1989028	0.3492045	0.2292518	0.3398134	0.6114345	1.0670548	0.1209194	0.7490959	0.4855841	0.7810459	0.2485668	0.9538502	0.3715561	0.1030487	0.3934426	0.2295421	0.8300778	0.0737482	0.4012120	0.6832613	0.4032339	0.9373995	0.8604087	0.7271905	0.8769615	0.9191102	0.8784850	1.0376721	0.0066719	0.5016850	0.8144847	0.5816030	0.1128880	0.5460782	0.3547982	0.3922363	0.8745550	0.2609024	0.2920317	0.0690642	1.0268530	0.4531378	0.7169636	0.8724833	0.5811916	0.0630521	1.0173849	0.0700206	0.2557703	0.0433811	0.1545147	0.9521540	0.0070774	0.5357292	0.4068461	0.7283926	0.5032428	0.2319040	0.7659395	0.6598404	0.6441590	0.5673411	0.2606364	0.8193192	0.9695909	0.4251365	0.4968038	0.5618582
150	0.4058471	0.2681565	1.0035088	0.7953744	0.9184021	0.3027470	0.5335508	0.0553712	0.0947173	0.3257076	1.0846549	1.0410139	0.0858429	0.9561285	0.1831634	0.3673386	0.0049994	0.4764968	0.4060768	0.4773536	0.7805196	0.2872780	0.6653843	0.3882426	0.2944108	1.0127298	0.0706754	0.3351920	0.2723208	0.0875735	0.6879812	0.6157778	0.2840001	0.4444764	0.2169065	0.3270694	0.5675083	0.9393151	0.1595544	0.6505534	0.5010077	0.8730667	0.2280248	1.0014982	0.3406183	0.1655859	0.3826910	0.1915736	0.8883802	0.1121176	0.3781288	0.5278256	0.3192011	0.9006570	0.8288125	0.6795035	0.8397011	1.0571849	0.8048174	1.0462171	0.0015951	0.6367279	0.8273701	0.5497012	0.1984195	0.4562943	0.4793554	0.4677995	0.9241446	0.3377583	0.3411528	0.0620755	1.0331179	0.4609899	0.7514265	0.9071544	0.4799326	0.0645289	1.0198997	0.1503312	0.2854053	0.0389418	0.1885803	0.9126082	0.0080941	0.5048541	0.3798116	0.8054430	0.4743578	0.2588773	0.8262168	0.6236905	0.6771960	0.4929390	0.3425893	0.8977015	0.8975685	0.3685402	0.4641793	0.4842947
200	0.4163351	0.3327331	1.0062682	0.8148645	0.9359992	0.2412725	0.4552929	0.0430273	0.0797499	0.2864565	1.0291366	0.9215116	0.1133837	0.9693329	0.1222223	0.3367676	0.0059238	0.5454738	0.2894830	0.3795891	0.8544467	0.2522926	0.6737276	0.3828576	0.2481963	1.0187588	0.0975924	0.3968326	0.3019692	0.1208165	0.7993704	0.6628540	0.2885668	0.4577771	0.2166676	0.3586475	0.5948137	0.9326912	0.1703733	0.6269291	0.4324839	0.8402615	0.1935524	1.0604672	0.4298442	0.2248681	0.3903833	0.1770590	0.8170526	0.2081701	0.3667566	0.5133932	0.3352251	0.9007236	0.7916710	0.5996064	0.8525581	1.1517851	0.8133585	0.9962477	0.0032555	0.5123807	0.7611423	0.6195863	0.2679689	0.3738303	0.4917422	0.5233647	0.8347818	0.4014991	0.3429908	0.1084615	1.0674801	0.4965686	0.7559297	0.8302673	0.2317337	0.0787708	0.9932621	0.2019506	0.2593623	0.0408516	0.2016771	1.0026369	0.0102422	0.4627241	0.3427271	0.7774608	0.4985550	0.3090145	0.8301028	0.6115418	0.7005765	0.4548276	0.3242366	0.8515746	0.9886925	0.4593123	0.4774881	0.4646374
250	0.3655260	0.3941080	0.9553460	0.8458855	0.8678715	0.2516359	0.4521385	0.0476776	0.0693008	0.3120290	1.1026729	1.0002451	0.0882214	0.8761702	0.1043376	0.2822710	0.0061284	0.6275790	0.1454677	0.3144308	0.8881737	0.2313373	0.7076832	0.3923515	0.3141267	1.0268735	0.0866704	0.3705535	0.2737542	0.1041643	0.7430166	0.6864261	0.3163712	0.5573925	0.2539793	0.4140217	0.5841578	0.9293158	0.1433472	0.5843417	0.4558448	0.8234074	0.2243868	1.0381162	0.4953875	0.1932258	0.3202226	0.1626958	0.8050017	0.2434770	0.4179511	0.4120135	0.3051007	0.9632384	0.8761369	0.5824509	0.7707282	1.0216910	0.7736761	1.0121294	0.0026455	0.4804348	0.8506412	0.6276594	0.3893256	0.3606595	0.5058524	0.4558107	0.7970805	0.3972207	0.3804584	0.0711965	1.0128408	0.4025901	0.7744769	0.8165685	0.1138548	0.0741063	0.9864140	0.2712735	0.2513987	0.0571669	0.2090983	0.9567134	0.0048925	0.4942129	0.3206512	0.7616055	0.4712383	0.3682126	0.8355208	0.5544582	0.7865182	0.3960527	0.3902956	0.8530157	0.9666184	0.3983838	0.4428241	0.4370309
300	0.3683624	0.5279103	0.9747740	0.8398864	0.8317876	0.2274528	0.4357274	0.0592697	0.0748888	0.4028221	1.0191041	0.8352755	0.1675417	1.0362439	0.0850009	0.2898164	0.0039897	0.8263603	0.1031243	0.3150996	0.9073193	0.2425813	0.6842786	0.2901972	0.3364849	1.0887730	0.0728243	0.4672970	0.2733379	0.1064866	0.7004780	0.7216400	0.2954051	0.4429985	0.2617253	0.3666472	0.5509162	0.8449160	0.2088756	0.5216699	0.4911910	0.8147677	0.2059243	1.0784433	0.4679925	0.1302292	0.3790140	0.1347701	0.8697578	0.2399167	0.3458025	0.3715495	0.2749858	0.8643711	0.9547625	0.6271284	0.9066345	1.0042127	0.6131634	0.9977748	0.0009449	0.5448397	0.8694449	0.6990660	0.5129482	0.2662420	0.4837126	0.3936308	0.7423316	0.5457701	0.4842190	0.1017257	0.9721377	0.4537339	0.7487045	0.8187630	0.1315132	0.0836093	0.9770736	0.3508238	0.2017438	0.0503196	0.2640865	0.9492805	0.0004923	0.5506756	0.3270113	0.7820351	0.4546257	0.4106439	0.7768026	0.5383767	0.9856105	0.4325400	0.3892143	0.8708621	0.9088484	0.3952494	0.4160556	0.4072269
350	0.4173614	0.5293380	1.0603286	0.8264671	0.9417178	0.2604763	0.4472659	0.0312330	0.0712311	0.3297288	1.0032378	0.7639226	0.1224764	1.0129606	0.1051970	0.2770859	0.0005065	0.9000654	0.0834836	0.3038150	0.9338564	0.2885442	0.6201119	0.3076126	0.3258021	1.0600212	0.1035446	0.4155543	0.3077775	0.1234079	0.7957419	0.6536027	0.2961208	0.3398136	0.2652984	0.3386705	0.5612865	0.7575497	0.2030297	0.6058443	0.4572732	0.8419485	0.2290509	1.0108812	0.4039459	0.1716736	0.3119463	0.1350042	0.7815938	0.2184803	0.2627834	0.4138397	0.2969131	0.8866578	0.9635750	0.5590401	0.8601722	1.0437623	0.4964694	0.9334143	0.0114712	0.5913408	0.8860616	0.7396707	0.5378787	0.2347908	0.4246718	0.4277202	0.7879438	0.5965543	0.5907486	0.0646361	0.9512981	0.4736831	0.7373435	0.9041759	0.1296707	0.0974089	0.8851474	0.3630932	0.1631353	0.0359462	0.2061399	0.9887270	0.0004185	0.5597071	0.3078001	0.8554324	0.4658302	0.5445461	0.8458883	0.5439415	0.9449273	0.4280756	0.3764305	0.8002620	1.0005986	0.3707023	0.3669601	0.4808542
400	0.3990465	0.5467891	0.9834926	0.8755042	0.9195375	0.3169241	0.4751642	0.0583976	0.0704245	0.3720023	0.9336280	0.8718731	0.1114846	0.9301351	0.1028986	0.2986689	0.0005537	0.9138406	0.0811339	0.2891857	1.0217435	0.2526022	0.5872258	0.3041079	0.2774202	0.9067450	0.0861861	0.3755821	0.2551469	0.0846704	0.8556692	0.6776212	0.2482283	0.4032690	0.2401742	0.2738606	0.5453984	0.8505395	0.1858647	0.5741493	0.4612753	0.9067537	0.2438059	1.0885188	0.3814353	0.1263353	0.2976052	0.1402361	0.7162411	0.3060296	0.2657819	0.4150985	0.3624465	0.9883417	0.9052314	0.5911260	0.8796907	1.0917284	0.4433703	0.9501001	0.0006964	0.6133579	0.7763065	0.7685273	0.6011801	0.3545539	0.4336040	0.5052203	0.8561052	0.5770885	0.6187669	0.0754597	0.9714804	0.4585639	0.6828045	0.9069455	0.0954866	0.0877999	1.0415274	0.3484320	0.1606138	0.0523566	0.2228285	1.0480064	0.0005482	0.4051045	0.3698580	0.8666340	0.4298818	0.5199405	0.8296238	0.5456359	0.9601759	0.4302447	0.3948657	0.9129372	1.0281910	0.4052413	0.3785058	0.4294148
