"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G64A	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.1489358	0.8056427	0.7491930	0.6711322	0.3544135	0.4959883	0.3410476	0.4222644	0.4675048	0.0477554	0.1655110	1.0425710	0.7940101	0.3727034	0.5435953	0.3903925	0.5782073	0.8247871	0.3161434	0.1605229	0.5434134	0.9758075	0.0723992	0.2943360	0.0845152	0.0050629	0.0001961	0.5207467	0.3357084	0.2812656	0.1249605	0.9435686	0.6315029	1.0245368	1.0470132	0.0132815	0.9619079	0.0075489	0.8891921	0.0215203	0.0205166	0.8597110	0.7101062	0.8488754	0.0681011	0.7133160	1.0043744	0.9501022	0.5995342	0.8809544	0.0373692	0.8371239	0.7111597	0.8746040	0.2530950	0.0627269	0.0689702	0.5085085	0.1621976	0.5129089	0.4744064	0.7236673	0.3274206	0.4715398	0.2933552	0.6073331	0.2105116	0.1261713	0.8337264	0.7064747	0.9035289	0.4919403	0.0021437	0.7529851	0.6548386	0.7204372	0.7649210	1.0146345	0.6444177	0.9048425	0.0041942	0.1964607	0.9249600	0.7158288	0.2516725	0.9745072	0.7528377	0.1420475	0.8944212	0.5463464	0.5195638	0.6470325	0.6458242	1.0880148	0.3662243	0.1293285	0.0098726	0.6137850	0.0407485	0.4398602
50	0.3271647	0.7595615	0.7055912	0.6279747	0.3710094	0.4901495	0.1463142	0.4449105	0.4308114	0.0711558	0.1587385	0.6973950	0.6415798	0.6867953	0.5314085	0.3659014	0.5841262	0.3470487	0.3004211	0.0939041	0.5811935	0.9493921	0.0617256	0.3045414	0.0412413	0.0085094	0.0010521	0.5345594	0.3312403	0.1325863	0.0923468	0.9568127	0.6072984	0.9282470	1.0014759	0.0078070	0.4305916	0.0016586	0.8024524	0.1796012	0.6148215	0.7735530	0.7841404	0.4607017	0.0733836	0.6820428	1.0600319	0.6034691	0.5474358	0.7907669	0.0519740	0.7889309	0.6869653	0.9859698	0.2783070	0.3841047	0.0597983	0.7383993	0.1842397	0.5185961	0.4374304	0.8181338	0.3755731	0.4278205	0.2538638	0.6334546	0.1734181	0.1520573	0.7708296	0.7403218	0.8531197	0.6337952	0.0031537	0.8843276	0.8032848	0.5715282	0.7582450	1.0545428	0.7104439	0.8812155	0.0035443	0.1845348	0.9515656	0.6956965	0.1957155	0.8911285	0.6330608	0.0823977	0.9597338	0.5537725	0.4508070	0.4277933	0.2193265	0.9214947	0.4705133	0.1066284	0.0050301	0.6377337	0.0552248	0.4891190
100	0.4042847	0.7835241	0.5916515	0.5363881	0.4710449	0.5482225	0.0911779	0.4486513	0.4667254	0.1295384	0.1448859	0.6005107	0.4163372	0.7923008	0.5241233	0.4216859	0.6538349	0.2754135	0.1920597	0.0760761	0.4717424	0.9532086	0.0682597	0.4464395	0.0292554	0.0072070	0.0000000	0.4634061	0.4056155	0.0692049	0.1259798	0.9391708	0.7797774	0.8837980	0.9920491	0.2889096	0.3250808	0.0017220	0.7140527	0.2947606	0.8774563	0.7177531	0.8128359	0.3965013	0.1046364	0.6508133	0.9903047	0.4750319	0.5599302	0.6642664	0.0755619	0.9604532	0.7130264	0.8564435	0.3227070	0.4412680	0.0367679	0.7714972	0.2816127	0.3063810	0.5738493	0.5809465	0.4021288	0.3838846	0.1892573	0.6088384	0.1654687	0.1168909	0.7521937	0.7762281	0.8587400	0.5197622	0.0016109	0.8557862	0.7993272	0.4525583	0.7250818	1.1138049	0.5939249	0.8376245	0.0033774	0.2397642	0.9255678	0.7098427	0.1560052	1.0579362	0.6107909	0.1024218	0.9735817	0.5597909	0.4553854	0.4406675	0.1030872	0.9430516	0.3987689	0.0278122	0.0092352	0.6630665	0.0882839	0.4457603
150	0.3868652	0.7874321	0.4953248	0.3439274	0.5242955	0.4259659	0.0427909	0.4857796	0.4597578	0.1007175	0.1492387	0.5954755	0.2145384	0.8837605	0.4565612	0.3734179	0.6052748	0.3127716	0.1452943	0.0541201	0.5324845	0.9475448	0.1107089	0.7378712	0.0334521	0.0030706	0.0023337	0.4493522	0.3904373	0.0508461	0.2310156	0.9966703	0.9049611	0.9573702	0.7973435	0.6352866	0.2218656	0.0000000	0.8690053	0.3000286	0.9019502	0.6888588	0.6875638	0.3378190	0.0509525	0.5947484	0.9149579	0.4946123	0.6447789	0.5836302	0.0976942	0.9560165	0.6259336	0.9196036	0.3540447	0.4766190	0.0285479	0.6179492	0.3710182	0.1188204	0.6221896	0.6647033	0.4078547	0.4467766	0.1650216	0.5336281	0.1820056	0.1315130	0.7241204	0.7067509	0.8345021	0.5014779	0.0573091	0.8319906	0.7539144	0.4097310	0.6520071	1.0508050	0.5788875	0.7761373	0.0025847	0.3174167	0.8970183	0.7319987	0.0977989	0.9025461	0.6084023	0.1058835	0.9221520	0.4700566	0.5032121	0.4400017	0.0675205	0.9966755	0.3451172	0.0220154	0.0052315	0.8316363	0.1432767	0.4358047
200	0.3666791	0.8075839	0.3453480	0.2879140	0.4803112	0.1991219	0.0825753	0.4236712	0.4676145	0.1419671	0.1465893	0.5979073	0.1133189	0.9295233	0.2745655	0.3479287	0.5666014	0.3213671	0.1155620	0.0647032	0.4656088	0.8692886	0.3490438	0.9322111	0.0199338	0.0052641	0.0004416	0.4677475	0.4615600	0.0924103	0.2917130	0.9635753	0.8130977	0.9917165	0.8192501	0.8257455	0.1978212	0.0007429	0.7712269	0.3417594	0.9649822	0.6441482	0.6090035	0.3760610	0.0086093	0.5679546	0.9487770	0.5099691	0.7167966	0.6317292	0.0659668	0.9470412	0.6455581	0.9210909	0.3675910	0.5024853	0.0712550	0.8310713	0.3026684	0.0669072	0.6543244	0.9277467	0.4386412	0.4905718	0.1897389	0.4243828	0.2079651	0.3147568	0.6934045	0.5850928	0.8466393	0.6001606	0.2045137	0.7939428	0.9085339	0.1992787	0.5817580	0.9685532	0.5934718	0.7307608	0.0000000	0.5384589	0.9339688	0.7481427	0.0720708	0.9605703	0.5915146	0.1338871	0.8739509	0.3050911	0.4227477	0.4722441	0.0444823	0.9918487	0.3027255	0.0449961	0.0005457	0.8544701	0.1638760	0.5209880
250	0.3741680	0.8935894	0.3905114	0.2622202	0.4258141	0.1072106	0.0748465	0.4255059	0.4605013	0.2861801	0.1116780	0.5757318	0.1161959	0.8622160	0.1251300	0.3546172	0.6226093	0.2985764	0.0679035	0.0746115	0.5247691	0.6700788	0.6428160	0.9321608	0.0349592	0.0068275	0.0058002	0.4863125	0.4311124	0.1620577	0.3868774	1.0563244	0.8613905	0.9562608	0.6849294	0.8316851	0.1764029	0.0060308	0.7470475	0.3937909	0.9306753	0.6999366	0.5952660	0.4158333	0.0118150	0.5760224	1.0146509	0.5469016	0.6979450	0.5620972	0.0628053	0.8817207	0.7963700	0.8778760	0.4127924	0.5287017	0.3428828	0.8097439	0.2715921	0.1971454	0.5906183	0.9918980	0.4187275	0.5120370	0.2364210	0.4017164	0.3741224	0.5574520	0.7135802	0.4717821	0.7794085	0.6699726	0.2716887	0.7568449	0.9483380	0.2619236	0.5306223	0.9580920	0.5722233	0.6554963	0.0011990	0.6865034	1.0672084	0.8635688	0.0485085	0.9368387	0.4999415	0.1445431	0.9727678	0.2774301	0.3979005	0.4490611	0.0188253	1.0668091	0.2050301	0.0625932	0.0013336	0.8976718	0.1438205	0.7021242
300	0.4194200	0.9730340	0.4855081	0.2748393	0.4281669	0.0724304	0.0956124	0.3631465	0.5288386	0.4312256	0.0513623	0.6012364	0.1359525	0.9005917	0.1255327	0.4183102	0.5692851	0.2874947	0.0718592	0.0739755	0.3448826	0.6471388	0.7011108	0.8968921	0.0369779	0.0057439	0.0000000	0.4648904	0.4638090	0.3085265	0.3925020	0.9999328	0.7832140	0.8693958	0.5807098	0.9007685	0.2023185	0.0042727	0.7086800	0.3895846	1.0091326	0.6831066	0.6733436	0.4693636	0.0097961	0.6121627	0.9760950	0.5234216	0.7369702	0.6252268	0.0360797	0.8761671	1.0356771	0.7842806	0.3541690	0.5449551	0.5764009	0.8849805	0.2842322	0.5096032	0.5465550	0.8612770	0.4700945	0.4622559	0.2307217	0.3201084	0.4569191	0.6989011	0.6877270	0.5505798	0.7415991	0.7567580	0.3115565	0.6973770	1.0476139	0.2559046	0.4484231	0.9340681	0.5510029	0.5831301	0.0012915	0.8784278	0.9359393	0.9129504	0.0372405	0.9799635	0.4655539	0.1510969	1.0363934	0.3404293	0.3260358	0.4773639	0.0089441	1.0112476	0.2124446	0.0802570	0.0002899	0.8633312	0.1507161	0.7254327
350	0.3950854	0.9685715	0.4226481	0.2442750	0.5159885	0.0650978	0.1265120	0.2966779	0.6173569	0.4305332	0.0382573	0.5752267	0.1246066	1.0141865	0.1179126	0.5291918	0.5053053	0.3725824	0.1239923	0.1317455	0.2330543	0.6517485	0.7570706	0.9989389	0.0424217	0.0092177	0.0007573	0.5342673	0.4529255	0.2776998	0.4643450	0.9680778	0.6567943	0.8074529	0.5293134	0.9459600	0.1887302	0.0001624	0.7353733	0.4135570	0.9034548	0.6283923	0.7325460	0.4681278	0.0086164	0.7223869	1.0219259	0.5193705	0.8131821	0.6314321	0.0323264	0.8211009	0.9336781	0.7763823	0.2688671	0.4571199	0.4151845	0.9147226	0.2805728	0.6748322	0.5288279	0.8797058	0.5224465	0.4580649	0.1720137	0.3388945	0.4638854	0.7712494	0.7394056	0.6323655	0.7632873	0.8259722	0.3036888	0.7318981	1.0763993	0.3856016	0.3601343	0.9491005	0.5445860	0.4519176	0.0011272	0.7994413	0.9977429	0.9828516	0.0266778	0.9301508	0.4485467	0.1519755	0.9621916	0.4284018	0.3538814	0.3944294	0.0076162	0.9679492	0.1993171	0.0498868	0.0002933	0.7882991	0.1388475	0.7474095
400	0.3915557	0.9146042	0.4004469	0.2836944	0.4639101	0.0721696	0.1365463	0.2796363	0.6012437	0.4585427	0.0434248	0.6507405	0.0896815	0.9850309	0.1425751	0.5710166	0.5258527	0.3229750	0.1598967	0.1502512	0.2596073	0.5326828	0.8495571	0.9314632	0.0334667	0.0086691	0.0022220	0.5457177	0.4875191	0.3107790	0.4856712	1.0259699	0.5847744	0.8546287	0.4522533	0.8052764	0.1975134	0.0061951	0.6325930	0.5174349	0.9212930	0.5842206	0.7196369	0.4879817	0.0042939	0.8165688	1.0047662	0.5041539	0.6688225	0.6696255	0.0371072	0.7978215	0.8828713	0.7629626	0.2869298	0.4827330	0.2235361	0.7837921	0.2523338	0.7037149	0.5128581	0.8522602	0.5225733	0.3726751	0.1775418	0.4425767	0.5236795	0.8924843	0.7179352	0.6020945	0.7172728	0.8598483	0.3010148	0.6743510	1.0537932	0.4183366	0.3339476	0.9697192	0.4810690	0.3628224	0.0006892	0.7880972	0.9210969	0.9494555	0.0500187	1.0019424	0.4516585	0.1738031	0.9264696	0.4293176	0.3868232	0.3533211	0.0026831	0.9525806	0.1803201	0.1005722	0.0005599	0.7792719	0.1197492	0.6937401
