G_i	G_j
14	44
3	14
3	44
14	30
14	36
14	47
14	45
3	36
3	30
3	45
3	47
44	47
36	44
45	47
30	45
3	43
14	43
15	44
14	15
30	36
30	44
36	43
36	45
44	45
3	15
3	29
3	37
30	47
36	37
37	38
14	37
43	44
43	45
14	29
14	46
30	43
37	44
44	46
3	9
8	33
9	14
14	19
15	30
19	33
33	44
3	11
3	33
8	14
8	19
8	44
14	33
14	48
19	44
22	37
29	47
31	33
44	48
3	23
3	38
3	48
4	14
8	31
15	36
15	43
15	45
15	47
17	33
19	31
24	33
24	47
29	33
29	44
30	37
33	35
33	47
37	43
43	47
3	8
3	19
3	24
3	35
3	46
3	50
8	17
8	35
8	46
8	47
9	30
9	44
9	45
11	44
14	17
14	24
14	31
17	19
17	44
17	46
19	46
19	47
22	38
