"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G76A	G94	G95	G96	G97	G98	G99	G100

0	0.0780845	0.5966768	0.0585053	0.2235563	0.9991659	0.0907284	0.0064764	0.4550300	0.3026002	0.8154093	0.4757646	0.8902061	0.2960696	0.7495295	0.0364934	0.7375127	0.3962232	0.7088711	0.6573183	1.0260381	0.1408137	0.5813785	1.0648590	0.2981785	0.6315155	0.3492061	0.3985300	0.0351746	0.0805263	0.0236750	0.1342552	0.5766223	0.9649210	0.5141932	0.3281102	0.0050748	0.8389166	0.1996500	0.2058779	0.1919220	0.7008614	0.6689764	0.3118933	0.4934499	0.9167925	0.9127268	0.8407655	0.8697638	0.9545824	0.1706211	0.8170698	0.5594912	0.1443154	0.7742334	0.5759749	0.0644914	0.5955875	0.0473622	0.0004639	0.0438985	0.1323778	0.3585640	0.2126767	0.2913550	0.2283630	0.8984827	0.1819147	0.6795431	0.0996093	0.1780401	0.6380693	0.7053996	0.2205566	0.6060600	0.5467091	0.0853213	0.9121132	0.9611228	0.7194608	0.0004072	0.9859893	0.7007038	0.0145474	0.8119821	0.4738713	0.0700431	0.6573791	0.6839246	0.9315607	0.7106619	0.5319027	0.5355365	0.7132778	0.9199971	0.1491816	0.2356842	0.9440827	0.7367912	0.3940268	0.9740175
50	0.1118791	0.7686851	0.5488924	0.4018840	1.0662782	0.1129960	0.0074576	0.4410089	0.2538040	0.8616166	0.2133130	0.9455206	0.2773565	0.7432432	0.0220232	0.8369071	0.3476208	0.6130221	0.6405362	0.9996529	0.1365251	0.6437429	0.9891707	0.2459840	0.3371969	0.3048907	0.3816355	0.0522161	0.0329684	0.0245502	0.7022233	0.5547031	0.9182486	0.4173051	0.3373298	0.0002295	0.8258076	0.1987290	0.1836671	0.2046651	0.6813412	0.7523941	0.3198372	0.4807955	0.8742907	0.9528071	0.9580181	0.7819981	1.0023949	0.2815174	0.7637407	0.4506145	0.1421043	0.9243019	0.6005067	0.0576004	0.4905883	0.0155008	0.0022827	0.0826788	0.2737184	0.2516858	0.1194813	0.2122271	0.2919372	0.7831138	0.1445614	0.6827439	0.0767544	0.1814578	0.6107244	0.6862028	0.1079137	0.7808329	0.4121712	0.1242838	0.6357600	1.0508978	0.7992989	0.0002820	0.9951368	0.6726051	0.0318663	0.8732766	0.4590956	0.0848221	0.6252228	0.8114723	0.6095825	0.6749395	0.6291873	0.5072794	0.6719886	1.0093113	0.1521437	0.2916687	0.9037110	0.8026647	0.4446880	0.9395934
100	0.0680785	0.7993365	0.7348640	0.4376551	0.9547165	0.0805980	0.0031706	0.4714904	0.2551892	0.8574703	0.0750031	0.8782348	0.5115847	0.5969695	0.0241976	0.8680538	0.3929848	0.6662292	0.7219923	1.0024235	0.1574543	0.5194753	1.0204926	0.1897886	0.3688207	0.3899196	0.3911858	0.0471960	0.0554845	0.0087994	0.8108994	0.5516651	0.9783909	0.4229097	0.3651069	0.0000270	0.9696094	0.2466209	0.1781004	0.2107917	0.6888888	0.7080831	0.3376890	0.4757146	0.8633948	1.0109185	1.0708629	0.7958992	0.9805247	0.3819109	0.7724731	0.3698627	0.0684421	1.0080459	0.5328195	0.0823393	0.3901435	0.0130511	0.0022813	0.0466529	0.5482644	0.2444521	0.0744645	0.2073084	0.2699251	0.7105737	0.1511165	0.6738914	0.0345529	0.1943178	0.6575004	0.7426131	0.0577479	0.7197194	0.4990511	0.1117539	0.5312899	0.9422617	0.7515504	0.0001099	0.9415668	0.6789665	0.0360884	0.8806093	0.4656038	0.0275973	0.6724774	0.9456752	0.4523256	0.7357750	0.6869618	0.5434585	0.6577226	0.9574037	0.1511350	0.2692443	0.9739611	0.8740557	0.4733524	0.9104955
150	0.0467911	0.7673116	0.8359939	0.4123670	1.0241246	0.0705950	0.0019130	0.4433315	0.2703987	0.9121835	0.0400579	0.8559545	0.5757016	0.5677468	0.0367383	0.7833661	0.3962030	0.7168234	0.7332140	0.9635211	0.0985387	0.4997380	0.9597602	0.2004777	0.3363329	0.3330065	0.3243871	0.0139617	0.1005452	0.0152639	0.8034144	0.5894672	0.9114102	0.4422452	0.3263392	0.0000002	0.9449994	0.2130656	0.1839821	0.1871881	0.6998427	0.6960103	0.3508033	0.5509506	0.9954073	1.1089924	1.0024482	0.8085594	0.9092182	0.4626429	0.7855862	0.4763963	0.1101524	0.9761902	0.6247339	0.0930855	0.3038597	0.0104762	0.0009535	0.0527670	0.6848290	0.2444369	0.0524940	0.1885632	0.2806353	0.8063439	0.1529984	0.7172376	0.0329916	0.1550731	0.6609190	0.6094753	0.0827676	0.5892282	0.5897913	0.1102826	0.5897018	1.0147889	0.6261229	0.0008458	1.0553181	0.6276364	0.0357978	0.9017291	0.4554583	0.0486487	0.7059711	1.0131461	0.4511527	0.7206865	0.7673558	0.5329000	0.6040387	0.8679946	0.0816705	0.2819341	0.9703675	0.9136718	0.4842746	0.9841803
200	0.0417683	0.7223926	0.8327392	0.3945956	1.1016131	0.0940867	0.0043497	0.2989615	0.2219013	0.9636244	0.0158112	0.8692823	0.6191368	0.4685703	0.0306656	0.8117134	0.3942807	0.7007043	0.6814180	1.0376883	0.0906527	0.6043900	1.0454008	0.2443486	0.3915639	0.4731415	0.3541163	0.0399546	0.1093700	0.0053678	0.8605271	0.6341457	0.9567500	0.3846068	0.3327822	0.0000153	0.9182421	0.2398911	0.2149584	0.1991325	0.6871883	0.6609688	0.3417399	0.5651723	0.9269968	1.0198361	0.9049950	0.8257861	0.8689168	0.4730876	0.7199193	0.4246301	0.1515565	0.9204363	0.6140207	0.0684243	0.2515637	0.0048992	0.0005287	0.0476435	0.7036685	0.2715086	0.0601823	0.1805012	0.2846779	0.8554570	0.2337300	0.6767021	0.0269378	0.1411838	0.7858131	0.4748812	0.1113430	0.6149385	0.4414222	0.1259979	0.5921064	1.0624395	0.5757956	0.0049291	0.9948161	0.5920391	0.0387636	0.9716757	0.4825597	0.0507442	0.6493071	0.9672174	0.4193236	0.7152559	0.6930618	0.4594361	0.5683718	0.8174619	0.0688018	0.2782704	0.9227362	0.9248295	0.5371299	1.0081499
250	0.0498624	0.7444734	0.8654974	0.3690331	1.0188852	0.1325714	0.0019869	0.2652666	0.2304595	0.9779533	0.0179065	0.9717055	0.6043260	0.5220904	0.0470547	0.7416317	0.4223318	0.6611252	0.7109165	1.0024701	0.1267057	0.6280342	1.0167764	0.2987855	0.3375608	0.4258469	0.4378079	0.0230998	0.1055973	0.0154026	0.9084915	0.5354544	0.9243601	0.4914279	0.2559619	0.0000000	0.8599825	0.1971104	0.2520723	0.2092983	0.6866440	0.7189643	0.3068753	0.5196782	0.9177602	0.9578783	0.9933631	0.8437129	0.8591159	0.4606909	0.6352836	0.4307744	0.0828126	0.8998455	0.6997096	0.0704043	0.1542181	0.0034817	0.0003411	0.0490397	0.8509264	0.2444748	0.0899428	0.1519262	0.3303891	0.8974048	0.2374071	0.7063575	0.0594687	0.1615599	0.7669921	0.4485334	0.1965024	0.5934237	0.4960062	0.1274455	0.5989578	0.9608544	0.6111545	0.0040986	1.0125373	0.6359785	0.0391380	0.9345247	0.4296637	0.0449485	0.6917267	0.9755936	0.3962110	0.6780490	0.6922815	0.4997200	0.6477027	0.9502301	0.0909710	0.2742193	1.0551896	0.9064581	0.5066487	0.9722980
300	0.0265859	0.7172943	0.9638274	0.3773523	0.9575206	0.0876731	0.0034623	0.2387264	0.2277291	1.0724124	0.0102828	1.0841102	0.5594674	0.6379505	0.0589264	0.7482120	0.3997763	0.6758123	0.6816380	0.9546760	0.1094890	0.6302248	0.9546464	0.2483938	0.3769252	0.3674267	0.3335141	0.0221307	0.2651563	0.0257093	0.8487909	0.5640853	0.9169162	0.5451700	0.3191476	0.0000132	0.8995374	0.2052535	0.2421132	0.2012966	0.7389660	0.6985562	0.2836140	0.5439602	0.9263468	1.0221607	0.9434706	0.8917664	0.9669711	0.4443110	0.6661688	0.4461463	0.1418957	0.9650456	0.6461944	0.0997226	0.1800943	0.0091872	0.0015271	0.0603793	0.8209838	0.2196300	0.0845718	0.1411386	0.2853105	0.8290396	0.2250212	0.6256046	0.0568298	0.1515978	0.7987545	0.3678748	0.2328035	0.6050940	0.4711470	0.1295630	0.5598421	1.0588069	0.4822922	0.0058656	1.0957431	0.7045784	0.0175039	0.8807903	0.3943611	0.0624511	0.5828447	0.9565209	0.4371288	0.6997310	0.7229036	0.5032755	0.5518223	0.8931242	0.0858300	0.3130163	0.9000270	0.8778014	0.5265583	0.8946633
350	0.0575836	0.6943579	0.9275243	0.3630165	0.9808247	0.0657608	0.0012293	0.3747006	0.2233110	0.8965314	0.0233367	1.0204426	0.5448259	0.6426552	0.0763004	0.7641450	0.4576233	0.7313513	0.6405202	0.9035852	0.1206859	0.6881291	1.0352836	0.2062600	0.3702947	0.3702251	0.3302184	0.0216419	0.2070705	0.0338967	0.8018461	0.5439818	0.9287939	0.6119878	0.3234104	0.0000000	0.8484634	0.2096324	0.1915819	0.1970271	0.6854079	0.6503534	0.3957877	0.4432427	0.8610592	0.9436140	0.9307380	0.7813521	0.9756459	0.4028919	0.6974370	0.4131910	0.3296551	1.0107702	0.5838263	0.0971908	0.2148862	0.0114252	0.0004372	0.0713688	0.8553954	0.2281508	0.0709267	0.1816862	0.2310103	0.8419800	0.2291615	0.6666666	0.0263041	0.1180817	0.8704538	0.3884095	0.2347302	0.5857416	0.5194731	0.0995299	0.5602767	0.8810613	0.4708940	0.0003723	1.0095515	0.7129086	0.0025130	0.8965482	0.4499714	0.0898389	0.6036146	0.9959115	0.4676297	0.6372264	0.7196726	0.4858389	0.5369715	0.9166701	0.1404755	0.2785005	0.9515154	0.9087627	0.5673528	0.9202630
400	0.0515644	0.8189910	0.9423426	0.3159020	0.9487784	0.0757333	0.0025722	0.3450485	0.2186072	0.8752920	0.0374193	1.0298706	0.6869392	0.6830835	0.0323379	0.7556912	0.4976431	0.8007889	0.6591826	0.9798938	0.1297072	0.6460676	1.0565098	0.2055595	0.3667783	0.4533173	0.3659448	0.0238743	0.2126474	0.0331409	0.8428476	0.5441627	0.9812359	0.6956924	0.3392195	0.0000352	0.8686525	0.1879904	0.2478820	0.2039124	0.6753859	0.6636494	0.3174380	0.4466496	0.9567467	1.0769041	0.9699247	0.8670851	0.8439600	0.4182453	0.7378291	0.4149139	0.3571403	0.9174667	0.5871462	0.0746284	0.2232241	0.0161597	0.0007028	0.0866911	0.8942235	0.2791225	0.0637403	0.1677011	0.2865025	0.8322425	0.1916068	0.6826818	0.0303891	0.1201460	0.8465690	0.2893268	0.2114406	0.5624321	0.5358128	0.1127302	0.5041079	0.9428719	0.5258087	0.0005612	1.0317487	0.6746723	0.0004218	0.8856461	0.4854022	0.0456184	0.5283791	1.0152037	0.4127811	0.7102668	0.7061724	0.5277533	0.4759242	0.9424351	0.1458323	0.3856817	0.9553775	0.9415012	0.5902108	0.9747873
