Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G68A	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.0164476	0.5208194	0.0701615	0.5386553	0.2134848	0.3992793	0.0233947	0.3277794	0.6619527	0.0239891	0.2006378	0.4094089	0.0125071	0.6872017	0.0125313	0.3529208	0.6759981	0.1138886	0.0942350	0.3741727	0.0038756	0.0191153	0.0890149	0.2894139	0.7299612	0.1761800	0.3356541	0.4139126	0.5194725	0.4639837	0.4069054	0.1469799	0.6697468	0.0330102	0.4504087	0.1656666	0.5136251	0.3223767	0.0967714	0.5301141	0.1808137	0.4621437	0.7532721	0.1308171	0.3235511	0.3346964	0.4112435	0.6600203	0.4158484	0.1762853	0.2957105	0.0156062	0.5008320	0.6782132	0.4182582	0.0726819	0.0349167	0.2787933	0.3210273	0.1510078	0.2159440	0.3189779	0.0709954	0.1169446	0.1345852	0.3596100	0.5990366	0.5880341	0.7106287	0.3730494	0.5596698	0.1317955	0.1798600	0.2041463	0.4219186	0.3912669	0.3552505	0.3904225	0.5027776	0.5863662	0.3878758	0.3054078	0.3289887	0.3805127	0.1740116	0.1772533	0.4428548	0.6710231	0.4526342	0.3044380	0.3408402	0.2899591	0.1850076	0.6055317	0.4639313	0.3958638	0.3892997	0.0006491	0.3324211	0.3121430
50	0.0030923	0.3905799	0.0335112	0.5783973	0.2069428	0.4747718	0.0357488	0.3362652	0.6662035	0.0416161	0.3292017	0.6219730	0.0310068	0.3924240	0.0064617	0.4882530	0.5991469	0.1465400	0.4166426	0.3658012	0.0000000	0.0405826	0.0973554	0.2548369	0.6102259	0.1391970	0.5263461	0.2941999	0.6964025	0.4415901	0.4585650	0.1556370	0.6823812	0.0537937	0.6954957	0.0797101	0.7137352	0.3111986	0.1095642	0.5670712	0.2895379	0.3685633	0.5831935	0.1818303	0.3656316	0.3189121	0.3751475	0.6639914	0.3429501	0.1851609	0.3489032	0.0279006	0.5858172	0.6454236	0.3453732	0.1272372	0.0219189	0.2561319	0.2671929	0.1241348	0.1383554	0.1925576	0.0189875	0.0961194	0.1377600	0.3818351	0.6714771	0.6130816	0.5085165	0.4233720	0.4767928	0.0805582	0.2296725	0.1950866	0.3517565	0.2969975	0.3374131	0.3949886	0.4318330	0.5968758	0.4208921	0.2758175	0.2480576	0.3873357	0.2164403	0.1842090	0.4709493	0.4692482	0.3890907	0.2401623	0.3743756	0.2225232	0.1289275	0.6672614	0.6088172	0.3023199	0.3924886	0.0027376	0.3694475	0.3465370
100	0.0026277	0.3201647	0.0647210	0.4587441	0.2957681	0.4916986	0.0162820	0.2612462	0.6730058	0.0613081	0.3431407	0.7321538	0.0431341	0.2360021	0.0161590	0.4410996	0.4875723	0.1548134	0.5231734	0.3094795	0.0026871	0.0773768	0.1236893	0.1588422	0.6561859	0.0609360	0.5905117	0.3832392	0.7016433	0.4883689	0.5541742	0.1193252	0.6221840	0.0643410	0.6290918	0.0966460	0.5318834	0.3321809	0.2052064	0.4843250	0.3166244	0.4610606	0.5724297	0.1562904	0.4563115	0.3295129	0.5056157	0.6250255	0.3924090	0.2747914	0.3888373	0.0313327	0.6978289	0.6614761	0.3447496	0.0511593	0.0284296	0.2301378	0.1575352	0.2713258	0.1199460	0.1867491	0.0378504	0.0607311	0.3416186	0.3796945	0.5625022	0.4815862	0.3186566	0.5643427	0.4311703	0.0513398	0.3245799	0.2754560	0.4245482	0.4651704	0.3469430	0.2913922	0.4601279	0.4905207	0.4080706	0.3931831	0.3811381	0.3779318	0.2403976	0.1481285	0.4915534	0.3185084	0.4434634	0.2400985	0.5074770	0.1762807	0.2107440	0.7169478	0.6441248	0.3699687	0.3775688	0.0095221	0.4710690	0.4343054
150	0.0050823	0.4639151	0.0578912	0.4119421	0.3004726	0.5173806	0.0152414	0.3386339	0.6821454	0.0436677	0.3520570	0.5270203	0.1793403	0.2597730	0.0103826	0.3948615	0.5360557	0.1774150	0.5147573	0.3245030	0.0300919	0.0584768	0.2947391	0.0885727	0.6643084	0.0186071	0.3511371	0.2998884	0.7359452	0.4627698	0.6473737	0.1470477	0.5716477	0.0449248	0.6033503	0.1067469	0.4588148	0.3243856	0.0748978	0.5612058	0.3741140	0.3741333	0.3476596	0.1791808	0.4855969	0.3410523	0.4431213	0.6009135	0.3073281	0.2933823	0.2443728	0.0225710	0.6818085	0.6840303	0.4028472	0.0651377	0.0247187	0.3159609	0.0872649	0.3126778	0.2196811	0.1502984	0.0545120	0.0238970	0.3100455	0.3423695	0.6234339	0.5372235	0.1759523	0.4069780	0.4425762	0.0140968	0.2838294	0.3210452	0.3531375	0.5239220	0.2909924	0.2218383	0.4204600	0.5588834	0.3272510	0.5357049	0.4741489	0.4320744	0.2996978	0.1276842	0.6105198	0.2623318	0.3768212	0.2522200	0.4763537	0.2238080	0.1781549	0.5619294	0.6628178	0.4874058	0.4020159	0.0012018	0.4712266	0.4688269
200	0.0058790	0.3718212	0.1187630	0.3989754	0.3787598	0.5890962	0.0121231	0.3934005	0.7169266	0.0549938	0.4476624	0.3795543	0.2682661	0.2524682	0.0336576	0.4029902	0.4828126	0.1671604	0.6159528	0.3462203	0.0184006	0.0723404	0.5719418	0.0638948	0.6325610	0.0223681	0.4432061	0.2727925	0.7438500	0.4779415	0.5039266	0.1701265	0.6896559	0.1081002	0.5578846	0.1557015	0.4264472	0.2498742	0.1184441	0.5669142	0.2846069	0.2128829	0.2802929	0.1497953	0.4563798	0.3823039	0.4869244	0.6379987	0.4537964	0.4460574	0.3040501	0.0313254	0.5801243	0.6735215	0.3717030	0.1185701	0.0358871	0.3285968	0.0439031	0.3877415	0.1661186	0.1895766	0.0455108	0.0032127	0.2329937	0.3465642	0.5573802	0.6073931	0.1825114	0.3860655	0.4480849	0.0043171	0.3123122	0.4021051	0.3440670	0.4708328	0.3443496	0.1971547	0.5276402	0.5780886	0.3207456	0.4374543	0.5556593	0.2965585	0.2551769	0.0366011	0.4937938	0.1674564	0.3987580	0.2650557	0.4343465	0.1969087	0.1173995	0.5574492	0.5003750	0.4355618	0.3623320	0.0033743	0.5177112	0.5378739
250	0.0150017	0.1749455	0.1669812	0.3746836	0.3394997	0.6188406	0.0213872	0.2797391	0.7051068	0.0334342	0.5070727	0.3467134	0.3438214	0.2087484	0.0888756	0.4806559	0.4613837	0.1801117	0.4990198	0.6175293	0.0258317	0.0640322	0.6095952	0.0802773	0.5978245	0.0080445	0.5336362	0.3227232	0.7234004	0.4522468	0.5971849	0.1332169	0.6091783	0.0581266	0.5213685	0.1347681	0.4063867	0.2815800	0.1140659	0.5312008	0.2870929	0.1142849	0.1460720	0.1487021	0.4030874	0.3372283	0.5162491	0.6919768	0.4338989	0.3786998	0.4282003	0.0111375	0.4775178	0.6985220	0.2697504	0.1350525	0.0685858	0.3092987	0.0578347	0.4528670	0.1169769	0.2230126	0.0773503	0.0019032	0.2098653	0.2870107	0.7076506	0.6259484	0.1515344	0.4355344	0.4713371	0.0023536	0.3931377	0.2578034	0.3391891	0.4869780	0.3470077	0.1618373	0.5499944	0.7440686	0.2920804	0.4906970	0.5438038	0.4018976	0.2167355	0.0429683	0.5652729	0.1422942	0.4645245	0.3664486	0.4535487	0.2673872	0.1202124	0.4920170	0.5103842	0.4088450	0.3947904	0.0024374	0.5605487	0.6086000
300	0.0111548	0.1182791	0.1898885	0.3363095	0.3312053	0.6365126	0.0240642	0.3851578	0.5734255	0.0577558	0.4564156	0.4093205	0.4807946	0.2539933	0.1678350	0.6349482	0.5427241	0.1511265	0.6578968	0.5085207	0.0276473	0.0410850	0.5965840	0.0418330	0.6393034	0.0056030	0.4184702	0.2816208	0.7713560	0.5039852	0.4881036	0.1370711	0.6596089	0.0761739	0.5794920	0.1968208	0.2701227	0.1806067	0.0879882	0.6372915	0.1815937	0.0421598	0.1265241	0.1340365	0.4526333	0.3348353	0.4795047	0.7472391	0.5328618	0.4321172	0.3699011	0.0119456	0.6072475	0.6643822	0.3662173	0.1178636	0.0523561	0.2568871	0.0846283	0.4777623	0.1881482	0.2866532	0.0713796	0.0120058	0.1821747	0.3560537	0.6619581	0.5112661	0.1877177	0.4291028	0.4649059	0.0006994	0.3489946	0.2534210	0.3056862	0.4348583	0.4199812	0.1416077	0.5265958	0.6868185	0.3373048	0.5089522	0.4222813	0.3252628	0.2114863	0.0129278	0.5120487	0.1040280	0.4332885	0.1783898	0.5045378	0.3170891	0.1075983	0.6059310	0.4822749	0.5205206	0.4517856	0.0017480	0.4243361	0.6523807
350	0.0159653	0.1207053	0.2080693	0.3026052	0.4039114	0.6271180	0.0406133	0.2923287	0.6249436	0.0183453	0.4346716	0.4357854	0.4548433	0.2112722	0.2554853	0.6214879	0.3898689	0.2076428	0.6122519	0.6180419	0.0169541	0.0443197	0.6259111	0.0398644	0.5748176	0.0053186	0.4738022	0.3167987	0.7304337	0.5046948	0.6480664	0.1012429	0.5720782	0.1379114	0.5978251	0.1980074	0.3566143	0.1725432	0.0798651	0.5425874	0.3522742	0.0418347	0.0669343	0.1434060	0.3775295	0.3617455	0.3554839	0.6432000	0.4735149	0.4402681	0.4142792	0.0044680	0.5632943	0.6179453	0.4020840	0.0883128	0.0098137	0.2692196	0.1553809	0.4113797	0.1686444	0.2504605	0.0907935	0.0039520	0.1855011	0.3441538	0.6218178	0.6256417	0.2490969	0.3411672	0.3889936	0.0004557	0.3835890	0.2821640	0.2771886	0.4976993	0.4029995	0.0837316	0.6262529	0.7188608	0.3545892	0.4881451	0.3280951	0.3313978	0.1789587	0.0314925	0.6676311	0.1221940	0.4393225	0.2242312	0.5452972	0.3471724	0.0897726	0.5394673	0.4377708	0.5575017	0.4491154	0.0100935	0.5780390	0.6475614
400	0.0420147	0.1379800	0.3033495	0.3885217	0.3475659	0.6500075	0.0125104	0.4435474	0.6808780	0.0674155	0.4007116	0.4727227	0.5334199	0.1603309	0.3808374	0.5726560	0.3371068	0.2245146	0.5561794	0.6827633	0.0255822	0.0291573	0.5996207	0.0637400	0.6425001	0.0020572	0.5205533	0.3432926	0.5861990	0.5105309	0.6301099	0.1132756	0.7202848	0.0803368	0.5957030	0.3033718	0.2224335	0.1753522	0.1126612	0.6533178	0.1486698	0.0094305	0.0837228	0.1488741	0.3512441	0.2765679	0.3506130	0.6066314	0.5455206	0.4681610	0.3429875	0.0081006	0.7021627	0.6855411	0.3748542	0.1223903	0.0133093	0.2797552	0.2281856	0.4233430	0.1792313	0.2842394	0.0813936	0.0037006	0.2326740	0.3538481	0.6073308	0.5412081	0.2490010	0.3134563	0.4002827	0.0021223	0.3286847	0.2875827	0.3909013	0.4534225	0.3154040	0.1002276	0.5780434	0.5778068	0.2882446	0.4705561	0.3543364	0.3538017	0.1892361	0.0469891	0.6155286	0.0945988	0.5063855	0.2158366	0.5166077	0.2424528	0.1246077	0.5479334	0.4863204	0.4189083	0.5001330	0.0035562	0.4947915	0.6433927
