Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G73A	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.5007883	0.4994787	0.9703102	0.3613178	0.5043579	0.1980820	0.2503911	0.4530656	0.7537756	0.5322157	1.0000000	0.2476343	0.8687460	0.0587336	0.0803445	0.9999958	0.1005458	0.0441160	0.1369192	0.0218283	0.1373395	0.9999770	0.4541249	0.8816107	0.0994078	0.0922711	0.2041558	0.0168066	0.0642448	0.0710690	0.0635591	0.0113394	0.8978646	0.0618717	0.5785961	0.9437504	0.9522460	0.0681245	0.1107919	0.3459695	0.7865325	0.6251987	0.3895744	0.9440577	0.0173575	0.1144997	0.9416883	0.5929837	0.5664745	0.4187239	0.9971518	0.3722258	0.8934222	0.5374793	0.0005530	0.2951490	0.0004136	0.1040514	0.7468478	0.2598478	0.0324435	0.4106327	0.0426337	0.0152049	0.4597801	0.3697740	0.9834868	0.1569863	0.8543074	0.2325548	0.0011750	0.1159391	0.4541480	0.3205708	0.3100895	0.5337786	0.4035378	0.5715628	0.6803075	0.0039166	0.5167670	0.7587404	0.7429819	0.8607376	0.9536251	0.2867218	0.9113344	0.5669883	0.8405892	0.7903657	0.7046106	0.0541118	0.9841381	0.0083734	0.6471251	0.8013367	0.9664122	0.5301129	0.8885765	0.2310495
50	0.5002427	0.5122007	0.7402836	0.3617872	0.5034095	0.1832977	0.2505331	0.1233273	0.7535105	0.5216904	0.9470455	0.2852810	0.8383727	0.2675515	0.0829801	0.9999959	0.1914465	0.3290183	0.2282605	0.0264133	0.1382119	0.9999738	0.3033120	0.9031089	0.1197632	0.2046998	0.2071971	0.5884451	0.0642447	0.0717618	0.0247484	0.1967895	0.9082268	0.0667292	0.5784288	0.9437346	0.9505128	0.3060530	0.1097696	0.7350442	0.9501111	0.8333165	0.1040097	0.9430616	0.0174218	0.1346239	0.9166982	0.9157305	0.6182043	0.4216496	0.9957698	0.3415767	0.8919552	0.7715943	0.0001574	0.2558649	0.0003779	0.1170280	0.7530298	0.2656728	0.0324764	0.5540250	0.0562187	0.0132559	0.2272121	0.5299117	0.5529918	0.1608369	0.8546658	0.2386342	0.0021435	0.1158841	0.4541335	0.3390156	0.2782884	0.4582517	0.5418654	0.5644114	0.6803601	0.0025142	0.5487052	0.7678068	0.7806755	0.8936331	0.9533659	0.2454270	0.8368632	0.5672294	0.9217178	0.7902848	0.7007213	0.0542321	0.9842959	0.0089708	0.4206184	0.8036432	0.9725788	0.5554292	0.8626075	0.2305294
100	0.4961950	0.5518379	0.6819623	0.3679473	0.4921212	0.1803532	0.2522890	0.0360262	0.7504446	0.4924117	0.9294997	0.3810994	0.7334661	0.3326103	0.0944018	0.9999937	0.1972666	0.8084048	0.3814586	0.0409378	0.1488880	0.9998889	0.2777549	0.9492894	0.1801554	0.2340342	0.2752911	0.8027947	0.0642610	0.2231002	0.0819641	0.3116596	0.9328366	0.1489266	0.5360051	0.9433953	0.9436868	0.3950159	0.1198192	0.8903411	0.9876159	0.8815869	0.0307895	0.9309339	0.0167969	0.1410942	0.8491083	0.9431324	0.6021941	0.4242678	0.9911521	0.3237048	0.8854993	0.8481723	0.0000440	0.2454646	0.0002986	0.1572407	0.7594142	0.2864226	0.0337703	0.6168747	0.1119235	0.0098392	0.1357873	0.5201268	0.3206518	0.1979782	0.8585935	0.3251294	0.0074519	0.1147133	0.4540652	0.3414482	0.1507982	0.2981659	0.7013350	0.5121683	0.6817817	0.0013497	0.5580922	0.7909738	0.5651293	0.9300293	0.9496189	0.2289927	0.6276130	0.5704278	0.9516032	0.7896434	0.6921864	0.0564857	0.9852289	0.0130098	0.1702214	0.7957588	0.7950425	0.6433471	0.7954845	0.2248948
150	0.5154925	0.5870752	0.6682211	0.3821544	0.4613011	0.1797960	0.2567830	0.0129990	0.7431783	0.4638221	0.9236862	0.4576965	0.6306339	0.3586050	0.1282273	0.9999739	0.1947494	0.9473399	0.5955865	0.0558162	0.1735489	0.9991891	0.2642801	0.9787420	0.2374288	0.2799079	0.4155607	0.8831702	0.0675447	0.3901435	0.1687040	0.4667150	0.9597126	0.3691953	0.3606763	0.9422927	0.9339571	0.4311685	0.1547174	0.9522712	0.9962428	0.8928812	0.0220222	0.9015288	0.0154553	0.1491998	0.7808527	0.9450694	0.6217240	0.4239999	0.9848773	0.3378792	0.8794680	0.8673509	0.0000131	0.2365785	0.0003273	0.2064452	0.7607501	0.3144259	0.0459255	0.6395365	0.1964765	0.0082156	0.1039872	0.5050326	0.1661156	0.3196039	0.8657463	0.4559632	0.0231347	0.0974603	0.4539785	0.2857695	0.0684166	0.2069711	0.8154740	0.3723106	0.6895890	0.0012401	0.5664817	0.8247739	0.3518870	0.9204697	0.9396283	0.2307898	0.4503963	0.5796367	0.9576010	0.7858298	0.7014023	0.1353194	0.9857151	0.0231297	0.0851596	0.7873192	0.5627448	0.7237913	0.6801987	0.2147991
200	0.6044647	0.5583199	0.6533672	0.3945831	0.4173098	0.1797288	0.2620095	0.0070776	0.7358467	0.4433052	0.9217599	0.5022462	0.5593067	0.3806730	0.1917527	0.9998986	0.1943807	0.9829542	0.7201152	0.0807865	0.2070579	0.9954880	0.2545830	0.9915979	0.3434171	0.5032425	0.5319513	0.9133089	0.1176740	0.4693631	0.2074046	0.6238611	0.9772717	0.5195335	0.2259748	0.9401408	0.9124708	0.4647262	0.2766196	0.9769622	0.9982359	0.8955614	0.0497476	0.8660447	0.0145168	0.1735205	0.7086103	0.9485868	0.6801333	0.4307637	0.9838904	0.3623649	0.8751520	0.8598334	0.0000043	0.2274772	0.0006117	0.2379775	0.7640605	0.3703848	0.0878165	0.6478594	0.2793006	0.0078268	0.0947673	0.4967779	0.0794070	0.4881241	0.8706443	0.5346324	0.0493095	0.0599133	0.4539223	0.2123510	0.0301070	0.1595873	0.8576373	0.2295948	0.7039853	0.0018075	0.5656536	0.8692469	0.2501938	0.8637906	0.9252181	0.2357711	0.3482767	0.5941999	0.9529210	0.7721632	0.7227093	0.1683649	0.9840307	0.0385181	0.0572259	0.7962722	0.3769242	0.7757496	0.5703957	0.2020471
250	0.7024358	0.4324320	0.5921357	0.4127700	0.3625563	0.1797614	0.2612105	0.0055263	0.7418874	0.4310973	0.9211217	0.5584384	0.5123780	0.4078521	0.2642205	0.9989017	0.1957723	0.9921374	0.7846708	0.1190108	0.2696504	0.9461312	0.2487957	0.9962619	0.5621499	0.7240535	0.6020177	0.9246103	0.2509594	0.5026181	0.2136132	0.7191425	0.9862089	0.5456142	0.1639129	0.9347966	0.8569730	0.5771412	0.4269608	0.9868075	0.9986990	0.8961729	0.0834631	0.8345960	0.0148943	0.2276478	0.6329155	0.9551167	0.7412057	0.4512432	0.9855448	0.4014285	0.8595091	0.8232222	0.0000016	0.2108716	0.0027876	0.2489329	0.7761553	0.4322282	0.1886229	0.6612730	0.3020917	0.0080190	0.0923054	0.4874092	0.0377221	0.6393987	0.8598857	0.5729855	0.0801094	0.0293204	0.4553306	0.1611190	0.0127686	0.1243458	0.8525677	0.1779118	0.7186409	0.0025706	0.5580289	0.8998468	0.2225558	0.8057837	0.9047802	0.2257595	0.3027307	0.6114003	0.9415234	0.7364028	0.7406858	0.1212961	0.9761137	0.0621274	0.0470222	0.7993018	0.2356929	0.8056144	0.4927449	0.1929898
300	0.7661217	0.4453779	0.5209025	0.4477371	0.2960620	0.1798056	0.2510595	0.0044892	0.7711906	0.4252987	0.9209102	0.6375684	0.4795282	0.4366763	0.3279425	0.9876219	0.1999717	0.9945921	0.8183000	0.1504310	0.3608169	0.6780640	0.2458821	0.9974123	0.7316369	0.8170670	0.6389506	0.9288546	0.3858726	0.5161370	0.2106804	0.7681100	0.9904430	0.5232221	0.1415005	0.9220226	0.8073704	0.7392843	0.5177809	0.9907341	0.9988048	0.8958948	0.1037036	0.8021073	0.0172888	0.2885453	0.5797409	0.9605986	0.7735003	0.4656809	0.9881639	0.4572508	0.8392182	0.7561211	0.0000006	0.1847102	0.0139589	0.2468273	0.7898162	0.4770119	0.3093092	0.6810444	0.2738572	0.0085619	0.0913647	0.4695991	0.0183922	0.7362199	0.8326576	0.5943335	0.1168877	0.0135614	0.4613910	0.1307646	0.0054749	0.0966721	0.8098672	0.2085037	0.7300225	0.0031513	0.5537218	0.9135967	0.2362741	0.7613347	0.8864178	0.1992758	0.2864596	0.6300005	0.9256218	0.6835460	0.7500419	0.0899711	0.9563195	0.0919912	0.0424448	0.7891422	0.1475015	0.8239187	0.4225851	0.1957731
350	0.7819712	0.5543980	0.4864882	0.4872517	0.2370472	0.1798398	0.2449443	0.0033024	0.8016500	0.4220833	0.9208401	0.6861660	0.4606678	0.4618146	0.3788579	0.9414237	0.2072001	0.9952861	0.8358088	0.1799344	0.4383728	0.3914021	0.2446393	0.9972884	0.8154230	0.8491309	0.6571073	0.9305156	0.4730462	0.5215806	0.2079034	0.7925786	0.9924209	0.5091794	0.1291887	0.9035664	0.7891940	0.8496628	0.5714471	0.9923006	0.9988088	0.8926234	0.1104202	0.7672348	0.0213006	0.3352890	0.5527305	0.9635960	0.7871602	0.4661091	0.9921610	0.5188793	0.8249223	0.6926700	0.0000003	0.1605672	0.0354496	0.2366942	0.7977868	0.5040985	0.3702077	0.7036713	0.2418141	0.0093744	0.0905858	0.4500430	0.0099785	0.7821736	0.8279918	0.6084871	0.1358965	0.0068987	0.4703231	0.1124063	0.0027322	0.0795636	0.7530981	0.2692841	0.7377807	0.0035936	0.5525131	0.9167736	0.2642977	0.7290246	0.8849483	0.1959493	0.2796644	0.6490990	0.9087077	0.6387943	0.7536127	0.0746255	0.9306502	0.1204318	0.0400695	0.7755519	0.0990004	0.8357695	0.3574683	0.2029597
400	0.7657634	0.6341762	0.4799005	0.5236013	0.1971961	0.1798630	0.2469254	0.0024036	0.8183286	0.4189396	0.9208168	0.7058110	0.4551719	0.4810007	0.4129403	0.8616330	0.2153559	0.9954969	0.8448277	0.2107473	0.4868763	0.2503016	0.2442198	0.9969548	0.8510857	0.8601024	0.6656762	0.9313790	0.5192568	0.5238924	0.2072610	0.8051143	0.9933510	0.5065806	0.1208660	0.8866286	0.7838209	0.9088582	0.6098071	0.9929257	0.9987367	0.8808032	0.1086149	0.7388397	0.0256173	0.3662565	0.5420956	0.9649434	0.7919479	0.4610655	0.9950049	0.5699139	0.8173432	0.6556990	0.0000002	0.1485670	0.0582200	0.2253325	0.7982031	0.5192147	0.3731876	0.7220438	0.2258865	0.0103693	0.0898456	0.4362984	0.0072314	0.8027014	0.8492671	0.6204318	0.1389066	0.0042219	0.4777082	0.1026224	0.0017401	0.0709514	0.7048741	0.3193057	0.7430971	0.0041200	0.5522276	0.9148639	0.2900113	0.7083123	0.9009902	0.2180633	0.2715280	0.6683499	0.8932688	0.6129714	0.7558788	0.0676108	0.9061756	0.1423910	0.0387860	0.7691003	0.0740572	0.8411855	0.3125808	0.2062388
