"G_i"	"G_j"
3	27
16	42
21	46
16	27
16	46
42	46
32	46
46	48
16	48
42	48
2	46
3	37
3	46
13	46
21	32
44	46
2	21
3	13
3	32
13	21
16	24
24	42
24	46
27	32
37	46
46	83
1	27
2	27
3	83
13	27
21	44
21	83
24	48
27	43
27	46
27	49
32	37
32	83
34	46
37	83
1	3
2	3
2	13
2	32
3	16
3	21
13	32
13	37
13	83
21	27
21	37
32	44
2	37
2	83
9	48
13	34
13	44
21	79
27	42
30	46
46	79
1	43
2	79
3	4
3	42
4	27
9	16
9	46
10	46
15	16
16	49
21	48
27	37
27	83
30	32
1	16
2	16
2	30
2	44
2	48
3	30
3	43
3	44
9	42
13	79
15	24
15	42
15	46
16	21
21	30
21	42
30	37
30	83
3	34
4	16
10	21
10	32
13	30
15	48
16	32
