"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G66A	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.2852176	0.0742511	0.5558056	0.5279285	0.3027939	0.0129760	0.0757226	0.4567669	0.0205128	0.7905373	0.0947943	0.7271869	0.2544636	0.5494001	0.0276315	0.1104193	0.5315505	0.6134382	0.0464098	0.0034759	0.4071884	0.2175233	0.2358880	0.5278572	0.3344743	0.1431918	0.3270853	0.3641191	0.5638010	0.0988889	0.1701211	0.0415852	0.3637370	0.0269352	0.0705727	0.1600134	0.0417717	0.4218504	0.3155531	0.2051552	0.0013978	0.3664326	0.1201434	0.0711906	0.4572581	0.1098074	0.2170661	0.4863244	0.4246659	0.1918146	0.6184791	0.1246034	0.4893404	0.4447506	0.3276789	0.3603749	0.2976769	0.1120597	0.7263968	0.0355136	0.4971471	0.1112364	0.1757835	0.0326963	0.0894284	0.3063396	0.2074332	0.4385132	0.2339071	0.4465286	0.5963533	0.4166429	0.3357553	0.3417723	0.0008523	0.0053591	0.4247869	0.0245427	0.7185662	0.4060340	0.1159754	0.3506312	0.0033221	0.5033519	0.6696735	0.3711148	0.6617099	0.7476081	0.3613854	0.3959962	0.5824537	0.5940581	0.2212320	0.7228288	0.0048830	0.1844818	0.1752837	0.1836565	0.2404630	0.0006426
50	0.2822006	0.2143949	0.4685092	0.6797607	0.2716720	0.0090117	0.1038028	0.5062755	0.0246138	0.6156359	0.2950473	0.6621668	0.3456212	0.4951283	0.1816550	0.1866538	0.3369502	0.6890656	0.1268172	0.0062968	0.2398057	0.1851414	0.2179917	0.4452493	0.2467016	0.1264922	0.3677810	0.3328099	0.4885514	0.1077635	0.1839784	0.0267485	0.3914914	0.0317751	0.0926490	0.1830877	0.0604471	0.4368243	0.3540093	0.1785782	0.0036837	0.4349997	0.2147189	0.1823358	0.4255453	0.1025219	0.1864968	0.4453294	0.3557189	0.2099352	0.5457797	0.2784072	0.5569146	0.3580220	0.3222116	0.7039892	0.3199722	0.1789384	0.7642262	0.0283975	0.3488798	0.0832248	0.1681099	0.0310536	0.2418115	0.3094197	0.3300787	0.6009201	0.1111141	0.3992657	0.4950060	0.4079893	0.3066204	0.2570715	0.0237270	0.0334574	0.3168536	0.1319863	0.7896818	0.3468830	0.1848951	0.3094900	0.0154853	0.4501322	0.6076614	0.5107715	0.6505452	0.6211487	0.3965114	0.3652943	0.5455747	0.6871330	0.1786230	0.5886516	0.0021018	0.3577051	0.1428826	0.2255130	0.1437053	0.0002031
100	0.2962752	0.4383129	0.5392165	0.5951489	0.2790353	0.0091741	0.0865174	0.4947564	0.0237683	0.6144763	0.4894406	0.4734111	0.2352033	0.4500077	0.4282634	0.1689408	0.2052376	0.6109003	0.1820995	0.0012716	0.2762964	0.2264468	0.2590340	0.4554576	0.3785262	0.1799765	0.4091322	0.4086572	0.4258764	0.1515150	0.2376923	0.0314754	0.5306319	0.0494051	0.0728791	0.2322392	0.1537448	0.3944988	0.3845287	0.1733120	0.0021910	0.3262148	0.2131133	0.2286386	0.4706577	0.1944681	0.1597068	0.5486377	0.2251701	0.4285203	0.5449387	0.1553001	0.3994669	0.4417601	0.3101761	0.6209560	0.2980855	0.1203456	0.6091169	0.0632774	0.3445956	0.0838396	0.0255481	0.0124140	0.3483342	0.3459174	0.2641871	0.6232468	0.0335239	0.3046167	0.5424702	0.2790907	0.3989828	0.3164331	0.0731270	0.0357343	0.4028094	0.2019485	0.7656398	0.3295486	0.2070925	0.1527871	0.0172837	0.3409061	0.6345437	0.4274551	0.6440961	0.5490274	0.3238699	0.3664406	0.5364317	0.5416202	0.1794575	0.5999486	0.0019535	0.3542152	0.1123166	0.2204607	0.1148745	0.0000000
150	0.2992961	0.3797038	0.4002794	0.4348217	0.3694842	0.0224786	0.0873503	0.5153758	0.0345223	0.6339314	0.6516409	0.3753214	0.2145492	0.2673012	0.5781469	0.2168174	0.1455682	0.4096577	0.2348521	0.0024535	0.2773427	0.2829802	0.2365037	0.4892825	0.2738454	0.1700493	0.5623301	0.2860803	0.5342107	0.0969633	0.2177013	0.0213896	0.6418404	0.0615685	0.0531017	0.1968749	0.1201818	0.4276809	0.3189142	0.1841716	0.0021237	0.2646102	0.3415318	0.3107880	0.4160952	0.2166468	0.2114641	0.4394761	0.1319191	0.3994370	0.4173541	0.1106386	0.5469363	0.5393597	0.2795312	0.4773991	0.2393321	0.1877321	0.7265945	0.1074130	0.2432634	0.0466991	0.0153214	0.0137410	0.2581940	0.3379489	0.4254639	0.5597122	0.0228493	0.4357236	0.7120904	0.3031556	0.4168256	0.3738425	0.0779492	0.0200523	0.5015904	0.2312193	0.5450622	0.4316317	0.2234391	0.1144782	0.0070998	0.3353511	0.5761676	0.4160989	0.6164762	0.4305404	0.4478686	0.3712949	0.5682840	0.4234714	0.2020079	0.6157983	0.0019653	0.4023805	0.1427718	0.2215476	0.1468430	0.0017051
200	0.2164023	0.5199101	0.3412053	0.2604372	0.3689981	0.0208568	0.0922944	0.5433340	0.0638850	0.6279519	0.8416539	0.2318254	0.2175482	0.2942382	0.5707325	0.1970766	0.1094074	0.5434115	0.2374391	0.0045154	0.2357678	0.1770628	0.1880453	0.6059796	0.3876767	0.2229490	0.4704720	0.3549213	0.4739089	0.0669586	0.2142863	0.0148019	0.6326785	0.1006342	0.0424126	0.2547264	0.2174879	0.3569319	0.3642000	0.1964521	0.0017345	0.1613531	0.4662696	0.2619238	0.3470969	0.1854167	0.1500962	0.3197483	0.0740832	0.4536596	0.5250005	0.0676985	0.6398362	0.5509444	0.4084535	0.4873789	0.2277874	0.1679152	0.7299941	0.0553291	0.2693795	0.1037954	0.0008296	0.0067635	0.2418664	0.2611520	0.4636777	0.6345723	0.0236293	0.3980524	0.6523454	0.1639249	0.4839135	0.4023898	0.0584736	0.0532868	0.5019585	0.2752032	0.5202325	0.3707879	0.2187399	0.0863697	0.0024117	0.3940555	0.4134132	0.3750393	0.6231019	0.4795346	0.4506049	0.3292472	0.5123020	0.4635041	0.3194267	0.5625550	0.0014355	0.5668554	0.2312689	0.2582117	0.1973958	0.0003521
250	0.2236575	0.4671872	0.2139103	0.2059572	0.4425726	0.0114402	0.1262389	0.4643175	0.0692447	0.7220216	0.7201114	0.1162552	0.1154947	0.1527354	0.6098196	0.2902392	0.1087693	0.4434304	0.2710272	0.0005785	0.2065141	0.2458321	0.2237166	0.5047360	0.4609502	0.1902883	0.4763277	0.5189497	0.3448961	0.0844350	0.2097812	0.0136147	0.7099201	0.0732055	0.0907645	0.2582539	0.2029901	0.4649188	0.3216915	0.2432076	0.0076914	0.1186326	0.5507157	0.3227651	0.3751479	0.2492358	0.1234326	0.2869343	0.0405947	0.5746683	0.6746453	0.1111321	0.5086901	0.6423956	0.4610594	0.3726485	0.1821823	0.2419860	0.7216972	0.0730382	0.2598398	0.2772103	0.0000521	0.0026973	0.3528072	0.2347203	0.5297966	0.5186336	0.0304678	0.5517363	0.5915747	0.1082367	0.4688867	0.3983454	0.0464867	0.0526995	0.4091463	0.2772995	0.7429726	0.3350294	0.1721829	0.1181374	0.0058822	0.4041772	0.4610425	0.3648113	0.6771534	0.4365116	0.3616666	0.4436393	0.4810089	0.4683022	0.3894920	0.6878098	0.0001544	0.4630419	0.2402621	0.2029830	0.2248797	0.0001475
300	0.2940320	0.5365583	0.1237326	0.2065326	0.4125140	0.0690146	0.1955712	0.3896613	0.0782407	0.6063708	0.6991202	0.1028229	0.1026186	0.1917875	0.5284885	0.3134562	0.0673216	0.4286763	0.3029414	0.0001368	0.1952978	0.1340415	0.1804051	0.6000176	0.5894935	0.2394403	0.5901796	0.5937484	0.3484689	0.0287992	0.1689367	0.0207107	0.6153781	0.0737978	0.1136127	0.3371190	0.1836929	0.3277315	0.2772990	0.3106847	0.0005310	0.0940533	0.5113391	0.2428661	0.3905721	0.2484840	0.0955418	0.2297020	0.0445111	0.4943489	0.5992560	0.1755410	0.5092523	0.6322881	0.4127475	0.4147406	0.1124525	0.2541685	0.6860111	0.0482753	0.3452751	0.2781886	0.0024285	0.0008620	0.3658382	0.2213105	0.5423790	0.5053147	0.0763480	0.5318719	0.5972272	0.0935129	0.3589974	0.5221105	0.0751717	0.0931734	0.4095935	0.2665465	0.6110203	0.3026648	0.2240748	0.1058092	0.0069843	0.4308739	0.4899635	0.2939866	0.6303838	0.5034121	0.4463146	0.4960752	0.5035714	0.4023328	0.4332171	0.6636390	0.0003534	0.4431557	0.3933567	0.3247926	0.3798217	0.0032840
350	0.2602132	0.5872881	0.0570768	0.1854812	0.3925296	0.0499908	0.1705182	0.4721159	0.0947560	0.5360920	0.6557734	0.0990355	0.1125331	0.1862581	0.5325907	0.3328628	0.0468077	0.3851596	0.2401869	0.0036855	0.2686327	0.1155252	0.1559496	0.5875449	0.5162984	0.2409622	0.5578998	0.6908872	0.2897502	0.0194355	0.1660611	0.0338001	0.5081971	0.1024181	0.0746123	0.4106543	0.2445486	0.3568155	0.2904845	0.3256186	0.0060133	0.0499852	0.7195008	0.3580183	0.4423308	0.2414027	0.0542130	0.2123519	0.0477815	0.5720281	0.6378818	0.2786840	0.5898470	0.5533673	0.4010088	0.3343339	0.0955669	0.3526053	0.7798976	0.1116777	0.2448434	0.2806125	0.0020690	0.0009251	0.4661925	0.2588677	0.7421000	0.6020528	0.0214329	0.4418229	0.5614391	0.0994051	0.4148872	0.3741655	0.0570212	0.0971176	0.3541368	0.2143985	0.4713721	0.4021946	0.2460214	0.1033043	0.0072382	0.3867634	0.3602714	0.1578389	0.6555461	0.4201939	0.3668213	0.4159902	0.3459279	0.4186879	0.4467405	0.5822733	0.0004220	0.2723634	0.4663905	0.2982865	0.3000648	0.0004031
400	0.2147932	0.5618327	0.0687309	0.1362517	0.5159147	0.0574099	0.1558693	0.3941595	0.1098852	0.4769857	0.5564069	0.1169010	0.1053905	0.1714610	0.5766495	0.4280469	0.0506541	0.3109327	0.2086104	0.0058742	0.3732240	0.1145500	0.2089799	0.5507874	0.5268369	0.3355697	0.5274167	0.7181841	0.3508556	0.0352500	0.2098328	0.0603051	0.6065644	0.0650611	0.1258911	0.3364246	0.2651919	0.4162923	0.2257533	0.3272755	0.0041947	0.0575755	0.6212076	0.2589637	0.3976209	0.2538962	0.0912713	0.1209906	0.0227004	0.6310904	0.7428575	0.2801714	0.4999972	0.5856562	0.5791546	0.2546500	0.0435854	0.2371637	0.6382656	0.1081450	0.2362499	0.2840670	0.0000600	0.0090284	0.4577365	0.2503780	0.6304456	0.4516896	0.0110198	0.5387658	0.6658227	0.1436679	0.3035402	0.6007068	0.0853172	0.1297126	0.3187970	0.2430308	0.4979734	0.3361600	0.2744008	0.1551142	0.0134860	0.4311684	0.3680725	0.2247023	0.6927696	0.4963840	0.4178158	0.4530588	0.3471110	0.4224337	0.4259431	0.6287250	0.0001892	0.2518541	0.3869163	0.3262170	0.4309995	0.0007794
