Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G73A	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.5007980	0.4994785	0.9703104	0.3613187	0.5043576	0.1980820	0.2503870	0.4530400	0.7537913	0.5322188	1.0000000	0.2476346	0.8687451	0.0587338	0.0803446	0.9999958	0.1005466	0.0441160	0.1369193	0.0218286	0.1373397	0.9999770	0.4541248	0.8816108	0.0994078	0.0922711	0.2041558	0.0168066	0.0642448	0.0710690	0.0635585	0.0113397	0.8978697	0.0618808	0.5785880	0.9437392	0.9522308	0.0681286	0.1107928	0.3459695	0.7865325	0.6251987	0.3895744	0.9440573	0.0173581	0.1145029	0.9416852	0.5929853	0.5664747	0.4187259	0.9971515	0.3721979	0.8934221	0.5374734	0.0005526	0.2951296	0.0004137	0.1040577	0.7468389	0.2598483	0.0324436	0.4106327	0.0426277	0.0152049	0.4597790	0.3697429	0.9833163	0.1569941	0.8543133	0.2325061	0.0011754	0.1159278	0.4541472	0.3205708	0.3100632	0.5336885	0.4036339	0.5715639	0.6803144	0.0039165	0.5167668	0.7587357	0.7429831	0.8604046	0.9536229	0.2867214	0.9113344	0.5669807	0.8405802	0.7901664	0.7046128	0.0541118	0.9841381	0.0083743	0.6471255	0.8013165	0.9664122	0.5301131	0.8885763	0.2310412
50	0.5006759	0.5026642	0.8444610	0.3614232	0.5041315	0.1902956	0.2504344	0.3047142	0.7537398	0.5296991	0.9703591	0.2575127	0.8597847	0.1683335	0.0810876	0.9999958	0.1615507	0.1045416	0.1796023	0.0229815	0.1375726	0.9999764	0.3696875	0.8872755	0.1073489	0.1582788	0.2046110	0.2831515	0.0642448	0.0705268	0.0480679	0.1004071	0.9015668	0.0627920	0.5785657	0.9437456	0.9518806	0.1920498	0.1102188	0.5947652	0.8473514	0.7238140	0.2712408	0.9438472	0.0173840	0.1254043	0.9357502	0.7674181	0.5870866	0.4195593	0.9967953	0.3621458	0.8929972	0.7307625	0.0003922	0.2748533	0.0004057	0.1065646	0.7484684	0.2614857	0.0324503	0.5363562	0.0474789	0.0145172	0.3533757	0.4489634	0.7735588	0.1578884	0.8543775	0.2337127	0.0014218	0.1159228	0.4541438	0.3253423	0.3035703	0.5165286	0.4803878	0.5689634	0.6803185	0.0035345	0.5343951	0.7612772	0.7678826	0.8689525	0.9535815	0.2660451	0.8903434	0.5670395	0.8805028	0.7902627	0.7036419	0.0541446	0.9841987	0.0085343	0.5768524	0.8022776	0.9729410	0.5384721	0.8795339	0.2309392
100	0.4986861	0.5234684	0.7330692	0.3640647	0.4992591	0.1836656	0.2513551	0.1471189	0.7527632	0.5142622	0.9421374	0.3134726	0.7965792	0.2764086	0.0864887	0.9999955	0.1909979	0.4698657	0.2655920	0.0308791	0.1428220	0.9999498	0.3073870	0.9161290	0.1515346	0.2120712	0.2274110	0.5943345	0.0642469	0.1205824	0.0487157	0.2218704	0.9187177	0.0912639	0.5676776	0.9436315	0.9489282	0.3243403	0.1133738	0.8168770	0.9174456	0.8204883	0.1393348	0.9388899	0.0172257	0.1356764	0.8998487	0.8849658	0.6076998	0.4222079	0.9942779	0.3378385	0.8894808	0.8348033	0.0002036	0.2562496	0.0003534	0.1239137	0.7537280	0.2743562	0.0329725	0.6088387	0.0815721	0.0117374	0.2254259	0.4982722	0.5010353	0.1712145	0.8558965	0.2688477	0.0037705	0.1156321	0.4541207	0.3391177	0.2452096	0.4230794	0.6221501	0.5403488	0.6807081	0.0024263	0.5495499	0.7750465	0.7000740	0.8970748	0.9523459	0.2417032	0.7595580	0.5683372	0.9254930	0.7901294	0.6979960	0.0546764	0.9848663	0.0103167	0.3326795	0.8008341	0.8562197	0.5973936	0.8367582	0.2283734
150	0.5016879	0.5568979	0.6866060	0.3735812	0.4801350	0.1809647	0.2546306	0.0642822	0.7490108	0.4896169	0.9289088	0.3910546	0.6988079	0.3311382	0.1045962	0.9999887	0.1948198	0.7600388	0.4392196	0.0436039	0.1605307	0.9996685	0.2791613	0.9507270	0.2091249	0.2467868	0.3153382	0.7760709	0.0648447	0.2621164	0.0951556	0.3518086	0.9437795	0.2212715	0.4688689	0.9430605	0.9426092	0.3960022	0.1299723	0.9207924	0.9589962	0.8670038	0.0681338	0.9205911	0.0164167	0.1431381	0.8428986	0.9263251	0.6101428	0.4234580	0.9894749	0.3329925	0.8834471	0.8646746	0.0000943	0.2446026	0.0003209	0.1574665	0.7577724	0.2955569	0.0392088	0.6373259	0.1517112	0.0093255	0.1493380	0.5061408	0.2955355	0.2335478	0.8606668	0.3691701	0.0120551	0.1093205	0.4540535	0.3209324	0.1586313	0.3121101	0.7588170	0.4408860	0.6839540	0.0016878	0.5599957	0.7989807	0.5181797	0.9160844	0.9470906	0.2323963	0.5801207	0.5737457	0.9479766	0.7889300	0.6966189	0.0800411	0.9856212	0.0164063	0.1679373	0.7912074	0.6207932	0.6795070	0.7510467	0.2211009
200	0.5477022	0.5724840	0.6673123	0.3864410	0.4449888	0.1800763	0.2596686	0.0281498	0.7427569	0.4653468	0.9237085	0.4543553	0.6118296	0.3615120	0.1468938	0.9999595	0.1944162	0.9014917	0.6038674	0.0605681	0.1885933	0.9981122	0.2635323	0.9749418	0.2849394	0.3742544	0.4324058	0.8642429	0.0801689	0.3837419	0.1493837	0.5077716	0.9659314	0.3957303	0.3250866	0.9417202	0.9314064	0.4361835	0.1937470	0.9641390	0.9800901	0.8857088	0.0487059	0.8904586	0.0153564	0.1574031	0.7782157	0.9405643	0.6478705	0.4256144	0.9855621	0.3459949	0.8788010	0.8631401	0.0000416	0.2351269	0.0004080	0.1951205	0.7603029	0.3351140	0.0661386	0.6463309	0.2357300	0.0082048	0.1139923	0.5021770	0.1581523	0.3593919	0.8665361	0.4705486	0.0303818	0.0854014	0.4539861	0.2673392	0.0907756	0.2307174	0.8344642	0.2950384	0.6930127	0.0015899	0.5652466	0.8354917	0.3606822	0.9007110	0.9370578	0.2337741	0.4356827	0.5846080	0.9533319	0.7837224	0.7078927	0.1430966	0.9848434	0.0277735	0.0920441	0.7922640	0.4243810	0.7451784	0.6411304	0.2103867
250	0.6327826	0.5130357	0.6308461	0.4002934	0.3983161	0.1798365	0.2620109	0.0137243	0.7395268	0.4465421	0.9218133	0.5061652	0.5489100	0.3879764	0.2094740	0.9997022	0.1950092	0.9600769	0.7136647	0.0896168	0.2349158	0.9819491	0.2540908	0.9880773	0.4577318	0.5977345	0.5300979	0.9034699	0.1495102	0.4563951	0.1837642	0.6376154	0.9798438	0.4986395	0.2216144	0.9387298	0.9023575	0.5029701	0.3195709	0.9816604	0.9901779	0.8926431	0.0615963	0.8580550	0.0148470	0.1935571	0.7063242	0.9487838	0.7076734	0.4366726	0.9850861	0.3725490	0.8696310	0.8343521	0.0000180	0.2229083	0.0011405	0.2225973	0.7664520	0.3922158	0.1383043	0.6586205	0.2889787	0.0079749	0.0997026	0.4956509	0.0798413	0.5097742	0.8663766	0.5355569	0.0558629	0.0536152	0.4542582	0.2083427	0.0483293	0.1749600	0.8543392	0.2019761	0.7059674	0.0019978	0.5620228	0.8725963	0.2723627	0.8590658	0.9219703	0.2322062	0.3490759	0.5995839	0.9483903	0.7674863	0.7250619	0.1409035	0.9796512	0.0454758	0.0610210	0.7977968	0.2700104	0.7872147	0.5474253	0.1990776
300	0.7136673	0.4558949	0.5664146	0.4259147	0.3389863	0.1798017	0.2556501	0.0079939	0.7502951	0.4344289	0.9211490	0.5732305	0.5050490	0.4161001	0.2757867	0.9963281	0.1976610	0.9825917	0.7781067	0.1223005	0.3127785	0.8509890	0.2487273	0.9940628	0.6507920	0.7514464	0.5949229	0.9200785	0.2640372	0.4936473	0.1992601	0.7204256	0.9872333	0.5224635	0.1682945	0.9311799	0.8566990	0.6356150	0.4377622	0.9886771	0.9948740	0.8949791	0.0827122	0.8264188	0.0157088	0.2484985	0.6393545	0.9555945	0.7534606	0.4527377	0.9863516	0.4150174	0.8525153	0.7732389	0.0000077	0.2033711	0.0058107	0.2368289	0.7771658	0.4453880	0.2537188	0.6774175	0.2863660	0.0082593	0.0942454	0.4842082	0.0393728	0.6400506	0.8505783	0.5728658	0.0883645	0.0291222	0.4566925	0.1636007	0.0244862	0.1340964	0.8308736	0.1947199	0.7188648	0.0025654	0.5568013	0.8979380	0.2428361	0.8123827	0.9033155	0.2151372	0.3068971	0.6169304	0.9365739	0.7342557	0.7394202	0.1129008	0.9641928	0.0707081	0.0483586	0.7945991	0.1681350	0.8125163	0.4714133	0.1951132
350	0.7611005	0.4902930	0.5131625	0.4616971	0.2764685	0.1798203	0.2473898	0.0052486	0.7739500	0.4274406	0.9209213	0.6374728	0.4759100	0.4432923	0.3350016	0.9768675	0.2033302	0.9909135	0.8139038	0.1529845	0.3966219	0.5912286	0.2459922	0.9962647	0.7726645	0.8221890	0.6327075	0.9269156	0.3744852	0.5112629	0.2045514	0.7668462	0.9908734	0.5162513	0.1429953	0.9172951	0.8199129	0.7687290	0.5187634	0.9914795	0.9970264	0.8945948	0.0983611	0.7926401	0.0182914	0.3018522	0.5909760	0.9604315	0.7777188	0.4620125	0.9892675	0.4701355	0.8355183	0.7065404	0.0000033	0.1787461	0.0191111	0.2393711	0.7879489	0.4834218	0.3416148	0.6999014	0.2578931	0.0088861	0.0919627	0.4675232	0.0197542	0.7258117	0.8343075	0.5949802	0.1174146	0.0150022	0.4624603	0.1335700	0.0121751	0.1049170	0.7812739	0.2412190	0.7293286	0.0030825	0.5538384	0.9105169	0.2494245	0.7711201	0.8907562	0.1995814	0.2888267	0.6354656	0.9211671	0.6918284	0.7479795	0.0897550	0.9401954	0.0990776	0.0428017	0.7834061	0.1101391	0.8285825	0.4011522	0.1991025
400	0.7701265	0.5661305	0.4889106	0.4990373	0.2256595	0.1798451	0.2460969	0.0036134	0.7970241	0.4229224	0.9208442	0.6790006	0.4611301	0.4662830	0.3814645	0.9277825	0.2109429	0.9939256	0.8331837	0.1834115	0.4594973	0.3772905	0.2447713	0.9968084	0.8319359	0.8499621	0.6530018	0.9297816	0.4545811	0.5192432	0.2060897	0.7915449	0.9926149	0.5098301	0.1289566	0.9005020	0.7995882	0.8595648	0.5731955	0.9925980	0.9979820	0.8891924	0.1053292	0.7605077	0.0220211	0.3426006	0.5625120	0.9632517	0.7882981	0.4628125	0.9925342	0.5261024	0.8237414	0.6629775	0.0000014	0.1598542	0.0386612	0.2343082	0.7943173	0.5070193	0.3711113	0.7194268	0.2348287	0.0097569	0.0907164	0.4509939	0.0111003	0.7731447	0.8380342	0.6101217	0.1320046	0.0080245	0.4697175	0.1150449	0.0062033	0.0862010	0.7292440	0.2956415	0.7370149	0.0035724	0.5527007	0.9142295	0.2699791	0.7390252	0.8924118	0.2063721	0.2786598	0.6545459	0.9052057	0.6539349	0.7525557	0.0759073	0.9150629	0.1248259	0.0401437	0.7734243	0.0797224	0.8377817	0.3443314	0.2039177
