"G_i"	"G_j"
19	46
35	46
19	35
5	46
22	46
11	46
20	46
4	35
5	35
11	35
20	35
22	35
5	20
19	22
20	22
5	22
11	19
18	35
35	43
4	8
4	10
5	19
8	35
11	20
18	46
8	10
10	35
19	20
19	47
4	43
5	11
11	18
18	19
18	20
35	47
46	47
8	43
10	43
12	13
4	46
5	18
32	46
4	22
5	47
12	19
12	35
12	46
35	41
41	46
4	19
8	40
10	28
18	22
18	47
19	23
20	47
22	47
23	46
4	28
4	34
5	41
6	8
6	40
8	19
8	28
8	34
10	34
11	12
11	22
12	20
17	46
19	21
19	40
19	41
19	43
20	41
21	35
21	46
22	32
23	35
28	35
34	35
34	43
35	40
36	46
40	46
4	40
5	12
5	24
8	21
8	22
8	46
10	19
10	21
10	40
11	13
11	47
15	46
21	22
22	23
