Time	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G63A	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G93	G94	G95	G96	G97	G98	G99	G100

0	0.4384198	0.4982147	0.7456809	0.3522465	0.2226078	0.3035000	0.0118455	0.3894516	0.3657106	0.7123116	0.7249203	0.2994920	0.1643677	0.0564244	0.5892039	0.2450690	0.2186967	0.4783084	0.2800648	0.0173472	0.7935762	0.0217028	0.0285195	0.0026954	0.4013238	0.2547221	0.2422892	0.3204774	0.6994783	0.5802612	0.2041087	0.2074842	0.2701407	0.2571641	0.3136801	0.3606412	0.0036370	0.1588849	0.0997091	0.4142252	0.3799701	0.2271992	0.7480413	0.6889290	0.1973946	0.3892791	0.2505753	0.4246640	0.4967241	0.7677389	0.6381869	0.6773691	0.0006225	0.2158211	0.3990450	0.3832214	0.5024348	0.4556383	0.6799999	0.8202919	0.6711220	0.1812879	0.2034784	0.0306646	0.1563008	0.4963527	0.0282010	0.0221499	0.2013045	0.2436703	0.4763103	0.3453268	0.0192689	0.1751705	0.4306002	0.5187558	0.0667917	0.6832860	0.1827230	0.3603643	0.2687388	0.4023800	0.6214727	0.7095981	0.5252956	0.6020085	0.3537249	0.4521336	0.2679555	0.1679618	0.6320286	0.1758124	0.0684420	0.2685146	0.2839268	0.2814109	0.2826392	0.6377038	0.3744988	0.6493371
50	0.1714777	0.3962272	0.6654232	0.3157171	0.1922685	0.2979598	0.0016038	0.1590964	0.3009581	0.5684427	0.6939871	0.3276256	0.1149996	0.0544944	0.5401279	0.3255679	0.4615384	0.6899200	0.2635611	0.0017789	0.7488527	0.0101401	0.4869982	0.0013302	0.1575038	0.2626663	0.2850112	0.3089338	0.5789863	0.6235087	0.1795661	0.1798959	0.2416679	0.2096216	0.3695774	0.3304129	0.3959397	0.0293183	0.0980376	0.3557587	0.4036675	0.2690892	0.6486319	0.2919909	0.3995638	0.2026139	0.0386499	0.4742517	0.4014384	0.3661111	0.5737901	0.6506598	0.0030542	0.1783357	0.4490092	0.3575884	0.6493996	0.3915574	0.5923434	0.2845651	0.6005198	0.1407483	0.2723330	0.0346337	0.2101800	0.5278069	0.0723599	0.1220885	0.3263781	0.4168511	0.5410895	0.4631416	0.0129277	0.1569101	0.3350202	0.4500440	0.0394783	0.7004797	0.1791139	0.5703519	0.2621317	0.3647170	0.6839643	0.3063964	0.5655282	0.5215989	0.2483124	0.5033745	0.4180980	0.0299848	0.6396906	0.1235726	0.0297115	0.2121990	0.1512331	0.0679373	0.1977215	0.5362414	0.4329982	0.2752497
100	0.1826855	0.4024003	0.7562999	0.4339542	0.1802202	0.1789866	0.0098683	0.1340681	0.2872972	0.6260387	0.6894849	0.3200549	0.1464350	0.0200792	0.7114389	0.4188956	0.4798007	0.6259820	0.3944463	0.0026182	0.6809820	0.0895484	0.4728027	0.0100637	0.1305818	0.2897382	0.1980949	0.3117102	0.6335147	0.7369104	0.2417175	0.1926168	0.2552226	0.2306719	0.3398229	0.1315654	0.5373811	0.0183901	0.0803114	0.3875320	0.4000117	0.1853012	0.5056846	0.1683300	0.4765930	0.2873128	0.0073319	0.4744201	0.3105277	0.4341994	0.4983890	0.5555882	0.0030501	0.1983236	0.3384457	0.1958264	0.5986465	0.4410780	0.6857955	0.2177780	0.6337378	0.1326240	0.2797584	0.0323180	0.1626069	0.5003497	0.0801774	0.2283897	0.3838546	0.3737489	0.6145061	0.3509533	0.0116896	0.2076534	0.4294697	0.5241846	0.0160184	0.6000535	0.2226704	0.4971665	0.2421348	0.2531492	0.5097675	0.1908197	0.6026171	0.5948346	0.3211849	0.4381519	0.2748015	0.0262026	0.6989804	0.1641323	0.0198563	0.2641137	0.0948709	0.0451660	0.2050341	0.5965022	0.3187126	0.1393310
150	0.2129621	0.3521203	0.6670811	0.3677929	0.1444240	0.0626113	0.0225725	0.1459530	0.4979074	0.6432604	0.6955123	0.3028605	0.1695743	0.0532121	0.6710258	0.4387532	0.4506114	0.7057490	0.4416916	0.0010783	0.7956332	0.2133811	0.5296803	0.0285563	0.0636507	0.3276980	0.2311895	0.3690280	0.5889979	0.7545392	0.3658422	0.2626062	0.2513417	0.3198965	0.2408075	0.0377960	0.6529953	0.0083518	0.0652412	0.2376443	0.4171065	0.2188856	0.4028619	0.0595076	0.5880405	0.1999430	0.0007229	0.5414017	0.3085797	0.3954448	0.3269746	0.6021156	0.0017274	0.2422654	0.3646360	0.0765040	0.6119666	0.3997040	0.7924661	0.2281000	0.7302452	0.1768401	0.2405239	0.0395699	0.1798045	0.5079093	0.0899513	0.1503354	0.5781811	0.4304415	0.6133650	0.3803471	0.0047376	0.1441457	0.4843866	0.5534964	0.0139186	0.7206721	0.1586719	0.7943319	0.1387638	0.2880837	0.5568787	0.2959567	0.6647277	0.4554951	0.4087005	0.3494252	0.3484534	0.0099479	0.6194580	0.1730826	0.0182772	0.2016615	0.0651000	0.0339570	0.1913958	0.4509429	0.3705444	0.0923469
200	0.2047163	0.3943832	0.6847033	0.3563126	0.1059368	0.0913505	0.0204918	0.1566092	0.4267620	0.5809915	0.5657386	0.2935977	0.1256670	0.0493053	0.5730322	0.4589903	0.4350884	0.7708456	0.5300278	0.0084855	0.5770612	0.1543910	0.4793185	0.0421931	0.1029573	0.4081967	0.2188618	0.3352119	0.7084309	0.6976136	0.3978689	0.2131470	0.2830377	0.2692127	0.1306819	0.0539540	0.6223766	0.0048471	0.0887670	0.3321832	0.4468359	0.2736417	0.1819752	0.1043389	0.5109466	0.1325072	0.0039556	0.6250567	0.2713727	0.3167619	0.2881323	0.6132488	0.0098715	0.2037203	0.2834358	0.0789440	0.6976898	0.4357002	0.6850381	0.2095130	0.6920981	0.1244044	0.3803168	0.0654808	0.1859851	0.4924547	0.1001026	0.2033936	0.6621640	0.3292028	0.4384725	0.3490170	0.0056001	0.2015260	0.6433903	0.5456713	0.0029846	0.6121443	0.2062049	0.6485828	0.0763316	0.3781467	0.5767809	0.5706488	0.5556737	0.4063047	0.3097231	0.3234071	0.3367756	0.0174281	0.7577382	0.1980783	0.0416894	0.1743408	0.0536158	0.0030571	0.2359356	0.5820597	0.2851974	0.1438158
250	0.2470720	0.2535088	0.7474699	0.3327559	0.1316758	0.0637923	0.0274757	0.1824979	0.4627065	0.6362684	0.6485422	0.3223275	0.1482574	0.0748610	0.5757480	0.4131880	0.4027975	0.6220483	0.5072160	0.0109349	0.5260056	0.2818695	0.6283281	0.1627694	0.0420533	0.4477264	0.2646222	0.3886083	0.4922937	0.7168001	0.3243477	0.2183552	0.2178010	0.2603338	0.0591245	0.0120909	0.6660681	0.0030230	0.2851867	0.3065560	0.4284039	0.2275333	0.0768152	0.0411242	0.5451088	0.2604062	0.0032182	0.5312134	0.2308640	0.4137161	0.1771933	0.6582336	0.0318708	0.2102945	0.3830238	0.0902370	0.7242051	0.4080697	0.6153183	0.2114316	0.6322927	0.2079645	0.4478360	0.0250394	0.2823827	0.4833162	0.0898520	0.1727021	0.5821551	0.2794412	0.5139500	0.2988679	0.0043272	0.2599538	0.4452089	0.5075974	0.0039437	0.7049225	0.1713731	0.6608359	0.0772085	0.3152309	0.7619157	0.8355726	0.6083947	0.4124648	0.3996776	0.2523972	0.3814952	0.0269230	0.6460045	0.3133776	0.0342965	0.1111103	0.0776966	0.0023208	0.1919918	0.3367757	0.3631810	0.1908963
300	0.1593482	0.3846959	0.6163648	0.2849391	0.1447859	0.0521150	0.0247045	0.1614956	0.4150544	0.5886900	0.7021520	0.4351754	0.1461369	0.0660630	0.5401015	0.4474142	0.3269018	0.6530941	0.5390468	0.0159300	0.7498366	0.2838116	0.5856438	0.2293168	0.0736548	0.2628463	0.1873212	0.3291440	0.5655002	0.6709209	0.5396780	0.2199818	0.3139880	0.3505983	0.0178626	0.0121524	0.6476204	0.0023891	0.4400038	0.2916572	0.3414798	0.2247088	0.0444915	0.0344007	0.6576284	0.2162785	0.0045433	0.6436715	0.2630636	0.4297356	0.1549714	0.5552828	0.0266810	0.2431395	0.4014481	0.1491014	0.6567204	0.4764179	0.6658194	0.2254231	0.6467679	0.2089742	0.3163170	0.0089599	0.3865849	0.5825092	0.1151412	0.2464402	0.7036054	0.4437331	0.5412661	0.3457661	0.0038782	0.2047617	0.5213608	0.5932802	0.0050050	0.5887407	0.2359675	0.5698918	0.0732825	0.2904276	0.6110468	0.6764592	0.6148336	0.3277941	0.2983488	0.2261036	0.4581337	0.0093762	0.8270840	0.3142006	0.0264991	0.1052557	0.0680305	0.0000000	0.2519108	0.4324090	0.3352182	0.0835121
350	0.1534481	0.4867188	0.6747659	0.3502053	0.1846302	0.0696838	0.0177231	0.1176336	0.4432396	0.4736690	0.6027992	0.4115217	0.1534508	0.0679678	0.5813730	0.4390190	0.3945535	0.6006828	0.6341671	0.0227067	0.7479234	0.2927435	0.6479544	0.1150041	0.1750539	0.3742368	0.2024889	0.3940521	0.5792181	0.6911536	0.4876764	0.2704385	0.2649027	0.2571557	0.0062480	0.0167833	0.5465465	0.0012369	0.5340220	0.3595476	0.4419959	0.1867855	0.0430350	0.0395030	0.6456432	0.2625434	0.0038222	0.6304482	0.2774861	0.3796503	0.1137958	0.6890231	0.0375108	0.2649223	0.3859605	0.2526838	0.7241624	0.4976404	0.7121378	0.2573047	0.7480392	0.1608693	0.3843628	0.0386589	0.3253627	0.4122061	0.0834077	0.2476204	0.6167359	0.4704730	0.5491884	0.3229114	0.0027490	0.1736092	0.4651323	0.5303787	0.0039879	0.5601310	0.3444660	0.5919153	0.1852447	0.2524449	0.8521739	0.7044196	0.6883821	0.3439609	0.2925999	0.1555484	0.4592843	0.0307162	0.7860673	0.2626449	0.0339095	0.0874863	0.0881053	0.0054091	0.3134531	0.3696856	0.3145829	0.1121439
400	0.1831643	0.3451682	0.6811696	0.2895308	0.1574998	0.0727716	0.0158600	0.1558980	0.5442069	0.5119221	0.5257472	0.4004548	0.1525807	0.0420530	0.5951350	0.4408482	0.3830472	0.5952952	0.4405470	0.0248576	0.5953275	0.3086768	0.5685652	0.0576938	0.0864019	0.3864298	0.2314577	0.2914733	0.7225092	0.7202028	0.4412120	0.1966459	0.3262535	0.1945231	0.0041501	0.0202863	0.5716473	0.0006060	0.6377850	0.3224174	0.2929300	0.1868840	0.0430525	0.0956722	0.6174203	0.3424522	0.0036772	0.6863615	0.2845336	0.3719734	0.1039616	0.7001829	0.0425624	0.2755680	0.5018836	0.2976565	0.7170808	0.3386715	0.7653178	0.2660980	0.6472069	0.1715884	0.3610139	0.0411143	0.4004649	0.4786205	0.0976666	0.2191664	0.6397889	0.4266178	0.5796891	0.4055876	0.0002580	0.1801966	0.6553175	0.5850606	0.0019558	0.7663102	0.2735031	0.5885202	0.2011984	0.3838858	0.6871183	0.7303830	0.5677491	0.3479168	0.3847052	0.1090072	0.4516936	0.0034065	0.7734059	0.0892684	0.0227015	0.0793509	0.0756171	0.0006950	0.3007697	0.3013401	0.4962709	0.0755124
