G_i	G_j
13	40
13	29
16	40
29	40
13	16
14	40
2	34
2	45
2	13
26	40
2	16
2	40
2	50
5	40
34	45
2	26
2	94
5	13
12	40
13	14
14	29
16	26
16	29
16	45
16	50
40	45
2	15
2	43
5	12
5	29
6	7
12	29
13	15
13	34
13	41
13	45
14	16
15	34
15	40
16	34
16	94
26	34
26	45
26	50
34	40
34	94
45	50
45	94
50	94
12	13
15	16
15	45
26	94
29	41
34	50
40	41
2	29
12	14
15	26
15	50
15	94
17	40
26	47
40	50
2	4
2	47
2	86
5	6
5	14
6	29
13	17
13	43
13	49
13	50
13	94
14	41
16	17
34	86
40	43
40	49
40	94
43	45
2	23
4	29
4	34
6	13
6	40
13	26
15	43
15	86
16	43
17	29
17	50
29	34
29	49
34	43
43	50
43	94
2	17
2	49
