"Time"	G1	G2	G3	G4	G5	G6	G7	G8	G9	G10	G11	G12	G13	G14	G15	G16	G17	G18	G19	G20	G21	G22	G23	G24	G25	G26	G27	G28	G29	G30	G31	G32	G33	G34	G35	G36	G37	G38	G39	G40	G41	G42	G43	G44	G45	G46	G47	G48	G49	G50	G51	G52	G53	G54	G55	G56	G57	G58	G59	G60	G61	G62	G63	G64	G65	G66	G67	G68	G69	G70	G71	G72	G73	G74	G75	G76	G77	G78	G79	G80	G81	G82	G83	G84	G85	G86	G87	G88	G89	G90	G91	G92	G76A	G94	G95	G96	G97	G98	G99	G100

0	0.0945369	0.5919877	0.0524923	0.2838872	1.0196474	0.1143818	0.0080349	0.4689706	0.2757100	0.7848106	0.4745436	0.9617240	0.2665108	0.6875088	0.0313457	0.7478442	0.4279631	0.6955591	0.6181272	1.0609433	0.1648472	0.5746940	1.0907141	0.2732311	0.6686051	0.3705906	0.4116467	0.0281707	0.0652965	0.0210860	0.0862168	0.6211407	1.0159087	0.5675781	0.3516060	0.0182895	0.8410836	0.1773705	0.2583989	0.2021406	0.7129313	0.6587541	0.2973112	0.4687159	0.7544215	0.9010128	0.8808510	0.8373288	1.0537787	0.2148238	0.8686452	0.6000193	0.1500856	0.7442874	0.5540224	0.0537788	0.6117905	0.0534149	0.0007175	0.0560737	0.1544623	0.3324006	0.1731279	0.2946363	0.2692929	0.8659933	0.1320686	0.7693461	0.0839500	0.1612966	0.6777058	0.7995051	0.1952416	0.7080184	0.5251501	0.1338536	0.9050631	1.0090305	0.8569777	0.0015498	1.0849013	0.6474666	0.0179784	0.7642298	0.4865926	0.1127283	0.6857087	0.7439414	0.9043545	0.6573913	0.5222012	0.5068875	0.6819348	0.9160437	0.1581979	0.2327969	0.8878093	0.6974787	0.4285465	0.9863497
50	0.1034184	0.7267084	0.2796919	0.3532225	0.9784748	0.1406580	0.0016473	0.3995498	0.2767940	0.8284069	0.3734523	0.9614165	0.2653312	0.7737825	0.0431333	0.7528255	0.3678356	0.6405689	0.6848044	0.9468374	0.1481983	0.6230550	0.9058694	0.2867217	0.4729926	0.3667773	0.3704998	0.0495815	0.0450160	0.0254344	0.3739422	0.5628119	0.9517144	0.3921482	0.3304231	0.0088975	0.8458384	0.2191055	0.2472525	0.1552748	0.5980301	0.7408291	0.2942841	0.4458161	0.9184149	1.0774770	0.9407450	0.8249177	1.0757191	0.1998605	0.7917260	0.4407560	0.1576466	0.7989965	0.5130248	0.0611052	0.6121577	0.0262170	0.0018969	0.0808095	0.1547856	0.2790741	0.1995578	0.2403092	0.2738981	0.7943723	0.1514385	0.7318617	0.0964527	0.1505024	0.6570428	0.7591845	0.1893685	0.7047180	0.5250489	0.1283524	0.6798769	1.0391874	0.8471130	0.0001200	0.9931134	0.6523050	0.0414351	0.7503588	0.4255168	0.1037700	0.6336742	0.8008574	0.7312584	0.7250856	0.5637086	0.5327407	0.7174020	1.0535236	0.1269979	0.2572324	0.9172083	0.7827673	0.5011168	1.0641774
100	0.0581900	0.7975450	0.5232946	0.3576000	1.0446103	0.0868370	0.0010440	0.4246110	0.2395703	0.7926781	0.2498353	0.9757977	0.4515088	0.6938324	0.0487873	0.8394255	0.3522749	0.6449981	0.6695149	0.9620558	0.1757669	0.5468502	1.1121233	0.1842011	0.4270746	0.4375915	0.3444492	0.0460373	0.0480343	0.0189840	0.6766918	0.4990478	1.0048030	0.4141623	0.3452009	0.0036365	0.9184137	0.1976050	0.2279613	0.1793094	0.6534622	0.7067814	0.3614300	0.5046856	0.8602003	1.0772632	0.9376158	0.8629517	1.0420469	0.2879231	0.7590588	0.3926230	0.1223364	1.0295784	0.5820889	0.0799924	0.4380634	0.0204826	0.0022173	0.0576332	0.3630919	0.2008669	0.1025715	0.2220940	0.2940591	0.6986876	0.1661939	0.7259209	0.0393025	0.1833982	0.5875003	0.7566649	0.0814705	0.8339533	0.4893867	0.1081835	0.5764686	1.0036676	0.7669972	0.0016747	0.9831880	0.7299295	0.0267480	0.8215959	0.4601452	0.0613198	0.6434993	0.9219578	0.4808640	0.6626557	0.6306729	0.6025322	0.6596061	0.9627211	0.1361051	0.2824608	0.9181022	0.8012176	0.5028445	1.0435763
150	0.0426459	0.7427273	0.6799669	0.4241985	1.0185206	0.0874356	0.0051373	0.4967979	0.2444646	0.9224277	0.1468223	0.8797812	0.4994873	0.6531668	0.0386720	0.7891552	0.4006877	0.6797783	0.6923312	1.0967522	0.1315297	0.5089965	0.9874461	0.2024142	0.3670361	0.4053253	0.3579902	0.0287608	0.0940190	0.0114776	0.6832280	0.5671368	0.9730046	0.4036349	0.3712309	0.0024066	0.9991200	0.1985930	0.2117187	0.2231824	0.6945782	0.7566971	0.3499805	0.4816996	0.8967622	1.0737719	0.9869453	0.8587521	0.9290062	0.3917359	0.7523170	0.4118018	0.0815739	0.9630517	0.6149500	0.0908619	0.3220567	0.0188901	0.0004753	0.0448348	0.6299059	0.2115210	0.0695731	0.1840490	0.3154521	0.6896889	0.1669639	0.7430909	0.0182183	0.1651627	0.6762740	0.7110804	0.0725095	0.7509957	0.4593804	0.1292912	0.5681399	0.9927301	0.7104744	0.0000000	0.9625270	0.6909719	0.0350276	0.8407138	0.4581430	0.0232615	0.6776049	0.9775885	0.3879265	0.7049537	0.6981094	0.5778833	0.6547677	0.8809975	0.0987724	0.2377706	1.0425112	0.8478019	0.4936328	1.0528239
200	0.0303229	0.8189436	0.7535177	0.3878946	1.0409154	0.0969737	0.0060872	0.4349544	0.2025556	0.9129329	0.0643505	0.8364027	0.5847178	0.6185973	0.0414029	0.8591611	0.3973381	0.6717723	0.6618562	1.0128633	0.1167803	0.5808993	1.0069644	0.2491536	0.4004656	0.3686747	0.3474171	0.0295118	0.1049139	0.0104428	0.7594520	0.6381551	0.9809876	0.3972226	0.3761479	0.0008952	0.8350255	0.2373992	0.2161080	0.1967911	0.6567721	0.7277783	0.3486989	0.5080202	0.9775242	1.0298489	0.9597166	0.8271974	0.8824582	0.4835888	0.7372786	0.3949408	0.1444754	1.0658921	0.6513487	0.0722270	0.2671850	0.0087131	0.0009390	0.0438642	0.6546664	0.2679217	0.0819685	0.2131609	0.2585988	0.7972694	0.1720101	0.7454779	0.0263121	0.1534801	0.7676088	0.5771738	0.0750862	0.5930781	0.4965166	0.1134711	0.5313462	1.0060286	0.6016333	0.0063940	1.0113576	0.7072113	0.0329394	0.8968248	0.5375063	0.0501303	0.6819041	0.9203384	0.4658511	0.7350826	0.7187595	0.4910839	0.6386349	0.7627981	0.0952709	0.2522486	0.9304008	0.8975318	0.5192156	0.9829198
250	0.0566172	0.7363412	0.7882688	0.3979638	1.1003604	0.1225246	0.0004596	0.3938802	0.1929070	0.8918892	0.0485805	0.9057413	0.6405809	0.6072875	0.0293809	0.8470777	0.3985819	0.7029062	0.7214563	1.1482673	0.1059517	0.7252586	1.0260139	0.2671641	0.4103656	0.4494904	0.4142956	0.0395743	0.1233002	0.0036842	0.8321917	0.6777604	0.8960784	0.4081804	0.3277428	0.0004405	0.9350713	0.1667107	0.2046904	0.2288112	0.6544288	0.7055067	0.3220360	0.5383078	0.9616696	1.0318585	0.8728906	0.8106279	0.8843459	0.4646881	0.6381276	0.4389165	0.1420172	0.9065593	0.6578068	0.0794525	0.2086340	0.0007148	0.0001942	0.0382518	0.7526460	0.2368353	0.0729175	0.1598937	0.3076734	0.8972699	0.1814066	0.6951808	0.0453415	0.1377624	0.7781099	0.5598693	0.1649194	0.5621679	0.4580141	0.1313710	0.5236858	0.9264498	0.6062247	0.0043426	1.0539290	0.7224691	0.0320365	0.9121188	0.5444999	0.0371599	0.6153025	0.9545671	0.4336666	0.6541473	0.7039434	0.5854030	0.6698394	0.8685264	0.0904599	0.2817527	0.9135827	0.9833808	0.4630913	1.0850596
300	0.0562834	0.7508447	0.9214872	0.3803624	1.0415009	0.0917480	0.0107682	0.2633174	0.2190436	1.0164494	0.0361311	0.9338045	0.6209482	0.5565624	0.0421977	0.7473233	0.4176541	0.6420450	0.7963920	0.9743356	0.0985484	0.6842096	0.9259522	0.3199413	0.4337582	0.4382937	0.4046021	0.0320013	0.1530507	0.0079621	0.8914797	0.5282263	0.9328566	0.4865742	0.2623301	0.0019484	0.9014903	0.2080936	0.2239369	0.2128240	0.6497683	0.6304392	0.2677190	0.4974230	0.9133978	0.9805115	0.9681601	0.8174851	0.8738292	0.4537328	0.6580326	0.4629641	0.0884483	0.9052940	0.7175554	0.0626803	0.1646212	0.0074052	0.0060752	0.0558805	0.8782911	0.2364258	0.0655733	0.1481566	0.2778683	0.8624723	0.2007925	0.6524372	0.0488881	0.1882560	0.7138374	0.4754530	0.2079122	0.5726731	0.5162960	0.1615306	0.5433588	1.0381449	0.5633412	0.0082313	1.0581242	0.6594385	0.0206021	0.9060013	0.4717096	0.0301003	0.6273450	0.9800696	0.3963259	0.6772187	0.6632231	0.4774938	0.6216749	0.9573641	0.0954184	0.2991891	0.9897924	0.9123732	0.5000069	1.1165376
350	0.0411713	0.7010290	0.9876373	0.3065034	1.0427600	0.0886514	0.0013313	0.2946676	0.2464202	0.9480793	0.0324380	1.0392616	0.5620029	0.6065604	0.0684967	0.6978775	0.4042389	0.6792687	0.6448785	0.8933777	0.1097846	0.7269883	0.9825634	0.2107308	0.3749672	0.4323760	0.3869803	0.0216527	0.2036112	0.0336261	0.8363747	0.5334020	1.0070127	0.5403462	0.2694024	0.0002173	0.9221515	0.1784705	0.2141969	0.2505011	0.6911660	0.7304348	0.3911391	0.4758450	0.8760662	0.9380269	0.9352141	0.8191943	0.8707348	0.3872502	0.6645636	0.4599243	0.1837356	1.0227058	0.6206867	0.0788307	0.2011207	0.0145992	0.0002454	0.0644943	0.8166853	0.2443559	0.0717823	0.1406147	0.2465369	0.8821928	0.2250522	0.6465009	0.0315654	0.1505962	0.8002650	0.4693349	0.2188499	0.6065815	0.4863542	0.1552581	0.5900562	0.8982044	0.4932807	0.0027125	1.0382315	0.6950762	0.0088770	0.8796980	0.4380447	0.0853165	0.5949412	0.9587381	0.4526197	0.6713868	0.7598433	0.4856050	0.6156978	0.8090548	0.1340817	0.2860506	1.0180434	0.8830044	0.4716210	0.9911258
400	0.0607649	0.8115561	0.9978690	0.3528805	0.9014389	0.0673835	0.0000611	0.3906692	0.2063617	0.8971381	0.0236139	1.0555427	0.5390654	0.6336173	0.0422052	0.7596872	0.4938181	0.7581883	0.6656608	1.0356819	0.1225968	0.7115288	1.0021369	0.2332147	0.4326115	0.4074111	0.4343345	0.0290128	0.1769805	0.0249201	0.8361698	0.4573294	0.9007591	0.6005295	0.2623656	0.0000838	0.9421548	0.2143429	0.2310685	0.2391271	0.7420356	0.7236630	0.3755988	0.4491072	0.9394157	0.9594639	1.0186033	0.8569559	0.8834751	0.4353279	0.7346718	0.4792474	0.3585027	0.9710244	0.6308587	0.0874533	0.2063572	0.0235018	0.0007240	0.0818909	0.8548058	0.2776504	0.0670285	0.1854337	0.2672775	0.9245751	0.2314606	0.6807054	0.0199378	0.1065929	0.8428100	0.3607745	0.2287887	0.5563042	0.4713214	0.1281295	0.5704388	0.8204836	0.4748324	0.0016377	0.9565942	0.5855380	0.0062386	0.8796288	0.4513931	0.0868816	0.5831612	0.9911517	0.4256404	0.7011508	0.7552440	0.4801456	0.5175557	0.9448711	0.1313259	0.2761613	0.9728677	0.9042756	0.5457857	1.0013569
