Time	CBF1	GAL4	SWI5	GAL80	ASH1
0	0.000338161	0.007340021	0.004565536	0.006024261	0.010166733
10	0.003412394	0.030500993	0.007976657	0.016232173	0.006872258
30	0.018010724	0.047202268	0.029157281	0.029769937	0.020832792
50	0.028261856	0.033031814	0.078836088	0.010525262	0.021196943
70	0.006777646	0.014988502	0.01612005	0.005448217	0.017762765
90	0.009226505	0.018325546	0.035402621	0.012216713	0.040246301
110	0.007139308	0.014731008	0.041521432	0.01457864	0.021944451
130	0.006434305	0.014680043	0.023438109	0.013984767	0.048866853
150	0.015040538	0.015145153	0.043434944	0.009355302	0.045594386
170	0.011048543	0.026737345	0.063592481	0.004143311	0.023195681
190	0.071793647	0.021196943	0.067920929	0.023930594	0.036778336
10	0.003582047	0.010972226	0.001395502	0.011202775	0.006456643
30	0.002980975	0.020193013	0.005208198	0.010026765	0.00397453
50	0.002174652	0.009162773	0.013368672	0.004128977	0.006066163
70	0.004487103	0.012048522	0.011841536	0.005299236	0.008519592
90	0.006280086	0.011010318	0.011438169	0.005048253	0.012603777
110	0.005601388	0.010783729	0.017701311	0.009387782	0.01027299
130	0.007839623	0.010026765	0.016345077	0.005262631	0.02179287
150	0.013003105	0.01067219	0.022718321	0.00638986	0.026096497
170	0.020545981	0.012048522	0.014528202	0.009651708	0.034794426
190	0.018198962	0.009923055	0.017337023	0.009067999	0.020617311
210	0.017039183	0.010635267	0.012516717	0.008490116	0.020905118
230	0.025826572	0.010858736	0.014278616	0.005920768	0.007041019
250	0.01991501	0.00794906	0.02012315	0.008638521	0.020263118
270	0.030500993	0.01020203	0.017701311	0.00786684	0.026369244
290	0.032352029	0.011319861	0.012387252	0.009923055	0.0119239
0	0.002939935	0.004581387	0.004044004	0.00431926	0.011719055
10	0.004661468	0.021642335	0.006280086	0.020905118	0.010635267
30	0.004842608	0.015463385	0.021270533	0.01147788	0.009820417
50	0.004304317	0.013696964	0.020905118	0.007494251	0.020404059
70	0.006872258	0.018010724	0.03125	0.006456643	0.024348893
90	0.022561394	0.006684336	0.004726539	0.006003419	0.008116087
110	0.015250496	0.010709241	0.037291742	0.008286623	0.026187098
130	0.013984767	0.011241669	0.032803646	0.006323767	0.024013675
150	0.018581361	0.007139308	0.025737219	0.007598867	0.018517075
170	0.025033434	0.015463385	0.037812315	0.01277972	0.040949794
0	0.004425328	0.00596195	0.00537321	0.003619485	0.017886315
10	0.005758864	0.03901033	0.011010318	0.02335702	0.013508394
30	0.004186615	0.018775563	0.03742121	0.013602353	0.007758535
50	0.00401607	0.009322935	0.028458432	0.006546774	0.01903766
70	0.004661468	0.010858736	0.040246301	0.007188966	0.023195681
90	0.007839623	0.017762765	0.054598306	0.009453079	0.034434535
110	0.008032139	0.0078125	0.022718321	0.006777646	0.026369244
130	0.007704943	0.007213924	0.029462017	0.007238969	0.023683071
150	0.017886315	0.009957505	0.032240099	0.010972226	0.024518253
170	0.02351948	0.008974206	0.032017401	0.010561803	0.043134917
0	0.003096813	0.003284752	0.002314634	0.003721242	0.006108357
10	0.00489322	0.059954007	0.01067219	0.038740866	0.022250784
30	0.004534	0.03577263	0.025382887	0.055168937	0.011398596
50	0.001803481	0.013276328	0.016401823	0.01020203	0.011517728
70	0.003460029	0.011398596	0.015953314	0.006323767	0.016515907
90	0.003799433	0.010934265	0.021604865	0.009702014	0.026232516
110	0.004759415	0.008974206	0.013744517	0.007365504	0.018840747
130	0.006707542	0.006280086	0.014477938	0.005317633	0.018389168
150	0.01175974	0.005819053	0.014082038	0.00567958	0.016288528
170	0.013936383	0.010934265	0.021642335	0.011048543	0.022876339
190	0.01286861	0.007065464	0.015303442	0.005543451	0.013415085
210	0.022561394	0.00951883	0.018198962	0.010598471	0.022405551
230	0.019709022	0.007016659	0.01286861	0.008881383	0.020474897
250	0.016862941	0.008257953	0.012516717	0.008116087	0.017277041
270	0.01751822	0.006066163	0.010709241	0.007041019	0.016921485
290	0.011882647	0.005582008	0.007839623	0.007416735	0.013093549
