acrr	mara	-	[BPP, GEA, HIBSCS]	Strong	
acrr	marr	-	[BPP, GEA, HIBSCS]	Strong	
acrr	soxr	-	[BPP, GEA, HIBSCS]	Strong	
acrr	soxs	-	[BPP, GEA, HIBSCS]	Strong	
ada	aidb	+	[BPP, GEA, HIBSCS]	Strong	
adiy	gadx	+	[BPP]	Strong	
arca	gade	+	[BPP, GEA]	Strong	
argp	dnaa	+	[BPP, GEA, IC]	Strong	
basr	csgd	+	[BPP, GEA, HIBSCS]	Strong	
basr	puta	-	[BPP, HIBSCS]	Strong	
basr	qseb	+	[BPP, GEA]	Strong	
crp	arac	+	[BPP, GEA, HIBSCS, SM]	Strong	
crp	comr	-	[BPP, GEA, HIBSCS]	Strong	
crp	cytr	+-	[BPP, GEA, HIBSCS]	Strong	
crp	dcur	+	[BPP, HIBSCS]	Strong	
crp	fis	+-	[BPP, GEA]	Strong	
crp	flhc	+	[BPP, GEA, HIBSCS]	Strong	
crp	flhd	+	[BPP, GEA, HIBSCS]	Strong	
crp	gade	-	[BPP, HIBSCS]	Strong	
crp	glpr	+	[BPP, GEA, HIBSCS]	Strong	
crp	hupa	+	[BPP, GEA]	Strong	
crp	hupb	+	[BPP, GEA]	Strong	
crp	laci	+	[BPP, GEA, HIBSCS]	Strong	
crp	lsrr	+	[BPP, GEA, HIBSCS, SM]	Strong	
crp	malt	+	[BPP, GEA, HIBSCS]	Strong	
crp	maze	+	[BPP, HIBSCS, SM]	Strong	
crp	mazf	+	[BPP, HIBSCS, SM]	Strong	
crp	mhpr	+	[BPP, GEA, HIBSCS]	Strong	
crp	mtlr	+	[BPP, HIBSCS]	Strong	
crp	ompr	+	[BPP, HIBSCS, SM]	Strong	
crp	prpr	+	[BPP, GEA, HIBSCS, SM]	Strong	
crp	yiaj	-	[BPP, GEA, HIBSCS]	Strong	
cpxr	baer	+	[BPP, GEA, IC]	Strong	
cpxr	csgd	-	[BPP, GEA, HIBSCS]	Strong	
