clusterid	ontology	p-value	study_count	study_n
0.0	glycogen metabolic process	0.03642473664628454	4.0	85.0
2.0	carnitine metabolic process	5.175341088858789e-11	10.0	146.0
2.0	aerobic respiration	9.370974021308216e-10	13.0	146.0
2.0	oxidation-reduction process	9.524007867469465e-09	49.0	146.0
2.0	tricarboxylic acid cycle	2.0674864062790487e-07	12.0	146.0
2.0	putrescine catabolic process	2.7768684777357803e-05	7.0	146.0
2.0	galactitol metabolic process	3.8422486599795436e-05	6.0	146.0
2.0	Mo-molybdopterin cofactor biosynthetic process	0.00027566376910884946	7.0	146.0
2.0	molybdopterin cofactor biosynthetic process	0.0007163377609540924	5.0	146.0
2.0	chemotaxis	0.0023902912161650456	8.0	146.0
2.0	glycine betaine biosynthetic process from choline	0.002769817969281077	4.0	146.0
2.0	ATP synthesis coupled electron transport	0.0050259174765556365	5.0	146.0
2.0	translation	0.011617291437935912	15.0	146.0
2.0	NADH dehydrogenase complex	2.374601632491828e-16	14.0	146.0
2.0	plasma membrane respiratory chain complex I	3.412820316166702e-15	13.0	146.0
2.0	ribosome	7.041359069594009e-06	15.0	146.0
2.0	intracellular ribonucleoprotein complex	2.969412353353909e-05	14.0	146.0
2.0	cytosolic large ribosomal subunit	0.0024927584273486477	9.0	146.0
2.0	quinone binding	1.0511064197837774e-10	13.0	146.0
2.0	NADH dehydrogenase (ubiquinone) activity	5.93702196867027e-10	12.0	146.0
2.0	NADH dehydrogenase activity	1.6089197223363541e-09	14.0	146.0
2.0	oxidoreductase activity	1.6655752703857839e-07	42.0	146.0
2.0	NADH dehydrogenase (quinone) activity	7.55528808507898e-06	6.0	146.0
2.0	structural constituent of ribosome	2.969412353353909e-05	14.0	146.0
2.0	rRNA binding	0.00029556372015260713	12.0	146.0
2.0	oligopeptide-transporting ATPase activity	0.0007163377609540924	5.0	146.0
2.0	oxidoreductase activity, acting on NAD(P)H	0.0007983084417394709	6.0	146.0
2.0	dipeptide transporter activity	0.03497627218491828	5.0	146.0
4.0	iron ion homeostasis	3.150094282037107e-26	20.0	64.0
4.0	ion transport	4.879151628503683e-12	20.0	64.0
4.0	transport	2.075151033220636e-09	37.0	64.0
4.0	enterobactin biosynthetic process	9.995471216891352e-09	7.0	64.0
4.0	protein secretion by the type II secretion system	9.995471216891352e-09	7.0	64.0
4.0	protein transport	9.995471216891352e-09	14.0	64.0
4.0	siderophore transport	1.6994884867509616e-06	6.0	64.0
4.0	ferric-enterobactin transport	0.00016609520494138277	4.0	64.0
