Time	uvrD	lexA	umuDC	recA	uvrA	uvrY	ruvA	polB
1	169.6866667	1030.171111	90.88277777	1415.643334	1261.806111	74.00833333	0	28.86777778
2	234.7505556	1684.996667	121.0905555	1799.364445	1608.183889	17.22388889	2.138333333	32.52388889
3	225.3361111	1859.407222	186.1488889	2043.883333	1740.149445	3.951666667	19.09111111	51.78388889
4	171.8516666	1671.077222	218.985	2016.82	1560.609444	0	34.83111111	59.74277778
5	123.2077778	1445.273333	192.5005555	1887.073333	1328.182778	3.41111111	28.30166667	57.20944444
6	99.12833334	1171.665555	176.2761111	1706.847222	1054.720556	48.36944444	19.66888889	64.67833334
7	91.93166667	895.35	168.5683333	1515.862222	811.9061111	56.08444445	10.54611111	51.43944444
8	96.30111112	680.6361111	145.5188889	1283.942222	612.7988889	53.83333333	4.797222223	29.92833334
9	112.8955556	551.8466667	138.7155556	1089.95	439.11	48.06111111	11.04722222	31.48777778
10	106.7672222	478.2411111	133.24	936.6938889	341.1733333	31.43666667	15.56277778	33.71277778
11	108.5411111	449.6055556	113.1694444	826.8877777	303.6011111	16.59611111	12.63	27.82777778
12	96.86111112	441.345	94.82388888	774.9477778	275.2911111	21.77777778	15.09055555	29.16333333
13	82.70166665	345.8083333	82.55611111	704.3361111	265.6205555	28.00388889	1.901666667	32.16
14	100.4455556	317.3616666	57.78666667	652.1511111	274.5872222	31.97555556	1.197777778	20.27388889
