clusterid	ontology	p-value	study_count	study_n
0.0	glycogen metabolic process	0.008232665020190846	4.0	59.0
2.0	oxidation-reduction process	2.066871821382157e-22	87.0	223.0
2.0	anaerobic respiration	1.4481395140817996e-16	28.0	223.0
2.0	carnitine metabolic process	1.1982019367700254e-09	10.0	223.0
2.0	aerobic respiration	1.0636797197586294e-07	13.0	223.0
2.0	tricarboxylic acid cycle	1.7267650711307136e-05	12.0	223.0
2.0	fermentation	2.7070245465482935e-05	7.0	223.0
2.0	putrescine catabolic process	0.0003031667722171671	7.0	223.0
2.0	nickel cation transport	0.003996371624755485	5.0	223.0
2.0	glycine betaine biosynthetic process from choline	0.009920056609868192	4.0	223.0
2.0	nitrate assimilation	0.010517629091625524	8.0	223.0
2.0	ATP synthesis coupled electron transport	0.025388958273516473	5.0	223.0
2.0	cytochrome complex assembly	0.03529130235901533	6.0	223.0
2.0	oxidative phosphorylation	0.041697718815476514	4.0	223.0
2.0	aerobic electron transport chain	0.04837880580582826	5.0	223.0
2.0	heme transport	0.04837880580582826	5.0	223.0
2.0	NADH dehydrogenase complex	2.2411898167709006e-14	14.0	223.0
2.0	plasma membrane respiratory chain complex I	2.914309071260676e-13	13.0	223.0
2.0	[Ni-Fe] hydrogenase complex	4.226878923126894e-06	7.0	223.0
2.0	ribosome	0.000975030421584204	15.0	223.0
2.0	intracellular ribonucleoprotein complex	0.0033047679290574804	14.0	223.0
2.0	plasma membrane fumarate reductase complex	0.009920056609868192	4.0	223.0
2.0	cytochrome complex	0.009920056609868192	4.0	223.0
2.0	cytosolic large ribosomal subunit	0.04281293154091411	9.0	223.0
2.0	electron carrier activity	4.0157947100535e-15	33.0	223.0
2.0	oxidoreductase activity	4.0157947100535e-15	68.0	223.0
2.0	NADH dehydrogenase activity	1.0376391451735887e-13	19.0	223.0
2.0	iron-sulfur cluster binding	7.711094430314772e-12	36.0	223.0
2.0	4 iron, 4 sulfur cluster binding	1.2274797569838113e-11	32.0	223.0
2.0	quinone binding	9.965821893146882e-09	13.0	223.0
2.0	NADH dehydrogenase (ubiquinone) activity	4.179919059148898e-08	12.0	223.0
2.0	metal ion binding	2.7856241789853012e-06	73.0	223.0
2.0	succinate dehydrogenase activity	4.226878923126894e-06	7.0	223.0
2.0	heme binding	2.2808675463647874e-05	13.0	223.0
2.0	NADH dehydrogenase (quinone) activity	5.6840715472735424e-05	6.0	223.0
2.0	succinate dehydrogenase (ubiquinone) activity	5.6840715472735424e-05	6.0	223.0
2.0	nickel cation binding	0.00015672202802963418	9.0	223.0
2.0	hydrogenase (acceptor) activity	0.00033124186657799087	6.0	223.0
2.0	structural constituent of ribosome	0.0033047679290574804	14.0	223.0
2.0	iron ion binding	0.0033047679290574804	15.0	223.0
2.0	oligopeptide-transporting ATPase activity	0.003996371624755485	5.0	223.0
2.0	oxidoreductase activity, acting on NAD(P)H	0.006627764937456029	6.0	223.0
2.0	2 iron, 2 sulfur cluster binding	0.009920056609868192	10.0	223.0
2.0	ferredoxin hydrogenase activity	0.009920056609868192	4.0	223.0
2.0	nickel-transporting ATPase activity	0.009920056609868192	4.0	223.0
2.0	rRNA binding	0.012690940507945558	12.0	223.0
3.0	bacterial-type flagellum organization	0.00017654694498665382	8.0	93.0
3.0	bacterial-type flagellum-dependent cell motility	0.007997798922899252	8.0	93.0
3.0	chemotaxis	0.007997798922899252	7.0	93.0
3.0	transcription, DNA-templated	0.032096567917407476	23.0	93.0
3.0	motor activity	0.006557633356626767	5.0	93.0
4.0	D-gluconate metabolic process	2.803158899294172e-12	7.0	13.0
4.0	L-idonate catabolic process	1.3083693761360156e-06	4.0	13.0
4.0	D-gluconate catabolic process	4.353036873547296e-06	4.0	13.0
4.0	gluconate transmembrane transport	0.011124064044932455	3.0	13.0
4.0	gluconate transmembrane transporter activity	0.008707718658267225	3.0	13.0
5.0	carbohydrate transport	9.242976535482654e-29	53.0	299.0
5.0	carbohydrate metabolic process	3.1784562680583985e-25	59.0	299.0
5.0	phosphoenolpyruvate-dependent sugar phosphotransferase system	4.2476504601496185e-16	31.0	299.0
5.0	carbohydrate transmembrane transport	1.91635862994132e-12	25.0	299.0
5.0	phenylacetate catabolic process	2.637577181574545e-10	13.0	299.0
5.0	fucose metabolic process	6.74822024978063e-05	7.0	299.0
5.0	galactitol metabolic process	6.74822024978063e-05	7.0	299.0
5.0	phosphorylation	0.0004196807818345302	34.0	299.0
5.0	maltose transport	0.0006415310842496893	6.0	299.0
5.0	L-threonine catabolic process to propionate	0.003846562313924952	6.0	299.0
5.0	monosaccharide transport	0.0040516056161204695	7.0	299.0
5.0	propionate catabolic process, 2-methylcitrate cycle	0.005409115930661107	5.0	299.0
5.0	maltodextrin transport	0.005409115930661107	5.0	299.0
5.0	L-lyxose metabolic process	0.005409115930661107	5.0	299.0
5.0	galactose metabolic process	0.005409115930661107	5.0	299.0
5.0	glyoxylate cycle	0.025822280764619857	6.0	299.0
5.0	rhamnose metabolic process	0.025822280764619857	5.0	299.0
5.0	aromatic compound catabolic process	0.034127985296546544	7.0	299.0
5.0	glycerol metabolic process	0.034127985296546544	7.0	299.0
5.0	N-acetylglucosamine transport	0.034127985296546544	4.0	299.0
5.0	L-ascorbic acid catabolic process	0.034127985296546544	4.0	299.0
5.0	fucose catabolic process	0.034127985296546544	4.0	299.0
5.0	D-tagatose 6-phosphate catabolic process	0.034127985296546544	4.0	299.0
5.0	arabinose catabolic process	0.034127985296546544	4.0	299.0
5.0	monosaccharide metabolic process	0.034127985296546544	4.0	299.0
5.0	D-ribose transport	0.034127985296546544	4.0	299.0
5.0	glucose import into cell	0.034127985296546544	4.0	299.0
5.0	cytoplasm	0.034127985296546544	94.0	299.0
5.0	maltose transport complex	0.034127985296546544	4.0	299.0
5.0	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity	1.5606381891929222e-05	15.0	299.0
5.0	kinase activity	0.0003430028242314505	34.0	299.0
5.0	intramolecular oxidoreductase activity, interconverting aldoses and ketoses	0.025822280764619857	5.0	299.0
5.0	phosphotransferase activity, alcohol group as acceptor	0.034127985296546544	10.0	299.0
5.0	monosaccharide transmembrane transporter activity	0.034127985296546544	6.0	299.0
5.0	monosaccharide binding	0.034127985296546544	4.0	299.0
5.0	monosaccharide-transporting ATPase activity	0.04700452178045299	5.0	299.0
5.0	isomerase activity	0.0484589001858994	21.0	299.0
6.0	iron ion homeostasis	8.095337623388848e-23	21.0	111.0
6.0	ion transport	4.928671846382222e-09	22.0	111.0
6.0	protein secretion by the type II secretion system	7.251459553572841e-07	7.0	111.0
6.0	enterobactin biosynthetic process	7.251459553572841e-07	7.0	111.0
6.0	methionine biosynthetic process	1.1319981829244754e-06	9.0	111.0
6.0	transport	6.246562354984127e-06	46.0	111.0
6.0	protein transport	1.894575528534583e-05	14.0	111.0
6.0	siderophore transport	4.5213438762120585e-05	6.0	111.0
6.0	D-glucarate catabolic process	0.0014612271767916172	4.0	111.0
6.0	ferric-enterobactin transport	0.0014612271767916172	4.0	111.0
6.0	galactarate catabolic process	0.0014612271767916172	4.0	111.0
6.0	tetrahydrofolate interconversion	0.0196410574439577	4.0	111.0
6.0	iron-sulfur cluster assembly	0.01985052841339881	6.0	111.0
6.0	D-methionine transport	0.037042882067474386	3.0	111.0
6.0	type II protein secretion system complex	7.251459553572841e-07	7.0	111.0
