clusterid	ontology	p-value	study_count	study_n
1.0	iron ion homeostasis	1.130718066782338e-12	15.0	100.0
1.0	protein transport	3.717750123389878e-11	19.0	100.0
1.0	protein secretion by the type II secretion system	4.283148277632575e-07	7.0	100.0
1.0	transport	1.8474479944197174e-05	42.0	100.0
1.0	ion transport	0.0005530085279103049	15.0	100.0
1.0	tricarboxylic acid cycle	0.0008698991322204993	8.0	100.0
1.0	chemotaxis	0.005258084406277734	7.0	100.0
1.0	dipeptide transport	0.020504991813998456	5.0	100.0
1.0	hypoxanthine catabolic process	0.040505606228093974	3.0	100.0
1.0	type II protein secretion system complex	4.283148277632575e-07	7.0	100.0
1.0	protein transporter activity	1.0222581718436056e-06	9.0	100.0
1.0	oligopeptide-transporting ATPase activity	0.0003017910914609961	5.0	100.0
1.0	dipeptide transporter activity	0.013323313275127835	5.0	100.0
1.0	energy transducer activity	0.040505606228093974	3.0	100.0
2.0	putrescine catabolic process	8.006528865113998e-05	7.0	118.0
2.0	galactitol metabolic process	8.409225675077207e-05	6.0	118.0
2.0	enterobactin biosynthetic process	0.01447451460901369	5.0	118.0
5.0	fermentation	0.021413407622511194	3.0	12.0
5.0	[Ni-Fe] hydrogenase complex	0.021413407622511194	3.0	12.0
5.0	electron carrier activity	0.04862659971190336	5.0	12.0
6.0	D-glucuronate catabolic process	0.009971193575504456	3.0	13.0
6.0	D-galacturonate catabolic process	0.009971193575504456	3.0	13.0
8.0	leucine biosynthetic process	1.1597056577933378e-06	5.0	16.0
8.0	branched-chain amino acid biosynthetic process	8.661498057289999e-05	5.0	16.0
10.0	SOS response	3.3870738638879366e-32	23.0	67.0
10.0	DNA repair	4.877732365075614e-22	24.0	67.0
10.0	cellular response to DNA damage stimulus	2.122215220912701e-15	30.0	67.0
10.0	cell division	5.6908677664582e-09	15.0	67.0
10.0	regulation of cell shape	5.174184174856747e-05	10.0	67.0
10.0	DNA duplex unwinding	9.072171190588175e-05	6.0	67.0
10.0	peptidoglycan biosynthetic process	0.00035193908601679596	9.0	67.0
10.0	nucleotide-excision repair	0.003725253766756423	4.0	67.0
10.0	cell wall organization	0.007893347566075943	9.0	67.0
10.0	double-strand break repair via homologous recombination	0.03686621466004439	3.0	67.0
10.0	cell division site	0.009325370560131734	6.0	67.0
10.0	excinuclease repair complex	0.010500113995419261	3.0	67.0
10.0	DNA binding	8.971077378078365e-05	27.0	67.0
10.0	helicase activity	0.0008898986193776779	7.0	67.0
10.0	ATP-dependent DNA helicase activity	0.001964018301893166	5.0	67.0
10.0	protein binding	0.0046638417259456675	30.0	67.0
10.0	excinuclease ABC activity	0.010500113995419261	3.0	67.0
10.0	DNA helicase activity	0.03686621466004439	3.0	67.0
13.0	valine biosynthetic process	3.7281352386648345e-07	7.0	49.0
13.0	branched-chain amino acid biosynthetic process	1.3528127606212372e-05	7.0	49.0
13.0	branched-chain amino acid transport	1.3528127606212372e-05	5.0	49.0
13.0	isoleucine biosynthetic process	1.8237552783475825e-05	6.0	49.0
13.0	peptide transport	0.012283271455351517	6.0	49.0
13.0	cellular amino acid biosynthetic process	0.023760163320622488	9.0	49.0
13.0	branched-chain amino acid transmembrane transporter activity	1.3528127606212372e-05	5.0	49.0
14.0	intracellular pH elevation	0.0016597652586622098	4.0	40.0
14.0	tryptophan catabolic process	0.017324475737407124	3.0	40.0
19.0	response to copper ion	1.318400008969962e-07	6.0	20.0
19.0	response to silver ion	2.9552678915571673e-06	4.0	20.0
19.0	cellular copper ion homeostasis	1.1045236623859253e-05	4.0	20.0
19.0	detoxification of copper ion	1.1045236623859253e-05	4.0	20.0
19.0	electron transport coupled proton transport	0.00013607882908642355	4.0	20.0
19.0	aerobic electron transport chain	0.00021971111521643214	4.0	20.0
19.0	copper ion export	0.0010625752623688615	3.0	20.0
19.0	aerobic respiration	0.009208495942995124	4.0	20.0
19.0	plasma membrane copper ion transport	0.0473091452829661	2.0	20.0
19.0	cytochrome o ubiquinol oxidase complex	2.9552678915571673e-06	4.0	20.0
19.0	respiratory chain	0.0473091452829661	2.0	20.0
19.0	copper ion binding	1.1248050548283602e-06	6.0	20.0
19.0	cytochrome bo3 ubiquinol oxidase activity	2.9552678915571673e-06	4.0	20.0
19.0	oxidoreduction-driven active transmembrane transporter activity	2.9552678915571673e-06	4.0	20.0
19.0	cytochrome o ubiquinol oxidase activity	0.00030753507226143	3.0	20.0
19.0	copper ion transmembrane transporter activity	0.00030753507226143	3.0	20.0
19.0	cytochrome-c oxidase activity	0.00030753507226143	3.0	20.0
19.0	hydrogen ion transmembrane transporter activity	0.000408281735266872	4.0	20.0
20.0	fatty acid metabolic process	1.943775149203927e-27	16.0	21.0
20.0	lipid metabolic process	2.0618151028341628e-20	16.0	21.0
20.0	fatty acid biosynthetic process	4.3972487692827e-18	11.0	21.0
20.0	lipid biosynthetic process	3.0185247643060512e-06	5.0	21.0
