Entrez	Official Symbol	Synonyms	Experiment Symbol
6416	MAP2K4	JNKK|JNKK1|MAPKK4|MEK4|MKK4|PRKMK4|SAPKK-1|SAPKK1|SEK1|SERK1|SKK1	ERK
5594	MAPK1	ERK|ERK-2|ERK2|ERT1|MAPK2|P42MAPK|PRKM1|PRKM2|p38|p40|p41|p41mapk|p42-MAPK	ERK
9451	EIF2AK3	PEK|PERK|WRS	ERK
2048	EPHB2	CAPB|DRT|EK5|EPHT3|ERK|Hek5|PCBC|Tyro5	ERK
5595	MAPK3	ERK-1|ERK1|ERT2|HS44KDAP|HUMKER1A|P44ERK1|P44MAPK|PRKM3|p44-ERK1|p44-MAPK	ERK
5598	MAPK7	BMK1|ERK4|ERK5|PRKM7	ERK
23522	KAT6B	GTPTS|MORF|MOZ2|MYST4|ZC2HC6B|qkf|querkopf	ERK
1942	EFNA1	B61|ECKLG|EFL1|EPLG1|LERK-1|LERK1|TNFAIP4	ERK
1943	EFNA2	ELF-1|EPLG6|HEK7-L|LERK-6|LERK6	ERK
1944	EFNA3	EFL2|EPLG3|Ehk1-L|LERK3	ERK
1946	EFNA5	AF1|EFL5|EPLG7|GLC1M|LERK7|RAGS	ERK
24338	Ephb1	Ephb2|Erk|elk	ERK
225689	MAPK15	ERK7|ERK8	ERK
1947	EFNB1	CFND|CFNS|EFB1|EFL3|EPLG2|Elk-L|LERK2	ERK
26413	Mapk1	9030612K14Rik|AA407128|AU018647|C78273|ERK|Erk2|MAPK2|PRKM2|Prkm1|p41mapk|p42mapk	ERK
6300	MAPK12	ERK-6|ERK3|ERK6|MAPK 12|P38GAMMA|PRKM12|SAPK-3|SAPK3	ERK
116590	Mapk1	Erk2	ERK
5597	MAPK6	ERK3|HsT17250|PRKM6|p97MAPK	ERK
26415	Mapk13	SAPK4|Serk4	ERK
26417	Mapk3	Erk-1|Erk1|Ert2|Esrk1|Mnk1|Mtap2k|Prkm3|p44|p44erk1|p44mapk	ERK
23939	Mapk7	BMK-1|BMK1|ERK-5|ERK5|Erk5-T|PRKM7	ERK
64781	CERK	LK4|dA59H18.2|dA59H18.3|hCERK	ERK
54361	WNT4	SERKAL|WNT-4	ERK
1949	EFNB3	EFL6|EPLG8|LERK8	ERK
5596	MAPK4	ERK-4|ERK4|PRKM4|p63-MAPK|p63MAPK	ERK
1948	EFNB2	EPLG5|HTKL|Htk-L|LERK5	ERK
13636	Efna1	AI325262|B61|Efl1|Epl1|Eplg1|Lerk1	ERK
1945	EFNA4	EFL4|EPLG4|LERK4	ERK
26398	Map2k4	JNKK1|MEK4|MKK4|PRKMK4|Sek1|Serk1	ERK
8629	JRK	JH8|jerky	ERK
6416	MAP2K4	JNKK|JNKK1|MAPKK4|MEK4|MKK4|PRKMK4|SAPKK-1|SAPKK1|SEK1|SERK1|SKK1	JNK
5599	MAPK8	JNK|JNK-46|JNK1|JNK1A2|JNK21B1/2|PRKM8|SAPK1|SAPK1c	JNK
5602	MAPK10	JNK3|JNK3A|PRKM10|SAPK1b|p493F12|p54bSAPK	JNK
5601	MAPK9	JNK-55|JNK2|JNK2A|JNK2ALPHA|JNK2B|JNK2BETA|PRKM9|SAPK|SAPK1a|p54a|p54aSAPK	JNK
5609	MAP2K7	JNKK2|MAPKK7|MEK|MEK 7|MKK7|PRKMK7|SAPKK-4|SAPKK4	JNK
23005	MAPKBP1	JNKBP-1	JNK
26398	Map2k4	JNKK1|MEK4|MKK4|PRKMK4|Sek1|Serk1	JNK
9641	IKBKE	IKK-E|IKK-i|IKKE|IKKI	IKK
8517	IKBKG	AMCBX1|FIP-3|FIP3|Fip3p|IKK-gamma|IMD33|IP|IP1|IP2|IPD2|NEMO|ZC2HC9	IKK
3551	IKBKB	IKK-beta|IKK2|IKKB|IMD15|NFKBIKB	IKK
1147	CHUK	IKBKA|IKK-alpha|IKK1|IKKA|NFKBIKA|TCF16	IKK
16151	Ikbkg	1110037D23Rik|AI848108|AI851264|AW124339|IKK[g]|NEMO	IKK
16150	Ikbkb	AI132552|IKK-2|IKK-beta|IKK2|IKK[b]|IKKbeta	IKK
12675	Chuk	AI256658|Chuk1|Fbx24|Fbxo24|IKBKA|IKK1|Ikka|NFKBIKA	IKK
117166	WFIKKN1	C16orf12|RJD2|WFDC20A|WFIKKN	IKK
5605	MAP2K2	CFC4|MAPKK2|MEK2|MKK2|PRKMK2	MK2
9261	MAPKAPK2	MAPKAP-K2|MK-2|MK2	MK2
815	CAMK2A	CAMKA	MK2
818	CAMK2G	CAMK|CAMK-II|CAMKG	MK2
3737	KCNA2	HBK5|HK4|HUKIV|KV1.2|MK2|NGK1|RBK2	MK2
817	CAMK2D	CAMKD	MK2
816	CAMK2B	CAM2|CAMK2|CAMKB	MK2
29104	N6AMT1	C21orf127|HEMK2|MTQ2|N6AMT|m.HsaHemK2P	MK2
287005	Camk2n1	-	MK2
3985	LIMK2	-	MK2
25400	Camk2a	PK2CDD|PKCCD	MK2
24246	Camk2d	CAMK1|Camk2|Camki|RATCAMKI	MK2
171140	Camk2g	-	MK2
12323	Camk2b	-	MK2
108058	Camk2d	2810011D23Rik|8030469K03Rik|CaMK II|[d]-CaMKII	MK2
12322	Camk2a	CaMKII|R74975|mKIAA0968	MK2
55450	CAMK2N1	PRO1489	MK2
94032	CAMK2N2	CAM-KIIN|CAMKIIN	MK2
17164	Mapkapk2	AA960234|MAPKAP-K2|MK-2|MK2|Rps6kc1	MK2
24245	Camk2b	Ck2b	MK2
6416	MAP2K4	JNKK|JNKK1|MAPKK4|MEK4|MKK4|PRKMK4|SAPKK-1|SAPKK1|SEK1|SERK1|SKK1	MEK
1326	MAP3K8	COT|EST|ESTF|MEKK8|TPL2|Tpl-2|c-COT	MEK
5605	MAP2K2	CFC4|MAPKK2|MEK2|MKK2|PRKMK2	MEK
4215	MAP3K3	MAPKKK3|MEKK3	MEK
4214	MAP3K1	MAPKKK1|MEKK|MEKK 1|MEKK1|SRXY6	MEK
6885	MAP3K7	MEKK7|TAK1|TGF1a	MEK
5604	MAP2K1	CFC3|MAPKK1|MEK1|MKK1|PRKMK1	MEK
4294	MAP3K10	MEKK10|MLK2|MST	MEK
5608	MAP2K6	MAPKK6|MEK6|MKK6|PRKMK6|SAPKK-3|SAPKK3	MEK
26395	Map2k1	MAPKK1|MEKK1|Mek1|Prkmk1	MEK
57223	SMEK2	FLFL2|PP4R3B|PSY2|smk1	MEK
9448	MAP4K4	FLH21957|HEL-S-31|HGK|MEKKK4|NIK	MEK
4217	MAP3K5	ASK1|MAPKKK5|MEKK5	MEK
4296	MAP3K11	MEKK11|MLK-3|MLK3|PTK1|SPRK	MEK
