Pathways	Genes of pathway	Enzymes of pathway	Ontology - parents of class	Products of pathway
(5Z)-dodec-5-enoate biosynthesis	"fabI // ""fabG"" // ""fabB"" // ""fabZ"" // ""fabA"" // ""entB"" // ""acpP"""	"enoyl-[acyl-carrier-protein] reductase // ""3-oxoacyl-[acyl-carrier-protein] reductase"" // ""KASI"" // ""3-hydroxy-acyl-[acyl-carrier-protein] dehydratase"" // ""&beta;-hydroxyacyl-ACP dehydratase/isomerase"""	Unsaturated Fatty Acid Biosynthesis	"H<sub>2</sub>O // ""a <i>holo</i>-[acyl-carrier protein]"" // ""CO<SUB>2</SUB>"" // ""NADP<sup>+</sup>"" // ""NAD<sup>+</sup>"" // ""a (5Z)-dodec-5-enoyl-[acp]"""
(Kdo)<sub>2</sub>-lipid A biosynthesis I	"lpxL // ""lpxM"" // ""acpP"" // ""entB"""	LAUROYLACYLTRAN-MONOMER // MYRISTOYLACYLTRAN-MONOMER	Fatty Acid and Lipid Biosynthesis	"&alpha;-D-Kdo-(2&rarr;4)-&alpha;-D-Kdo-(2&rarr;6)-lipid A // ""a <i>holo</i>-[acyl-carrier protein]"""
"1,4-dihydroxy-2-naphthoate biosynthesis"	"menE // ""menC"" // ""menF"" // ""menD"" // ""menH"" // ""menB"" // ""menI"""	"<i>o</i>-succinylbenzoate-CoA ligase // O-SUCCINYLBENZOATE-COA-SYN-MONOMER // ""isochorismate synthase 2"" // ""2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase"" // EG12438-MONOMER //  // ""1,4-dihydroxy-2-naphthoyl-CoA thioesterase"""	"1,4-Dihydroxy-2-Naphthoate Biosynthesis"	"2-carboxy-1,4-naphthoquinol // ""pyruvate"" // ""CO<SUB>2</SUB>"" // ""AMP"" // ""diphosphate"""
2'-deoxy-&alpha;-D-ribose 1-phosphate degradation	"deoB // ""deoC"" // ""adhE"" // ""mhpF"""	"phosphopentomutase // DEOXYRIBOSE-P-ALD-MONOMER // ""aldehyde-alcohol dehydrogenase"" // ""acetaldehyde dehydrogenase 2"""	Sugars Degradation	"H<SUP>+</SUP> // ""NADH"" // ""acetyl-CoA"" // ""D-glyceraldehyde 3-phosphate"""
"2,3-dihydroxybenzoate biosynthesis"	"entC // ""entB"" // ""entA"""	"isochorismate synthase 1 // ""<i>holo</i>-EntB dimer"" // ""EntA"""	Aromatic Compounds Biosynthesis	"H<SUP>+</SUP> // ""NADH"" // ""2,3-dihydroxybenzoate"" // ""pyruvate"""
2-methylcitrate cycle I	"acs // ""prpE"" // ""prpC"" // ""prpD"" // ""acnB"" // ""prpB"""	"acetyl-CoA synthetase (AMP-forming) // ""propionyl-CoA synthetase"" // ""2-methylcitrate synthase"" // G6199-MONOMER // ""bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase"" // ""2-methylisocitrate lyase"""	2-Methylcitrate Cycle	"succinate // ""pyruvate"" // ""H<SUP>+</SUP>"" // ""diphosphate"" // ""AMP"""
2-<I>O</I>-&alpha;-mannosyl-D-glycerate degradation	"mngB // ""garK"" // ""glxK"""	"&alpha;-mannosidase // ""glycerate kinase I"" // ""glycerate kinase II"""	Sugars Degradation	"H<SUP>+</SUP> // ""2-phospho-D-glycerate"" // ""ADP"" // ""D-mannopyranose 6-phosphate"""
2-oxoglutarate decarboxylation to succinyl-CoA	"sucA // ""sucB"" // ""lpd"""	"2-oxoglutarate decarboxylase, thiamine-requiring // ""SucB"" // ""lipoamide dehydrogenase"" // ""2-oxoglutarate dehydrogenase complex"""	|Respiration|	"NADH // ""coenzyme A"" // ""a [2-oxoglutarate dehydrogenase E2 protein] <i>N<sup>6</sup></i>-<i>S</i>-succinyldihydrolipoyl-L-lysine"" // ""CO<SUB>2</SUB>"""
2-oxopentenoate degradation	"mhpD // ""mhpE"" // ""mhpF"""	"2-hydroxypentadienoate hydratase // MHPELY-MONOMER // ""acetaldehyde dehydrogenase 2"""	Carboxylates Degradation	"H<SUP>+</SUP> // ""NADH"" // ""acetyl-CoA"" // ""pyruvate"""
3-dehydroquinate biosynthesis I	"aroB // ""aroG"" // ""aroH"" // ""aroF"""	"AROB-MONOMER // ""AroG"" // ""AroH"" // ""AroF"""	3-Dehydroquinate Biosynthesis	"phosphate // ""3-dehydroquinate"""
