clusterid	ontology	p-value	study_count	study_n
0.0	putrescine catabolic process	3.220244428257751e-07	7.0	55.0
0.0	galactitol metabolic process	5.482759574633452e-07	6.0	55.0
0.0	tricarboxylic acid cycle	5.482759574633452e-07	9.0	55.0
0.0	glyoxylate cycle	4.4048812203665205e-06	6.0	55.0
0.0	glycine betaine biosynthetic process from choline	0.0002496368769667601	4.0	55.0
0.0	galactitol catabolic process	0.013143655898503545	3.0	55.0
0.0	galactitol transport	0.045534726500726784	3.0	55.0
0.0	protein-phosphocysteine-galactitol-phosphotransferase system transporter activity	0.013143655898503545	3.0	55.0
1.0	lysine biosynthetic process via diaminopimelate	6.973978848733232e-05	5.0	19.0
1.0	lysine biosynthetic process	0.0008797651957522834	4.0	19.0
1.0	DNA replication	0.0009450715688133518	6.0	19.0
3.0	fucose metabolic process	5.988912610268413e-07	7.0	115.0
3.0	fucose catabolic process	0.012650632647312083	4.0	115.0
8.0	iron ion homeostasis	8.962790360741978e-20	17.0	64.0
8.0	ion transport	1.3327294955855136e-08	17.0	64.0
8.0	protein secretion by the type II secretion system	1.3327294955855136e-08	7.0	64.0
8.0	protein transport	1.3327294955855136e-08	14.0	64.0
8.0	transport	2.226117091802826e-07	34.0	64.0
8.0	siderophore transport	1.911924547594832e-06	6.0	64.0
8.0	enterobactin biosynthetic process	0.00017887175916764302	5.0	64.0
8.0	ferric-enterobactin transport	0.00017887175916764302	4.0	64.0
8.0	D-glucarate catabolic process	0.00017887175916764302	4.0	64.0
8.0	galactarate catabolic process	0.00017887175916764302	4.0	64.0
8.0	tricarboxylic acid cycle	0.008411448397175218	6.0	64.0
8.0	type II protein secretion system complex	1.3327294955855136e-08	7.0	64.0
8.0	protein transporter activity	1.3327294955855136e-08	9.0	64.0
8.0	ferric-enterobactin transmembrane transporter activity	0.00017887175916764302	4.0	64.0
8.0	receptor activity	0.0003111855160694306	5.0	64.0
8.0	energy transducer activity	0.009132173040528584	3.0	64.0
10.0	D-gluconate metabolic process	2.803158899294172e-12	7.0	13.0
10.0	L-idonate catabolic process	1.3083693761360156e-06	4.0	13.0
10.0	D-gluconate catabolic process	4.353036873547296e-06	4.0	13.0
10.0	gluconate transmembrane transport	0.011124064044932455	3.0	13.0
10.0	gluconate transmembrane transporter activity	0.008707718658267225	3.0	13.0
12.0	phosphoenolpyruvate-dependent sugar phosphotransferase system	1.5289010453282027e-08	10.0	24.0
12.0	carbohydrate transport	2.6892147607808557e-06	10.0	24.0
12.0	N-acetylglucosamine transport	1.2962921203565646e-05	4.0	24.0
12.0	N,N'-diacetylchitobiose import	0.0011830208803134791	3.0	24.0
12.0	mannose transport	0.0011830208803134791	3.0	24.0
12.0	UDP-N-acetylglucosamine biosynthetic process	0.003534479354584823	3.0	24.0
12.0	glucose import into cell	0.003534479354584823	3.0	24.0
12.0	fructose import	0.00782212657508403	3.0	24.0
12.0	carbohydrate transmembrane transport	0.026153743053446	5.0	24.0
12.0	protein-N(PI)-phosphohistidine-mannose phosphotransferase system transporter activity	0.0011830208803134791	3.0	24.0
13.0	iron-sulfur cluster assembly	2.0148604125763295e-09	9.0	41.0
13.0	oxidation-reduction process	0.00207245930939581	18.0	41.0
13.0	response to oxidative stress	0.00207245930939581	7.0	41.0
13.0	2 iron, 2 sulfur cluster binding	1.5624179096098088e-05	8.0	41.0
13.0	iron-sulfur cluster binding	9.519459642266908e-05	12.0	41.0
13.0	metal ion binding	0.008352297791459518	20.0	41.0
13.0	iron ion binding	0.019415331515079008	7.0	41.0
19.0	D-glucuronate catabolic process	0.009971193575504456	3.0	13.0
19.0	D-galacturonate catabolic process	0.009971193575504456	3.0	13.0
21.0	intracellular pH elevation	0.0027031035277390466	4.0	45.0
21.0	tryptophan catabolic process	0.02488201525441008	3.0	45.0
23.0	anaerobic respiration	3.858110878552783e-07	12.0	57.0
23.0	oxidation-reduction process	3.260700367579367e-06	26.0	57.0
23.0	nitrate assimilation	7.155138196749051e-05	7.0	57.0
23.0	anaerobic electron transport chain	0.00047601048909331773	5.0	57.0
23.0	cytochrome c-heme linkage via heme-L-cysteine	0.007329585888894959	3.0	57.0
23.0	[Ni-Fe] hydrogenase complex	0.004078086825743434	4.0	57.0
23.0	4 iron, 4 sulfur cluster binding	3.337678166830513e-06	14.0	57.0
23.0	oxidoreductase activity	4.950792519919896e-05	22.0	57.0
23.0	metal ion binding	0.00022864803734863647	27.0	57.0
23.0	electron carrier activity	0.00022864803734863647	11.0	57.0
23.0	iron-sulfur cluster binding	0.00022864803734863647	13.0	57.0
23.0	NADH dehydrogenase activity	0.00047601048909331773	7.0	57.0
23.0	hydrogenase (acceptor) activity	0.004078086825743434	4.0	57.0
23.0	nitrite reductase (cytochrome, ammonia-forming) activity	0.007329585888894959	3.0	57.0
24.0	nickel cation transport	7.730468771009965e-05	5.0	60.0
24.0	chemotaxis	0.0003569268255842967	7.0	60.0
24.0	dipeptide transport	0.0018987187905317303	5.0	60.0
24.0	nickel cation transmembrane transport	0.005481596149074668	4.0	60.0
24.0	hypoxanthine catabolic process	0.010000734813324285	3.0	60.0
24.0	peptide transport	0.019028520518407668	6.0	60.0
24.0	ribosome	0.00015394121502705315	10.0	60.0
24.0	intracellular ribonucleoprotein complex	0.0006245544621704219	9.0	60.0
24.0	ATP-binding cassette (ABC) transporter complex	0.04423830059807424	8.0	60.0
24.0	oligopeptide-transporting ATPase activity	7.730468771009965e-05	5.0	60.0
24.0	nickel-transporting ATPase activity	0.0003569268255842967	4.0	60.0
24.0	nickel cation binding	0.0006245544621704219	6.0	60.0
24.0	structural constituent of ribosome	0.0006245544621704219	9.0	60.0
24.0	dipeptide transporter activity	0.0012455412518383865	5.0	60.0
24.0	rRNA binding	0.01940984738125205	7.0	60.0
25.0	fatty acid metabolic process	1.943775149203927e-27	16.0	21.0
