Time	CBF1	GAL4	SWI5	GAL80	ASH1
0	0.045279442	0.006301889	0.094732285	0.012344395	0.053105312
10	0.009854511	0.006546774	0.01147788	0.021642335	0.05536047
20	0.003484096	0.024013675	0.014988502	0.022173802	0.008974206
30	0.03577263	0.004425328	0.00800435	0.01573368	0.016630784
40	0.02547101	0.004456108	0.007921558	0.009226505	0.020832792
50	0.030081076	0.004961527	0.007442484	0.008144264	0.027393929
60	0.040246301	0.004597292	0.00638986	0.011048543	0.01573368
70	0.038075321	0.008144264	0.004613253	0.009453079	0.010821168
80	0.033031814	0.006707542	0.005467132	0.006215129	0.008608634
90	0.006569503	0.011010318	0.027776334	0.011882647	0.039554894
100	0.022328033	0.007520269	0.005154328	0.008519592	0.010452559
110	0.020688889	0.006944083	0.004364403	0.006730829	0.006172198
120	0.01674646	0.006638164	0.003606962	0.003140043	0.007546378
130	0.013840117	0.007546378	0.003412394	0.00587987	0.006777646
140	0.010344445	0.007785471	0.00439476	0.008286623	0.006215129
150	0.007340021	0.007065464	0.002771725	0.006024261	0.008820034
160	0.008344261	0.012958118	0.013602353	0.014082038	0.010525262
170	0.018135999	0.016458766	0.013888167	0.012647535	0.011280697
180	0.011010318	0.014179987	0.017701311	0.007041019	0.009923055
0	0.065607293	0.006707542	0.113833729	0.00786684	0.034196678
10	0.013840117	0.010166733	0.013888167	0.028359974	0.082183923
20	0.006920059	0.018010724	0.02012315	0.009585039	0.006456643
30	0.040526236	0.007468323	0.006172198	0.012259127	0.024013675
40	0.037034149	0.00666121	0.012132326	0.006501553	0.015409886
50	0.051653145	0.004910208	0.006968192	0.009551877	0.01135916
60	0.048697786	0.00489322	0.008431471	0.008229383	0.020474897
70	0.070316155	0.005410584	0.005391865	0.004693891	0.005920768
80	0.03179624	0.008286623	0.005819053	0.019505165	0.010972226
90	0.040949794	0.008789519	0.008728806	0.005013382	0.007442484
100	0.02295576	0.009854511	0.006434305	0.017217267	0.018010724
110	0.014833471	0.003228322	0.004487103	0.002714684	0.007921558
120	0.019170078	0.004349303	0.004549741	0.01147788	0.007468323
130	0.020404059	0.007625248	0.006456643	0.004613253	0.004425328
140	0.016515907	0.006730829	0.006615198	0.003557304	0.003682752
150	0.006730829	0.006592311	0.012958118	0.004143311	0.001580942
160	0.014936646	0.008943158	0.011882647	0.0078125	0.010934265
170	0.011882647	0.008820034	0.009923055	0.016345077	0.010821168
180	0.005317633	0.010452559	0.024348893	0.012006837	0.022639721
0	0.17739042	0.012430258	0.184923439	0.017824433	0.111878134
10	0.079102796	0.026093866	0.113222101	0.023016312	0.153773254
20	0.056328154	0.01167851	0.01751822	0.016980232	0.078020659
30	0.070805243	0.009752582	0.012799602	0.01612005	0.060694033
40	0.056523711	0.008638521	0.008912217	0.016688522	0.044966674
50	0.052012421	0.010026765	0.010096506	0.019103754	0.063592481
60	0.071793647	0.012473412	0.008698606	0.0171577	0.06768594
70	0.072042897	0.012735505	0.009226505	0.013602353	0.045752678
80	0.072543995	0.013792234	0.007625248	0.011882647	0.028855697
90	0.069588851	0.011800567	0.005640348	0.013230396	0.048361406
100	0.03983002	0.010166733	0.004910208	0.010821168	0.018775563
110	0.064480199	0.008649758	0.006150844	0.009863921	0.021549041
120	0.056523711	0.008868904	0.006968192	0.012580294	0.018341698
130	0.049549009	0.00932365	0.006280086	0.01304966	0.014479083
140	0.030081076	0.008991409	0.006345722	0.008772973	0.010670207
150	0.035648866	0.011408331	0.005190179	0.009669443	0.009298064
160	0.032302184	0.009042704	0.005370634	0.00800435	0.005920768
170	0.023418395	0.009037481	0.005249081	0.006920059	0.012691444
180	0.017003517	0.009954803	0.005250151	0.010688065	0.017824433
190	0.018432729	0.010413801	0.004703427	0.009106624	0.014936646
200	0.015776549	0.010283406	0.006492836	0.011562002	0.00875911
0	0.11907975	0.024518253	0.287174589	0.018389168	0.087474117
10	0.064704058	0.039968299	0.165511114	0.0168046	0.121581868
20	0.045279442	0.013912254	0.028359974	0.018325546	0.078291527
30	0.058541945	0.010237448	0.008134861	0.021626208	0.074414883
40	0.070293203	0.011882647	0.017886315	0.026071908	0.066981338
50	0.059021279	0.013589465	0.01089736	0.021334839	0.087641805
60	0.05778008	0.018234109	0.014482816	0.021305763	0.08342511
70	0.078684403	0.012447027	0.010777815	0.014640869	0.076176747
80	0.083666709	0.014149683	0.009359262	0.009693813	0.050351934
90	0.061675059	0.01795851	0.012679569	0.016667049	0.041073765
100	0.055782078	0.018919411	0.006355935	0.020213683	0.028743877
110	0.043284671	0.010561803	0.00567958	0.014082038	0.018010724
120	0.042985682	0.01020203	0.022097087	0.011280697	0.025559439
130	0.040107059	0.009012784	0.00579892	0.011638105	0.014731008
140	0.036146506	0.007651721	0.006968192	0.014082038	0.01457864
150	0.026737345	0.010380358	0.006896117	0.014427849	0.012174447
160	0.020474897	0.01067219	0.006501553	0.013888167	0.008638521
170	0.017277041	0.011241669	0.007442484	0.013555292	0.010598471
180	0.009005362	0.00535462	0.004289425	0.007365504	0.011398596
190	0.011084477	0.013708124	0.007830152	0.011898817	0.009474945
200	0.012118542	0.012055155	0.005290011	0.014171797	0.013870759
