Time	CBF1	GAL4	SWI5	GAL80	ASH1
0	0.0031	0.0128	0.0027	0.0087	0.0089
20	0.0069	0.0275	0.0237	0.024	0.0108
40	0.0081	0.0157	0.0316	0.0078	0.0156
60	0.0053	0.0134	0.0231	0.0061	0.0181
80	0.01	0.0125	0.0298	0.0085	0.0243
100	0.0082	0.0106	0.0266	0.0093	0.0207
120	0.0085	0.0098	0.0233	0.0076	0.0274
140	0.0153	0.0097	0.0276	0.008	0.0262
160	0.0188	0.0148	0.0339	0.0096	0.033
180	0.0339	0.0112	0.0366	0.0119	0.0256
200	0.0251	0.0105	0.0285	0.0084	0.0273
220	0.0222	0.008	0.0232	0.0067	0.0254
240	0.0194	0.0093	0.0228	0.0059	0.0222
260	0.02	0.0071	0.021	0.0048	0.0218
280	0.0208	0.01	0.0205	0.0084	0.017
