clusterid	ontology	p-value	study_count	study_n
1.0	carnitine metabolic process	1.3078128995771512e-11	10.0	115.0
1.0	putrescine catabolic process	1.3335403092952228e-05	7.0	115.0
1.0	galactitol metabolic process	2.395198749761551e-05	6.0	115.0
1.0	translation	4.4273174063690024e-05	17.0	115.0
1.0	chemotaxis	0.0007553548969927374	8.0	115.0
1.0	glycine betaine biosynthetic process from choline	0.002108438774552014	4.0	115.0
1.0	dipeptide transport	0.03267053118639547	5.0	115.0
1.0	galactitol catabolic process	0.04810503465972899	3.0	115.0
1.0	hypoxanthine catabolic process	0.04810503465972899	3.0	115.0
1.0	ribosome	6.201605338321264e-09	17.0	115.0
1.0	intracellular ribonucleoprotein complex	2.5426749196750033e-08	16.0	115.0
1.0	cytosolic large ribosomal subunit	5.376472251736607e-05	10.0	115.0
1.0	structural constituent of ribosome	2.5426749196750033e-08	16.0	115.0
1.0	rRNA binding	4.4273174063690024e-05	12.0	115.0
1.0	oligopeptide-transporting ATPase activity	0.00042921312921823584	5.0	115.0
1.0	dipeptide transporter activity	0.02252722450782328	5.0	115.0
1.0	RNA binding	0.03267053118639547	15.0	115.0
1.0	protein-phosphocysteine-galactitol-phosphotransferase system transporter activity	0.04810503465972899	3.0	115.0
2.0	lysine biosynthetic process via diaminopimelate	5.147699501512484e-05	5.0	18.0
2.0	lysine biosynthetic process	0.0006530600345316919	4.0	18.0
2.0	DNA replication	0.0006530600345316919	6.0	18.0
3.0	bacterial-type flagellum organization	0.00026927419375785206	8.0	98.0
3.0	transcription, DNA-templated	0.009426565280594523	25.0	98.0
3.0	chemotaxis	0.009426565280594523	7.0	98.0
3.0	bacterial-type flagellum-dependent cell motility	0.009426565280594523	8.0	98.0
3.0	regulation of transcription, DNA-templated	0.04008871231491091	24.0	98.0
3.0	motor activity	0.008540411982784463	5.0	98.0
4.0	phenylacetate catabolic process	3.4316851737473674e-12	13.0	191.0
4.0	carbohydrate metabolic process	7.456012873156022e-07	29.0	191.0
4.0	fucose metabolic process	7.500985091502897e-06	7.0	191.0
4.0	glycerol-3-phosphate metabolic process	0.0015992433737527893	5.0	191.0
4.0	glycerol-3-phosphate catabolic process	0.0015992433737527893	5.0	191.0
4.0	rhamnose metabolic process	0.006355395857166517	5.0	191.0
4.0	glycerol metabolic process	0.006355395857166517	7.0	191.0
4.0	aromatic compound catabolic process	0.006355395857166517	7.0	191.0
4.0	3-phenylpropionate catabolic process	0.014044997574267103	6.0	191.0
4.0	fucose catabolic process	0.014044997574267103	4.0	191.0
4.0	arabinose catabolic process	0.014044997574267103	4.0	191.0
4.0	L-ascorbic acid catabolic process	0.014044997574267103	4.0	191.0
4.0	carbohydrate transmembrane transport	0.02768965180422054	11.0	191.0
4.0	glycerol-3-phosphate dehydrogenase complex	0.0015992433737527893	5.0	191.0
4.0	glycerol-3-phosphate dehydrogenase activity	0.014044997574267103	4.0	191.0
6.0	D-gluconate metabolic process	2.803158899294172e-12	7.0	13.0
6.0	L-idonate catabolic process	1.3083693761360156e-06	4.0	13.0
6.0	D-gluconate catabolic process	4.353036873547296e-06	4.0	13.0
6.0	gluconate transmembrane transport	0.011124064044932455	3.0	13.0
6.0	gluconate transmembrane transporter activity	0.008707718658267225	3.0	13.0
7.0	D-glucuronate catabolic process	0.009971193575504456	3.0	13.0
7.0	D-galacturonate catabolic process	0.009971193575504456	3.0	13.0
10.0	fatty acid metabolic process	1.922755945514741e-25	16.0	25.0
10.0	lipid metabolic process	1.9540422502518245e-18	16.0	25.0
10.0	fatty acid biosynthetic process	5.5143583383271344e-17	11.0	25.0
10.0	lipid biosynthetic process	7.853695148873954e-06	5.0	25.0
10.0	fatty acid beta-oxidation	0.00026652434050557726	4.0	25.0
10.0	glyoxylate cycle	0.0008152217514674458	4.0	25.0
10.0	malonyl-CoA biosynthetic process	0.0008962279396306673	3.0	25.0
10.0	acetyl-CoA carboxylase complex	0.0008962279396306673	3.0	25.0
10.0	acetyl-CoA carboxylase activity	9.259229431119886e-06	4.0	25.0
11.0	arginine biosynthetic process	8.916102456271137e-16	11.0	56.0
11.0	purine nucleotide biosynthetic process	5.6248283908679555e-11	10.0	56.0
11.0	'de novo' IMP biosynthetic process	6.4001658956405755e-09	8.0	56.0
11.0	arginine catabolic process to succinate	3.648138076760372e-06	5.0	56.0
11.0	arginine catabolic process to glutamate	3.648138076760372e-06	5.0	56.0
11.0	arginine metabolic process	1.5461428687576736e-05	6.0	56.0
11.0	urea cycle	1.5461428687576736e-05	5.0	56.0
11.0	arginine catabolic process	4.682538235797677e-05	5.0	56.0
11.0	L-arginine import into cell	0.00014935539647612227	4.0	56.0
11.0	cellular amino acid biosynthetic process	0.000670138194785941	11.0	56.0
11.0	amino acid transport	0.0027810411115451908	9.0	56.0
11.0	'de novo' UMP biosynthetic process	0.0037943055397242765	4.0	56.0
11.0	glycine decarboxylation via glycine cleavage system	0.029355564901108546	3.0	56.0
11.0	pyrimidine nucleotide biosynthetic process	0.029355564901108546	4.0	56.0
13.0	iron ion homeostasis	1.5670295895134446e-15	17.0	108.0
13.0	protein secretion by the type II secretion system	9.929048395084876e-07	7.0	108.0
13.0	methionine biosynthetic process	1.3219790771882815e-06	9.0	108.0
13.0	ion transport	6.107553488500553e-06	18.0	108.0
13.0	protein transport	1.687343749454505e-05	14.0	108.0
13.0	enterobactin biosynthetic process	4.7829078302732075e-05	6.0	108.0
13.0	transport	0.00026989760925026564	42.0	108.0
13.0	D-glucarate catabolic process	0.001783007191814068	4.0	108.0
13.0	galactarate catabolic process	0.001783007191814068	4.0	108.0
13.0	siderophore transport	0.0023208674045637496	5.0	108.0
13.0	tetrahydrofolate interconversion	0.019182670158438057	4.0	108.0
13.0	iron-sulfur cluster assembly	0.019182670158438057	6.0	108.0
13.0	D-methionine transport	0.04211592841909616	3.0	108.0
13.0	type II protein secretion system complex	9.929048395084876e-07	7.0	108.0
13.0	protein transporter activity	2.0659243002370215e-06	9.0	108.0
13.0	receptor activity	0.004712406521997429	5.0	108.0
13.0	energy transducer activity	0.04211592841909616	3.0	108.0
14.0	anaerobic respiration	7.668829056635155e-18	25.0	139.0
14.0	oxidation-reduction process	1.8016719774389382e-09	49.0	139.0
14.0	cytochrome complex assembly	2.8957532793952065e-07	9.0	139.0
14.0	fermentation	2.0104615223129613e-06	7.0	139.0
14.0	heme transport	7.178929884391237e-06	7.0	139.0
14.0	nitrate assimilation	3.482786584076085e-05	9.0	139.0
14.0	nickel cation transport	0.0005423948620783115	5.0	139.0
14.0	anaerobic electron transport chain	0.0005681131537696168	6.0	139.0
14.0	molybdate ion transport	0.002096153568510857	4.0	139.0
14.0	Mo-molybdopterin cofactor biosynthetic process	0.0034554659821001885	6.0	139.0
14.0	molybdopterin cofactor biosynthetic process	0.026623831083705828	4.0	139.0
14.0	cytochrome c-heme linkage via heme-L-cysteine	0.04517700526154432	3.0	139.0
14.0	nickel cation transmembrane transport	0.048635357412494896	4.0	139.0
14.0	[Ni-Fe] hydrogenase complex	3.3315948816663615e-07	7.0	139.0
14.0	intrinsic component of periplasmic side of plasma membrane	3.04075249337629e-05	6.0	139.0
14.0	plasma membrane fumarate reductase complex	0.002096153568510857	4.0	139.0
14.0	dimethyl sulfoxide reductase complex	0.04517700526154432	3.0	139.0
14.0	4 iron, 4 sulfur cluster binding	5.0277292308219625e-12	27.0	139.0
14.0	electron carrier activity	2.3515472168222077e-11	24.0	139.0
14.0	iron-sulfur cluster binding	1.0860354610251417e-10	28.0	139.0
14.0	metal ion binding	5.007651278460977e-07	54.0	139.0
14.0	nickel cation binding	5.2177040475291635e-06	9.0	139.0
14.0	oxidoreductase activity	2.1054051052498335e-05	37.0	139.0
