clusterid	ontology	p-value	study_count	study_n
1.0	oxidation-reduction process	6.066629347825463e-22	132.0	453.0
1.0	anaerobic respiration	9.958952667900324e-11	30.0	453.0
1.0	carnitine metabolic process	1.0612923894247755e-06	10.0	453.0
1.0	cytochrome complex assembly	6.760955780109561e-06	11.0	453.0
1.0	heme transport	7.304769269129087e-06	9.0	453.0
1.0	tricarboxylic acid cycle	7.304769269129087e-06	16.0	453.0
1.0	iron ion homeostasis	2.8777927199061126e-05	16.0	453.0
1.0	ATP synthesis coupled electron transport	5.3652632822067555e-05	8.0	453.0
1.0	sulfur compound metabolic process	6.993084200605622e-05	11.0	453.0
1.0	fatty acid metabolic process	8.46235664795287e-05	16.0	453.0
1.0	protein maturation	0.0004165984928057203	11.0	453.0
1.0	fatty acid biosynthetic process	0.001900027928078927	11.0	453.0
1.0	enterobactin biosynthetic process	0.002141364180720418	7.0	453.0
1.0	protein secretion by the type II secretion system	0.002141364180720418	7.0	453.0
1.0	fermentation	0.002141364180720418	7.0	453.0
1.0	aerobic respiration	0.0022263368289133713	12.0	453.0
1.0	hydrogen sulfide biosynthetic process	0.0022263368289133713	6.0	453.0
1.0	methionine biosynthetic process	0.0035599644682407705	10.0	453.0
1.0	DNA recombination	0.006217466886982189	0.0	453.0
1.0	sulfate assimilation	0.009000455217790722	8.0	453.0
1.0	L-threonine catabolic process to propionate	0.011395589345634243	6.0	453.0
1.0	galactitol metabolic process	0.011395589345634243	6.0	453.0
1.0	putrescine catabolic process	0.017290155207901836	7.0	453.0
1.0	Mo-molybdopterin cofactor biosynthetic process	0.017290155207901836	8.0	453.0
1.0	cysteine biosynthetic process	0.03787565399852474	6.0	453.0
1.0	cellular protein modification process	0.04598255398702876	9.0	453.0
1.0	plasma membrane respiratory chain complex I	2.45638595317559e-09	13.0	453.0
1.0	NADH dehydrogenase complex	2.7921946432734577e-08	13.0	453.0
1.0	ferredoxin hydrogenase complex	5.3652632822067555e-05	8.0	453.0
1.0	[Ni-Fe] hydrogenase complex	0.0003753189240725057	7.0	453.0
1.0	type II protein secretion system complex	0.002141364180720418	7.0	453.0
