G1	G2	G3	G4	G5	G6	G7	G8	G9	G10
0.0000000	1.0571620	0.3736615	0.5223715	1.0240561	1.0380189	0.5014661	1.0169121	0.6489685	1.0239939
0.7234743	0.0003578	1.0747506	0.2684660	0.9537859	1.0294562	0.4145323	0.9720737	0.9688234	0.9525040
0.6824523	0.3614097	0.0000000	0.9897777	1.1315176	1.0524485	0.4213403	0.9256210	0.9222130	1.1179037
0.1468123	0.8869789	0.3948660	0.0000000	1.0252413	1.0290675	0.5324746	0.9640930	0.7417548	1.0634320
0.9199981	0.2735230	1.1741840	0.3295846	0.0029994	0.9727948	0.4860160	1.0507376	1.0378986	1.0818644
0.3857035	0.3938735	1.0396562	0.2524445	1.0670261	0.0000000	0.8919827	0.9366484	0.8382260	0.9411255
0.8807868	0.2912646	0.8607246	0.2903075	1.0612037	1.0162033	0.0000000	0.9783280	0.9767409	0.9585717
0.8199798	0.2694136	0.4443651	0.3397324	0.9453280	0.1024705	0.4524441	0.0000000	1.0528185	0.9427822
0.6573818	0.3519441	0.9240546	0.2800586	1.0495020	0.9933701	0.5987564	1.0783748	0.0001082	1.0571819
0.6210949	0.2606422	0.9483793	0.2523906	1.1333441	1.0109890	0.4904912	1.0765425	0.3566820	0.0000000
