YML027W	YOR028C	YPL248C	YOL108C	YIR018W	YJR060W	YGL096W	YKL043W	YER111C	YLR182W
0.2172760	0.4663202	0.4355186	0.5400320	0.0537554	0.2181848	0.0171008	0.6652106	0.1070659	0.5291180
0.1314469	0.5906116	0.5845514	0.5416718	0.0513418	0.3584592	0.0242088	0.6427224	0.0323471	0.5447086
0.1508138	0.3129743	0.6616597	0.5243524	0.1256297	0.3808621	0.0184843	0.6204746	0.0053861	0.6142522
0.1079171	0.4571631	0.6315761	0.4497654	0.1537574	0.1446100	0.0192574	0.5447857	0.1251870	0.6716909
0.1266079	0.4771188	0.6974288	0.8114894	0.0488880	0.2684694	0.0239009	0.5534662	0.0102307	0.6886911
0.0440426	0.2600762	0.5758004	0.4009875	0.2495545	0.4575137	0.0314284	0.5031480	0.1100632	0.6770626
0.1155233	0.4313169	0.7892297	0.7395152	0.5864788	0.3376969	0.0136883	0.6276406	0.0135993	0.6223111
0.0593359	0.6305834	0.4569992	0.5366320	0.2995107	0.3846745	0.0124454	0.6287198	0.0751421	0.7627590
0.0945374	0.3935239	0.6483594	0.6943667	0.2562287	0.4190010	0.0085662	0.6267297	0.0500886	0.6520311
0.0606284	0.4320320	0.3791063	0.6752190	0.2551913	0.2692179	0.0334476	0.4549401	0.0309199	0.7804744
