"Time"	YIL101C	YPL202C	YML007W	YKL185W	YLR131C	YIL131C	YDR501W	YNL216W	YBR049C	YDL020C

0	0.9367506	0.0760021	0.6885325	0.6925965	0.7571010	0.5464027	0.4502925	0.8051579	0.9829018	0.0363296
50	0.9367507	0.0760020	0.6863523	0.6886241	0.7172456	0.5305704	0.3570200	0.8373371	0.2633631	0.0113639
100	0.9367508	0.0760022	0.6814585	0.6799012	0.7138180	0.4995618	0.3444932	0.7455315	0.2169756	0.0036118
150	0.9367507	0.0760025	0.6792526	0.6762795	0.7282067	0.4848217	0.3654245	0.6669514	0.2146636	0.0012060
200	0.9367504	0.0760028	0.6805254	0.6788911	0.7422692	0.4905716	0.3973266	0.6278308	0.2147981	0.0004598
250	0.9367502	0.0760029	0.6829870	0.6833583	0.7462899	0.5067144	0.4245753	0.6106913	0.2149005	0.0002281
300	0.9367501	0.0760028	0.6843911	0.6857324	0.7402000	0.5233621	0.4426859	0.6034650	0.2149357	0.0001555
350	0.9367501	0.0760027	0.6838826	0.6846726	0.7286256	0.5360583	0.4531301	0.6004611	0.2149465	0.0001324
400	0.9367501	0.0760026	0.6818037	0.6808828	0.7162876	0.5443061	0.4586488	0.5992199	0.2149499	0.0001252
450	0.9367502	0.0760027	0.6789878	0.6758526	0.7059616	0.5491490	0.4614043	0.5987085	0.2149510	0.0001236
500	0.9367501	0.0760029	0.6761912	0.6709074	0.6984967	0.5518014	0.4627287	0.5984982	0.2149513	0.0001242
550	0.9367500	0.0760032	0.6762078	0.6712565	0.7332527	0.5708141	0.6115806	0.3248183	0.9462383	0.0254427
600	0.9367497	0.0760034	0.6793978	0.6771921	0.7307958	0.6138457	0.7034715	0.4675902	0.9896289	0.0333177
650	0.9367496	0.0760033	0.6797256	0.6775956	0.7043523	0.6454547	0.6817430	0.6305445	0.9878966	0.0357114
700	0.9367496	0.0760032	0.6755301	0.6697090	0.6740667	0.6488136	0.6061154	0.7233706	0.9851671	0.0364477
750	0.9367496	0.0760035	0.6692014	0.6579705	0.6579486	0.6308110	0.5399248	0.7686253	0.9837283	0.0367755
800	0.9367494	0.0760040	0.6643899	0.6492515	0.6610068	0.6057174	0.4978443	0.7892975	0.9830304	0.0370520
850	0.9367490	0.0760046	0.6632677	0.6476419	0.6775287	0.5835650	0.4743708	0.7983788	0.9826499	0.0373015
