YOR344C	YMR037C	YGL162W	YPR065W	YHL027W	YBR182C	YIL101C	YPL202C	YML007W	YKL185W
0.3557636	0.4764900	0.2675209	0.5062198	0.4610348	0.4415585	0.6664461	0.0664363	0.4029437	0.5313928
0.8264834	0.2230582	0.1733316	0.6405560	0.2768462	0.6089273	0.5694593	0.0018445	0.1700138	0.2722947
0.8044942	0.3696391	0.1565848	0.6764498	0.3439310	0.4580616	0.5103772	0.0205935	0.3140002	0.3885682
0.8630604	0.2631709	0.9616901	0.3390869	0.5390212	0.4404710	0.6611963	0.0047844	0.2095913	0.4183959
0.7277020	0.3536245	0.2715847	0.4704463	0.1756881	0.5294059	0.8052389	0.0079368	0.3139531	0.4862605
0.8908151	0.4054254	0.1379011	0.6651013	0.7798009	0.4329124	0.6061798	0.0152590	0.3416172	0.5499343
0.8549824	0.4107445	0.2256585	0.6656654	0.2093730	0.8111666	0.4119034	0.0109627	0.2596482	0.2523756
0.7303154	0.3586613	0.2575201	0.4841004	0.2830758	0.5285116	0.7171048	0.0162948	0.3287940	0.3332571
0.9456083	0.3780440	0.2475245	0.7334532	0.3132954	0.4700357	0.5308515	0.0263692	0.1606089	0.4296183
0.6545121	0.2781579	0.4071310	0.5597011	0.3229990	0.5460899	0.5859988	0.0058070	0.3569784	0.2089645
